mRNA,microRNA,weight,edge_color
CNTN4,hsa-mir-92b,0.19772225,green
TULP3,hsa-mir-200c,0.888421733,red
RUNX1,hsa-mir-625,0.342597116,green
GLI3,hsa-mir-140,0.287091186,green
PTRF,hsa-mir-1287,0.244334693,green
ATP2C1,hsa-mir-148b,0.226327677,green
IRAK2,hsa-mir-944,0.269493886,green
GPN3,hsa-mir-15b,0.834089988,red
C17orf51,hsa-mir-1293,0.893099102,red
RHPN2,hsa-mir-154,0.231596529,green
BCAS1,hsa-mir-301a,0.234465768,green
TESC,hsa-mir-136,0.221858304,green
TNFRSF6B,hsa-mir-152,0.264339273,green
DCP1A,hsa-mir-145,0.204232714,green
SPIN1,hsa-mir-140,0.223221334,green
RALGPS1,hsa-mir-136,0.208949281,green
CD2AP,hsa-mir-301a,0.199608036,green
C9orf4,hsa-mir-183,0.844826346,red
CYP4F12,hsa-mir-27a,0.19891858,green
NRP2,hsa-mir-320a,0.281782161,green
ACBD5,hsa-mir-376c,0.197219619,green
HDGFRP3,hsa-mir-140,0.256840442,green
ERN2,hsa-mir-154,0.230304959,green
ERN1,hsa-mir-130b,0.198355272,green
EPS8L3,hsa-mir-136,0.244033884,green
RUNX1,hsa-mir-1976,0.212783441,green
CD2AP,hsa-mir-154,0.194220545,green
LRP3,hsa-mir-183,0.856786155,red
DTNB,hsa-mir-181c,0.856635217,red
SIGLEC6,hsa-mir-939,0.227563299,green
TRADD,hsa-mir-18a,0.254167259,green
DDX58,hsa-mir-31,0.851716724,red
KLHL24,hsa-mir-149,0.842353818,red
VTI1A,hsa-mir-224,0.251678856,green
DDB1,hsa-mir-185,0.853375103,red
STK17B,hsa-mir-200c,0.259531195,green
GPLD1,hsa-mir-651,0.832666106,red
FAM190B,hsa-mir-618,0.205224437,green
CORO1C,hsa-mir-140,0.402291609,green
SLC39A9,hsa-mir-96,0.193957272,green
HECTD2,hsa-mir-618,0.190939435,green
PDCD6IP,hsa-mir-205,0.191301303,green
SLC4A3,hsa-mir-140,0.189020852,green
PPA1,hsa-mir-224,0.272427173,green
TARBP2,hsa-mir-99b,0.919047778,red
LY75,hsa-mir-34b,0.208790166,green
NLGN2,hsa-mir-140,0.202233151,green
C20orf46,hsa-mir-10b,0.831027414,red
EHD2,hsa-mir-140,0.251661872,green
HOMER2,hsa-mir-30b,0.199370261,green
QKI,hsa-mir-1287,0.259380505,green
CASP2,hsa-mir-181d,0.84345206,red
SAMD12,hsa-mir-154,0.197756681,green
FUT4,hsa-mir-136,0.224238293,green
PDE7A,hsa-mir-561,0.192099505,green
SH3BGRL2,hsa-mir-136,0.292190563,green
NEK1,hsa-mir-224,0.857108686,red
SLC35A1,hsa-mir-376b,0.21558128,green
FYTTD1,hsa-mir-182,0.883294504,red
ZDHHC6,hsa-mir-136,0.254366198,green
ATP2C1,hsa-mir-429,0.261393721,green
AEBP2,hsa-mir-141,0.838127171,red
PTGFRN,hsa-mir-140,0.285618697,green
SNX18,hsa-mir-643,0.217355443,green
IMPAD1,hsa-mir-140,0.21209525,green
PLXNB3,hsa-mir-10a,0.220759036,green
RTKN2,hsa-mir-224,0.208747661,green
PLEKHG4B,hsa-mir-592,0.240309994,green
SAMD5,hsa-mir-203,0.198439063,green
PON2,hsa-mir-23a,0.199639257,green
KCND2,hsa-mir-140,0.337305068,green
ANXA4,hsa-mir-136,0.236775661,green
VCAM1,hsa-mir-183,0.830439395,red
FSTL3,hsa-mir-140,0.194769906,green
NFATC3,hsa-mir-376c,0.865101486,red
C4orf19,hsa-mir-136,0.205477619,green
BCL2L1,hsa-mir-10a,0.895187089,red
MBNL1,hsa-mir-618,0.21425345,green
SYNC,hsa-mir-618,0.190777055,green
CLIP4,hsa-mir-182,0.829061048,red
EIF4ENIF1,hsa-mir-590,0.841457551,red
NRP2,hsa-mir-140,0.241340902,green
PRPF38A,hsa-mir-429,0.847799731,red
TMEM30B,hsa-mir-424,0.211425065,green
NUDT3,hsa-mir-590,0.845830904,red
PLEKHH3,hsa-mir-181d,0.892250576,red
ST8SIA1,hsa-mir-618,0.210203563,green
PAPD5,hsa-mir-224,0.833720966,red
ARHGEF38,hsa-mir-154,0.215548489,green
MFSD6,hsa-mir-380,0.227091714,green
PLS3,hsa-mir-3150b,0.188216795,green
KCTD7,hsa-mir-335,0.903143414,red
NEK7,hsa-mir-140,0.229187121,green
TBC1D2,hsa-mir-196b,0.214091007,green
NUP98,hsa-mir-141,0.895638374,red
CEP68,hsa-mir-618,0.212436297,green
ARL13B,hsa-mir-140,0.22744157,green
NTN4,hsa-mir-424,0.230042207,green
PAM,hsa-mir-140,0.263210049,green
SAMD5,hsa-mir-452,0.279246572,green
NAGPA,hsa-mir-182,0.199811697,green
SFRP2,hsa-mir-552,0.211505581,green
HRH2,hsa-mir-143,0.839494336,red
IPPK,hsa-mir-196b,0.246945939,green
CYP2J2,hsa-mir-224,0.319894351,green
KIAA0226,hsa-mir-3653,0.842359985,red
SBDS,hsa-mir-99b,0.235488285,green
CD2AP,hsa-mir-136,0.247495563,green
MYO9B,hsa-mir-3651,0.85252633,red
ABCC3,hsa-mir-301a,0.219843008,green
PAFAH1B1,hsa-mir-10a,0.195419434,green
BCL2L14,hsa-mir-136,0.305327104,green
KLHL13,hsa-mir-182,0.832437274,red
PLAC8,hsa-mir-337,0.203135809,green
PLAC8,hsa-mir-136,0.218557065,green
SCAMP1,hsa-mir-452,0.840684954,red
SLC12A8,hsa-mir-29a,0.213603168,green
SFRS4,hsa-mir-618,0.204629711,green
AP2B1,hsa-mir-130a,0.226411517,green
SLC4A4,hsa-mir-590,0.196776811,green
TBKBP1,hsa-mir-539,0.84172713,red
PDCD7,hsa-mir-651,0.836752564,red
PPTC7,hsa-mir-140,0.285365262,green
LRP11,hsa-mir-150,0.208749079,green
DNM1,hsa-mir-140,0.227849723,green
ENTPD7,hsa-mir-29a,0.31960914,green
XPNPEP3,hsa-mir-592,0.21226913,green
SLC6A6,hsa-mir-31,0.228779724,green
SCAND1,hsa-mir-140,0.937556341,red
BPNT1,hsa-mir-337,0.230833343,green
MUC4,hsa-mir-27a,0.189309005,green
ABL2,hsa-mir-140,0.205131283,green
CREB5,hsa-mir-140,0.259914141,green
PDCD7,hsa-mir-182,0.869150921,red
NRF1,hsa-mir-335,0.881206572,red
AHCYL2,hsa-mir-424,0.203767108,green
BCL2L15,hsa-mir-301a,0.224092423,green
ATE1,hsa-mir-148a,0.854513809,red
RPIA,hsa-mir-140,0.869440792,red
DAGLA,hsa-mir-1293,0.20077017,green
GFM1,hsa-mir-944,0.843379675,red
MLLT10,hsa-mir-30e,0.865913223,red
ARPC4,hsa-mir-149,0.223762682,green
PPM1A,hsa-mir-618,0.274051426,green
CLDN18,hsa-mir-136,0.22121908,green
USP13,hsa-mir-183,0.856135772,red
PSEN1,hsa-mir-136,0.211839326,green
KATNAL1,hsa-mir-618,0.196431743,green
HPGDS,hsa-mir-939,0.229653548,green
TSPAN3,hsa-mir-337,0.210948161,green
GNB4,hsa-mir-140,0.253864212,green
PRR15,hsa-mir-301a,0.243065806,green
CRLS1,hsa-mir-873,0.188412085,green
PHLDB2,hsa-mir-140,0.294374339,green
B3GNT9,hsa-mir-552,0.241840764,green
HOOK3,hsa-mir-1287,0.206878554,green
SP100,hsa-mir-589,0.194190671,green
TRIM2,hsa-mir-424,0.25646684,green
CCDC6,hsa-mir-224,0.223134651,green
BCAS1,hsa-mir-154,0.198287885,green
SVIL,hsa-mir-618,0.212016815,green
BNIP2,hsa-mir-140,0.227332888,green
PDCD7,hsa-mir-335,0.841221601,red
TCF7L2,hsa-mir-154,0.237155878,green
TXN2,hsa-mir-1262,0.853084673,red
RAB31,hsa-mir-140,0.251352064,green
RND2,hsa-mir-183,0.884379293,red
DCBLD2,hsa-mir-140,0.192973752,green
RASEF,hsa-mir-136,0.251086761,green
HNF1B,hsa-mir-136,0.248361169,green
ANTXR1,hsa-mir-140,0.258403312,green
ABHD3,hsa-mir-376c,0.21506683,green
NR3C1,hsa-mir-136,0.829857014,red
ABHD15,hsa-mir-31,0.221807901,green
AEBP2,hsa-mir-200c,0.847196845,red
GLS,hsa-mir-1287,0.221658633,green
SAMD5,hsa-mir-224,0.307123708,green
ACTN1,hsa-mir-140,0.325056479,green
KRT5,hsa-mir-196b,0.243663849,green
RALGPS1,hsa-mir-301a,0.266262517,green
PLEKHH1,hsa-mir-136,0.2238003,green
ZNF35,hsa-mir-592,0.829189298,red
MXRA7,hsa-mir-140,0.288214352,green
MTX3,hsa-mir-27a,0.844623856,red
BCAP29,hsa-mir-1287,0.200355681,green
FAM3D,hsa-mir-224,0.258832629,green
RAB14,hsa-mir-335,0.262712099,green
ZBTB41,hsa-mir-149,0.837108165,red
TNIK,hsa-mir-2355,0.232969098,green
CLDN4,hsa-mir-149,0.263314766,green
PCDHB10,hsa-mir-140,0.207378022,green
CSPG4,hsa-mir-10a,0.214054914,green
MUC20,hsa-mir-205,0.220675434,green
RAB11FIP5,hsa-mir-140,0.280058163,green
FXYD5,hsa-mir-149,0.268706123,green
TSPAN3,hsa-mir-136,0.264986892,green
SNCA,hsa-mir-140,0.233943586,green
IGF1R,hsa-mir-592,0.203125349,green
FBXO30,hsa-mir-140,0.213672272,green
ATXN3,hsa-mir-618,0.289783261,green
KPNA6,hsa-mir-140,0.20261186,green
NAV2,hsa-mir-651,0.851273202,red
