mRNA,microRNA,weight,edge_color
CNTN4,hsa-mir-92b,0.878316674,green
TULP3,hsa-mir-200c,0.383483627,red
RUNX1,hsa-mir-625,0.891518161,green
GLI3,hsa-mir-140,0.852364738,green
PTRF,hsa-mir-1287,0.866063109,green
ATP2C1,hsa-mir-148b,0.847018575,green
IRAK2,hsa-mir-944,0.916391962,green
GPN3,hsa-mir-15b,0.257637519,red
C17orf51,hsa-mir-1293,0.293895928,red
RHPN2,hsa-mir-154,0.903509841,green
BCAS1,hsa-mir-301a,0.887658527,green
TESC,hsa-mir-136,0.842373706,green
TNFRSF6B,hsa-mir-152,0.876207443,green
DCP1A,hsa-mir-145,0.887389844,green
SPIN1,hsa-mir-140,0.874003498,green
RALGPS1,hsa-mir-136,0.863806666,green
CD2AP,hsa-mir-301a,0.844906978,green
C9orf4,hsa-mir-183,0.239486992,red
CYP4F12,hsa-mir-27a,0.837850529,green
NRP2,hsa-mir-320a,0.854420828,green
ACBD5,hsa-mir-376c,0.844569004,green
HDGFRP3,hsa-mir-140,0.849455523,green
ERN2,hsa-mir-154,0.916983215,green
ERN1,hsa-mir-130b,0.860633214,green
EPS8L3,hsa-mir-136,0.86066796,green
RUNX1,hsa-mir-1976,0.84102693,green
CD2AP,hsa-mir-154,0.928156803,green
LRP3,hsa-mir-183,0.192230458,red
DTNB,hsa-mir-181c,0.265077832,red
SIGLEC6,hsa-mir-939,0.851710085,green
TRADD,hsa-mir-18a,0.832718463,green
DDX58,hsa-mir-31,0.246031285,red
KLHL24,hsa-mir-149,0.282572532,red
VTI1A,hsa-mir-224,0.849885155,green
DDB1,hsa-mir-185,0.233931269,red
STK17B,hsa-mir-200c,0.881503231,green
GPLD1,hsa-mir-651,0.215036874,red
FAM190B,hsa-mir-618,0.930574479,green
CORO1C,hsa-mir-140,0.850115894,green
SLC39A9,hsa-mir-96,0.830883337,green
HECTD2,hsa-mir-618,0.869336579,green
PDCD6IP,hsa-mir-205,0.831340432,green
SLC4A3,hsa-mir-140,0.902437009,green
PPA1,hsa-mir-224,0.832641013,green
TARBP2,hsa-mir-99b,0.327560566,red
LY75,hsa-mir-34b,0.837261738,green
NLGN2,hsa-mir-140,0.918817041,green
C20orf46,hsa-mir-10b,0.221368441,red
EHD2,hsa-mir-140,0.858821749,green
HOMER2,hsa-mir-30b,0.865881916,green
QKI,hsa-mir-1287,0.889503664,green
CASP2,hsa-mir-181d,0.200849415,red
SAMD12,hsa-mir-154,0.840328753,green
FUT4,hsa-mir-136,0.845694202,green
PDE7A,hsa-mir-561,0.930369776,green
SH3BGRL2,hsa-mir-136,0.839745666,green
NEK1,hsa-mir-224,0.211071547,red
SLC35A1,hsa-mir-376b,0.849262472,green
FYTTD1,hsa-mir-182,0.217344253,red
ZDHHC6,hsa-mir-136,0.941534658,green
ATP2C1,hsa-mir-429,0.857655949,green
AEBP2,hsa-mir-141,0.363591933,red
PTGFRN,hsa-mir-140,0.925439275,green
SNX18,hsa-mir-643,0.838280693,green
IMPAD1,hsa-mir-140,0.891149171,green
PLXNB3,hsa-mir-10a,0.898724244,green
RTKN2,hsa-mir-224,0.926383465,green
PLEKHG4B,hsa-mir-592,0.844177486,green
SAMD5,hsa-mir-203,0.902899384,green
PON2,hsa-mir-23a,0.859039983,green
KCND2,hsa-mir-140,0.899387849,green
ANXA4,hsa-mir-136,0.857581913,green
VCAM1,hsa-mir-183,0.205310854,red
FSTL3,hsa-mir-140,0.884455629,green
NFATC3,hsa-mir-376c,0.234020417,red
C4orf19,hsa-mir-136,0.894567224,green
BCL2L1,hsa-mir-10a,0.292735424,red
MBNL1,hsa-mir-618,0.905848731,green
SYNC,hsa-mir-618,0.953178714,green
CLIP4,hsa-mir-182,0.237704284,red
EIF4ENIF1,hsa-mir-590,0.195667798,red
NRP2,hsa-mir-140,0.913294874,green
PRPF38A,hsa-mir-429,0.220835032,red
TMEM30B,hsa-mir-424,0.880012063,green
NUDT3,hsa-mir-590,0.279034896,red
PLEKHH3,hsa-mir-181d,0.25036844,red
ST8SIA1,hsa-mir-618,0.852790485,green
PAPD5,hsa-mir-224,0.192128864,red
ARHGEF38,hsa-mir-154,0.829571456,green
MFSD6,hsa-mir-380,0.888285915,green
PLS3,hsa-mir-3150b,0.885402108,green
KCTD7,hsa-mir-335,0.212474579,red
NEK7,hsa-mir-140,0.858621852,green
TBC1D2,hsa-mir-196b,0.867778225,green
NUP98,hsa-mir-141,0.211224321,red
CEP68,hsa-mir-618,0.839913536,green
ARL13B,hsa-mir-140,0.900573187,green
NTN4,hsa-mir-424,0.84080501,green
PAM,hsa-mir-140,0.83430919,green
SAMD5,hsa-mir-452,0.9209788,green
NAGPA,hsa-mir-182,0.8428795,green
SFRP2,hsa-mir-552,0.893357747,green
HRH2,hsa-mir-143,0.19843333,red
IPPK,hsa-mir-196b,0.839085394,green
CYP2J2,hsa-mir-224,0.857591398,green
KIAA0226,hsa-mir-3653,0.224225021,red
SBDS,hsa-mir-99b,0.918386697,green
CD2AP,hsa-mir-136,0.910109458,green
MYO9B,hsa-mir-3651,0.316340658,red
ABCC3,hsa-mir-301a,0.841881053,green
PAFAH1B1,hsa-mir-10a,0.864696268,green
BCL2L14,hsa-mir-136,0.895764948,green
KLHL13,hsa-mir-182,0.254109375,red
PLAC8,hsa-mir-337,0.892860256,green
PLAC8,hsa-mir-136,0.864855727,green
SCAMP1,hsa-mir-452,0.27503843,red
SLC12A8,hsa-mir-29a,0.850195084,green
SFRS4,hsa-mir-618,0.950184366,green
AP2B1,hsa-mir-130a,0.916272924,green
SLC4A4,hsa-mir-590,0.873816075,green
TBKBP1,hsa-mir-539,0.200406233,red
PDCD7,hsa-mir-651,0.394651663,red
PPTC7,hsa-mir-140,0.859444419,green
LRP11,hsa-mir-150,0.862728088,green
DNM1,hsa-mir-140,0.878485543,green
ENTPD7,hsa-mir-29a,0.90008254,green
XPNPEP3,hsa-mir-592,0.853516865,green
SLC6A6,hsa-mir-31,0.852465947,green
SCAND1,hsa-mir-140,0.201723962,red
