mRNA,microRNA,weight,edge_color
CNTN4,hsa-mir-92b,0.538019462,green
TULP3,hsa-mir-200c,0.63595268,red
RUNX1,hsa-mir-625,0.6170576385,green
GLI3,hsa-mir-140,0.569727962,green
PTRF,hsa-mir-1287,0.555198901,green
ATP2C1,hsa-mir-148b,0.536673126,green
IRAK2,hsa-mir-944,0.592942924,green
GPN3,hsa-mir-15b,0.5458637535,red
C17orf51,hsa-mir-1293,0.593497515,red
RHPN2,hsa-mir-154,0.567553185,green
BCAS1,hsa-mir-301a,0.5610621475,green
TESC,hsa-mir-136,0.532116005,green
TNFRSF6B,hsa-mir-152,0.570273358,green
DCP1A,hsa-mir-145,0.545811279,green
SPIN1,hsa-mir-140,0.548612416,green
RALGPS1,hsa-mir-136,0.5363779735,green
CD2AP,hsa-mir-301a,0.522257507,green
C9orf4,hsa-mir-183,0.542156669,red
CYP4F12,hsa-mir-27a,0.5183845545,green
NRP2,hsa-mir-320a,0.5681014945,green
ACBD5,hsa-mir-376c,0.5208943115,green
HDGFRP3,hsa-mir-140,0.5531479825,green
ERN2,hsa-mir-154,0.573644087,green
ERN1,hsa-mir-130b,0.529494243,green
EPS8L3,hsa-mir-136,0.552350922,green
RUNX1,hsa-mir-1976,0.5269051855,green
CD2AP,hsa-mir-154,0.561188674,green
LRP3,hsa-mir-183,0.5245083065,red
DTNB,hsa-mir-181c,0.5608565245,red
SIGLEC6,hsa-mir-939,0.539636692,green
TRADD,hsa-mir-18a,0.543442861,green
DDX58,hsa-mir-31,0.5488740045,red
KLHL24,hsa-mir-149,0.562463175,red
VTI1A,hsa-mir-224,0.5507820055,green
DDB1,hsa-mir-185,0.543653186,red
STK17B,hsa-mir-200c,0.570517213,green
GPLD1,hsa-mir-651,0.52385149,red
FAM190B,hsa-mir-618,0.567899458,green
CORO1C,hsa-mir-140,0.6262037515,green
SLC39A9,hsa-mir-96,0.5124203045,green
HECTD2,hsa-mir-618,0.530138007,green
PDCD6IP,hsa-mir-205,0.5113208675,green
SLC4A3,hsa-mir-140,0.5457289305,green
PPA1,hsa-mir-224,0.552534093,green
TARBP2,hsa-mir-99b,0.623304172,red
LY75,hsa-mir-34b,0.523025952,green
NLGN2,hsa-mir-140,0.560525096,green
C20orf46,hsa-mir-10b,0.5261979275,red
EHD2,hsa-mir-140,0.5552418105,green
HOMER2,hsa-mir-30b,0.5326260885,green
QKI,hsa-mir-1287,0.5744420845,green
CASP2,hsa-mir-181d,0.5221507375,red
SAMD12,hsa-mir-154,0.519042717,green
FUT4,hsa-mir-136,0.5349662475,green
PDE7A,hsa-mir-561,0.5612346405,green
SH3BGRL2,hsa-mir-136,0.5659681145,green
NEK1,hsa-mir-224,0.5340901165,red
SLC35A1,hsa-mir-376b,0.532421876,green
FYTTD1,hsa-mir-182,0.5503193785,red
ZDHHC6,hsa-mir-136,0.597950428,green
ATP2C1,hsa-mir-429,0.559524835,green
AEBP2,hsa-mir-141,0.600859552,red
PTGFRN,hsa-mir-140,0.605528986,green
SNX18,hsa-mir-643,0.527818068,green
IMPAD1,hsa-mir-140,0.5516222105,green
PLXNB3,hsa-mir-10a,0.55974164,green
RTKN2,hsa-mir-224,0.567565563,green
PLEKHG4B,hsa-mir-592,0.54224374,green
SAMD5,hsa-mir-203,0.5506692235,green
PON2,hsa-mir-23a,0.52933962,green
KCND2,hsa-mir-140,0.6183464585,green
ANXA4,hsa-mir-136,0.547178787,green
VCAM1,hsa-mir-183,0.5178751245,red
FSTL3,hsa-mir-140,0.5396127675,green
NFATC3,hsa-mir-376c,0.5495609515,red
C4orf19,hsa-mir-136,0.5500224215,green
BCL2L1,hsa-mir-10a,0.5939612565,red
MBNL1,hsa-mir-618,0.5600510905,green
SYNC,hsa-mir-618,0.5719778845,green
CLIP4,hsa-mir-182,0.533382666,red
EIF4ENIF1,hsa-mir-590,0.5185626745,red
NRP2,hsa-mir-140,0.577317888,green
PRPF38A,hsa-mir-429,0.5343173815,red
TMEM30B,hsa-mir-424,0.545718564,green
NUDT3,hsa-mir-590,0.5624329,red
PLEKHH3,hsa-mir-181d,0.571309508,red
ST8SIA1,hsa-mir-618,0.531497024,green
PAPD5,hsa-mir-224,0.512924915,red
ARHGEF38,hsa-mir-154,0.5225599725,green
MFSD6,hsa-mir-380,0.5576888145,green
PLS3,hsa-mir-3150b,0.5368094515,green
KCTD7,hsa-mir-335,0.5578089965,red
NEK7,hsa-mir-140,0.5439044865,green
TBC1D2,hsa-mir-196b,0.540934616,green
NUP98,hsa-mir-141,0.5534313475,red
CEP68,hsa-mir-618,0.5261749165,green
ARL13B,hsa-mir-140,0.5640073785,green
NTN4,hsa-mir-424,0.5354236085,green
PAM,hsa-mir-140,0.5487596195,green
SAMD5,hsa-mir-452,0.600112686,green
NAGPA,hsa-mir-182,0.5213455985,green
SFRP2,hsa-mir-552,0.552431664,green
HRH2,hsa-mir-143,0.518963833,red
IPPK,hsa-mir-196b,0.5430156665,green
CYP2J2,hsa-mir-224,0.5887428745,green
KIAA0226,hsa-mir-3653,0.533292503,red
SBDS,hsa-mir-99b,0.576937491,green
CD2AP,hsa-mir-136,0.5788025105,green
MYO9B,hsa-mir-3651,0.584433494,red
ABCC3,hsa-mir-301a,0.5308620305,green
PAFAH1B1,hsa-mir-10a,0.530057851,green
BCL2L14,hsa-mir-136,0.600546026,green
KLHL13,hsa-mir-182,0.5432733245,red
PLAC8,hsa-mir-337,0.5479980325,green
PLAC8,hsa-mir-136,0.541706396,green
SCAMP1,hsa-mir-452,0.557861692,red
SLC12A8,hsa-mir-29a,0.531899126,green
SFRS4,hsa-mir-618,0.5774070385,green
AP2B1,hsa-mir-130a,0.5713422205,green
SLC4A4,hsa-mir-590,0.535296443,green
TBKBP1,hsa-mir-539,0.5210666815,red
PDCD7,hsa-mir-651,0.6157021135,red
PPTC7,hsa-mir-140,0.5724048405,green
LRP11,hsa-mir-150,0.5357385835,green
DNM1,hsa-mir-140,0.553167633,green
ENTPD7,hsa-mir-29a,0.60984584,green
XPNPEP3,hsa-mir-592,0.5328929975,green
SLC6A6,hsa-mir-31,0.5406228355,green
SCAND1,hsa-mir-140,0.5696401515,red
BPNT1,hsa-mir-337,0.5559741055,green
MUC4,hsa-mir-27a,0.5403574875,green
ABL2,hsa-mir-140,0.539448717,green
CREB5,hsa-mir-140,0.5776250525,green
PDCD7,hsa-mir-182,0.553090478,red
NRF1,hsa-mir-335,0.552527147,red
AHCYL2,hsa-mir-424,0.5282176125,green
BCL2L15,hsa-mir-301a,0.530712209,green
ATE1,hsa-mir-148a,0.554594129,red
RPIA,hsa-mir-140,0.5380738905,red
DAGLA,hsa-mir-1293,0.5176802295,green
GFM1,hsa-mir-944,0.5470914395,red
MLLT10,hsa-mir-30e,0.577023539,red
ARPC4,hsa-mir-149,0.5472615255,green
PPM1A,hsa-mir-618,0.5808979035,green
CLDN18,hsa-mir-136,0.535191072,green
USP13,hsa-mir-183,0.5644373395,red
PSEN1,hsa-mir-136,0.536466002,green
KATNAL1,hsa-mir-618,0.5647817855,green
HPGDS,hsa-mir-939,0.5670969245,green
TSPAN3,hsa-mir-337,0.5338503795,green
GNB4,hsa-mir-140,0.5725995435,green
PRR15,hsa-mir-301a,0.5673003715,green
CRLS1,hsa-mir-873,0.5322685755,green
PHLDB2,hsa-mir-140,0.5683143235,green
B3GNT9,hsa-mir-552,0.5400770685,green
HOOK3,hsa-mir-1287,0.5219783285,green
SP100,hsa-mir-589,0.519514912,green
TRIM2,hsa-mir-424,0.546663105,green
CCDC6,hsa-mir-224,0.571677552,green
BCAS1,hsa-mir-154,0.542075548,green
SVIL,hsa-mir-618,0.533563507,green
BNIP2,hsa-mir-140,0.5698023905,green
PDCD7,hsa-mir-335,0.518310178,red
TCF7L2,hsa-mir-154,0.5496893175,green
TXN2,hsa-mir-1262,0.5371222075,red
RAB31,hsa-mir-140,0.574832204,green
RND2,hsa-mir-183,0.610299284,red
DCBLD2,hsa-mir-140,0.5179155095,green
RASEF,hsa-mir-136,0.5879178365,green
HNF1B,hsa-mir-136,0.559534478,green
ANTXR1,hsa-mir-140,0.596085499,green
ABHD3,hsa-mir-376c,0.5502783925,green
NR3C1,hsa-mir-136,0.5140963145,red
ABHD15,hsa-mir-31,0.531716325,green
AEBP2,hsa-mir-200c,0.585754725,red
GLS,hsa-mir-1287,0.560298826,green
SAMD5,hsa-mir-224,0.6110411765,green
ACTN1,hsa-mir-140,0.6059679405,green
KRT5,hsa-mir-196b,0.5505173675,green
RALGPS1,hsa-mir-301a,0.5612878545,green
PLEKHH1,hsa-mir-136,0.5268910155,green
ZNF35,hsa-mir-592,0.641637469,red
MXRA7,hsa-mir-140,0.592119255,green
MTX3,hsa-mir-27a,0.534004714,red
BCAP29,hsa-mir-1287,0.5340259275,green
FAM3D,hsa-mir-224,0.576125634,green
RAB14,hsa-mir-335,0.570343761,green
ZBTB41,hsa-mir-149,0.5599201595,red
TNIK,hsa-mir-2355,0.542105352,green
CLDN4,hsa-mir-149,0.5617324945,green
PCDHB10,hsa-mir-140,0.540972374,green
CSPG4,hsa-mir-10a,0.5300229975,green
MUC20,hsa-mir-205,0.566144088,green
RAB11FIP5,hsa-mir-140,0.5820404315,green
FXYD5,hsa-mir-149,0.580162683,green
TSPAN3,hsa-mir-136,0.5724732675,green
SNCA,hsa-mir-140,0.54710874,green
IGF1R,hsa-mir-592,0.5187239795,green
