mRNA,microRNA,weight,edge_color
CNTN4,hsa-mir-92b,0.416728627521312,green
TULP3,hsa-mir-200c,0.583691004279204,red
RUNX1,hsa-mir-625,0.552658620506569,green
GLI3,hsa-mir-140,0.494678080712092,green
PTRF,hsa-mir-1287,0.460010069298641,green
ATP2C1,hsa-mir-148b,0.437839863940688,green
IRAK2,hsa-mir-944,0.496952745176585,green
GPN3,hsa-mir-15b,0.463565394665154,red
C17orf51,hsa-mir-1293,0.512326252868479,red
RHPN2,hsa-mir-154,0.457438239648744,green
BCAS1,hsa-mir-301a,0.456207779695616,green
TESC,hsa-mir-136,0.432304986956379,green
TNFRSF6B,hsa-mir-152,0.481265039744016,green
DCP1A,hsa-mir-145,0.425715910222012,green
SPIN1,hsa-mir-140,0.441696985210706,green
RALGPS1,hsa-mir-136,0.424843243777875,green
CD2AP,hsa-mir-301a,0.410670454843388,green
C9orf4,hsa-mir-183,0.449805425007182,red
CYP4F12,hsa-mir-27a,0.408245070369415,green
NRP2,hsa-mir-320a,0.490673564926061,green
ACBD5,hsa-mir-376c,0.408124462864075,green
HDGFRP3,hsa-mir-140,0.467091567025847,green
ERN2,hsa-mir-154,0.459549542197861,green
ERN1,hsa-mir-130b,0.413172040747198,green
EPS8L3,hsa-mir-136,0.458292641347378,green
RUNX1,hsa-mir-1976,0.423032627747631,green
CD2AP,hsa-mir-154,0.424578756091397,green
LRP3,hsa-mir-183,0.405832964387701,red
DTNB,hsa-mir-181c,0.476523877824826,red
SIGLEC6,hsa-mir-939,0.440247608436628,green
TRADD,hsa-mir-18a,0.460054093840499,green
DDX58,hsa-mir-31,0.457765180045086,red
KLHL24,hsa-mir-149,0.487879135844245,red
VTI1A,hsa-mir-224,0.462491214556323,green
DDB1,hsa-mir-185,0.446800985649982,red
STK17B,hsa-mir-200c,0.47830700072003,green
GPLD1,hsa-mir-651,0.423147629699131,red
FAM190B,hsa-mir-618,0.437008722498011,green
CORO1C,hsa-mir-140,0.584802950431796,green
SLC39A9,hsa-mir-96,0.401442231703114,green
HECTD2,hsa-mir-618,0.407419483111808,green
PDCD6IP,hsa-mir-205,0.398793816248676,green
SLC4A3,hsa-mir-140,0.413012605518901,green
PPA1,hsa-mir-224,0.476270970452164,green
TARBP2,hsa-mir-99b,0.548674594220219,red
LY75,hsa-mir-34b,0.418105270550933,green
NLGN2,hsa-mir-140,0.431062948296332,green
C20orf46,hsa-mir-10b,0.428909364627822,red
EHD2,hsa-mir-140,0.464900730336761,green
HOMER2,hsa-mir-30b,0.415488993341701,green
QKI,hsa-mir-1287,0.480333123537895,green
CASP2,hsa-mir-181d,0.411590637443984,red
SAMD12,hsa-mir-154,0.407652578971541,green
FUT4,hsa-mir-136,0.435473333576784,green
PDE7A,hsa-mir-561,0.422757109267912,green
SH3BGRL2,hsa-mir-136,0.495344081346845,green
NEK1,hsa-mir-224,0.425336638794681,red
SLC35A1,hsa-mir-376b,0.427884436232173,green
FYTTD1,hsa-mir-182,0.438154064400737,red
ZDHHC6,hsa-mir-136,0.489381846047328,green
ATP2C1,hsa-mir-429,0.473482713355933,green
AEBP2,hsa-mir-141,0.552029236729099,red
PTGFRN,hsa-mir-140,0.514123292487439,green
SNX18,hsa-mir-643,0.426854625587403,green
IMPAD1,hsa-mir-140,0.434751085347165,green
