mRNA,microRNA,weight,edge_color
CNTN4,hsa-mir-92b,0.735959941858605,green
TULP3,hsa-mir-200c,0.774033459465737,red
RUNX1,hsa-mir-625,0.77670292976349,green
GLI3,hsa-mir-140,0.734129129844799,green
PTRF,hsa-mir-1287,0.73601910267237,green
ATP2C1,hsa-mir-148b,0.71719158142888,green
IRAK2,hsa-mir-944,0.781083336362603,green
GPN3,hsa-mir-15b,0.703500908031705,red
C17orf51,hsa-mir-1293,0.75735609556881,red
RHPN2,hsa-mir-154,0.76296889619405,green
BCAS1,hsa-mir-301a,0.751033272148277,green
TESC,hsa-mir-136,0.712583420101149,green
TNFRSF6B,hsa-mir-152,0.748225857916465,green
DCP1A,hsa-mir-145,0.744497082707124,green
SPIN1,hsa-mir-140,0.737882455957867,green
RALGPS1,hsa-mir-136,0.726833229163175,green
CD2AP,hsa-mir-301a,0.709932835694333,green
C9orf4,hsa-mir-183,0.707693254273296,red
CYP4F12,hsa-mir-27a,0.704208140650999,green
NRP2,hsa-mir-320a,0.734644693407507,green
ACBD5,hsa-mir-376c,0.709165980183364,green
HDGFRP3,hsa-mir-140,0.72550101591919,green
ERN2,hsa-mir-154,0.773353956355483,green
ERN1,hsa-mir-130b,0.722107654183706,green
EPS8L3,hsa-mir-136,0.731689512791346,green
RUNX1,hsa-mir-1976,0.709620196519109,green
CD2AP,hsa-mir-154,0.774642810518387,green
LRP3,hsa-mir-183,0.706238240426112,red
DTNB,hsa-mir-181c,0.722624281476363,red
SIGLEC6,hsa-mir-939,0.721160239602626,green
TRADD,hsa-mir-18a,0.711705630873257,green
DDX58,hsa-mir-31,0.714505230454982,red
KLHL24,hsa-mir-149,0.715541414456961,red
VTI1A,hsa-mir-224,0.724761159167736,green
DDB1,hsa-mir-185,0.713046793686968,red
STK17B,hsa-mir-200c,0.751408267823678,green
GPLD1,hsa-mir-651,0.692748875168598,red
FAM190B,hsa-mir-618,0.778856424904183,green
CORO1C,hsa-mir-140,0.756446596194885,green
SLC39A9,hsa-mir-96,0.697660509965676,green
HECTD2,hsa-mir-618,0.727439441573709,green
PDCD6IP,hsa-mir-205,0.697466460021845,green
SLC4A3,hsa-mir-140,0.753215109457384,green
PPA1,hsa-mir-224,0.715463720988007,green
TARBP2,hsa-mir-99b,0.785052739411499,red
LY75,hsa-mir-34b,0.705807297471575,green
NLGN2,hsa-mir-140,0.768932561656148,green
C20orf46,hsa-mir-10b,0.692915759249701,red
EHD2,hsa-mir-140,0.731824975401556,green
HOMER2,hsa-mir-30b,0.726470810363388,green
QKI,hsa-mir-1287,0.75770376879273,green
CASP2,hsa-mir-181d,0.697877372218165,red
SAMD12,hsa-mir-154,0.705924977256981,green
FUT4,hsa-mir-136,0.715707194678882,green
PDE7A,hsa-mir-561,0.775949258419177,green
SH3BGRL2,hsa-mir-136,0.725216142422203,green
NEK1,hsa-mir-224,0.710755950702132,red
SLC35A1,hsa-mir-376b,0.716718359777617,green
FYTTD1,hsa-mir-182,0.732430668281491,red
ZDHHC6,hsa-mir-136,0.797802865692171,green
ATP2C1,hsa-mir-429,0.732938585348153,green
AEBP2,hsa-mir-141,0.730626338797031,red
PTGFRN,hsa-mir-140,0.791611016305805,green
SNX18,hsa-mir-643,0.708404681124124,green
IMPAD1,hsa-mir-140,0.749114658620038,green
PLXNB3,hsa-mir-10a,0.756917452593726,green
RTKN2,hsa-mir-224,0.776278961756079,green
PLEKHG4B,hsa-mir-592,0.717869365074901,green
SAMD5,hsa-mir-203,0.755550734518796,green
PON2,hsa-mir-23a,0.721116236911502,green
KCND2,hsa-mir-140,0.781819639396056,green
ANXA4,hsa-mir-136,0.727730791375666,green
VCAM1,hsa-mir-183,0.688823276722757,red
FSTL3,hsa-mir-140,0.740197312639102,green
NFATC3,hsa-mir-376c,0.72213688680402,red
C4orf19,hsa-mir-136,0.750433594835262,green
BCL2L1,hsa-mir-10a,0.758708172023209,red
MBNL1,hsa-mir-618,0.761191001380443,green
SYNC,hsa-mir-618,0.793710747576552,green
CLIP4,hsa-mir-182,0.695095560996789,red
EIF4ENIF1,hsa-mir-590,0.695160858328149,red
NRP2,hsa-mir-140,0.772745424533234,green
PRPF38A,hsa-mir-429,0.705767650962176,red
TMEM30B,hsa-mir-424,0.740166867636623,green
NUDT3,hsa-mir-590,0.717429390961425,red
PLEKHH3,hsa-mir-181d,0.746839111749122,red
ST8SIA1,hsa-mir-618,0.718383603152379,green
PAPD5,hsa-mir-224,0.688375205818852,red
ARHGEF38,hsa-mir-154,0.701139162170506,green
MFSD6,hsa-mir-380,0.749987036187557,green
PLS3,hsa-mir-3150b,0.739575137699027,green
KCTD7,hsa-mir-335,0.746679850088325,red
NEK7,hsa-mir-140,0.72696595203709,green
TBC1D2,hsa-mir-196b,0.731049546486643,green
NUP98,hsa-mir-141,0.740591763385792,red
CEP68,hsa-mir-618,0.708667075424906,green
ARL13B,hsa-mir-140,0.759777415071705,green
NTN4,hsa-mir-424,0.713054629328943,green
PAM,hsa-mir-140,0.714855070814449,green
SAMD5,hsa-mir-452,0.786750690473354,green
NAGPA,hsa-mir-182,0.708372034537094,green
SFRP2,hsa-mir-552,0.750737938884599,green
HRH2,hsa-mir-143,0.694268889880713,red
IPPK,hsa-mir-196b,0.71523037137086,green
CYP2J2,hsa-mir-224,0.745123837594307,green
KIAA0226,hsa-mir-3653,0.702328186046954,red
SBDS,hsa-mir-99b,0.775548050533411,green
CD2AP,hsa-mir-136,0.771513628476011,green
MYO9B,hsa-mir-3651,0.731059257927034,red
ABCC3,hsa-mir-301a,0.711772283031849,green
PAFAH1B1,hsa-mir-10a,0.724706782887529,green
BCL2L14,hsa-mir-136,0.772265843334325,green
KLHL13,hsa-mir-182,0.701423335623743,red
PLAC8,hsa-mir-337,0.748593839922294,green
PLAC8,hsa-mir-136,0.729672477967569,green
SCAMP1,hsa-mir-452,0.712543844144811,red
SLC12A8,hsa-mir-29a,0.717042149339182,green
SFRS4,hsa-mir-618,0.794240208105158,green
AP2B1,hsa-mir-130a,0.771977860643758,green
SLC4A4,hsa-mir-590,0.73220295894183,green
TBKBP1,hsa-mir-539,0.696442808382025,red
PDCD7,hsa-mir-651,0.736599380486193,red
PPTC7,hsa-mir-140,0.739366983894527,green
LRP11,hsa-mir-150,0.725938376936619,green
DNM1,hsa-mir-140,0.742395111043512,green
ENTPD7,hsa-mir-29a,0.778667651183625,green
XPNPEP3,hsa-mir-592,0.719390094593678,green
SLC6A6,hsa-mir-31,0.722012435397487,green
SCAND1,hsa-mir-140,0.770861464055182,red
BPNT1,hsa-mir-337,0.745098542261012,green
MUC4,hsa-mir-27a,0.744551652569108,green
ABL2,hsa-mir-140,0.733910942894044,green
CREB5,hsa-mir-140,0.762427772184418,green
PDCD7,hsa-mir-182,0.725950762494853,red
NRF1,hsa-mir-335,0.73228902537307,red
AHCYL2,hsa-mir-424,0.716940547294707,green
BCL2L15,hsa-mir-301a,0.709063560215251,green
ATE1,hsa-mir-148a,0.71862668150264,red
RPIA,hsa-mir-140,0.719305607831573,red
DAGLA,hsa-mir-1293,0.70201711807095,green
GFM1,hsa-mir-944,0.709137876551308,red
MLLT10,hsa-mir-30e,0.735023548396519,red
ARPC4,hsa-mir-149,0.735430908198598,green
PPM1A,hsa-mir-618,0.759381114227194,green
CLDN18,hsa-mir-136,0.717818976570203,green
USP13,hsa-mir-183,0.723973514131802,red
PSEN1,hsa-mir-136,0.725291410367859,green
KATNAL1,hsa-mir-618,0.779039738834004,green
HPGDS,hsa-mir-939,0.76337741553593,green
TSPAN3,hsa-mir-337,0.721672723684525,green
GNB4,hsa-mir-140,0.757998136965413,green
PRR15,hsa-mir-301a,0.755897701183137,green
CRLS1,hsa-mir-873,0.732279378797636,green
PHLDB2,hsa-mir-140,0.727656833730113,green
B3GNT9,hsa-mir-552,0.713552004944637,green
HOOK3,hsa-mir-1287,0.705262229655994,green
SP100,hsa-mir-589,0.708746072592572,green
TRIM2,hsa-mir-424,0.715461396380874,green
CCDC6,hsa-mir-224,0.774414296946504,green
BCAS1,hsa-mir-154,0.74204631644605,green
SVIL,hsa-mir-618,0.720597382879733,green
BNIP2,hsa-mir-140,0.769006425300578,green
PDCD7,hsa-mir-335,0.694917411466472,red
TCF7L2,hsa-mir-154,0.731480460080652,green
TXN2,hsa-mir-1262,0.709928905983382,red
RAB31,hsa-mir-140,0.762990707444715,green
RND2,hsa-mir-183,0.760199562188536,red
DCBLD2,hsa-mir-140,0.706924191139297,green
RASEF,hsa-mir-136,0.783842170772124,green
HNF1B,hsa-mir-136,0.740534474269878,green
ANTXR1,hsa-mir-140,0.7925048987995,green
ABHD3,hsa-mir-376c,0.745260705594598,green
NR3C1,hsa-mir-136,0.686792662798998,red
ABHD15,hsa-mir-31,0.711980576353267,green
AEBP2,hsa-mir-200c,0.728743068663549,red
GLS,hsa-mir-1287,0.75727546858804,green
SAMD5,hsa-mir-224,0.787820672278833,green
ACTN1,hsa-mir-140,0.769365545670777,green
KRT5,hsa-mir-196b,0.729004673761537,green
RALGPS1,hsa-mir-301a,0.732895069651668,green
PLEKHH1,hsa-mir-136,0.703189614345876,green
ZNF35,hsa-mir-592,0.7442136161785,red
MXRA7,hsa-mir-140,0.768891441811812,green
MTX3,hsa-mir-27a,0.703889033423254,red
BCAP29,hsa-mir-1287,0.728111704220231,green
FAM3D,hsa-mir-224,0.760685270255494,green
RAB14,hsa-mir-335,0.749283689535119,green
ZBTB41,hsa-mir-149,0.711520268120017,red
TNIK,hsa-mir-2355,0.72192045568193,green
CLDN4,hsa-mir-149,0.735312959736386,green
PCDHB10,hsa-mir-140,0.735014005210897,green
CSPG4,hsa-mir-10a,0.713811967443115,green
MUC20,hsa-mir-205,0.767092637495805,green
RAB11FIP5,hsa-mir-140,0.757694280629038,green
FXYD5,hsa-mir-149,0.761327437713037,green
TSPAN3,hsa-mir-136,0.751328687321815,green
SNCA,hsa-mir-140,0.729267331583624,green
IGF1R,hsa-mir-592,0.702298049933138,green
FBXO30,hsa-mir-140,0.707214184742047,green
ATXN3,hsa-mir-618,0.718037759151025,green
KPNA6,hsa-mir-140,0.714081041011204,green
NAV2,hsa-mir-651,0.707361784491691,red
