mRNA,microRNA,weight,edge_color
PLXNB2,hsa-mir-1180,0.3213904615,green
PLD2,hsa-mir-708,0.3371369105,green
CYCS,hsa-mir-141,0.3254076525,red
CNTN2,hsa-mir-17,0.299007477,red
PTRF,hsa-mir-378,0.3581684805,green
PET112L,hsa-mir-663,0.274427376,green
C15orf56,hsa-mir-942,0.3590683645,red
IL11,hsa-mir-150,0.3087538195,green
ENPP5,hsa-mir-942,0.3535963375,red
SCAND2,hsa-mir-23b,0.2697810395,red
RGS6,hsa-mir-183,0.272561356,red
TBC1D13,hsa-mir-15b,0.264160587,red
RNF144B,hsa-mir-412,0.298674457,green
XK,hsa-mir-183,0.353401442,red
RAB14,hsa-mir-940,0.327192676,green
BMI1,hsa-mir-27b,0.2658050385,red
TBC1D15,hsa-mir-106b,0.2628053385,red
ZNF585A,hsa-mir-766,0.2828278605,red
PPT1,hsa-mir-944,0.339160859,red
EPB41L4B,hsa-mir-27a,0.3802884535,red
H2AFV,hsa-mir-3934,0.381048348,red
ZNF853,hsa-mir-183,0.3263716865,red
GLOD4,hsa-mir-378,0.3628672885,red
GNB1,hsa-mir-598,0.313556486,green
RUNX1,hsa-mir-1976,0.2730845905,green
ACVR2B,hsa-mir-17,0.3458375375,red
GTF2IRD2,hsa-mir-150,0.307733516,red
PTRH2,hsa-mir-150,0.290129828,green
EGLN1,hsa-mir-200c,0.313047641,red
PTCHD1,hsa-mir-18a,0.3093545205,red
IDH3A,hsa-mir-431,0.4019976995,green
SOX21,hsa-mir-937,0.295915975,green
ZFHX3,hsa-mir-944,0.4365092945,red
FAM110C,hsa-mir-17,0.337137291,green
SRPX2,hsa-mir-200c,0.3249258675,green
SMTN,hsa-mir-93,0.31582691,green
MTMR10,hsa-mir-3934,0.2787940905,red
KIAA1549,hsa-mir-93,0.3065245865,red
RTKN2,hsa-mir-203,0.376313647,green
STRBP,hsa-mir-1296,0.298557013,red
SHANK2,hsa-mir-625,0.3407514665,green
PSMC3IP,hsa-mir-203,0.352899088,green
CAMKK1,hsa-mir-625,0.4896878255,green
BAZ2A,hsa-mir-99a,0.268545495,green
SP4,hsa-mir-766,0.346914709,red
FXR1,hsa-mir-944,0.264309106,red
LCORL,hsa-mir-625,0.321945031,red
TRIM4,hsa-mir-144,0.2989224865,red
INVS,hsa-mir-494,0.2974265285,red
WDR91,hsa-mir-3662,0.3094748285,green
DIS3L,hsa-mir-549,0.282405668,red
ACOT11,hsa-mir-27b,0.3265336015,green
CARD14,hsa-mir-15b,0.296172838,green
GANAB,hsa-mir-584,0.3183707905,red
GNAS,hsa-mir-15b,0.338561034,red
EPS8L2,hsa-mir-15b,0.299641397,green
KCNK6,hsa-mir-17,0.391854301,green
C4orf46,hsa-mir-203,0.4341024295,green
CDKAL1,hsa-mir-25,0.388288616,red
TSHZ3,hsa-mir-200b,0.4234250315,green
THOC3,hsa-mir-203,0.4306069935,green
VDR,hsa-mir-3934,0.283892577,green
VIPR1,hsa-mir-143,0.268116782,green
NLN,hsa-mir-183,0.3150091715,red
PITX1,hsa-mir-584,0.379318984,green
FCF1,hsa-mir-380,0.274048522,red
CHCHD7,hsa-mir-17,0.4085580355,red
HNRNPA3,hsa-mir-203,0.3247893245,green
ADAMTS14,hsa-mir-3662,0.301824108,green
SARM1,hsa-mir-10b,0.3284535615,red
SLC45A1,hsa-mir-196b,0.287417092,red
ZNF667,hsa-mir-766,0.2877886715,red
PPARD,hsa-mir-708,0.326155216,green
ADAMTS14,hsa-mir-1307,0.303401201,green
TRIM34,hsa-mir-133b,0.276046709,red
NRP2,hsa-mir-205,0.319924601,green
CHODL,hsa-mir-607,0.3611007335,green
TMEM140,hsa-mir-221,0.319802737,red
FAM40A,hsa-mir-17,0.26751579,green
ZNF385A,hsa-mir-17,0.3722375065,green
SPRED2,hsa-mir-185,0.296535872,red
C9orf66,hsa-mir-17,0.336134019,red
PDPN,hsa-mir-549,0.408446762,green
WDR76,hsa-mir-203,0.451771207,green
CCNB1,hsa-mir-30b,0.336646728,red
RUNX1,hsa-mir-429,0.292663043,green
SOX6,hsa-mir-200c,0.3017989725,red
ZBED4,hsa-mir-410,0.280050528,red
USP47,hsa-mir-378,0.4195676795,green
SKAP1,hsa-mir-187,0.2954681305,green
SLC25A23,hsa-mir-93,0.3157291915,red
PYGB,hsa-mir-148a,0.3760260145,green
PTK7,hsa-mir-193b,0.3153213355,red
PARD6G,hsa-mir-17,0.322039998,green
ZNF568,hsa-mir-766,0.302829041,red
UNK,hsa-mir-378,0.2901405795,red
SLC44A2,hsa-mir-939,0.3424104455,green
KIF1B,hsa-mir-30b,0.3363928175,green
NCS1,hsa-mir-150,0.283341104,green
ARCN1,hsa-mir-141,0.3058201445,green
RRM2,hsa-mir-203,0.410357144,green
DBF4B,hsa-mir-3170,0.3068742025,red
LRP11,hsa-mir-182,0.298184462,green
PVRL3,hsa-mir-15b,0.3152680955,red
AMPD2,hsa-mir-150,0.312061187,green
IDH3A,hsa-mir-370,0.3067940375,green
LOC283174,hsa-mir-22,0.3872019475,green
SBDS,hsa-mir-378,0.4183833735,green
DHX37,hsa-mir-205,0.280327596,green
IQCE,hsa-mir-934,0.2621037045,green
PIGM,hsa-mir-93,0.305193341,red
DYRK1A,hsa-mir-495,0.2998850125,green
CD302,hsa-mir-23b,0.2836620075,red
ABCC1,hsa-mir-147b,0.281191816,green
SEMA3C,hsa-mir-222,0.311091185,red
MAN1A1,hsa-mir-3170,0.331059668,green
RAB3A,hsa-mir-1254,0.279050232,red
ZNF100,hsa-mir-766,0.290624216,red
SLC35F2,hsa-mir-625,0.4708080885,green
RSF1,hsa-mir-193b,0.266331758,red
RTKN2,hsa-mir-944,0.274902325,green
NCS1,hsa-mir-651,0.266735349,green
GCK,hsa-mir-760,0.283095071,red
MLF1,hsa-mir-208b,0.2900452725,green
SBK1,hsa-mir-183,0.444402494,red
NUDT3,hsa-mir-200c,0.2863223155,red
FXR1,hsa-mir-200c,0.305510319,red
IL4R,hsa-mir-940,0.3513036105,green
ULK3,hsa-mir-744,0.3385546505,green
USP5,hsa-mir-182,0.2793266155,red
CCBL1,hsa-mir-299,0.280519949,green
SOCS1,hsa-let-7c,0.279166006,red
IDH2,hsa-mir-494,0.2529031195,green
VAMP7,hsa-mir-186,0.3154288825,red
ZNF33B,hsa-mir-942,0.337831165,red
CCDC25,hsa-mir-17,0.4580658725,red
CNTF,hsa-mir-10a,0.3325357565,green
ALDH5A1,hsa-mir-200c,0.3449125695,red
CPEB3,hsa-mir-433,0.304980711,green
BRWD1,hsa-mir-337,0.256453753,green
MET,hsa-mir-141,0.2940796315,green
PWP1,hsa-mir-496,0.2940710045,red
ATAD3A,hsa-mir-150,0.337269267,green
ZNF282,hsa-mir-454,0.291389497,green
STIM1,hsa-mir-625,0.3139627985,green
DNMT3A,hsa-mir-17,0.2844970635,red
HLF,hsa-mir-320a,0.2955661315,red
MPP2,hsa-mir-15a,0.277938414,red
NPTN,hsa-mir-148a,0.3504087535,green
RASSF6,hsa-mir-96,0.3165771475,green
TP53,hsa-mir-30a,0.387073658,red
ZSCAN12,hsa-mir-93,0.3028765525,red
ANAPC16,hsa-mir-17,0.2953314585,red
ABHD12,hsa-mir-584,0.3227710005,green
LPAR3,hsa-mir-141,0.3215318615,green
RPP14,hsa-mir-766,0.295582665,red
DOK1,hsa-mir-2355,0.351504172,green
SLC45A4,hsa-mir-17,0.284341567,red
RANBP17,hsa-mir-942,0.345213189,red
PPIP5K2,hsa-mir-25,0.2690587385,red
GLCE,hsa-mir-3653,0.296342427,red
NBEAL2,hsa-mir-937,0.2743993475,green
ZNF747,hsa-mir-942,0.310828863,red
MPP6,hsa-mir-221,0.25626131,green
SUCLG2,hsa-mir-155,0.313586519,red
LONRF2,hsa-mir-183,0.3986575855,red
DCUN1D5,hsa-mir-150,0.2812319255,green
DCK,hsa-mir-203,0.3550459435,green
FDX1,hsa-mir-766,0.2492839915,red
FOXP2,hsa-mir-25,0.269881642,red
AURKB,hsa-mir-30d,0.295138884,red
ESR1,hsa-mir-141,0.3142920015,red
NECAP2,hsa-mir-95,0.325949534,red
RAD21,hsa-mir-25,0.388035621,red
THSD4,hsa-mir-15b,0.263944563,green
LYPD3,hsa-mir-708,0.3252800855,green
LZTFL1,hsa-mir-942,0.2999154385,red
RAD54L,hsa-mir-30d,0.3339461405,red
ARL2BP,hsa-mir-27b,0.291008894,green
ARAF,hsa-mir-221,0.511952843,red
RALGPS1,hsa-mir-25,0.3711864315,red
RSBN1L,hsa-mir-93,0.2995529085,red
THAP9,hsa-mir-495,0.345484781,green
MYO16,hsa-mir-203,0.3580033145,red
ZNF276,hsa-mir-944,0.2740861065,green
DYRK1A,hsa-mir-380,0.2830031925,green
UTP14C,hsa-mir-185,0.3153634865,red
RCOR3,hsa-mir-200a,0.297507389,red
CEP63,hsa-mir-299,0.321049774,green
PRC1,hsa-mir-363,0.347141354,red
N4BP1,hsa-mir-940,0.295233684,green
TMED7,hsa-mir-148a,0.2994363965,green
ZNF473,hsa-mir-31,0.344362137,green
ATMIN,hsa-mir-17,0.3132629045,green
SLITRK6,hsa-mir-584,0.3167101395,red
PINK1,hsa-mir-612,0.3659815985,green
SEC23IP,hsa-mir-1245,0.2909700375,red
EYA2,hsa-mir-378,0.3243282195,red
MAPK4,hsa-mir-17,0.3059027,red
CDADC1,hsa-mir-942,0.283543181,red
PAK7,hsa-mir-944,0.305910407,red
SASS6,hsa-mir-203,0.3733640475,green
GRINL1A,hsa-mir-589,0.3051623865,red
MCM10,hsa-mir-203,0.4427669895,green
FANCA,hsa-mir-378c,0.270528401,red
CHRFAM7A,hsa-mir-17,0.3115147025,red
NGLY1,hsa-mir-487a,0.2668503875,green
CNTD1,hsa-mir-942,0.317378077,red
NDUFB5,hsa-mir-141,0.3103816725,red
SLC9A1,hsa-mir-3170,0.3858549805,green
LPIN1,hsa-mir-155,0.2846683575,red
TLE4,hsa-mir-15b,0.261771735,green
CHN2,hsa-mir-200b,0.3243173185,green
PIAS2,hsa-mir-495,0.25771887,green
KLHL6,hsa-mir-182,0.34312914,green
CHL1,hsa-mir-505,0.2611180985,green
PVR,hsa-mir-150,0.2888118365,green
ARL1,hsa-mir-25,0.275866401,red
LRP11,hsa-mir-96,0.3356427345,green
PTPDC1,hsa-mir-31,0.2570516075,red
PRRC1,hsa-mir-22,0.277493267,red
