mRNA,microRNA,weight,edge_color
PLXNB2,hsa-mir-1180,0.245412502528745,green
PLD2,hsa-mir-708,0.292488160202697,green
CYCS,hsa-mir-141,0.300070204795507,red
CNTN2,hsa-mir-17,0.2373533671544,red
PTRF,hsa-mir-378,0.329347511420729,green
PET112L,hsa-mir-663,0.221281330527003,green
C15orf56,hsa-mir-942,0.261276094765373,red
IL11,hsa-mir-150,0.267786664194472,green
ENPP5,hsa-mir-942,0.277310076275966,red
SCAND2,hsa-mir-23b,0.219095054667143,red
RGS6,hsa-mir-183,0.219207002834313,red
TBC1D13,hsa-mir-15b,0.216831353418183,red
RNF144B,hsa-mir-412,0.257422108890387,green
XK,hsa-mir-183,0.282707370816863,red
RAB14,hsa-mir-940,0.25290132225321,green
BMI1,hsa-mir-27b,0.212782037208408,red
TBC1D15,hsa-mir-106b,0.214450356199271,red
ZNF585A,hsa-mir-766,0.229400233126075,red
PPT1,hsa-mir-944,0.325955793609559,red
EPB41L4B,hsa-mir-27a,0.340657565917313,red
H2AFV,hsa-mir-3934,0.361574047422682,red
ZNF853,hsa-mir-183,0.26163232351879,red
GLOD4,hsa-mir-378,0.253206622914029,red
GNB1,hsa-mir-598,0.271809327093461,green
RUNX1,hsa-mir-1976,0.230803003476738,green
ACVR2B,hsa-mir-17,0.324051434347289,red
GTF2IRD2,hsa-mir-150,0.262770316009797,red
PTRH2,hsa-mir-150,0.248773755625477,green
EGLN1,hsa-mir-200c,0.245938670218952,red
PTCHD1,hsa-mir-18a,0.287888362051873,red
IDH3A,hsa-mir-431,0.280222352608818,green
SOX21,hsa-mir-937,0.243249710640249,green
ZFHX3,hsa-mir-944,0.358633049427073,red
FAM110C,hsa-mir-17,0.292653793401047,green
SRPX2,hsa-mir-200c,0.279012120284113,green
SMTN,hsa-mir-93,0.294207172706705,green
MTMR10,hsa-mir-3934,0.247616945120252,red
KIAA1549,hsa-mir-93,0.273806924191651,red
RTKN2,hsa-mir-203,0.284810470132026,green
STRBP,hsa-mir-1296,0.262693936174081,red
SHANK2,hsa-mir-625,0.243518441821095,green
PSMC3IP,hsa-mir-203,0.335161856733806,green
CAMKK1,hsa-mir-625,0.332978298087508,green
BAZ2A,hsa-mir-99a,0.215076815824213,green
SP4,hsa-mir-766,0.313871925753509,red
FXR1,hsa-mir-944,0.217890668715636,red
LCORL,hsa-mir-625,0.308446951674495,red
TRIM4,hsa-mir-144,0.26142987653052,red
INVS,hsa-mir-494,0.22740420313607,red
WDR91,hsa-mir-3662,0.246418718054505,green
DIS3L,hsa-mir-549,0.222320957437264,red
ACOT11,hsa-mir-27b,0.245441469721174,green
CARD14,hsa-mir-15b,0.265926186348052,green
GANAB,hsa-mir-584,0.262327718347847,red
GNAS,hsa-mir-15b,0.276497802333511,red
EPS8L2,hsa-mir-15b,0.279525381158579,green
KCNK6,hsa-mir-17,0.298617269744766,green
C4orf46,hsa-mir-203,0.423441717517601,green
CDKAL1,hsa-mir-25,0.363788225314447,red
TSHZ3,hsa-mir-200b,0.418080394705528,green
THOC3,hsa-mir-203,0.313902983439201,green
VDR,hsa-mir-3934,0.224493283249633,green
VIPR1,hsa-mir-143,0.213975170511616,green
NLN,hsa-mir-183,0.263963046711618,red
PITX1,hsa-mir-584,0.317042422143651,green
FCF1,hsa-mir-380,0.233121365707804,red
CHCHD7,hsa-mir-17,0.397237650723006,red
HNRNPA3,hsa-mir-203,0.281461523383854,green
ADAMTS14,hsa-mir-3662,0.242742166504749,green
SARM1,hsa-mir-10b,0.32101575314325,red
SLC45A1,hsa-mir-196b,0.262483152283974,red
ZNF667,hsa-mir-766,0.228247494433413,red
PPARD,hsa-mir-708,0.27232917570513,green
ADAMTS14,hsa-mir-1307,0.277267536477551,green
