mRNA,microRNA,weight,edge_color
PLXNB2,hsa-mir-1180,0.43450832168483,green
PLD2,hsa-mir-708,0.428530760715689,green
CYCS,hsa-mir-141,0.385447509276649,red
CNTN2,hsa-mir-17,0.385735968731901,red
PTRF,hsa-mir-378,0.434898799792925,green
PET112L,hsa-mir-663,0.362902272695452,green
C15orf56,hsa-mir-942,0.476536739748469,red
IL11,hsa-mir-150,0.392526829790415,green
ENPP5,hsa-mir-942,0.458226736538501,red
SCAND2,hsa-mir-23b,0.34485608259584,red
RGS6,hsa-mir-183,0.349814731704432,red
TBC1D13,hsa-mir-15b,0.336119713127674,red
RNF144B,hsa-mir-412,0.381234660914083,green
XK,hsa-mir-183,0.454538297749331,red
RAB14,hsa-mir-940,0.440351815327422,green
BMI1,hsa-mir-27b,0.341779019099973,red
TBC1D15,hsa-mir-106b,0.335257011605825,red
ZNF585A,hsa-mir-766,0.361726022535188,red
PPT1,hsa-mir-944,0.383857144644113,red
EPB41L4B,hsa-mir-27a,0.460904318575902,red
H2AFV,hsa-mir-3934,0.438402808713131,red
ZNF853,hsa-mir-183,0.419423876725611,red
GLOD4,hsa-mir-378,0.4868308636546,red
GNB1,hsa-mir-598,0.398768033677598,green
RUNX1,hsa-mir-1976,0.352648073438856,green
ACVR2B,hsa-mir-17,0.403453581666891,red
GTF2IRD2,hsa-mir-150,0.384118876740083,red
PTRH2,hsa-mir-150,0.371505856866831,green
EGLN1,hsa-mir-200c,0.405420230948948,red
PTCHD1,hsa-mir-18a,0.363355905910986,red
IDH3A,hsa-mir-431,0.559111104631105,green
SOX21,hsa-mir-937,0.387770106038879,green
ZFHX3,hsa-mir-944,0.5551891988038,red
FAM110C,hsa-mir-17,0.428373878085531,green
SRPX2,hsa-mir-200c,0.415695140415888,green
SMTN,hsa-mir-93,0.378426799921298,green
MTMR10,hsa-mir-3934,0.339892923005441,red
KIAA1549,hsa-mir-93,0.372242150088418,red
RTKN2,hsa-mir-203,0.510383427908597,green
STRBP,hsa-mir-1296,0.366220529198334,red
SHANK2,hsa-mir-625,0.470674146662157,green
PSMC3IP,hsa-mir-203,0.413117275751976,green
CAMKK1,hsa-mir-625,0.685405848796652,green
BAZ2A,hsa-mir-99a,0.356199992686503,green
SP4,hsa-mir-766,0.41738745282995,red
FXR1,hsa-mir-944,0.335661903394932,red
LCORL,hsa-mir-625,0.36593904347882,red
TRIM4,hsa-mir-144,0.368050756101439,red
INVS,hsa-mir-494,0.388854721897307,red
WDR91,hsa-mir-3662,0.411528989967189,green
DIS3L,hsa-mir-549,0.365460009532993,red
ACOT11,hsa-mir-27b,0.443928499459666,green
CARD14,hsa-mir-15b,0.367247758315903,green
GANAB,hsa-mir-584,0.404408446023366,red
GNAS,hsa-mir-15b,0.431742120285434,red
EPS8L2,hsa-mir-15b,0.35847752972105,green
KCNK6,hsa-mir-17,0.530159476690671,green
C4orf46,hsa-mir-203,0.486221020001042,green
CDKAL1,hsa-mir-25,0.453028193042223,red
TSHZ3,hsa-mir-200b,0.459981048648458,green
THOC3,hsa-mir-203,0.591282420943694,green
VDR,hsa-mir-3934,0.378616283956611,green
VIPR1,hsa-mir-143,0.356181478645884,green
NLN,hsa-mir-183,0.396999475435577,red
PITX1,hsa-mir-584,0.492833388269738,green
FCF1,hsa-mir-380,0.342760865389654,red
CHCHD7,hsa-mir-17,0.454108762040168,red
HNRNPA3,hsa-mir-203,0.413134089023444,green
ADAMTS14,hsa-mir-3662,0.399598261203203,green
SARM1,hsa-mir-10b,0.361601311559765,red
SLC45A1,hsa-mir-196b,0.343262781060099,red
ZNF667,hsa-mir-766,0.371387660033792,red
PPARD,hsa-mir-708,0.423990147171854,green
ADAMTS14,hsa-mir-1307,0.370549604531265,green
TRIM34,hsa-mir-133b,0.341570579268619,red
NRP2,hsa-mir-205,0.378999620572918,green
CHODL,hsa-mir-607,0.476606381282331,green
TMEM140,hsa-mir-221,0.419959958180615,red
FAM40A,hsa-mir-17,0.342754794825197,green
ZNF385A,hsa-mir-17,0.485179075144639,green
SPRED2,hsa-mir-185,0.353089764817217,red
C9orf66,hsa-mir-17,0.366785741777133,red
PDPN,hsa-mir-549,0.562329199688288,green
WDR76,hsa-mir-203,0.579686491427438,green
CCNB1,hsa-mir-30b,0.409565899381662,red
RUNX1,hsa-mir-429,0.384047813314229,green
SOX6,hsa-mir-200c,0.362913090527597,red
ZBED4,hsa-mir-410,0.350332019662886,red
USP47,hsa-mir-378,0.581703571550213,green
SKAP1,hsa-mir-187,0.377845632842302,green
SLC25A23,hsa-mir-93,0.355009443448449,red
PYGB,hsa-mir-148a,0.452007272311449,green
PTK7,hsa-mir-193b,0.378246312883467,red
PARD6G,hsa-mir-17,0.42339426845254,green
ZNF568,hsa-mir-766,0.395137336370417,red
UNK,hsa-mir-378,0.370497413875882,red
SLC44A2,hsa-mir-939,0.462704738193516,green
KIF1B,hsa-mir-30b,0.443797513200536,green
NCS1,hsa-mir-150,0.35264872962969,green
ARCN1,hsa-mir-141,0.359069509380341,green
RRM2,hsa-mir-203,0.548791517299206,green
DBF4B,hsa-mir-3170,0.373614140026323,red
LRP11,hsa-mir-182,0.381083082004283,green
