mRNA,microRNA,weight,edge_color
PLXNB2,hsa-mir-1180,0.528910418,green
PLD2,hsa-mir-708,0.504803164,green
CYCS,hsa-mir-141,0.451296542,red
CNTN2,hsa-mir-17,0.480855904,red
PTRF,hsa-mir-378,0.498933807,green
PET112L,hsa-mir-663,0.436738674,green
C15orf56,hsa-mir-942,0.605370806,red
IL11,hsa-mir-150,0.462439289,green
ENPP5,hsa-mir-942,0.572980684,red
SCAND2,hsa-mir-23b,0.427195036,red
RGS6,hsa-mir-183,0.434542783,red
TBC1D13,hsa-mir-15b,0.415041268,red
RNF144B,hsa-mir-412,0.450134977,green
XK,hsa-mir-183,0.565460683,red
RAB14,hsa-mir-940,0.534788361,green
BMI1,hsa-mir-27b,0.425103887,red
TBC1D15,hsa-mir-106b,0.41471877,red
ZNF585A,hsa-mir-766,0.448258002,red
PPT1,hsa-mir-944,0.432878034,red
EPB41L4B,hsa-mir-27a,0.549320198,red
H2AFV,hsa-mir-3934,0.501306619,red
ZNF853,hsa-mir-183,0.521479362,red
GLOD4,hsa-mir-378,0.622788575,red
GNB1,hsa-mir-598,0.469881019,green
RUNX1,hsa-mir-1976,0.419047487,green
ACVR2B,hsa-mir-17,0.466644285,red
GTF2IRD2,hsa-mir-150,0.467894928,red
PTRH2,hsa-mir-150,0.439417924,green
EGLN1,hsa-mir-200c,0.506730361,red
PTCHD1,hsa-mir-18a,0.422582213,red
IDH3A,hsa-mir-431,0.690229522,green
SOX21,hsa-mir-937,0.464426635,green
ZFHX3,hsa-mir-944,0.685352016,red
FAM110C,hsa-mir-17,0.504515038,green
SRPX2,hsa-mir-200c,0.491446305,green
SMTN,hsa-mir-93,0.430669309,green
MTMR10,hsa-mir-3934,0.406903393,red
KIAA1549,hsa-mir-93,0.444318238,red
RTKN2,hsa-mir-203,0.622270873,green
STRBP,hsa-mir-1296,0.440430851,red
SHANK2,hsa-mir-625,0.579100644,green
PSMC3IP,hsa-mir-203,0.463372144,green
CAMKK1,hsa-mir-625,0.848741609,green
BAZ2A,hsa-mir-99a,0.429351733,green
SP4,hsa-mir-766,0.49467881,red
FXR1,hsa-mir-944,0.413918464,red
LCORL,hsa-mir-625,0.414189711,red
TRIM4,hsa-mir-144,0.443867554,red
INVS,hsa-mir-494,0.48912908,red
WDR91,hsa-mir-3662,0.496697917,green
DIS3L,hsa-mir-549,0.456550301,red
ACOT11,hsa-mir-27b,0.541899982,green
CARD14,hsa-mir-15b,0.426563073,green
GANAB,hsa-mir-584,0.498770703,red
GNAS,hsa-mir-15b,0.533938973,red
EPS8L2,hsa-mir-15b,0.407579009,green
KCNK6,hsa-mir-17,0.645581555,green
C4orf46,hsa-mir-203,0.529716399,green
CDKAL1,hsa-mir-25,0.524031669,red
TSHZ3,hsa-mir-200b,0.490488739,green
THOC3,hsa-mir-203,0.725373511,green
VDR,hsa-mir-3934,0.457667607,green
VIPR1,hsa-mir-143,0.429675549,green
NLN,hsa-mir-183,0.486922778,red
PITX1,hsa-mir-584,0.587566419,green
FCF1,hsa-mir-380,0.418121494,red
CHCHD7,hsa-mir-17,0.504066764,red
HNRNPA3,hsa-mir-203,0.486861889,green
ADAMTS14,hsa-mir-3662,0.481195323,green
SARM1,hsa-mir-10b,0.397956283,red
SLC45A1,hsa-mir-196b,0.404511838,red
ZNF667,hsa-mir-766,0.463075296,red
PPARD,hsa-mir-708,0.505637931,green
ADAMTS14,hsa-mir-1307,0.426588059,green
TRIM34,hsa-mir-133b,0.413434233,red
NRP2,hsa-mir-205,0.428300462,green
CHODL,hsa-mir-607,0.573001197,green
TMEM140,hsa-mir-221,0.529807924,red
FAM40A,hsa-mir-17,0.405545231,green
ZNF385A,hsa-mir-17,0.579434048,green
SPRED2,hsa-mir-185,0.415115548,red
C9orf66,hsa-mir-17,0.400403182,red
PDPN,hsa-mir-549,0.690751225,green
WDR76,hsa-mir-203,0.686437724,green
CCNB1,hsa-mir-30b,0.489540389,red
RUNX1,hsa-mir-429,0.460312639,green
SOX6,hsa-mir-200c,0.429940325,red
ZBED4,hsa-mir-410,0.42741362,red
USP47,hsa-mir-378,0.717013487,green
SKAP1,hsa-mir-187,0.446593476,green
SLC25A23,hsa-mir-93,0.398090269,red
PYGB,hsa-mir-148a,0.515417153,green
