mRNA,microRNA,weight,edge_color
RAB11FIP3,hsa-mir-378,0.811105901,green
ARHGAP29,hsa-mir-26b,0.374730373,red
PNPLA3,hsa-mir-132,0.847319874,red
CUTC,hsa-mir-616,0.389741006,red
TXN,hsa-let-7i,0.375661118,red
TMUB2,hsa-mir-193b,0.433554119,red
CDNF,hsa-mir-223,0.601033904,red
CPSF4,hsa-mir-891b,0.72485689,green
GART,hsa-mir-195,0.398011256,red
TTLL5,hsa-mir-1251,0.617158588,red
SNRNP27,hsa-mir-203,0.55839699,green
PANX2,hsa-mir-1266,0.348273278,red
DNM3,hsa-mir-95,0.317502791,red
IL1RAP,hsa-mir-935,0.53541009,red
ATXN7L1,hsa-mir-589,0.327457254,red
YAF2,hsa-mir-940,0.557717259,green
MUS81,hsa-mir-345,0.341121733,red
IL11RA,hsa-mir-203,0.688759042,green
UGT1A6,hsa-mir-181c,0.595221976,red
COIL,hsa-mir-186,0.344126863,red
OTUD7A,hsa-mir-616,0.572355519,green
ZNF620,hsa-mir-1251,0.360111992,red
RGL2,hsa-mir-98,0.531702793,red
RB1,hsa-mir-203,0.779487132,green
ABT1,hsa-mir-197,0.351105711,red
MYEF2,hsa-mir-132,0.606642847,green
PPP1R3F,hsa-mir-653,0.338079196,red
CARD6,hsa-mir-891b,0.383952914,red
ERLIN1,hsa-mir-19a,0.614271208,red
MYO3B,hsa-mir-1976,0.569741168,red
NUDT16,hsa-mir-1976,0.552843251,green
RASGRF1,hsa-mir-31,0.458803045,red
MFSD11,hsa-mir-1307,0.521365887,red
PDGFC,hsa-mir-31,0.438582802,red
PHF17,hsa-mir-186,0.565300722,green
RSAD1,hsa-mir-141,0.548428007,green
SIKE1,hsa-mir-186,0.425813846,red
DMC1,hsa-mir-378,0.421721495,red
GABRG1,hsa-mir-181c,0.473262443,red
UBQLN4,hsa-mir-378,0.356281118,red
KIAA0247,hsa-mir-130b,0.538514809,green
PXMP2,hsa-mir-181c,0.341873202,red
WDR52,hsa-mir-378,0.43572928,red
HECTD2,hsa-mir-424,0.459504157,red
MCF2L,hsa-mir-892a,0.350394569,red
KIAA0513,hsa-mir-940,0.423565511,red
AGPAT4,hsa-mir-98,0.454492278,red
METTL8,hsa-mir-132,0.759582067,red
TRIM45,hsa-mir-377,0.456001562,red
TSLP,hsa-mir-1976,0.392813117,red
CLIC4,hsa-mir-17,0.404423112,red
STK32C,hsa-mir-424,0.770354242,red
ZNF334,hsa-mir-655,0.343905547,red
CDC14A,hsa-mir-141,0.328581476,red
MAFB,hsa-mir-675,0.545971971,red
FHDC1,hsa-mir-132,0.691862144,green
MAN2A2,hsa-mir-326,0.616307534,green
PDLIM2,hsa-mir-23a,0.806896862,red
IGF2BP1,hsa-mir-625,0.335425629,red
CREB3L4,hsa-mir-424,0.311444856,red
C18orf56,hsa-mir-629,0.440018246,red
PRDM4,hsa-mir-204,0.54713207,green
DCAF17,hsa-mir-182,0.646016267,green
ORAI2,hsa-mir-378,0.5214673,red
IDS,hsa-mir-145,0.658418565,green
MYO5C,hsa-mir-23a,0.550139157,green
ARRB1,hsa-mir-1976,0.496766209,red
ST3GAL1,hsa-mir-204,0.710430567,green
RAB6B,hsa-mir-888,0.314626296,red
