mRNA,microRNA,weight,edge_color
RAB11FIP3,hsa-mir-378,0.5711979535,green
ARHGAP29,hsa-mir-26b,0.4648198665,red
PNPLA3,hsa-mir-132,0.705779437,red
CUTC,hsa-mir-616,0.4725954325,red
TXN,hsa-let-7i,0.458417456,red
TMUB2,hsa-mir-193b,0.493383281,red
CDNF,hsa-mir-223,0.5882713845,red
CPSF4,hsa-mir-891b,0.520748793,green
GART,hsa-mir-195,0.4804673955,red
TTLL5,hsa-mir-1251,0.585319816,red
SNRNP27,hsa-mir-203,0.486466729,green
PANX2,hsa-mir-1266,0.478189454,red
DNM3,hsa-mir-95,0.511124595,red
IL1RAP,hsa-mir-935,0.572464457,red
ATXN7L1,hsa-mir-589,0.445893164,red
YAF2,hsa-mir-940,0.501311222,green
MUS81,hsa-mir-345,0.4644218035,red
IL11RA,hsa-mir-203,0.504464666,green
UGT1A6,hsa-mir-181c,0.6061699585,red
COIL,hsa-mir-186,0.442268425,red
OTUD7A,hsa-mir-616,0.465088396,green
ZNF620,hsa-mir-1251,0.466097953,red
RGL2,hsa-mir-98,0.5965382125,red
RB1,hsa-mir-203,0.590734695,green
ABT1,hsa-mir-197,0.4691729675,red
MYEF2,hsa-mir-132,0.494439139,green
PPP1R3F,hsa-mir-653,0.447499541,red
CARD6,hsa-mir-891b,0.4877740945,red
ERLIN1,hsa-mir-19a,0.6157036445,red
MYO3B,hsa-mir-1976,0.560739,red
NUDT16,hsa-mir-1976,0.5107657655,green
RASGRF1,hsa-mir-31,0.5109238295,red
MFSD11,hsa-mir-1307,0.5300566575,red
PDGFC,hsa-mir-31,0.5632700185,red
PHF17,hsa-mir-186,0.462922908,green
RSAD1,hsa-mir-141,0.4925023185,green
SIKE1,hsa-mir-186,0.526280393,red
DMC1,hsa-mir-378,0.504197012,red
GABRG1,hsa-mir-181c,0.518544501,red
UBQLN4,hsa-mir-378,0.4503311705,red
KIAA0247,hsa-mir-130b,0.4319765395,green
PXMP2,hsa-mir-181c,0.4999736935,red
WDR52,hsa-mir-378,0.517275843,red
HECTD2,hsa-mir-424,0.498514064,red
MCF2L,hsa-mir-892a,0.442740105,red
KIAA0513,hsa-mir-940,0.5330011195,red
AGPAT4,hsa-mir-98,0.497252754,red
METTL8,hsa-mir-132,0.6483994365,red
TRIM45,hsa-mir-377,0.550446175,red
TSLP,hsa-mir-1976,0.4634318555,red
CLIC4,hsa-mir-17,0.4733511605,red
STK32C,hsa-mir-424,0.690142632,red
ZNF334,hsa-mir-655,0.448588203,red
CDC14A,hsa-mir-141,0.4910392035,red
MAFB,hsa-mir-675,0.58008708,red
FHDC1,hsa-mir-132,0.5034395875,green
MAN2A2,hsa-mir-326,0.481914759,green
PDLIM2,hsa-mir-23a,0.712208295,red
IGF2BP1,hsa-mir-625,0.4726770895,red
CREB3L4,hsa-mir-424,0.4461484085,red
C18orf56,hsa-mir-629,0.543111235,red
PRDM4,hsa-mir-204,0.4510614355,green
DCAF17,hsa-mir-182,0.552784239,green
ORAI2,hsa-mir-378,0.58002421,red
IDS,hsa-mir-145,0.537287999,green
MYO5C,hsa-mir-23a,0.5195847135,green
ARRB1,hsa-mir-1976,0.517544123,red
ST3GAL1,hsa-mir-204,0.568663608,green
RAB6B,hsa-mir-888,0.4564786945,red
TFAP2E,hsa-mir-497,0.4645665105,red
CNIH3,hsa-mir-214,0.6238499965,red
SETD4,hsa-mir-192,0.491113661,red
CERKL,hsa-mir-181d,0.5241482435,red
HOXD10,hsa-mir-10a,0.533891188,green
DOCK8,hsa-mir-301a,0.4288486655,green
HECTD2,hsa-mir-182,0.475742954,green
DOCK11,hsa-mir-10a,0.463696883,green
TRIM52,hsa-mir-539,0.448430298,red
IER5L,hsa-mir-182,0.4400812195,green
CNTD2,hsa-mir-940,0.5202521635,red
CIAO1,hsa-mir-335,0.4392579705,red
PPME1,hsa-mir-378,0.529571355,red
ZNF69,hsa-mir-214,0.4576796045,red
SFRS11,hsa-mir-454,0.497404631,red
IRX5,hsa-mir-136,0.5960386525,red
ACTN4,hsa-mir-337,0.483132055,green
PRPF3,hsa-mir-345,0.4458523305,red
SHF,hsa-mir-335,0.520852148,green
TSSK6,hsa-mir-598,0.4961314635,red
TMEM180,hsa-mir-940,0.60992232,red
ACSF2,hsa-mir-625,0.475105142,red
ESPL1,hsa-mir-23a,0.514895952,red
NT5E,hsa-mir-31,0.5371089835,red
GDAP2,hsa-mir-98,0.473008085,red
RHOBTB1,hsa-mir-203,0.5793166995,red
RASSF4,hsa-mir-935,0.460515868,red
PLK1S1,hsa-mir-141,0.542223595,green
IFT81,hsa-mir-141,0.4644719765,green
GREB1L,hsa-mir-195,0.470177935,red
PPP1R13B,hsa-mir-23a,0.504127248,green
CUX1,hsa-mir-182,0.5313887175,red
SSBP2,hsa-mir-345,0.4735129855,red
ST3GAL1,hsa-mir-1976,0.516171139,green
CCDC150,hsa-mir-1271,0.7142597285,red
PLOD2,hsa-mir-145,0.5304658085,red
ARRB1,hsa-mir-204,0.590378212,red
OLR1,hsa-mir-326,0.4596551345,red
NPC2,hsa-mir-503,0.458565023,green
SYNE2,hsa-mir-1271,0.5531656585,green
ZYG11A,hsa-mir-17,0.6146911195,red
DNM3,hsa-mir-598,0.4680862695,red
FUT11,hsa-mir-551b,0.4402615985,red
