mRNA,microRNA,weight,edge_color
RAB11FIP3,hsa-mir-378,0.518373686454979,green
ARHGAP29,hsa-mir-26b,0.456005911643688,red
PNPLA3,hsa-mir-132,0.691441189390599,red
CUTC,hsa-mir-616,0.465275818014668,red
TXN,hsa-let-7i,0.450885742163513,red
TMUB2,hsa-mir-193b,0.489742313206346,red
CDNF,hsa-mir-223,0.58813292708159,red
CPSF4,hsa-mir-891b,0.479081611158261,green
GART,hsa-mir-195,0.473339099586449,red
TTLL5,hsa-mir-1251,0.584453231319501,red
SNRNP27,hsa-mir-203,0.481119440447413,green
PANX2,hsa-mir-1266,0.460203152021317,red
DNM3,hsa-mir-95,0.473031657111551,red
IL1RAP,hsa-mir-935,0.571263974371336,red
ATXN7L1,hsa-mir-589,0.429876318171172,red
YAF2,hsa-mir-940,0.498127795142058,green
MUS81,hsa-mir-345,0.447755183309906,red
IL11RA,hsa-mir-203,0.469595764692637,green
UGT1A6,hsa-mir-181c,0.606071085160042,red
COIL,hsa-mir-186,0.43124191999408,red
OTUD7A,hsa-mir-616,0.452549423176249,green
ZNF620,hsa-mir-1251,0.45388795738783,red
RGL2,hsa-mir-98,0.593004390667518,red
RB1,hsa-mir-203,0.559767806687116,green
ABT1,hsa-mir-197,0.454074219016362,red
MYEF2,hsa-mir-132,0.481539603860484,green
PPP1R3F,hsa-mir-653,0.433915921919548,red
CARD6,hsa-mir-891b,0.476597030776401,red
ERLIN1,hsa-mir-19a,0.615701978213694,red
MYO3B,hsa-mir-1976,0.560666734426343,red
NUDT16,hsa-mir-1976,0.50902961841213,green
RASGRF1,hsa-mir-31,0.508258382492655,red
MFSD11,hsa-mir-1307,0.529985406089817,red
PDGFC,hsa-mir-31,0.549296105741223,red
PHF17,hsa-mir-186,0.451460299419293,green
RSAD1,hsa-mir-141,0.489316718592035,green
SIKE1,hsa-mir-186,0.516601901845252,red
DMC1,hsa-mir-378,0.497405685537782,red
GABRG1,hsa-mir-181c,0.516563582476178,red
UBQLN4,hsa-mir-378,0.440400670695047,red
KIAA0247,hsa-mir-130b,0.41863268841592,green
PXMP2,hsa-mir-181c,0.474318383345502,red
WDR52,hsa-mir-378,0.510807650504813,red
HECTD2,hsa-mir-424,0.496985411417325,red
MCF2L,hsa-mir-892a,0.433002427887285,red
KIAA0513,hsa-mir-940,0.521645512757934,red
AGPAT4,hsa-mir-98,0.4954107821322,red
METTL8,hsa-mir-132,0.638795939192335,red
TRIM45,hsa-mir-377,0.542283326912612,red
TSLP,hsa-mir-1976,0.458019735890105,red
CLIC4,hsa-mir-17,0.468305717749291,red
STK32C,hsa-mir-424,0.685465498858327,red
ZNF334,hsa-mir-655,0.436202839747238,red
CDC14A,hsa-mir-141,0.463386432850003,red
MAFB,hsa-mir-675,0.579083050797418,red
FHDC1,hsa-mir-132,0.46684939591283,green
MAN2A2,hsa-mir-326,0.46279630181088,green
PDLIM2,hsa-mir-23a,0.705885777407573,red
IGF2BP1,hsa-mir-625,0.452311471807656,red
CREB3L4,hsa-mir-424,0.425327350814596,red
C18orf56,hsa-mir-629,0.533236954085396,red
PRDM4,hsa-mir-204,0.44071175589277,green
DCAF17,hsa-mir-182,0.544865307981538,green
ORAI2,hsa-mir-378,0.577060804835483,red
IDS,hsa-mir-145,0.523455614020849,green
MYO5C,hsa-mir-23a,0.518685550681029,green
ARRB1,hsa-mir-1976,0.517126867936339,red
ST3GAL1,hsa-mir-204,0.550709023350326,green
RAB6B,hsa-mir-888,0.433878664573659,red
TFAP2E,hsa-mir-497,0.455414884885795,red
CNIH3,hsa-mir-214,0.623364438511478,red
SETD4,hsa-mir-192,0.466384158488963,red
CERKL,hsa-mir-181d,0.503643970448397,red
HOXD10,hsa-mir-10a,0.507044904676349,green
DOCK8,hsa-mir-301a,0.415692236328857,green
HECTD2,hsa-mir-182,0.463549106058664,green
DOCK11,hsa-mir-10a,0.451309725730697,green
TRIM52,hsa-mir-539,0.437052615619335,red
IER5L,hsa-mir-182,0.421489708309575,green
CNTD2,hsa-mir-940,0.518233086435462,red
CIAO1,hsa-mir-335,0.42787471468813,red
PPME1,hsa-mir-378,0.50892059413532,red
ZNF69,hsa-mir-214,0.443803657284342,red
SFRS11,hsa-mir-454,0.487732472093663,red
IRX5,hsa-mir-136,0.595389078862165,red
ACTN4,hsa-mir-337,0.46432092786798,green
PRPF3,hsa-mir-345,0.435150465033585,red
SHF,hsa-mir-335,0.502827575338483,green
TSSK6,hsa-mir-598,0.477792691317763,red
TMEM180,hsa-mir-940,0.609667096513848,red
ACSF2,hsa-mir-625,0.464830213829713,red
