mRNA,microRNA,weight,edge_color
RAB11FIP3,hsa-mir-378,0.632393245888553,green
ARHGAP29,hsa-mir-26b,0.477804414336776,red
PNPLA3,hsa-mir-132,0.685379293723973,red
CUTC,hsa-mir-616,0.484537194214732,red
TXN,hsa-let-7i,0.470345080274605,red
TMUB2,hsa-mir-193b,0.502006424341607,red
CDNF,hsa-mir-223,0.586431929769737,red
CPSF4,hsa-mir-891b,0.572812323220424,green
GART,hsa-mir-195,0.492351752334281,red
TTLL5,hsa-mir-1251,0.580730911766698,red
SNRNP27,hsa-mir-203,0.504814571992904,green
PANX2,hsa-mir-1266,0.496914199100749,red
DNM3,hsa-mir-95,0.539031196298418,red
IL1RAP,hsa-mir-935,0.57780508199611,red
ATXN7L1,hsa-mir-589,0.462963264843525,red
YAF2,hsa-mir-940,0.515699173556688,green
MUS81,hsa-mir-345,0.482192973050255,red
IL11RA,hsa-mir-203,0.551474147521599,green
UGT1A6,hsa-mir-181c,0.607747885036877,red
COIL,hsa-mir-186,0.456413512923765,red
OTUD7A,hsa-mir-616,0.492449902878232,green
ZNF620,hsa-mir-1251,0.481373649722961,red
RGL2,hsa-mir-98,0.605882904908724,red
RB1,hsa-mir-203,0.638881330789408,green
ABT1,hsa-mir-197,0.486189934522699,red
MYEF2,hsa-mir-132,0.523059861196541,green
PPP1R3F,hsa-mir-653,0.463270233549948,red
CARD6,hsa-mir-891b,0.502737782631656,red
ERLIN1,hsa-mir-19a,0.615910100764042,red
MYO3B,hsa-mir-1976,0.559441522608469,red
NUDT16,hsa-mir-1976,0.521498815634355,green
RASGRF1,hsa-mir-31,0.518435968744412,red
MFSD11,hsa-mir-1307,0.53130925334566,red
PDGFC,hsa-mir-31,0.581241116620101,red
PHF17,hsa-mir-186,0.489037258637887,green
RSAD1,hsa-mir-141,0.506767743615976,green
SIKE1,hsa-mir-186,0.54076057969921,red
DMC1,hsa-mir-378,0.516084161702416,red
GABRG1,hsa-mir-181c,0.525070978454873,red
UBQLN4,hsa-mir-378,0.463886551469453,red
KIAA0247,hsa-mir-130b,0.459152131724276,green
PXMP2,hsa-mir-181c,0.522760628081884,red
WDR52,hsa-mir-378,0.529029103086851,red
HECTD2,hsa-mir-424,0.50413653987228,red
MCF2L,hsa-mir-892a,0.456049814968619,red
KIAA0513,hsa-mir-940,0.548774011969586,red
AGPAT4,hsa-mir-98,0.50341579726481,red
METTL8,hsa-mir-132,0.632374746735862,red
TRIM45,hsa-mir-377,0.564058423751563,red
TSLP,hsa-mir-1976,0.473610094411134,red
CLIC4,hsa-mir-17,0.483285721215938,red
STK32C,hsa-mir-424,0.678581777935371,red
ZNF334,hsa-mir-655,0.463676055109112,red
CDC14A,hsa-mir-141,0.514454144046621,red
MAFB,hsa-mir-675,0.585004071399972,red
FHDC1,hsa-mir-132,0.551502077958413,green
MAN2A2,hsa-mir-326,0.516195428926677,green
PDLIM2,hsa-mir-23a,0.698560885296145,red
IGF2BP1,hsa-mir-625,0.492459065014488,red
CREB3L4,hsa-mir-424,0.465563155472908,red
C18orf56,hsa-mir-629,0.557969969301872,red
PRDM4,hsa-mir-204,0.475566962013169,green
DCAF17,hsa-mir-182,0.576565698817782,green
ORAI2,hsa-mir-378,0.588463984379116,red
IDS,hsa-mir-145,0.568185768251937,green
MYO5C,hsa-mir-23a,0.527378486583537,green
ARRB1,hsa-mir-1976,0.520538832014336,red
ST3GAL1,hsa-mir-204,0.604825271660771,green
RAB6B,hsa-mir-888,0.4769238006109,red
TFAP2E,hsa-mir-497,0.477791378027867,red
CNIH3,hsa-mir-214,0.627396854499715,red
SETD4,hsa-mir-192,0.51329201300432,red
CERKL,hsa-mir-181d,0.5450714159944,red
HOXD10,hsa-mir-10a,0.57653219940313,green
DOCK8,hsa-mir-301a,0.455736308848625,green
HECTD2,hsa-mir-182,0.503041787649241,green
DOCK11,hsa-mir-10a,0.490853228169591,green
TRIM52,hsa-mir-539,0.462897004849631,red
IER5L,hsa-mir-182,0.4723643947096,green
CNTD2,hsa-mir-940,0.526851941078046,red
CIAO1,hsa-mir-335,0.453577498783925,red
PPME1,hsa-mir-378,0.550678149476115,red
ZNF69,hsa-mir-214,0.473799522888201,red
SFRS11,hsa-mir-454,0.511473614978619,red
IRX5,hsa-mir-136,0.592029055417466,red
ACTN4,hsa-mir-337,0.517185387737838,green
PRPF3,hsa-mir-345,0.459847271512336,red
SHF,hsa-mir-335,0.55550092564335,green
TSSK6,hsa-mir-598,0.515393419290792,red
TMEM180,hsa-mir-940,0.60737947535845,red
ACSF2,hsa-mir-625,0.489269310210816,red
ESPL1,hsa-mir-23a,0.534858152221281,red
NT5E,hsa-mir-31,0.542182236214441,red
GDAP2,hsa-mir-98,0.495628898516867,red
RHOBTB1,hsa-mir-203,0.607885165001545,red
RASSF4,hsa-mir-935,0.477138064571108,red
PLK1S1,hsa-mir-141,0.590666022044955,green
IFT81,hsa-mir-141,0.495072250956493,green
GREB1L,hsa-mir-195,0.491143347435979,red
PPP1R13B,hsa-mir-23a,0.541722299234684,green
CUX1,hsa-mir-182,0.5414925702006,red
SSBP2,hsa-mir-345,0.487684404790648,red
ST3GAL1,hsa-mir-1976,0.532394857646855,green
CCDC150,hsa-mir-1271,0.696237244488801,red
PLOD2,hsa-mir-145,0.532013214764147,red
ARRB1,hsa-mir-204,0.601736012624493,red
OLR1,hsa-mir-326,0.472654595841849,red
NPC2,hsa-mir-503,0.478039357991087,green
SYNE2,hsa-mir-1271,0.614420077765041,green
ZYG11A,hsa-mir-17,0.61242386972441,red
DNM3,hsa-mir-598,0.486905031744842,red
FUT11,hsa-mir-551b,0.456975855225727,red
RAB27A,hsa-mir-1976,0.496858408234625,red
CCDC6,hsa-mir-31,0.537704301372711,red
TMEM79,hsa-mir-182,0.486417492163675,green
ACACB,hsa-mir-891a,0.506405989451439,red
NUP93,hsa-mir-183,0.500822466391775,green
DNM3,hsa-mir-211,0.476451018611334,red
ANKRD23,hsa-mir-378,0.46605099627502,red
MFSD11,hsa-mir-204,0.481687663428732,red
GLB1L3,hsa-mir-1262,0.49431909725484,red
ARHGEF5,hsa-mir-23a,0.542920754842326,green
DHRS13,hsa-mir-136,0.576756767507315,red
ANP32E,hsa-mir-380,0.50717401095622,red
C11orf95,hsa-mir-335,0.526840516696196,green
TMEM45B,hsa-mir-1976,0.644917858097426,red
SGK3,hsa-mir-203,0.62360975462035,red
FXR1,hsa-mir-31,0.527869220844094,red
RAD1,hsa-mir-454,0.569050019729178,red
SNX19,hsa-mir-1271,0.53295284689146,green
FOXO1,hsa-mir-145,0.570170721546018,green
LOC100130691,hsa-mir-132,0.55929382541571,red
ODF2L,hsa-mir-424,0.572276578982696,red
TRIM45,hsa-mir-940,0.476028691329251,red
LGI2,hsa-mir-708,0.541557257671131,red
PREPL,hsa-mir-877,0.550768330013501,red
SLC25A3,hsa-mir-765,0.508310135002488,green
C20orf72,hsa-mir-326,0.527996842301926,red
SSU72,hsa-mir-214,0.508713746227514,red
TBC1D1,hsa-mir-203,0.472159826050235,red
ENO2,hsa-mir-378,0.607799075128759,red
SLFN13,hsa-mir-1251,0.71554760946583,red
SKA2,hsa-mir-197,0.574868195502169,red
HGS,hsa-mir-3687,0.505754296355323,red
RASSF4,hsa-mir-23a,0.491160878959516,red
GLDN,hsa-mir-149,0.502087037710418,green
TMEM169,hsa-mir-182,0.608191559774187,green
WHSC1,hsa-mir-378,0.49740723446305,red
NFS1,hsa-mir-10a,0.501714757696194,red
PEG3,hsa-mir-589,0.496055388810299,green
STX16,hsa-mir-200a,0.520717066633895,green
HES2,hsa-mir-326,0.624771030741109,red
UBTD1,hsa-mir-1226,0.520556616308082,red
CCDC77,hsa-mir-424,0.502443337581151,red
PPME1,hsa-mir-940,0.455859890321819,red
CYR61,hsa-mir-222,0.467102423742158,green
CASP10,hsa-mir-1976,0.59248690203102,red
AIF1L,hsa-mir-335,0.511701723822244,red
TRDMT1,hsa-mir-130a,0.544078514112235,red
SPG7,hsa-mir-326,0.480708484826437,green
LGI2,hsa-mir-376c,0.72064990984151,red
MYO5B,hsa-mir-495,0.538474998153997,green
EIF4G3,hsa-mir-378c,0.529912385926676,red
