mRNA,microRNA,weight,edge_color
IL11RA,hsa-mir-370,0.379827352,red
C2orf42,hsa-mir-200c,0.206763733,green
SLC12A3,hsa-mir-505,0.151693363,green
DVL3,hsa-mir-4326,0.305815659,red
CIAO1,hsa-mir-590,0.33790545,red
CFTR,hsa-mir-505,0.169483803,green
ACVR1C,hsa-mir-141,0.588343638,red
EPB41L5,hsa-mir-195,0.157526774,green
GTF2H2C,hsa-mir-150,0.309831543,red
ZNF536,hsa-mir-10a,0.5232426,red
COL21A1,hsa-mir-221,0.161212991,green
PORCN,hsa-mir-410,0.346298535,red
PLOD1,hsa-mir-766,0.321110538,red
CDC14A,hsa-mir-107,0.15808648,green
SSRP1,hsa-mir-708,0.681415274,red
SEMA3D,hsa-mir-181d,0.202585651,green
CASQ2,hsa-mir-760,0.195113706,green
SS18L1,hsa-mir-1976,0.153693367,green
B3GNT1,hsa-let-7e,0.311505902,red
GOSR2,hsa-mir-377,0.350926741,red
SRGAP1,hsa-mir-204,0.166241837,green
LAMP2,hsa-mir-203,0.313483109,red
MMP24,hsa-mir-889,0.157387698,green
STX11,hsa-mir-504,0.162965604,green
NEBL,hsa-mir-766,0.208676989,green
CMIP,hsa-mir-204,0.153333025,green
CDC42EP2,hsa-mir-940,0.313826738,red
PTCH1,hsa-mir-200a,0.178977808,green
TMOD2,hsa-mir-193b,0.283031965,green
ARFIP2,hsa-mir-493,0.454174996,red
BCHE,hsa-mir-200b,0.415390444,red
TINAG,hsa-mir-497,0.209879713,green
ALDH1L2,hsa-mir-500a,0.292721484,red
LPCAT1,hsa-mir-1262,0.197030983,green
SLC9A6,hsa-mir-539,0.338406457,red
FLT4,hsa-mir-4326,0.210868124,green
SPRY3,hsa-mir-326,0.16429984,green
RDH10,hsa-mir-424,0.362050837,red
SLCO3A1,hsa-mir-210,0.202222173,green
ALG2,hsa-mir-192,0.54425164,red
DNAJB6,hsa-mir-382,0.274141968,red
ZNF35,hsa-mir-21,0.225748779,green
USP54,hsa-mir-629,0.182978475,green
FYB,hsa-mir-642a,0.272517876,red
TTLL2,hsa-mir-95,0.294153979,red
ZNF662,hsa-mir-589,0.191845699,green
ARHGAP6,hsa-mir-664,0.149811199,green
BRI3,hsa-mir-34a,0.363301213,red
HOXA7,hsa-mir-551b,0.317139369,red
DOCK8,hsa-mir-656,0.190328537,green
NRK,hsa-mir-758,0.407222591,red
NHLRC1,hsa-mir-421,0.426158982,red
PGAM1,hsa-mir-1976,0.284375944,red
FGF9,hsa-mir-96,0.447409104,red
TBRG1,hsa-mir-150,0.313224661,red
COG5,hsa-mir-590,0.290946258,red
RAB11FIP2,hsa-mir-193a,0.16175997,green
PPAP2A,hsa-mir-376b,0.167269255,green
ETV5,hsa-mir-675,0.585434701,red
LRRC55,hsa-mir-181d,0.381999182,red
SSRP1,hsa-mir-183,0.206928916,green
PITPNM3,hsa-mir-483,0.324471124,red
CAB39L,hsa-mir-22,0.801261875,red
ABHD12,hsa-mir-22,0.608785773,red
CBR1,hsa-mir-877,0.393491379,red
ATP1B2,hsa-mir-181d,0.481351065,red
PDXK,hsa-mir-940,0.414748216,red
SIM2,hsa-mir-412,0.370010216,red
MAGEH1,hsa-mir-504,0.456437963,red
AGPAT4,hsa-mir-598,0.435052339,red
NFIB,hsa-mir-155,0.226823713,green
FBLN2,hsa-mir-154,0.306489008,red
ANKRD46,hsa-let-7c,0.286095778,red
GSG1,hsa-mir-494,0.355512131,red
FKTN,hsa-mir-1266,0.168328743,green
F7,hsa-mir-96,0.328736062,red
C1orf85,hsa-mir-625,0.279337912,red
IPO9,hsa-mir-651,0.257413514,green
PKN3,hsa-mir-625,0.209540796,green
HPCAL4,hsa-mir-204,0.208848987,green
BAK1,hsa-mir-146a,0.538034229,red
TFAP2B,hsa-mir-589,0.152376461,green
WASL,hsa-mir-935,0.297798419,red
SPRED2,hsa-mir-192,0.237454259,green
RAPGEF3,hsa-mir-148a,0.242163955,green
RYR1,hsa-mir-22,0.572306562,red
ATP2B2,hsa-mir-31,0.151886886,green
GTF2H5,hsa-mir-410,0.401382797,red
NBEAL2,hsa-mir-150,0.291321854,red
TSPYL5,hsa-mir-217,0.465043532,red
CX3CL1,hsa-mir-379,0.169289749,green
CCDC23,hsa-mir-873,0.320862232,red
HEG1,hsa-mir-22,0.210797139,green
TMEM223,hsa-mir-22,0.311769963,red
GINS4,hsa-mir-106a,0.290537385,red
GNA14,hsa-mir-489,0.275275312,red
VEPH1,hsa-mir-185,0.326604776,red
KCTD15,hsa-mir-589,0.255939014,green
NCALD,hsa-mir-500a,0.438580174,red
CCNY,hsa-mir-873,0.3626985,red
SMAP1,hsa-mir-206,0.329596448,red
LPGAT1,hsa-mir-181c,0.173727005,green
CBX1,hsa-mir-432,0.304096652,red
C9orf5,hsa-mir-134,0.427170278,red
THADA,hsa-mir-141,0.177714861,green
DENND5A,hsa-mir-182,0.163456179,green
MRPL34,hsa-mir-182,0.308573047,red
SRPX2,hsa-mir-708,0.602584755,red
TBC1D1,hsa-mir-130a,0.160175406,green
CD86,hsa-mir-202,0.172871218,green
SLC27A4,hsa-mir-127,0.319486437,red
PRRG4,hsa-mir-3653,0.324783539,red
LAT,hsa-mir-31,0.298512366,red
LYPD6,hsa-mir-381,0.454310089,red
APOOL,hsa-mir-141,0.297862774,red
RTN4IP1,hsa-mir-217,0.290567325,red
EIF4B,hsa-mir-1180,0.210046563,green
BCAM,hsa-mir-625,0.20151255,green
MPRIP,hsa-mir-589,0.212994211,green
TNFRSF9,hsa-mir-584,0.161361017,green
TMEM164,hsa-mir-150,0.472911147,red
PGPEP1,hsa-mir-874,0.16863385,green
SLC9A1,hsa-mir-22,0.627400547,red
CNP,hsa-mir-665,0.354181601,red
IRX6,hsa-mir-210,0.173129202,green
SLC44A2,hsa-mir-182,0.227304196,green
FAM13A,hsa-mir-500b,0.208872488,green
BNC2,hsa-mir-935,0.440153609,red
SIM2,hsa-mir-154,0.520055187,red
GLT8D1,hsa-mir-665,0.309784522,red
LITAF,hsa-mir-3653,0.370664814,red
SDHA,hsa-mir-375,0.32259678,red
SDF2,hsa-mir-98,0.313811196,red
PDP1,hsa-mir-452,0.168523948,green
C17orf81,hsa-mir-432,0.545822422,red
SMCR7L,hsa-let-7b,0.294629155,red
ADCY5,hsa-mir-766,0.270035676,green
LOC162632,hsa-mir-182,0.298546071,red
TDRD9,hsa-mir-1287,0.306717706,red
COL14A1,hsa-mir-376b,0.314239887,red
DNAJC5,hsa-mir-1976,0.277798676,red
EDC3,hsa-mir-873,0.308300604,red
GALM,hsa-mir-34a,0.374556264,red
FAM46A,hsa-mir-1287,0.158837868,green
RAPGEF2,hsa-mir-708,0.275009743,green
TXNRD2,hsa-mir-326,0.394976881,red
GIMAP8,hsa-mir-1226,0.153671464,green
MAPK10,hsa-mir-873,0.180161195,green
IGF2BP1,hsa-mir-625,0.459288343,red
SERPINF2,hsa-mir-3934,0.374484136,red
TMEM216,hsa-mir-370,0.333492094,red
DCX,hsa-mir-30e,0.460947002,red
SUSD3,hsa-mir-653,0.17553049,green
AMPH,hsa-mir-708,0.545672721,red
ABCA13,hsa-mir-539,0.321918689,red
TUSC3,hsa-mir-433,0.287910977,red
CD9,hsa-mir-891b,0.356644917,red
DCAF5,hsa-mir-1229,0.159679677,green
PRDM4,hsa-mir-204,0.229536431,green
PRR5L,hsa-mir-433,0.335254276,red
SCGN,hsa-mir-22,0.290624046,green
ZBTB9,hsa-mir-34a,0.224118736,green
PRKCQ,hsa-mir-500a,0.157376718,green
BVES,hsa-mir-136,0.441485715,red
RCC1,hsa-mir-659,0.32790137,red
MIPOL1,hsa-mir-323,0.343679612,red
PRLR,hsa-mir-141,0.631869231,red
TGIF2,hsa-mir-378,0.1931799,green
GLDC,hsa-mir-183,0.51356974,red
UBTD1,hsa-mir-214,0.316903848,red
RAB6B,hsa-mir-421,0.271544327,red
C20orf112,hsa-mir-190,0.165523284,green
PHF8,hsa-mir-193a,0.178573238,green
RB1CC1,hsa-mir-141,0.392323871,red
AIFM1,hsa-mir-34a,0.365564137,red
PABPC4L,hsa-mir-489,0.364992318,red
CAMKK2,hsa-mir-193a,0.386766202,red
MTMR3,hsa-mir-328,0.156503139,green
IER5L,hsa-mir-433,0.465092216,red
PARP8,hsa-mir-1287,0.216205544,green
TIMM8A,hsa-mir-338,0.151440915,green
MINA,hsa-mir-337,0.348013076,red
SLC26A1,hsa-mir-500a,0.30467863,red
ST6GALNAC5,hsa-mir-337,0.346185169,red
PEX13,hsa-mir-664,0.448909995,red
PPP1R8,hsa-mir-708,0.492177189,red
DCDC2,hsa-mir-19a,0.171600524,green
KIAA0754,hsa-mir-653,0.286298521,red
DOCK9,hsa-mir-653,0.473558857,red
ZNF235,hsa-mir-590,0.294969039,green
G6PC3,hsa-mir-432,0.272080951,red
MINA,hsa-mir-758,0.480866691,red
RFWD3,hsa-mir-150,0.476881003,red
UGT3A1,hsa-mir-205,0.27541913,red
DIRC2,hsa-mir-17,0.202021606,green
DYNC2LI1,hsa-mir-203,0.151002008,green
PCBD1,hsa-mir-625,0.390032339,red
C1S,hsa-mir-99a,0.240284348,green
FBXO9,hsa-mir-33b,0.186258076,green
DOCK11,hsa-mir-10a,0.289881694,green
SYAP1,hsa-mir-421,0.34291971,red
MAT2A,hsa-mir-708,0.29417651,green
ITPKB,hsa-mir-664,0.185185832,green
SNX5,hsa-mir-629,0.285028433,red
ZNF274,hsa-mir-2355,0.278528048,red
CEBPA,hsa-mir-642a,0.504262859,red
MARCH5,hsa-mir-216b,0.364613055,red
OSBPL9,hsa-mir-98,0.453357111,red
LRRC8C,hsa-mir-221,0.242613614,green
MR1,hsa-mir-193b,0.332093489,red
SLC44A2,hsa-mir-504,0.31021341,red
ANAPC7,hsa-mir-22,0.564320276,red
GLUL,hsa-mir-29c,0.284523854,red
IL15RA,hsa-mir-1976,0.334765494,red
ZNF673,hsa-mir-99a,0.228887029,green
RAI14,hsa-mir-935,0.338965957,red
BANF1,hsa-mir-873,0.270289253,red
RHBDF1,hsa-mir-106a,0.34756242,red
KCNJ11,hsa-mir-874,0.297381091,red
GLT1D1,hsa-mir-15b,0.349233209,red
ACSF2,hsa-mir-625,0.477738692,red
CBX2,hsa-mir-30e,0.304388831,green
ATP6V1C1,hsa-mir-664,0.444173593,red
TMPO,hsa-mir-873,0.356223184,red
EDA,hsa-mir-221,0.436759852,red
TNFRSF19,hsa-mir-10b,0.273118692,red
KIAA0430,hsa-mir-320a,0.314538474,red
YPEL2,hsa-mir-372,0.271100754,red
AGPAT6,hsa-mir-126,0.208454023,green
TAGLN3,hsa-mir-1307,0.37304104,red
FXR1,hsa-mir-629,0.375108078,red
CHID1,hsa-mir-378,0.27605355,red
CCNJL,hsa-mir-22,0.666246776,red
MMAB,hsa-mir-214,0.433947961,red
FTO,hsa-mir-889,0.152963772,green
UTRN,hsa-mir-200b,0.155384483,green
IPO11,hsa-mir-31,0.150597804,green
ERMAP,hsa-mir-150,0.282999551,red
TBL1X,hsa-mir-589,0.230145152,green
OXNAD1,hsa-mir-22,0.543533569,red
KLF8,hsa-mir-30a,0.439145568,red
ST6GALNAC2,hsa-mir-192,0.283907702,red
SIM2,hsa-mir-377,0.349180375,red
CCNDBP1,hsa-mir-891b,0.27610727,red
HOXB3,hsa-mir-629,0.20869956,green
COPG2,hsa-mir-323,0.34191408,red
FAM105B,hsa-mir-548s,0.310989833,red
ITK,hsa-mir-642a,0.296571247,red
NFKBIE,hsa-mir-140,0.196633283,green
ARRB2,hsa-mir-642a,0.400413835,red
CARD8,hsa-mir-31,0.184369565,green
SCAI,hsa-mir-642a,0.177892135,green
NRXN2,hsa-mir-1976,0.26070241,green
PTPN14,hsa-mir-589,0.237831132,green
SNAPC1,hsa-mir-1179,0.278285451,red
IL28RA,hsa-mir-192,0.539540029,red
PCBP2,hsa-mir-1976,0.241203278,green
GNL1,hsa-mir-183,0.151733845,green
XYLT1,hsa-mir-10b,0.334104035,red
TSPAN33,hsa-mir-625,0.338093864,red
DOCK8,hsa-mir-134,0.183957867,green
LGR4,hsa-mir-183,0.295084567,red
HOXD3,hsa-mir-642a,0.19070095,green
NIN,hsa-mir-372,0.318484219,red
HSPA4L,hsa-mir-200c,0.5644762,red
CENPN,hsa-mir-766,0.478501423,red
CNTF,hsa-mir-10a,0.19060588,green
RRAGA,hsa-mir-182,0.196197272,green
CTNND1,hsa-mir-625,0.260611029,green
APBB1,hsa-mir-326,0.298937472,red
TSPAN33,hsa-mir-505,0.313507682,red
GRM1,hsa-mir-889,0.429693395,red
TMEM104,hsa-mir-659,0.269838822,red
NECAB1,hsa-mir-664,0.521138796,red
ATRIP,hsa-mir-370,0.404936173,red
TTC9,hsa-mir-186,0.198106081,green
EFNA5,hsa-mir-1262,0.216886051,green
C19orf26,hsa-mir-182,0.341075677,red
NNAT,hsa-mir-210,0.177153465,green
CH25H,hsa-mir-376b,0.403201491,red
CUL5,hsa-mir-182,0.33154611,red
CRYAB,hsa-mir-107,0.276109434,red
RPS6KA2,hsa-mir-642a,0.151724628,green
ANAPC5,hsa-mir-301b,0.294744238,red
BCL2L14,hsa-mir-22,0.3471002,red
FGD5,hsa-mir-331,0.240176712,green
COL9A3,hsa-mir-493,0.282036784,red
SPRED2,hsa-mir-372,0.444873566,red
C21orf33,hsa-mir-96,0.557737862,red
C11orf68,hsa-mir-665,0.287332716,red
ORAI2,hsa-mir-10a,0.239062347,green
COL25A1,hsa-mir-204,0.448887235,red
SEC61A2,hsa-mir-155,0.316502013,red
LYVE1,hsa-mir-10b,0.364486654,red
SASH1,hsa-mir-642a,0.150906554,green
SLC37A3,hsa-mir-30b,0.317342051,red
REEP1,hsa-mir-500a,0.316478915,red
CLIC4,hsa-let-7e,0.418974281,red
CLPTM1,hsa-mir-221,0.366484277,red
DIDO1,hsa-mir-887,0.195520783,green
H3F3B,hsa-mir-381,0.418796179,red
RPP25,hsa-mir-187,0.410472411,red
DCC,hsa-mir-629,0.560783014,red
GRSF1,hsa-mir-17,0.188336951,green
FRMPD4,hsa-mir-96,0.286983503,red
LONRF2,hsa-mir-183,0.445466782,red
DUSP22,hsa-mir-629,0.149921849,green
TDRKH,hsa-mir-95,0.377564454,red
TTC39B,hsa-mir-200c,0.504405701,red
SLC12A8,hsa-mir-10a,0.179417967,green
KIAA1755,hsa-mir-766,0.427315201,red
HOXB9,hsa-mir-323,0.453873209,red
PGM2L1,hsa-mir-183,0.1547419,green
AHCYL2,hsa-mir-141,0.398923891,red
CHRNB2,hsa-mir-873,0.324904529,red
FKBP4,hsa-mir-130b,0.275809685,red
PTPN21,hsa-mir-505,0.166530404,green
MICAL2,hsa-mir-148b,0.253340257,green
FXR1,hsa-mir-31,0.543373837,red
TRPM6,hsa-mir-372,0.452365918,red
THRA,hsa-mir-1266,0.159769948,green
ZFAND3,hsa-mir-216a,0.325231371,red
C6orf132,hsa-mir-489,0.275759701,red
PPP1R12B,hsa-mir-340,0.182834699,green
NLGN4Y,hsa-mir-421,0.179460121,green
SLC6A17,hsa-mir-183,0.613408663,red
FAM131B,hsa-mir-10b,0.27585094,red
GTF2H5,hsa-mir-21,0.292585971,red
NOS3,hsa-mir-31,0.171891,green
PKN3,hsa-mir-34a,0.230688942,green
INPP4A,hsa-mir-877,0.150431552,green
PPP1R3B,hsa-mir-106a,0.381435857,red
ZNF445,hsa-mir-210,0.312702227,green
PRLR,hsa-mir-96,0.592039476,red
KDSR,hsa-mir-223,0.200900819,green
FAM129B,hsa-mir-873,0.456745198,red
COTL1,hsa-mir-874,0.171122518,green
TDRKH,hsa-mir-106a,0.333403936,red
