mRNA,microRNA,weight,edge_color
IL11RA,hsa-mir-370,0.178020602,red
C2orf42,hsa-mir-200c,0.323916274,green
SLC12A3,hsa-mir-505,0.358955423,green
DVL3,hsa-mir-4326,0.238070401,red
CIAO1,hsa-mir-590,0.197627416,red
CFTR,hsa-mir-505,0.510235481,green
ACVR1C,hsa-mir-141,0.43552436,red
EPB41L5,hsa-mir-195,0.325856539,green
GTF2H2C,hsa-mir-150,0.20061639,red
ZNF536,hsa-mir-10a,0.306646076,red
COL21A1,hsa-mir-221,0.298426806,green
PORCN,hsa-mir-410,0.228925339,red
PLOD1,hsa-mir-766,0.196826049,red
CDC14A,hsa-mir-107,0.556167406,green
SSRP1,hsa-mir-708,0.247275889,red
SEMA3D,hsa-mir-181d,0.314557708,green
CASQ2,hsa-mir-760,0.28297604,green
SS18L1,hsa-mir-1976,0.400108377,green
B3GNT1,hsa-let-7e,0.168911429,red
GOSR2,hsa-mir-377,0.153696136,red
SRGAP1,hsa-mir-204,0.451663458,green
LAMP2,hsa-mir-203,0.223884879,red
MMP24,hsa-mir-889,0.58092066,green
STX11,hsa-mir-504,0.409911933,green
NEBL,hsa-mir-766,0.299647573,green
CMIP,hsa-mir-204,0.531394027,green
CDC42EP2,hsa-mir-940,0.248578109,red
PTCH1,hsa-mir-200a,0.284999193,green
TMOD2,hsa-mir-193b,0.337196404,green
ARFIP2,hsa-mir-493,0.217172579,red
BCHE,hsa-mir-200b,0.246749757,red
TINAG,hsa-mir-497,0.282767873,green
ALDH1L2,hsa-mir-500a,0.505250207,red
LPCAT1,hsa-mir-1262,0.387317899,green
SLC9A6,hsa-mir-539,0.329392436,red
FLT4,hsa-mir-4326,0.315964062,green
SPRY3,hsa-mir-326,0.341392295,green
RDH10,hsa-mir-424,0.230727192,red
SLCO3A1,hsa-mir-210,0.812015967,green
ALG2,hsa-mir-192,0.23623329,red
DNAJB6,hsa-mir-382,0.176727463,red
ZNF35,hsa-mir-21,0.351400155,green
USP54,hsa-mir-629,0.587844434,green
FYB,hsa-mir-642a,0.194461563,red
TTLL2,hsa-mir-95,0.241407898,red
ZNF662,hsa-mir-589,0.28800038,green
ARHGAP6,hsa-mir-664,0.32969746,green
BRI3,hsa-mir-34a,0.153044718,red
HOXA7,hsa-mir-551b,0.22290707,red
DOCK8,hsa-mir-656,0.300558091,green
NRK,hsa-mir-758,0.226939482,red
NHLRC1,hsa-mir-421,0.182960748,red
PGAM1,hsa-mir-1976,0.168195503,red
FGF9,hsa-mir-96,0.432175259,red
TBRG1,hsa-mir-150,0.19609508,red
COG5,hsa-mir-590,0.231258156,red
RAB11FIP2,hsa-mir-193a,0.600676439,green
PPAP2A,hsa-mir-376b,0.321549029,green
ETV5,hsa-mir-675,0.305217992,red
LRRC55,hsa-mir-181d,0.162332287,red
SSRP1,hsa-mir-183,0.646720615,green
PITPNM3,hsa-mir-483,0.236124024,red
CAB39L,hsa-mir-22,0.347940576,red
ABHD12,hsa-mir-22,0.217023189,red
CBR1,hsa-mir-877,0.205939926,red
ATP1B2,hsa-mir-181d,0.174258307,red
PDXK,hsa-mir-940,0.155657167,red
SIM2,hsa-mir-412,0.181115093,red
MAGEH1,hsa-mir-504,0.169527909,red
AGPAT4,hsa-mir-598,0.193981362,red
NFIB,hsa-mir-155,0.317093772,green
FBLN2,hsa-mir-154,0.16419951,red
ANKRD46,hsa-let-7c,0.249818955,red
GSG1,hsa-mir-494,0.334462968,red
FKTN,hsa-mir-1266,0.320491767,green
F7,hsa-mir-96,0.4777414,red
C1orf85,hsa-mir-625,0.210316741,red
IPO9,hsa-mir-651,0.337951292,green
PKN3,hsa-mir-625,0.396821698,green
HPCAL4,hsa-mir-204,0.313054097,green
BAK1,hsa-mir-146a,0.166444347,red
TFAP2B,hsa-mir-589,0.444623046,green
WASL,hsa-mir-935,0.171296394,red
SPRED2,hsa-mir-192,0.518954546,green
RAPGEF3,hsa-mir-148a,0.321815301,green
RYR1,hsa-mir-22,0.181062752,red
ATP2B2,hsa-mir-31,0.393384056,green
GTF2H5,hsa-mir-410,0.235765394,red
NBEAL2,hsa-mir-150,0.263731969,red
TSPYL5,hsa-mir-217,0.16910363,red
CX3CL1,hsa-mir-379,0.414501926,green
CCDC23,hsa-mir-873,0.26348026,red
HEG1,hsa-mir-22,0.315188551,green
TMEM223,hsa-mir-22,0.192665733,red
GINS4,hsa-mir-106a,0.363089082,red
GNA14,hsa-mir-489,0.159668897,red
VEPH1,hsa-mir-185,0.173172752,red
KCTD15,hsa-mir-589,0.378369265,green
NCALD,hsa-mir-500a,0.20137283,red
CCNY,hsa-mir-873,0.168654986,red
SMAP1,hsa-mir-206,0.182272446,red
LPGAT1,hsa-mir-181c,0.354667555,green
CBX1,hsa-mir-432,0.48034992,red
C9orf5,hsa-mir-134,0.236873691,red
THADA,hsa-mir-141,0.526233833,green
DENND5A,hsa-mir-182,0.280667396,green
MRPL34,hsa-mir-182,0.351301476,red
SRPX2,hsa-mir-708,0.333743798,red
TBC1D1,hsa-mir-130a,0.29208016,green
CD86,hsa-mir-202,0.504631419,green
SLC27A4,hsa-mir-127,0.188173917,red
PRRG4,hsa-mir-3653,0.187597269,red
LAT,hsa-mir-31,0.206630837,red
LYPD6,hsa-mir-381,0.163664983,red
APOOL,hsa-mir-141,0.496871551,red
RTN4IP1,hsa-mir-217,0.289012149,red
EIF4B,hsa-mir-1180,0.42342519,green
BCAM,hsa-mir-625,0.341445661,green
MPRIP,hsa-mir-589,0.286855646,green
TNFRSF9,hsa-mir-584,0.276306983,green
TMEM164,hsa-mir-150,0.197133283,red
PGPEP1,hsa-mir-874,0.556740888,green
SLC9A1,hsa-mir-22,0.352752396,red
CNP,hsa-mir-665,0.156219723,red
IRX6,hsa-mir-210,0.516523376,green
SLC44A2,hsa-mir-182,0.519685222,green
FAM13A,hsa-mir-500b,0.338824891,green
BNC2,hsa-mir-935,0.157822059,red
SIM2,hsa-mir-154,0.189890842,red
GLT8D1,hsa-mir-665,0.362107097,red
LITAF,hsa-mir-3653,0.288121551,red
SDHA,hsa-mir-375,0.160364996,red
SDF2,hsa-mir-98,0.184089333,red
PDP1,hsa-mir-452,0.433751269,green
C17orf81,hsa-mir-432,0.202917914,red
SMCR7L,hsa-let-7b,0.15531136,red
ADCY5,hsa-mir-766,0.468182929,green
LOC162632,hsa-mir-182,0.265530327,red
TDRD9,hsa-mir-1287,0.172530604,red
COL14A1,hsa-mir-376b,0.203340733,red
DNAJC5,hsa-mir-1976,0.153812046,red
EDC3,hsa-mir-873,0.249110898,red
GALM,hsa-mir-34a,0.154913775,red
FAM46A,hsa-mir-1287,0.411512721,green
RAPGEF2,hsa-mir-708,0.496696067,green
TXNRD2,hsa-mir-326,0.172530853,red
GIMAP8,hsa-mir-1226,0.39004991,green
MAPK10,hsa-mir-873,0.375833317,green
IGF2BP1,hsa-mir-625,0.166889637,red
SERPINF2,hsa-mir-3934,0.2427637,red
TMEM216,hsa-mir-370,0.370994631,red
DCX,hsa-mir-30e,0.226282985,red
SUSD3,hsa-mir-653,0.560983954,green
AMPH,hsa-mir-708,0.476132355,red
ABCA13,hsa-mir-539,0.190429611,red
TUSC3,hsa-mir-433,0.220470964,red
CD9,hsa-mir-891b,0.324233882,red
DCAF5,hsa-mir-1229,0.32096695,green
PRDM4,hsa-mir-204,0.607095102,green
PRR5L,hsa-mir-433,0.153773854,red
SCGN,hsa-mir-22,0.394252366,green
ZBTB9,hsa-mir-34a,0.34712765,green
PRKCQ,hsa-mir-500a,0.730310196,green
BVES,hsa-mir-136,0.65203331,red
RCC1,hsa-mir-659,0.264826864,red
MIPOL1,hsa-mir-323,0.228605181,red
PRLR,hsa-mir-141,0.357811458,red
TGIF2,hsa-mir-378,0.546104454,green
GLDC,hsa-mir-183,0.152625626,red
UBTD1,hsa-mir-214,0.415901206,red
RAB6B,hsa-mir-421,0.184620618,red
C20orf112,hsa-mir-190,0.32716023,green
PHF8,hsa-mir-193a,0.427910858,green
RB1CC1,hsa-mir-141,0.185638196,red
AIFM1,hsa-mir-34a,0.478772097,red
PABPC4L,hsa-mir-489,0.172775179,red
CAMKK2,hsa-mir-193a,0.157108174,red
MTMR3,hsa-mir-328,0.39135813,green
IER5L,hsa-mir-433,0.22341488,red
PARP8,hsa-mir-1287,0.373137037,green
TIMM8A,hsa-mir-338,0.335625831,green
MINA,hsa-mir-337,0.150211227,red
SLC26A1,hsa-mir-500a,0.209615156,red
ST6GALNAC5,hsa-mir-337,0.481006865,red
PEX13,hsa-mir-664,0.203545832,red
PPP1R8,hsa-mir-708,0.30327425,red
DCDC2,hsa-mir-19a,0.410352585,green
KIAA0754,hsa-mir-653,0.172541398,red
DOCK9,hsa-mir-653,0.24161468,red
ZNF235,hsa-mir-590,0.336498549,green
G6PC3,hsa-mir-432,0.154848433,red
MINA,hsa-mir-758,0.170665407,red
RFWD3,hsa-mir-150,0.217963137,red
UGT3A1,hsa-mir-205,0.158138546,red
DIRC2,hsa-mir-17,0.471125916,green
DYNC2LI1,hsa-mir-203,0.743342491,green
PCBD1,hsa-mir-625,0.153256896,red
C1S,hsa-mir-99a,0.270082626,green
FBXO9,hsa-mir-33b,0.272058048,green
DOCK11,hsa-mir-10a,0.497907278,green
SYAP1,hsa-mir-421,0.181638197,red
MAT2A,hsa-mir-708,0.500976254,green
ITPKB,hsa-mir-664,0.375020609,green
SNX5,hsa-mir-629,0.195282184,red
ZNF274,hsa-mir-2355,0.172037695,red
CEBPA,hsa-mir-642a,0.150783781,red
MARCH5,hsa-mir-216b,0.174441183,red
OSBPL9,hsa-mir-98,0.149872088,red
LRRC8C,hsa-mir-221,0.370185241,green
MR1,hsa-mir-193b,0.21026546,red
SLC44A2,hsa-mir-504,0.149684631,red
ANAPC7,hsa-mir-22,0.306592745,red
GLUL,hsa-mir-29c,0.278716719,red
IL15RA,hsa-mir-1976,0.162099604,red
ZNF673,hsa-mir-99a,0.34583563,green
RAI14,hsa-mir-935,0.200265478,red
BANF1,hsa-mir-873,0.271644195,red
RHBDF1,hsa-mir-106a,0.18226635,red
KCNJ11,hsa-mir-874,0.748266704,red
GLT1D1,hsa-mir-15b,0.247993487,red
ACSF2,hsa-mir-625,0.251685764,red
CBX2,hsa-mir-30e,0.367252682,green
ATP6V1C1,hsa-mir-664,0.324738915,red
TMPO,hsa-mir-873,0.161482777,red
EDA,hsa-mir-221,0.179353363,red
TNFRSF19,hsa-mir-10b,0.161580091,red
KIAA0430,hsa-mir-320a,0.153864712,red
YPEL2,hsa-mir-372,0.213495745,red
AGPAT6,hsa-mir-126,0.343936933,green
TAGLN3,hsa-mir-1307,0.230960834,red
FXR1,hsa-mir-629,0.217513085,red
CHID1,hsa-mir-378,0.151517369,red
CCNJL,hsa-mir-22,0.374651909,red
MMAB,hsa-mir-214,0.197722223,red
FTO,hsa-mir-889,0.388082547,green
UTRN,hsa-mir-200b,0.449700973,green
IPO11,hsa-mir-31,0.415261934,green
ERMAP,hsa-mir-150,0.16497478,red
TBL1X,hsa-mir-589,0.301436871,green
OXNAD1,hsa-mir-22,0.687377536,red
KLF8,hsa-mir-30a,0.182878644,red
ST6GALNAC2,hsa-mir-192,0.153564591,red
SIM2,hsa-mir-377,0.207970067,red
CCNDBP1,hsa-mir-891b,0.259879742,red
HOXB3,hsa-mir-629,0.426094054,green
COPG2,hsa-mir-323,0.216095628,red
FAM105B,hsa-mir-548s,0.200852659,red
ITK,hsa-mir-642a,0.220527651,red
NFKBIE,hsa-mir-140,0.313151016,green
ARRB2,hsa-mir-642a,0.15935032,red
CARD8,hsa-mir-31,0.360503427,green
SCAI,hsa-mir-642a,0.400121097,green
NRXN2,hsa-mir-1976,0.420013937,green
PTPN14,hsa-mir-589,0.406777233,green
SNAPC1,hsa-mir-1179,0.152120045,red
IL28RA,hsa-mir-192,0.162102346,red
PCBP2,hsa-mir-1976,0.369941165,green
GNL1,hsa-mir-183,0.476802481,green
XYLT1,hsa-mir-10b,0.187566393,red
TSPAN33,hsa-mir-625,0.153875721,red
DOCK8,hsa-mir-134,0.681584819,green
LGR4,hsa-mir-183,0.191074171,red
HOXD3,hsa-mir-642a,0.597758885,green
NIN,hsa-mir-372,0.164893742,red
HSPA4L,hsa-mir-200c,0.205406019,red
CENPN,hsa-mir-766,0.330863016,red
CNTF,hsa-mir-10a,0.579875239,green
RRAGA,hsa-mir-182,0.504497869,green
CTNND1,hsa-mir-625,0.273501117,green
APBB1,hsa-mir-326,0.165084738,red
TSPAN33,hsa-mir-505,0.169036784,red
GRM1,hsa-mir-889,0.156202692,red
TMEM104,hsa-mir-659,0.216459194,red
NECAB1,hsa-mir-664,0.2837706,red
ATRIP,hsa-mir-370,0.155662542,red
TTC9,hsa-mir-186,0.34068027,green
EFNA5,hsa-mir-1262,0.270918722,green
C19orf26,hsa-mir-182,0.223325288,red
NNAT,hsa-mir-210,0.472826361,green
CH25H,hsa-mir-376b,0.846845133,red
CUL5,hsa-mir-182,0.351149016,red
CRYAB,hsa-mir-107,0.272298435,red
RPS6KA2,hsa-mir-642a,0.450450672,green
ANAPC5,hsa-mir-301b,0.234318763,red
BCL2L14,hsa-mir-22,0.157882996,red
FGD5,hsa-mir-331,0.311133524,green
COL9A3,hsa-mir-493,0.42024949,red
SPRED2,hsa-mir-372,0.210607697,red
C21orf33,hsa-mir-96,0.150224625,red
C11orf68,hsa-mir-665,0.213685861,red
ORAI2,hsa-mir-10a,0.684308199,green
COL25A1,hsa-mir-204,0.165377585,red
SEC61A2,hsa-mir-155,0.172376441,red
LYVE1,hsa-mir-10b,0.164169376,red
SASH1,hsa-mir-642a,0.586289441,green
SLC37A3,hsa-mir-30b,0.158032537,red
REEP1,hsa-mir-500a,0.424039509,red
CLIC4,hsa-let-7e,0.172106349,red
CLPTM1,hsa-mir-221,0.194796261,red
DIDO1,hsa-mir-887,0.323181807,green
H3F3B,hsa-mir-381,0.180255107,red
RPP25,hsa-mir-187,0.42248284,red
DCC,hsa-mir-629,0.257228183,red
GRSF1,hsa-mir-17,0.294588005,green
FRMPD4,hsa-mir-96,0.474550253,red
LONRF2,hsa-mir-183,0.30756578,red
DUSP22,hsa-mir-629,0.418583762,green
TDRKH,hsa-mir-95,0.231004034,red
TTC39B,hsa-mir-200c,0.155452756,red
SLC12A8,hsa-mir-10a,0.738480003,green
KIAA1755,hsa-mir-766,0.173909108,red
HOXB9,hsa-mir-323,0.277952908,red
PGM2L1,hsa-mir-183,0.362771147,green
AHCYL2,hsa-mir-141,0.3505552,red
CHRNB2,hsa-mir-873,0.607525166,red
FKBP4,hsa-mir-130b,0.272219637,red
PTPN21,hsa-mir-505,0.396594806,green
MICAL2,hsa-mir-148b,0.314951806,green
FXR1,hsa-mir-31,0.234309026,red
TRPM6,hsa-mir-372,0.327049615,red
THRA,hsa-mir-1266,0.645924222,green
ZFAND3,hsa-mir-216a,0.198710131,red
C6orf132,hsa-mir-489,0.170510765,red
PPP1R12B,hsa-mir-340,0.365510859,green
NLGN4Y,hsa-mir-421,0.299657844,green
SLC6A17,hsa-mir-183,0.429256598,red
FAM131B,hsa-mir-10b,0.352472398,red
GTF2H5,hsa-mir-21,0.239088324,red
NOS3,hsa-mir-31,0.278359136,green
PKN3,hsa-mir-34a,0.272838327,green
INPP4A,hsa-mir-877,0.350707529,green
PPP1R3B,hsa-mir-106a,0.211543991,red
ZNF445,hsa-mir-210,0.327130369,green
PRLR,hsa-mir-96,0.452450546,red
KDSR,hsa-mir-223,0.370225397,green
FAM129B,hsa-mir-873,0.232228515,red
COTL1,hsa-mir-874,0.35157882,green
TDRKH,hsa-mir-106a,0.199757337,red
ZNHIT6,hsa-mir-221,0.347264046,green
TP53I11,hsa-mir-338,0.433184388,red
SUSD1,hsa-mir-93,0.273431973,green
SLC31A1,hsa-mir-766,0.31629621,red
FYN,hsa-mir-590,0.293599361,green
ZNF709,hsa-mir-375,0.157048897,red
SPIN3,hsa-mir-676,0.178646413,red
TNFAIP2,hsa-mir-940,0.319068796,green
INPP4A,hsa-mir-96,0.338503488,red
ZFYVE21,hsa-mir-874,0.242710539,red
CSTF2T,hsa-mir-182,0.564953475,green
ZNF671,hsa-mir-1976,0.463397814,green
EPN2,hsa-mir-15b,0.278277396,green
NDST3,hsa-mir-487a,0.19954276,red
HDLBP,hsa-mir-425,0.160642926,red
BTD,hsa-mir-200c,0.284371543,red
TMEM218,hsa-mir-96,0.295092106,green
MAT1A,hsa-mir-484,0.155025397,red
NUMB,hsa-mir-1269,0.281162917,green
ZBTB4,hsa-mir-3127,0.479128644,green
AZI2,hsa-mir-221,0.272685576,red
LIG3,hsa-mir-4326,0.253199442,red
CCDC6,hsa-mir-204,0.491994659,green
BCAS4,hsa-mir-1976,0.202901326,red
MEPCE,hsa-mir-664,0.32105647,green
ALKBH5,hsa-mir-891b,0.329945852,green
GLI3,hsa-mir-935,0.402006292,red
RNF121,hsa-mir-892b,0.155606132,red
ST3GAL6,hsa-mir-141,0.685962318,red
C1orf85,hsa-mir-766,0.297106989,red
MAPK3,hsa-mir-497,0.172210247,red
PLEKHA2,hsa-mir-141,0.644709424,green
MRM1,hsa-mir-10b,0.359405991,green
PPARG,hsa-mir-34a,0.335395487,green
ACAT2,hsa-mir-25,0.165950566,red
CLCC1,hsa-mir-181c,0.475575269,green
ACOX1,hsa-mir-873,0.454139505,green
LRP11,hsa-mir-96,0.19720049,red
STK4,hsa-mir-504,0.311930311,green
HRASLS5,hsa-mir-96,0.257016098,red
