mRNA,microRNA,weight,edge_color
IL11RA,hsa-mir-370,0.278923977,red
C2orf42,hsa-mir-200c,0.2653400035,green
SLC12A3,hsa-mir-505,0.255324393,green
DVL3,hsa-mir-4326,0.27194303,red
CIAO1,hsa-mir-590,0.267766433,red
CFTR,hsa-mir-505,0.339859642,green
ACVR1C,hsa-mir-141,0.511933999,red
EPB41L5,hsa-mir-195,0.2416916565,green
GTF2H2C,hsa-mir-150,0.2552239665,red
ZNF536,hsa-mir-10a,0.414944338,red
COL21A1,hsa-mir-221,0.2298198985,green
PORCN,hsa-mir-410,0.287611937,red
PLOD1,hsa-mir-766,0.2589682935,red
CDC14A,hsa-mir-107,0.357126943,green
SSRP1,hsa-mir-708,0.4643455815,red
SEMA3D,hsa-mir-181d,0.2585716795,green
CASQ2,hsa-mir-760,0.239044873,green
SS18L1,hsa-mir-1976,0.276900872,green
B3GNT1,hsa-let-7e,0.2402086655,red
GOSR2,hsa-mir-377,0.2523114385,red
SRGAP1,hsa-mir-204,0.3089526475,green
LAMP2,hsa-mir-203,0.268683994,red
MMP24,hsa-mir-889,0.369154179,green
STX11,hsa-mir-504,0.2864387685,green
NEBL,hsa-mir-766,0.254162281,green
CMIP,hsa-mir-204,0.342363526,green
CDC42EP2,hsa-mir-940,0.2812024235,red
PTCH1,hsa-mir-200a,0.2319885005,green
TMOD2,hsa-mir-193b,0.3101141845,green
ARFIP2,hsa-mir-493,0.3356737875,red
BCHE,hsa-mir-200b,0.3310701005,red
TINAG,hsa-mir-497,0.246323793,green
ALDH1L2,hsa-mir-500a,0.3989858455,red
LPCAT1,hsa-mir-1262,0.292174441,green
SLC9A6,hsa-mir-539,0.3338994465,red
FLT4,hsa-mir-4326,0.263416093,green
SPRY3,hsa-mir-326,0.2528460675,green
RDH10,hsa-mir-424,0.2963890145,red
SLCO3A1,hsa-mir-210,0.50711907,green
ALG2,hsa-mir-192,0.390242465,red
DNAJB6,hsa-mir-382,0.2254347155,red
ZNF35,hsa-mir-21,0.288574467,green
USP54,hsa-mir-629,0.3854114545,green
FYB,hsa-mir-642a,0.2334897195,red
TTLL2,hsa-mir-95,0.2677809385,red
ZNF662,hsa-mir-589,0.2399230395,green
ARHGAP6,hsa-mir-664,0.2397543295,green
BRI3,hsa-mir-34a,0.2581729655,red
HOXA7,hsa-mir-551b,0.2700232195,red
DOCK8,hsa-mir-656,0.245443314,green
NRK,hsa-mir-758,0.3170810365,red
NHLRC1,hsa-mir-421,0.304559865,red
PGAM1,hsa-mir-1976,0.2262857235,red
FGF9,hsa-mir-96,0.4397921815,red
TBRG1,hsa-mir-150,0.2546598705,red
COG5,hsa-mir-590,0.261102207,red
RAB11FIP2,hsa-mir-193a,0.3812182045,green
PPAP2A,hsa-mir-376b,0.244409142,green
ETV5,hsa-mir-675,0.4453263465,red
LRRC55,hsa-mir-181d,0.2721657345,red
SSRP1,hsa-mir-183,0.4268247655,green
PITPNM3,hsa-mir-483,0.280297574,red
CAB39L,hsa-mir-22,0.5746012255,red
ABHD12,hsa-mir-22,0.412904481,red
CBR1,hsa-mir-877,0.2997156525,red
ATP1B2,hsa-mir-181d,0.327804686,red
PDXK,hsa-mir-940,0.2852026915,red
SIM2,hsa-mir-412,0.2755626545,red
MAGEH1,hsa-mir-504,0.312982936,red
AGPAT4,hsa-mir-598,0.3145168505,red
NFIB,hsa-mir-155,0.2719587425,green
FBLN2,hsa-mir-154,0.235344259,red
ANKRD46,hsa-let-7c,0.2679573665,red
GSG1,hsa-mir-494,0.3449875495,red
FKTN,hsa-mir-1266,0.244410255,green
F7,hsa-mir-96,0.403238731,red
C1orf85,hsa-mir-625,0.2448273265,red
IPO9,hsa-mir-651,0.297682403,green
PKN3,hsa-mir-625,0.303181247,green
HPCAL4,hsa-mir-204,0.260951542,green
