mRNA,microRNA,weight,edge_color
IL11RA,hsa-mir-370,0.260032870728118,red
C2orf42,hsa-mir-200c,0.258793620461732,green
SLC12A3,hsa-mir-505,0.233347713256328,green
DVL3,hsa-mir-4326,0.269825233383035,red
CIAO1,hsa-mir-590,0.258417067810579,red
CFTR,hsa-mir-505,0.294069124094003,green
ACVR1C,hsa-mir-141,0.506199551955572,red
EPB41L5,hsa-mir-195,0.226563742411435,green
GTF2H2C,hsa-mir-150,0.249313629119609,red
ZNF536,hsa-mir-10a,0.400562467145934,red
COL21A1,hsa-mir-221,0.219340552542928,green
PORCN,hsa-mir-410,0.281560845147329,red
PLOD1,hsa-mir-766,0.251401906291111,red
CDC14A,hsa-mir-107,0.296517364593156,green
SSRP1,hsa-mir-708,0.410484552275148,red
SEMA3D,hsa-mir-181d,0.252437869687272,green
CASQ2,hsa-mir-760,0.234973410992828,green
SS18L1,hsa-mir-1976,0.247979845201249,green
B3GNT1,hsa-let-7e,0.229383754980064,red
GOSR2,hsa-mir-377,0.232241434956755,red
SRGAP1,hsa-mir-204,0.274017085167499,green
LAMP2,hsa-mir-203,0.264922871657033,red
MMP24,hsa-mir-889,0.302373552742366,green
STX11,hsa-mir-504,0.258459949988683,green
NEBL,hsa-mir-766,0.250059099604069,green
CMIP,hsa-mir-204,0.285447462113156,green
CDC42EP2,hsa-mir-940,0.27930352143444,red
PTCH1,hsa-mir-200a,0.225850682631045,green
TMOD2,hsa-mir-193b,0.308929378361874,green
ARFIP2,hsa-mir-493,0.314061069218448,red
BCHE,hsa-mir-200b,0.320152293630894,red
TINAG,hsa-mir-497,0.243612889705903,green
ALDH1L2,hsa-mir-500a,0.384574557640449,red
LPCAT1,hsa-mir-1262,0.276249210629578,green
SLC9A6,hsa-mir-539,0.333869027059054,red
FLT4,hsa-mir-4326,0.2581215779538,green
SPRY3,hsa-mir-326,0.23683475134729,green
RDH10,hsa-mir-424,0.289024173698775,red
SLCO3A1,hsa-mir-210,0.405225410552493,green
ALG2,hsa-mir-192,0.358567086477685,red
DNAJB6,hsa-mir-382,0.22011000546651,red
ZNF35,hsa-mir-21,0.281652544692323,green
USP54,hsa-mir-629,0.327967800356313,green
FYB,hsa-mir-642a,0.230204804711805,red
TTLL2,hsa-mir-95,0.266479068143684,red
ZNF662,hsa-mir-589,0.23505666170812,green
ARHGAP6,hsa-mir-664,0.222243946576402,green
BRI3,hsa-mir-34a,0.235799346251517,red
HOXA7,hsa-mir-551b,0.265880814511764,red
DOCK8,hsa-mir-656,0.239175211390192,green
NRK,hsa-mir-758,0.303998164238269,red
NHLRC1,hsa-mir-421,0.279231742668412,red
PGAM1,hsa-mir-1976,0.218702434696507,red
FGF9,hsa-mir-96,0.439726216412165,red
TBRG1,hsa-mir-150,0.247834248958387,red
COG5,hsa-mir-590,0.25939100817141,red
RAB11FIP2,hsa-mir-193a,0.311713655062377,green
PPAP2A,hsa-mir-376b,0.231916507663433,green
ETV5,hsa-mir-675,0.422711726696031,red
LRRC55,hsa-mir-181d,0.249019679636348,red
SSRP1,hsa-mir-183,0.365821262116902,green
PITPNM3,hsa-mir-483,0.276794919517471,red
CAB39L,hsa-mir-22,0.528007119567852,red
ABHD12,hsa-mir-22,0.363484015981845,red
CBR1,hsa-mir-877,0.284667499853598,red
ATP1B2,hsa-mir-181d,0.28961944282031,red
PDXK,hsa-mir-940,0.254083711246636,red
SIM2,hsa-mir-412,0.258871463629714,red
MAGEH1,hsa-mir-504,0.278170763121521,red
AGPAT4,hsa-mir-598,0.290503089932802,red
NFIB,hsa-mir-155,0.268187223286672,green
FBLN2,hsa-mir-154,0.224333111541712,red
ANKRD46,hsa-let-7c,0.267342754324616,red
GSG1,hsa-mir-494,0.34482697471959,red
FKTN,hsa-mir-1266,0.232267036578501,green
F7,hsa-mir-96,0.39629638717804,red
C1orf85,hsa-mir-625,0.242382836210786,red
IPO9,hsa-mir-651,0.294946147007484,green
PKN3,hsa-mir-625,0.288357997060931,green
HPCAL4,hsa-mir-204,0.255697147099161,green
BAK1,hsa-mir-146a,0.29925366482226,red
TFAP2B,hsa-mir-589,0.260288467336761,green
WASL,hsa-mir-935,0.225857909566172,red
SPRED2,hsa-mir-192,0.351038412677461,green
RAPGEF3,hsa-mir-148a,0.279163153137508,green
RYR1,hsa-mir-22,0.321905888581397,red
ATP2B2,hsa-mir-31,0.244437884273059,green
GTF2H5,hsa-mir-410,0.307623427715652,red
NBEAL2,hsa-mir-150,0.277183849039136,red
TSPYL5,hsa-mir-217,0.280429223457936,red
CX3CL1,hsa-mir-379,0.264897955848203,green
CCDC23,hsa-mir-873,0.290759117331753,red
HEG1,hsa-mir-22,0.257761216625689,green
TMEM223,hsa-mir-22,0.245086491771329,red
GINS4,hsa-mir-106a,0.324793707461106,red
GNA14,hsa-mir-489,0.209649482323164,red
VEPH1,hsa-mir-185,0.237821462185951,red
KCTD15,hsa-mir-589,0.311190386438921,green
NCALD,hsa-mir-500a,0.29718366513029,red
CCNY,hsa-mir-873,0.247327536759903,red
SMAP1,hsa-mir-206,0.245104775085823,red
LPGAT1,hsa-mir-181c,0.24822435839543,green
CBX1,hsa-mir-432,0.382194717991324,red
C9orf5,hsa-mir-134,0.318096526914954,red
THADA,hsa-mir-141,0.305809699789088,green
DENND5A,hsa-mir-182,0.214188748817579,green
MRPL34,hsa-mir-182,0.329244843338384,red
SRPX2,hsa-mir-708,0.448451697232377,red
TBC1D1,hsa-mir-130a,0.216296227920287,green
CD86,hsa-mir-202,0.295357830510041,green
SLC27A4,hsa-mir-127,0.245191790806021,red
PRRG4,hsa-mir-3653,0.246837000736427,red
LAT,hsa-mir-31,0.248358329921568,red
LYPD6,hsa-mir-381,0.27268049617256,red
APOOL,hsa-mir-141,0.3847070814302,red
RTN4IP1,hsa-mir-217,0.289788693753624,red
EIF4B,hsa-mir-1180,0.298226433850392,green
BCAM,hsa-mir-625,0.262308188653243,green
MPRIP,hsa-mir-589,0.247181293771728,green
TNFRSF9,hsa-mir-584,0.211152020547002,green
TMEM164,hsa-mir-150,0.305330193356971,red
PGPEP1,hsa-mir-874,0.306407179086683,green
SLC9A1,hsa-mir-22,0.470443456970081,red
CNP,hsa-mir-665,0.235223620412399,red
IRX6,hsa-mir-210,0.299040599085184,green
SLC44A2,hsa-mir-182,0.343695550683729,green
FAM13A,hsa-mir-500b,0.266028566096761,green
BNC2,hsa-mir-935,0.263563936927382,red
SIM2,hsa-mir-154,0.314251041916964,red
GLT8D1,hsa-mir-665,0.334925624515283,red
LITAF,hsa-mir-3653,0.326797370109991,red
SDHA,hsa-mir-375,0.227449403899665,red
SDF2,hsa-mir-98,0.240352436558426,red
PDP1,hsa-mir-452,0.270365449534311,green
C17orf81,hsa-mir-432,0.332801964066722,red
