mRNA,microRNA,weight,edge_color
IL11RA,hsa-mir-370,0.299886939861697,red
C2orf42,hsa-mir-200c,0.284555795583091,green
SLC12A3,hsa-mir-505,0.289320280905437,green
DVL3,hsa-mir-4326,0.278980164919967,red
CIAO1,hsa-mir-590,0.282338013073778,red
CFTR,hsa-mir-505,0.395750989644028,green
ACVR1C,hsa-mir-141,0.527808318611536,red
EPB41L5,hsa-mir-195,0.269301725714252,green
GTF2H2C,hsa-mir-150,0.266568845679084,red
ZNF536,hsa-mir-10a,0.437443609647676,red
COL21A1,hsa-mir-221,0.252326214773308,green
PORCN,hsa-mir-410,0.299804244485784,red
PLOD1,hsa-mir-766,0.271878521364985,red
CDC14A,hsa-mir-107,0.422421645453447,green
SSRP1,hsa-mir-708,0.509442426895682,red
SEMA3D,hsa-mir-181d,0.276937749480744,green
CASQ2,hsa-mir-760,0.253456377246238,green
SS18L1,hsa-mir-1976,0.317318771243967,green
B3GNT1,hsa-let-7e,0.255020868965852,red
GOSR2,hsa-mir-377,0.272799047798525,red
SRGAP1,hsa-mir-204,0.355768555019707,green
LAMP2,hsa-mir-203,0.277991137432833,red
MMP24,hsa-mir-889,0.438623618319524,green
STX11,hsa-mir-504,0.326943816646984,green
NEBL,hsa-mir-766,0.269083611881089,green
CMIP,hsa-mir-204,0.404374486642817,green
CDC42EP2,hsa-mir-940,0.287980217535649,red
PTCH1,hsa-mir-200a,0.249378519300542,green
TMOD2,hsa-mir-193b,0.318998435658677,green
ARFIP2,hsa-mir-493,0.360292750273561,red
BCHE,hsa-mir-200b,0.348587891448777,red
TINAG,hsa-mir-497,0.258279177970088,green
ALDH1L2,hsa-mir-500a,0.376909122460296,red
LPCAT1,hsa-mir-1262,0.323386003146045,green
SLC9A6,hsa-mir-539,0.334835790737532,red
FLT4,hsa-mir-4326,0.280654316568581,green
SPRY3,hsa-mir-326,0.28189342546353,green
RDH10,hsa-mir-424,0.310030444694965,red
SLCO3A1,hsa-mir-210,0.60713969831111,green
ALG2,hsa-mir-192,0.422238308705779,red
DNAJB6,hsa-mir-382,0.235553785602985,red
ZNF35,hsa-mir-21,0.309184269361609,green
USP54,hsa-mir-629,0.45181906310377,green
FYB,hsa-mir-642a,0.241597929906936,red
TTLL2,hsa-mir-95,0.273260012599866,red
ZNF662,hsa-mir-589,0.255694685101028,green
ARHGAP6,hsa-mir-664,0.269259937833161,green
BRI3,hsa-mir-34a,0.280013657628066,red
HOXA7,hsa-mir-551b,0.279811733433797,red
DOCK8,hsa-mir-656,0.263523572208619,green
NRK,hsa-mir-758,0.335808200574335,red
NHLRC1,hsa-mir-421,0.329822427066791,red
PGAM1,hsa-mir-1976,0.23835413186562,red
FGF9,hsa-mir-96,0.441374618791993,red
TBRG1,hsa-mir-150,0.266826872131557,red
COG5,hsa-mir-590,0.267302393393722,red
RAB11FIP2,hsa-mir-193a,0.453210903404827,green
PPAP2A,hsa-mir-376b,0.269714679844119,green
ETV5,hsa-mir-675,0.474434255249306,red
LRRC55,hsa-mir-181d,0.294983945297356,red
SSRP1,hsa-mir-183,0.49896102285914,green
PITPNM3,hsa-mir-483,0.289474754526611,red
CAB39L,hsa-mir-22,0.621690619464043,red
ABHD12,hsa-mir-22,0.45359937598738,red
CBR1,hsa-mir-877,0.319197826133421,red
ATP1B2,hsa-mir-181d,0.359704382521797,red
PDXK,hsa-mir-940,0.312116142303727,red
SIM2,hsa-mir-412,0.295184403763613,red
MAGEH1,hsa-mir-504,0.342786125470369,red
AGPAT4,hsa-mir-598,0.339558440723736,red
NFIB,hsa-mir-155,0.28676517068556,green
FBLN2,hsa-mir-154,0.250124782754451,red
ANKRD46,hsa-let-7c,0.271725673027355,red
GSG1,hsa-mir-494,0.347174061211025,red
FKTN,hsa-mir-1266,0.269368595698034,green
F7,hsa-mir-96,0.387760589824402,red
C1orf85,hsa-mir-625,0.251996998695523,red
IPO9,hsa-mir-651,0.310892506542544,green
PKN3,hsa-mir-625,0.333899751637178,green
HPCAL4,hsa-mir-204,0.278043648672749,green
BAK1,hsa-mir-146a,0.390838714907912,red
TFAP2B,hsa-mir-589,0.346435116800001,green
WASL,hsa-mir-935,0.247687984067423,red
SPRED2,hsa-mir-192,0.42437711834679,green
RAPGEF3,hsa-mir-148a,0.295054335694853,green
RYR1,hsa-mir-22,0.417325663601111,red
ATP2B2,hsa-mir-31,0.312246727979691,green
GTF2H5,hsa-mir-410,0.335777838528118,red
NBEAL2,hsa-mir-150,0.280392850001133,red
TSPYL5,hsa-mir-217,0.347814758760012,red
CX3CL1,hsa-mir-379,0.332116443636695,green
CCDC23,hsa-mir-873,0.298131879863669,red
HEG1,hsa-mir-22,0.280115509614268,green
TMEM223,hsa-mir-22,0.264589969101802,red
GINS4,hsa-mir-106a,0.319276822900433,red
GNA14,hsa-mir-489,0.229480885099355,red
VEPH1,hsa-mir-185,0.26582673347281,red
KCTD15,hsa-mir-589,0.337235601052734,green
NCALD,hsa-mir-500a,0.344616751856825,red
CCNY,hsa-mir-873,0.285833288693021,red
SMAP1,hsa-mir-206,0.271237937009936,red
LPGAT1,hsa-mir-181c,0.293875816705406,green
CBX1,hsa-mir-432,0.373914727384707,red
C9orf5,hsa-mir-134,0.351789312827663,red
THADA,hsa-mir-141,0.409139714868244,green
DENND5A,hsa-mir-182,0.241287203837133,green
MRPL34,hsa-mir-182,0.325498785233643,red
SRPX2,hsa-mir-708,0.496090512848854,red
TBC1D1,hsa-mir-130a,0.247763287496955,green
CD86,hsa-mir-202,0.393167850906757,green
SLC27A4,hsa-mir-127,0.267470451569784,red
PRRG4,hsa-mir-3653,0.27044082269583,red
LAT,hsa-mir-31,0.262115925860325,red
LYPD6,hsa-mir-381,0.339178709303232,red
APOOL,hsa-mir-141,0.376694843058739,red
RTN4IP1,hsa-mir-217,0.289951283116428,red
EIF4B,hsa-mir-1180,0.351735026295713,green
BCAM,hsa-mir-625,0.294431450737788,green
MPRIP,hsa-mir-589,0.262039953627101,green
TNFRSF9,hsa-mir-584,0.237687861509039,green
TMEM164,hsa-mir-150,0.363669032418694,red
PGPEP1,hsa-mir-874,0.426346117538729,green
SLC9A1,hsa-mir-22,0.518605938375844,red
CNP,hsa-mir-665,0.275764233320314,red
IRX6,hsa-mir-210,0.401151068589106,green
SLC44A2,hsa-mir-182,0.421452123808926,green
FAM13A,hsa-mir-500b,0.295163962181504,green
BNC2,hsa-mir-935,0.328315424862721,red
SIM2,hsa-mir-154,0.389269304899065,red
GLT8D1,hsa-mir-665,0.330510727687556,red
LITAF,hsa-mir-3653,0.337967481212765,red
SDHA,hsa-mir-375,0.258332945044568,red
SDF2,hsa-mir-98,0.262425307314074,red
PDP1,hsa-mir-452,0.344641172414087,green
C17orf81,hsa-mir-432,0.409989860930551,red
SMCR7L,hsa-let-7b,0.239442091383448,red
