mRNA,microRNA,weight,edge_color
PSPH,hsa-mir-25,0.488927666,red
TRIB3,hsa-mir-132,0.175730275,green
FANCE,hsa-mir-940,0.587911736,red
ETS1,hsa-mir-200c,0.576695818,red
IPO9,hsa-mir-589,0.20504882,green
C6orf165,hsa-mir-889,0.139859184,green
NFXL1,hsa-mir-1251,0.579622398,red
FAM122C,hsa-mir-144,0.159000586,green
GPIHBP1,hsa-mir-370,0.559022155,red
C1orf106,hsa-mir-96,0.481190555,red
TNNI1,hsa-mir-96,0.626192301,red
PLCG1,hsa-mir-3690,0.155230247,green
KLHL21,hsa-mir-22,0.53914456,red
CCNB3,hsa-mir-451,0.147255542,green
CDC14A,hsa-mir-107,0.161030686,green
BTBD7,hsa-mir-223,0.169113267,green
PHF20L1,hsa-mir-21,0.137155941,green
C18orf25,hsa-mir-10b,0.475960298,red
RABEP2,hsa-mir-328,0.55668907,red
LYN,hsa-mir-217,0.44296685,red
CREB5,hsa-mir-494,0.165517854,green
FAM109A,hsa-mir-370,0.140380835,green
SOX17,hsa-mir-134,0.462951146,red
TMEM173,hsa-mir-504,0.167614418,green
MMP24,hsa-mir-889,0.205320694,green
UCK2,hsa-mir-17,0.482750731,red
CNTN4,hsa-mir-889,0.201165074,green
ABLIM1,hsa-mir-143,0.172465905,green
DVL2,hsa-mir-221,0.201262586,green
GPR172B,hsa-mir-32,0.207223047,green
EIF5A2,hsa-mir-224,0.465896629,red
C9orf170,hsa-mir-548v,0.145365977,green
DGKZ,hsa-mir-17,0.514674735,red
ENOX1,hsa-mir-1976,0.152329057,green
FUT3,hsa-mir-589,0.572142492,red
RMI1,hsa-mir-888,0.502341664,red
FAM116A,hsa-mir-98,0.13460738,green
FAM49B,hsa-mir-217,0.443995714,red
CRY2,hsa-mir-221,0.469015473,red
XK,hsa-mir-183,0.443737708,red
B3GALT5,hsa-mir-221,0.135341584,green
GSN,hsa-mir-891a,0.474437285,red
ZDHHC1,hsa-mir-106b,0.138942607,green
NFATC4,hsa-mir-34a,0.160532452,green
LRRC56,hsa-mir-653,0.522513029,red
ATM,hsa-mir-150,0.13448701,green
DPYSL2,hsa-mir-217,0.489645641,red
TWSG1,hsa-mir-625,0.144432653,green
DPH1,hsa-mir-581,0.174812098,green
ZNF35,hsa-mir-21,0.16141293,green
RUNDC1,hsa-mir-21,0.492402838,red
RFC3,hsa-mir-664,0.182800243,green
PHACTR2,hsa-mir-500a,0.548995358,red
AMOTL1,hsa-mir-802,0.158692623,green
PHACTR2,hsa-mir-21,0.175666135,green
C6orf174,hsa-mir-495,0.205249267,green
NEK11,hsa-mir-224,0.25148533,green
YBX1,hsa-mir-31,0.176889076,green
HPGD,hsa-mir-141,0.670280812,red
MKRN1,hsa-mir-17,0.184893248,green
WDR1,hsa-mir-744,0.546740015,red
RP2,hsa-mir-363,0.455500402,red
C12orf75,hsa-mir-452,0.181867152,green
SLC15A4,hsa-mir-141,0.154257133,green
TPM1,hsa-mir-141,0.134598829,green
UPK1B,hsa-mir-421,0.138400024,green
KYNU,hsa-mir-221,0.646124711,red
IFI6,hsa-mir-1251,0.568278711,red
NUDT16,hsa-mir-653,0.151120919,green
SLC7A4,hsa-mir-99b,0.500276901,red
CDC42SE1,hsa-mir-877,0.544491539,red
SPIN1,hsa-mir-421,0.259864493,green
PTPN14,hsa-mir-616,0.205853556,green
CAB39L,hsa-mir-22,0.511049855,red
ABHD12,hsa-mir-22,0.671842293,red
HSPB2,hsa-mir-92b,0.145814177,green
ZFHX3,hsa-mir-944,0.534364171,red
ITGB8,hsa-mir-487a,0.21255711,green
FAM174B,hsa-mir-1251,0.695983303,red
SLC9A5,hsa-mir-140,0.137441462,green
RAB11A,hsa-mir-625,0.178540766,green
