mRNA,microRNA,weight,edge_color
PSPH,hsa-mir-25,0.3153255665,red
TRIB3,hsa-mir-132,0.3903684415,green
FANCE,hsa-mir-940,0.3674011395,red
ETS1,hsa-mir-200c,0.365538736,red
IPO9,hsa-mir-589,0.4246615645,green
C6orf165,hsa-mir-889,0.4070576615,green
NFXL1,hsa-mir-1251,0.361717664,red
FAM122C,hsa-mir-144,0.301774682,green
GPIHBP1,hsa-mir-370,0.374957401,red
C1orf106,hsa-mir-96,0.3379032305,red
TNNI1,hsa-mir-96,0.3988520605,red
PLCG1,hsa-mir-3690,0.3479041145,green
KLHL21,hsa-mir-22,0.444011461,red
CCNB3,hsa-mir-451,0.3061722555,green
CDC14A,hsa-mir-107,0.3276074165,green
BTBD7,hsa-mir-223,0.3899407035,green
PHF20L1,hsa-mir-21,0.2906726395,green
C18orf25,hsa-mir-10b,0.331759078,red
RABEP2,hsa-mir-328,0.373808146,red
LYN,hsa-mir-217,0.3757891595,red
CREB5,hsa-mir-494,0.3380009385,green
FAM109A,hsa-mir-370,0.3303713505,green
SOX17,hsa-mir-134,0.346343171,red
TMEM173,hsa-mir-504,0.3639686325,green
MMP24,hsa-mir-889,0.350368569,green
UCK2,hsa-mir-17,0.381270013,red
CNTN4,hsa-mir-889,0.3309154485,green
ABLIM1,hsa-mir-143,0.3097217465,green
DVL2,hsa-mir-221,0.3708563395,green
GPR172B,hsa-mir-32,0.4037232725,green
EIF5A2,hsa-mir-224,0.331344256,red
C9orf170,hsa-mir-548v,0.3352071305,green
DGKZ,hsa-mir-17,0.366014327,red
ENOX1,hsa-mir-1976,0.3048469195,green
FUT3,hsa-mir-589,0.405636427,red
RMI1,hsa-mir-888,0.3244581655,red
FAM116A,hsa-mir-98,0.302026341,green
FAM49B,hsa-mir-217,0.3505156355,red
CRY2,hsa-mir-221,0.3232060825,red
XK,hsa-mir-183,0.3870130215,red
B3GALT5,hsa-mir-221,0.3302970925,green
GSN,hsa-mir-891a,0.323733927,red
ZDHHC1,hsa-mir-106b,0.30904379,green
NFATC4,hsa-mir-34a,0.3515475455,green
LRRC56,hsa-mir-653,0.3473408885,red
ATM,hsa-mir-150,0.301389766,green
DPYSL2,hsa-mir-217,0.3407376835,red
TWSG1,hsa-mir-625,0.391305554,green
DPH1,hsa-mir-581,0.374437464,green
ZNF35,hsa-mir-21,0.340537253,green
RUNDC1,hsa-mir-21,0.3353591955,red
RFC3,hsa-mir-664,0.32675734,green
PHACTR2,hsa-mir-500a,0.3872037995,red
AMOTL1,hsa-mir-802,0.31356333,green
PHACTR2,hsa-mir-21,0.4202878155,green
C6orf174,hsa-mir-495,0.3434632255,green
NEK11,hsa-mir-224,0.3978717995,green
YBX1,hsa-mir-31,0.316668999,green
HPGD,hsa-mir-141,0.6390731505,red
MKRN1,hsa-mir-17,0.316448676,green
WDR1,hsa-mir-744,0.3700228515,red
RP2,hsa-mir-363,0.3083268315,red
C12orf75,hsa-mir-452,0.3255332935,green
SLC15A4,hsa-mir-141,0.36168863,green
TPM1,hsa-mir-141,0.298018831,green
UPK1B,hsa-mir-421,0.3299645625,green
KYNU,hsa-mir-221,0.3978353125,red
IFI6,hsa-mir-1251,0.3612237645,red
NUDT16,hsa-mir-653,0.3831901835,green
SLC7A4,hsa-mir-99b,0.4205033255,red
CDC42SE1,hsa-mir-877,0.407967315,red
SPIN1,hsa-mir-421,0.3707571545,green
PTPN14,hsa-mir-616,0.3564042715,green
CAB39L,hsa-mir-22,0.357329322,red
ABHD12,hsa-mir-22,0.4480756725,red
HSPB2,hsa-mir-92b,0.3025214525,green
ZFHX3,hsa-mir-944,0.483855776,red
ITGB8,hsa-mir-487a,0.3510651545,green
FAM174B,hsa-mir-1251,0.555559597,red
SLC9A5,hsa-mir-140,0.318606448,green
RAB11A,hsa-mir-625,0.367253714,green
FLT1,hsa-mir-934,0.3591010105,red
RAB11FIP3,hsa-mir-96,0.417313467,red
C1orf106,hsa-mir-182,0.4151904155,red
RTF1,hsa-mir-21,0.32228238,green
MECOM,hsa-mir-598,0.3961085475,red
UST,hsa-mir-378,0.4265850545,red
CTSC,hsa-mir-421,0.4091782335,green
NUMBL,hsa-mir-374b,0.32102842,green
CLDN5,hsa-mir-127,0.425146728,red
LRRC20,hsa-mir-370,0.3773350735,green
TFAP2B,hsa-mir-589,0.3415935915,green
NHS,hsa-mir-22,0.3670039465,green
GRM5,hsa-mir-186,0.4052665635,green
HIST1H2BK,hsa-mir-31,0.436818447,green
AQP4,hsa-mir-4326,0.3754063905,green
XK,hsa-mir-224,0.3534992015,red
MAP2K7,hsa-mir-3928,0.2920036395,red
ILF3,hsa-mir-940,0.3812511915,red
TRIM66,hsa-mir-581,0.3748614845,green
CISD2,hsa-mir-660,0.3276574465,red
LTBP3,hsa-mir-93,0.330177528,green
THSD1P1,hsa-mir-581,0.4392565885,green
RYR1,hsa-mir-22,0.418543066,red
PLXNA2,hsa-mir-382,0.3497065345,red
GHR,hsa-mir-221,0.4283668695,red
ANKMY1,hsa-mir-500a,0.370017862,green
RGS13,hsa-mir-433,0.3103982195,green
YPEL1,hsa-mir-224,0.4053901805,green
RIMKLA,hsa-mir-758,0.3988502385,green
ERF,hsa-mir-22,0.420553345,green
MASP1,hsa-mir-143,0.3032616405,green
C11orf84,hsa-let-7e,0.3142690305,red
G2E3,hsa-mir-205,0.347477556,red
GNA14,hsa-mir-489,0.3546018045,red
WDR20,hsa-mir-664,0.3022039535,green
KCTD15,hsa-mir-589,0.450937013,green
DHRS3,hsa-mir-19a,0.361235535,red
E2F3,hsa-mir-17,0.442496681,red
NCALD,hsa-mir-500a,0.3652315855,red
WDR65,hsa-mir-412,0.3771332385,green
PSD4,hsa-mir-151,0.3793164155,red
TACC1,hsa-mir-410,0.365599734,red
PKP1,hsa-mir-141,0.5387214675,red
JAZF1,hsa-mir-200a,0.388842872,green
PARD6G,hsa-mir-483,0.452108495,red
UNC119B,hsa-mir-765,0.3069170985,green
AMFR,hsa-mir-143,0.4126043855,red
PRPF40A,hsa-mir-21,0.3534510755,green
TIMM22,hsa-mir-141,0.4477620955,green
ZBTB24,hsa-mir-589,0.3400132605,green
ARIH2,hsa-mir-1251,0.326969844,red
CELF5,hsa-mir-140,0.3131462105,green
PCDH19,hsa-mir-141,0.4931598755,red
SLC36A4,hsa-mir-200b,0.3070868385,green
PLEK2,hsa-mir-421,0.3793903645,red
NLGN3,hsa-mir-29a,0.3834828135,green
OLFM1,hsa-mir-589,0.336548399,green
NT5E,hsa-mir-378,0.4711889865,green
STK24,hsa-mir-653,0.35856033,red
KRAS,hsa-mir-493,0.3664053,green
FAM198B,hsa-mir-21,0.4371719975,green
SHE,hsa-mir-204,0.3623824385,green
ARL13B,hsa-mir-412,0.3577414565,green
GLUD1,hsa-mir-424,0.4209454885,green
TRABD,hsa-mir-421,0.3107142165,red
AHI1,hsa-mir-625,0.3045043475,green
IPO9,hsa-mir-432,0.2997251645,red
