mRNA,microRNA,weight,edge_color
PSPH,hsa-mir-25,0.263234731632697,red
TRIB3,hsa-mir-132,0.32606437646676,green
FANCE,hsa-mir-940,0.293868464005774,red
ETS1,hsa-mir-200c,0.298381055426988,red
IPO9,hsa-mir-589,0.363466211382524,green
C6orf165,hsa-mir-889,0.307084537884164,green
NFXL1,hsa-mir-1251,0.288716461861817,red
FAM122C,hsa-mir-144,0.265863717358319,green
GPIHBP1,hsa-mir-370,0.326669892857598,red
C1orf106,hsa-mir-96,0.306018522021083,red
TNNI1,hsa-mir-96,0.327718448083866,red
PLCG1,hsa-mir-3690,0.289679225469521,green
KLHL21,hsa-mir-22,0.433700208639575,red
CCNB3,hsa-mir-451,0.261700073000212,green
CDC14A,hsa-mir-107,0.282097168014383,green
BTBD7,hsa-mir-223,0.321386053734311,green
PHF20L1,hsa-mir-21,0.246826268123061,green
C18orf25,hsa-mir-10b,0.298781013429437,red
RABEP2,hsa-mir-328,0.326017020495654,red
LYN,hsa-mir-217,0.369735919673492,red
CREB5,hsa-mir-494,0.290678894982499,green
FAM109A,hsa-mir-370,0.27027547659978,green
SOX17,hsa-mir-134,0.326122940414707,red
TMEM173,hsa-mir-504,0.306460744455155,green
MMP24,hsa-mir-889,0.31893455143821,green
UCK2,hsa-mir-17,0.367516648176956,red
CNTN4,hsa-mir-889,0.304417270162299,green
ABLIM1,hsa-mir-143,0.277647968170374,green
DVL2,hsa-mir-221,0.329806584714618,green
GPR172B,hsa-mir-32,0.352675689744216,green
EIF5A2,hsa-mir-224,0.302794773574879,red
C9orf170,hsa-mir-548v,0.276268269578382,green
DGKZ,hsa-mir-17,0.33446460300387,red
ENOX1,hsa-mir-1976,0.263950650590353,green
FUT3,hsa-mir-589,0.369887335857207,red
RMI1,hsa-mir-888,0.271349520215212,red
FAM116A,hsa-mir-98,0.251377807603473,green
FAM49B,hsa-mir-217,0.337820493241015,red
CRY2,hsa-mir-221,0.28844721078044,red
XK,hsa-mir-183,0.3828333694338,red
B3GALT5,hsa-mir-221,0.266624303129816,green
GSN,hsa-mir-891a,0.286517282861549,red
ZDHHC1,hsa-mir-106b,0.258018704127365,green
NFATC4,hsa-mir-34a,0.295125245958832,green
LRRC56,hsa-mir-653,0.299934016104572,red
ATM,hsa-mir-150,0.250956691660412,green
DPYSL2,hsa-mir-217,0.306477713953436,red
TWSG1,hsa-mir-625,0.303601395489367,green
DPH1,hsa-mir-581,0.316785617880795,green
ZNF35,hsa-mir-21,0.289620609747611,green
RUNDC1,hsa-mir-21,0.296315852354779,red
RFC3,hsa-mir-664,0.293337200960274,green
PHACTR2,hsa-mir-500a,0.351781571355546,red
AMOTL1,hsa-mir-802,0.272648172621804,green
PHACTR2,hsa-mir-21,0.341763194752036,green
C6orf174,hsa-mir-495,0.314426285393928,green
NEK11,hsa-mir-224,0.369963471689698,green
YBX1,hsa-mir-31,0.284149305918167,green
HPGD,hsa-mir-141,0.638310718658004,red
MKRN1,hsa-mir-17,0.287807112326797,green
WDR1,hsa-mir-744,0.325096839044469,red
RP2,hsa-mir-363,0.270934263556884,red
C12orf75,hsa-mir-452,0.292116355179677,green
SLC15A4,hsa-mir-141,0.296295189167182,green
TPM1,hsa-mir-141,0.249217027060605,green
UPK1B,hsa-mir-421,0.26866268831957,green
KYNU,hsa-mir-221,0.31084612023392,red
IFI6,hsa-mir-1251,0.295991312658722,red
NUDT16,hsa-mir-653,0.304923881001788,green
SLC7A4,hsa-mir-99b,0.412867077167101,red
CDC42SE1,hsa-mir-877,0.384445661140176,red
SPIN1,hsa-mir-421,0.353784800745288,green
PTPN14,hsa-mir-616,0.323045641985593,green
CAB39L,hsa-mir-22,0.322574397767671,red
ABHD12,hsa-mir-22,0.388201375366363,red
HSPB2,hsa-mir-92b,0.258770282351117,green
ZFHX3,hsa-mir-944,0.481212337750276,red
ITGB8,hsa-mir-487a,0.322586832206299,green
FAM174B,hsa-mir-1251,0.537519905317029,red
SLC9A5,hsa-mir-140,0.262086467706359,green
RAB11A,hsa-mir-625,0.315059857334988,green
FLT1,hsa-mir-934,0.312701276354808,red
RAB11FIP3,hsa-mir-96,0.324449027603705,red
C1orf106,hsa-mir-182,0.35809339864883,red
RTF1,hsa-mir-21,0.28947638447631,green
MECOM,hsa-mir-598,0.355618112995851,red
UST,hsa-mir-378,0.418224950304487,red
CTSC,hsa-mir-421,0.374515551935398,green
NUMBL,hsa-mir-374b,0.290146039393024,green
CLDN5,hsa-mir-127,0.424100110417469,red
LRRC20,hsa-mir-370,0.351673373482078,green
TFAP2B,hsa-mir-589,0.283819598512099,green
NHS,hsa-mir-22,0.338841752776102,green
GRM5,hsa-mir-186,0.391161117905602,green
HIST1H2BK,hsa-mir-31,0.325796159309317,green
AQP4,hsa-mir-4326,0.317598189421512,green
XK,hsa-mir-224,0.329876168693686,red
MAP2K7,hsa-mir-3928,0.247576557058865,red
ILF3,hsa-mir-940,0.318487416851541,red
TRIM66,hsa-mir-581,0.310372855707663,green
CISD2,hsa-mir-660,0.295143700875063,red
LTBP3,hsa-mir-93,0.285537966495663,green
THSD1P1,hsa-mir-581,0.342704555730932,green
RYR1,hsa-mir-22,0.379910324463154,red
PLXNA2,hsa-mir-382,0.318661406896505,red
GHR,hsa-mir-221,0.388393636636267,red
ANKMY1,hsa-mir-500a,0.336578255685599,green
RGS13,hsa-mir-433,0.27529440182343,green
YPEL1,hsa-mir-224,0.326652779618113,green
RIMKLA,hsa-mir-758,0.321198297686841,green
ERF,hsa-mir-22,0.379317151131617,green
MASP1,hsa-mir-143,0.257506242576453,green
C11orf84,hsa-let-7e,0.264601562484848,red
G2E3,hsa-mir-205,0.313935277585614,red
GNA14,hsa-mir-489,0.300153333742955,red
WDR20,hsa-mir-664,0.26765487726046,green
KCTD15,hsa-mir-589,0.420184107348627,green
DHRS3,hsa-mir-19a,0.304800035125629,red
E2F3,hsa-mir-17,0.384549703683483,red
NCALD,hsa-mir-500a,0.294078857806434,red
WDR65,hsa-mir-412,0.307699572010488,green
PSD4,hsa-mir-151,0.336224341049861,red
TACC1,hsa-mir-410,0.295377819421892,red
PKP1,hsa-mir-141,0.537944926896162,red
JAZF1,hsa-mir-200a,0.35672766224029,green
PARD6G,hsa-mir-483,0.450559359312225,red
UNC119B,hsa-mir-765,0.26059495490826,green
AMFR,hsa-mir-143,0.383859723842656,red
PRPF40A,hsa-mir-21,0.283679534170288,green
TIMM22,hsa-mir-141,0.36333172843755,green
ZBTB24,hsa-mir-589,0.32120813746026,green
ARIH2,hsa-mir-1251,0.265605790829442,red
CELF5,hsa-mir-140,0.258828042581456,green
PCDH19,hsa-mir-141,0.491484232201693,red
SLC36A4,hsa-mir-200b,0.259421111271467,green
PLEK2,hsa-mir-421,0.327058186759626,red
NLGN3,hsa-mir-29a,0.307530203720489,green
OLFM1,hsa-mir-589,0.294512899370831,green
NT5E,hsa-mir-378,0.382305834324647,green
STK24,hsa-mir-653,0.291864244677288,red
KRAS,hsa-mir-493,0.294726647499212,green
FAM198B,hsa-mir-21,0.385309347607053,green
SHE,hsa-mir-204,0.347765864092167,green
ARL13B,hsa-mir-412,0.316540090452295,green
GLUD1,hsa-mir-424,0.376593715601764,green
TRABD,hsa-mir-421,0.26805223404658,red
AHI1,hsa-mir-625,0.270298449700661,green
IPO9,hsa-mir-432,0.253012971326657,red
ATPAF2,hsa-mir-589,0.395832609667303,red
SPG20,hsa-mir-660,0.251606860758883,red
FOXE1,hsa-mir-374b,0.277171079858242,green
BPHL,hsa-mir-217,0.268239726293974,green
ENTPD2,hsa-mir-22,0.439870261988702,green
CDC14A,hsa-mir-141,0.326970408166223,red
ADRA1B,hsa-mir-17,0.429721038429823,red
SH3RF2,hsa-mir-382,0.311659668170254,green
CASP7,hsa-mir-17,0.272382124868917,green
SEMA5A,hsa-mir-143,0.272145864094947,green
PDE10A,hsa-mir-3942,0.263165816892878,green
CORT,hsa-mir-126,0.275700421264051,green
BRWD1,hsa-mir-944,0.291842131827479,red
GALM,hsa-mir-34a,0.351721107731472,red
ANKH,hsa-mir-337,0.348167659321285,red
RGS12,hsa-mir-31,0.452809745583978,red
TNFSF10,hsa-mir-410,0.334236682018654,green
CABP7,hsa-mir-98,0.253516239246458,red
ARHGEF17,hsa-mir-379,0.246533054803259,red
ESYT2,hsa-mir-141,0.300726946190842,green
EFCAB2,hsa-mir-2114,0.285365913432618,red
GULP1,hsa-mir-199b,0.336519586711059,green
SLC36A1,hsa-mir-664,0.282713748632289,red
HNRNPH3,hsa-mir-93,0.26471241709798,green
TM7SF3,hsa-mir-500a,0.433362136881478,red
EHF,hsa-mir-589,0.339657599013576,green
BMP6,hsa-mir-548v,0.319580170305528,green
PRKCQ,hsa-mir-500a,0.315610252206988,green
KDELC1,hsa-mir-30a,0.350785149353524,red
CMBL,hsa-mir-17,0.442180593034179,red
SYN2,hsa-mir-651,0.266359204308671,red
LRRC8C,hsa-mir-1275,0.269746782171344,green
SPOCK2,hsa-mir-22,0.35744812848053,green
AIFM1,hsa-mir-34a,0.481970810045934,red
GLI3,hsa-mir-378,0.302349703397628,green
CACYBP,hsa-mir-224,0.441895845786831,red
SLC36A1,hsa-mir-15a,0.371768121705842,red
LRP12,hsa-mir-618,0.257209434798755,red
NUDT3,hsa-mir-424,0.310593167407671,red
MTMR3,hsa-mir-328,0.280656474223565,green
ZNF551,hsa-mir-203,0.27361498031827,red
NBEA,hsa-mir-21,0.377377688951273,green
L2HGDH,hsa-mir-217,0.272654840952681,green
FGFBP3,hsa-mir-589,0.30488773940126,green
CSGALNACT2,hsa-mir-10b,0.274374401862567,red
LMO1,hsa-mir-134,0.268858388539896,red
PARD6G,hsa-mir-17,0.399547482197022,red
ANAPC4,hsa-mir-581,0.260320710049349,green
C11orf57,hsa-mir-382,0.250516928027028,green
RAI2,hsa-mir-130b,0.305146937604132,green
ADAMTS9,hsa-mir-412,0.313689557772243,green
DOCK9,hsa-mir-653,0.325157242036876,red
GREB1,hsa-mir-17,0.278469698768613,red
TP53I11,hsa-mir-31,0.351866910397702,green
MMP24,hsa-mir-127,0.391758092327814,green
NPTN,hsa-mir-25,0.320484730157145,green
GALNT10,hsa-mir-500a,0.287275417764784,red
E2F3,hsa-mir-581,0.31806770078908,red
ZNF443,hsa-mir-452,0.318576571799545,green
KLHL12,hsa-mir-642a,0.407374837773033,green
PBLD,hsa-mir-660,0.3092467220673,red
KCNJ16,hsa-mir-376c,0.401446682570064,green
ARL3,hsa-mir-200c,0.323481597264425,green
ZDHHC14,hsa-mir-25,0.258129393597539,green
LRP11,hsa-mir-182,0.317759947315164,red
VLDLR,hsa-mir-25,0.287522663646911,green
KIF1B,hsa-mir-203,0.455255874215174,red
PFKM,hsa-mir-433,0.316855908320085,red
PAX8,hsa-mir-629,0.27702871831837,green
FXR1,hsa-mir-20a,0.252764367226975,red
C18orf54,hsa-mir-500a,0.331320372712178,green
EIF5,hsa-mir-200b,0.285772361952692,red
ZNF706,hsa-mir-31,0.301575390588125,green
SLC10A2,hsa-mir-581,0.344222847306404,red
ORC1L,hsa-mir-182,0.269881287457924,red
AK7,hsa-mir-224,0.344166439964182,green
ZSCAN18,hsa-mir-17,0.300687295799889,green
CTBS,hsa-mir-375,0.335406834972048,red
NTRK2,hsa-mir-200b,0.31365846564493,green
ETF1,hsa-mir-133b,0.301445949867659,red
ZNF488,hsa-mir-19a,0.300534242629082,red
NLRC5,hsa-mir-23a,0.273497923654002,green
SFXN2,hsa-mir-17,0.320446701294335,red
AQP11,hsa-mir-653,0.29824752954146,green
TBX3,hsa-mir-940,0.409770137917716,red
PLA2G15,hsa-mir-664,0.36193851787407,red
ALDOC,hsa-mir-98,0.292740696068249,red
EDA,hsa-mir-221,0.450662205761765,red
SPRED1,hsa-mir-203,0.331873917494484,red
SKAP2,hsa-mir-452,0.346805499778277,green
DIO2,hsa-mir-141,0.280803942156553,red
CDK2,hsa-mir-891a,0.374205625530007,red
ACOX1,hsa-mir-141,0.306075905907562,red
TPMT,hsa-mir-217,0.267156296293684,green
KLF8,hsa-mir-30a,0.373579347371601,red
HDLBP,hsa-mir-433,0.338581440866249,red
KLHL21,hsa-mir-378,0.402267324019167,red
ODF2L,hsa-mir-598,0.325656821724546,red
TM7SF3,hsa-mir-581,0.313838382151173,red
DDR1,hsa-mir-592,0.259679857718266,green
LAMC1,hsa-mir-150,0.283086911520724,green
TACC1,hsa-mir-136,0.2553539209375,red
C11orf95,hsa-mir-1229,0.258930493503131,green
DLL1,hsa-mir-152,0.33390269066112,red
PDHA1,hsa-mir-1976,0.289845503864805,red
RUFY1,hsa-mir-182,0.356107923090926,green
C6orf165,hsa-mir-381,0.315909174447191,green
SLC13A3,hsa-mir-15a,0.308276248394762,red
TMEM184B,hsa-mir-25,0.274649976398143,green
PTGER2,hsa-mir-589,0.406558031865141,green
TTLL9,hsa-mir-493,0.246500508607337,green
PTPRD,hsa-mir-217,0.33653984921188,green
PTPN9,hsa-mir-30a,0.359869787737679,red
NFAT5,hsa-mir-224,0.322271172244741,green
C3orf55,hsa-mir-1976,0.285419086778276,red
PTPLA,hsa-mir-888,0.322073682945344,red
ACTR5,hsa-mir-934,0.359631825211561,red
FARSA,hsa-mir-424,0.325838497447079,red
CCDC108,hsa-mir-380,0.275964796355021,green
HIATL1,hsa-mir-653,0.287028550666218,red
ZNF512,hsa-mir-625,0.317848593921376,green
CUX1,hsa-mir-182,0.406894304472669,red
DENND1A,hsa-mir-3690,0.348102580344668,red
COPS7B,hsa-mir-34a,0.37239059571504,green
RELA,hsa-mir-185,0.278371418560326,green
PRKCE,hsa-mir-500a,0.30624403683678,red
C3orf64,hsa-mir-888,0.272892933331714,red
FZD4,hsa-mir-378,0.401973203209141,green
IGF2BP3,hsa-mir-616,0.352908565050493,red
STX2,hsa-mir-141,0.348857790726476,green
CRCP,hsa-mir-1266,0.277480474839438,green
LAMC1,hsa-mir-1258,0.273607194353083,green
ZDHHC23,hsa-mir-135b,0.341413681315364,green
LITAF,hsa-mir-20a,0.277099932072907,green
GRB10,hsa-mir-424,0.310015797054807,green
PCSK6,hsa-mir-25,0.260977273327199,green
NFYB,hsa-mir-888,0.287268634006831,red
C20orf11,hsa-mir-500b,0.323294111255041,green
CRK,hsa-mir-10a,0.249531733011209,red
RPGRIP1L,hsa-mir-410,0.314119450632157,green
D2HGDH,hsa-mir-31,0.383799744284821,red
APP,hsa-mir-25,0.398449494506246,green
CIR1,hsa-mir-21,0.313286080218833,green
RUNDC3B,hsa-mir-25,0.340554258715161,red
CABLES1,hsa-mir-17,0.315434079645483,red
SHMT1,hsa-mir-500b,0.263305688814481,red
HRH2,hsa-mir-210,0.483357634028634,red
MXD4,hsa-mir-1269,0.273312796731639,red
CCDC135,hsa-mir-495,0.339307006253081,green
DOCK1,hsa-mir-3127,0.300004464640146,green
GABRE,hsa-mir-589,0.36003489131075,green
GPD1L,hsa-mir-141,0.309192489987737,red
SNCA,hsa-mir-500a,0.490849013410227,red
THSD4,hsa-mir-589,0.347518629219095,green
ARHGAP32,hsa-mir-224,0.479205063571814,red
SLC22A3,hsa-mir-421,0.304137312603318,green
CABLES1,hsa-mir-20b,0.586765437086959,red
SFXN3,hsa-mir-22,0.274735728772754,green
PRICKLE2,hsa-mir-500a,0.370391591343021,red
SPOPL,hsa-mir-200c,0.298547542312482,red
CYB5R4,hsa-mir-31,0.393902987088739,green
CMBL,hsa-mir-581,0.348517687997426,red
KLF8,hsa-mir-495,0.301044873360692,green
GHDC,hsa-mir-34a,0.351496010328397,red
TIMM8A,hsa-mir-17,0.310228610514491,red
LEPRE1,hsa-mir-891a,0.31639845935943,red
SPATS2,hsa-mir-3690,0.273052368630158,green
ZNF169,hsa-mir-25,0.310264393569963,green
TINAGL1,hsa-mir-3940,0.317463036514852,green
SMARCC2,hsa-mir-766,0.30028257640073,green
SPON1,hsa-mir-337,0.320753443207641,green
RNF6,hsa-mir-17,0.300630007138101,red
GLIS3,hsa-mir-150,0.341267217686991,green
ZNF770,hsa-mir-500a,0.35201903893583,red
PTOV1,hsa-mir-10b,0.271314165445889,green
LOC153684,hsa-mir-183,0.362568874757403,green
ENGASE,hsa-mir-581,0.283629716013626,green
PGAP1,hsa-mir-539,0.304921065508089,red
SRP68,hsa-mir-618,0.260862666419144,green
SCAI,hsa-mir-1245,0.28843088898238,green
SLC16A7,hsa-mir-605,0.336071336136771,red
CDR2,hsa-mir-412,0.332370056108153,green
SEC31B,hsa-mir-500b,0.274317524034791,green
PICALM,hsa-mir-421,0.285194656459649,green
HIGD2A,hsa-let-7d,0.315116637102622,red
ZBTB2,hsa-mir-888,0.278831876260009,red
ST6GALNAC2,hsa-mir-182,0.333905484543156,green
CTPS2,hsa-mir-3690,0.256517995297206,green
BTG1,hsa-mir-17,0.30808450234176,green
CLPTM1,hsa-mir-221,0.4436099883376,red
CDKN2D,hsa-mir-217,0.288442845826965,red
SLC7A7,hsa-mir-222,0.32317587450261,red
ZNF24,hsa-mir-141,0.315236226434707,red
PRAP1,hsa-mir-17,0.365990871932346,red
FOXP2,hsa-mir-500a,0.267439975175376,green
C10orf35,hsa-mir-676,0.2897099347597,red
PPP1R13L,hsa-mir-940,0.359711726673505,red
CYP4F11,hsa-mir-224,0.305968491798591,red
DBI,hsa-mir-363,0.409429013642336,red
KCNH8,hsa-mir-412,0.291516283704376,green
TNFRSF1B,hsa-mir-1254,0.274878213700373,green
IL17RD,hsa-mir-143,0.403255560179041,green
LOC146880,hsa-mir-34a,0.249620612430212,green
MCF2L,hsa-mir-10b,0.255644802106162,green
MMAA,hsa-mir-217,0.294517808272383,green
GRTP1,hsa-mir-17,0.295718694715622,red
BCAS1,hsa-mir-940,0.364307142102433,red
IL17RD,hsa-mir-370,0.282765585917475,green
SDHAF2,hsa-mir-676,0.25313150916552,red
SYP,hsa-mir-1266,0.290820187533475,green
CCDC150,hsa-mir-581,0.357324687446749,red
FBP1,hsa-mir-18a,0.328656015339609,red
ETV5,hsa-mir-137,0.347387691366491,red
TRIM9,hsa-mir-134,0.283532279767715,green
EZR,hsa-mir-370,0.297394273647657,green
WDR63,hsa-mir-21,0.278451854116246,green
FOXC1,hsa-mir-17,0.3097669783035,green
MYO5C,hsa-mir-31,0.311444631210179,green
SEMA4G,hsa-mir-17,0.374059931684534,red
CCDC50,hsa-mir-224,0.257724387143977,green
HS1BP3,hsa-mir-625,0.345451289217322,red
ANKH,hsa-mir-432,0.30807311643753,red
PRAP1,hsa-mir-18a,0.264396222664146,red
LAMP1,hsa-mir-15a,0.338388723127446,red
SNRK,hsa-mir-96,0.283413234065013,green
CIC,hsa-mir-25,0.319215361771836,green
WDFY2,hsa-mir-452,0.294839021392158,red
CDKN1C,hsa-mir-92b,0.273158442539413,red
NPTN,hsa-mir-664,0.292370323877222,green
PGGT1B,hsa-mir-10b,0.400802054712522,red
SHQ1,hsa-mir-203,0.288459658593758,red
PFKFB3,hsa-mir-625,0.308731363332175,green
EHD2,hsa-mir-3690,0.278255697298348,green
CLN3,hsa-mir-98,0.351057757718916,red
SYT11,hsa-mir-10b,0.295537102197463,red
WHSC1,hsa-mir-598,0.308104877157178,red
DBN1,hsa-mir-3690,0.281164191723142,green
PAPD5,hsa-mir-31,0.305237197860598,red
ACSL5,hsa-mir-1229,0.502812818308833,red
HNMT,hsa-mir-579,0.319717991615233,red
PIP4K2A,hsa-mir-653,0.293472065562827,green
ARHGAP19,hsa-mir-378,0.352023561304739,green
PRICKLE1,hsa-mir-136,0.307452453167246,green
PPP1R1A,hsa-mir-505,0.267217641156487,red
KCNQ1,hsa-mir-31,0.295451460034568,green
SRPX2,hsa-mir-940,0.253102725083919,red
SKA2,hsa-mir-1251,0.300126860453468,red
SUSD4,hsa-mir-589,0.463404810455687,green
ATP6V0B,hsa-mir-421,0.318620215447489,red
C16orf52,hsa-mir-421,0.290049835002583,green
SLC25A10,hsa-mir-17,0.377406207223374,red
DDX23,hsa-mir-500a,0.24599742432627,green
GPRIN1,hsa-mir-185,0.272882384920928,green
ZNF548,hsa-mir-10b,0.304709919061405,red
SGMS1,hsa-mir-10b,0.406039445452635,red
GLRX,hsa-mir-653,0.309123048620977,green
MTMR4,hsa-mir-93,0.360454804724265,red
ZNF543,hsa-mir-10b,0.352953256531256,red
MAPK6,hsa-mir-141,0.309377896788133,red
STMN1,hsa-mir-221,0.285262915188143,green
GRINL1A,hsa-mir-589,0.287460501247684,green
TMCC2,hsa-mir-424,0.370249736928193,red
EPHA7,hsa-mir-452,0.343521598095627,green
SBK1,hsa-mir-214,0.288545289661161,green
ALKBH5,hsa-mir-891b,0.299631232094538,green
EPB41L4B,hsa-mir-25,0.272862603344427,green
GAS1,hsa-mir-204,0.288161547951007,green
KBTBD11,hsa-mir-504,0.295649891302538,red
IYD,hsa-mir-598,0.29951988872826,green
C1orf85,hsa-mir-766,0.266799450352567,red
EHD3,hsa-mir-141,0.36141485443627,red
SCARA3,hsa-mir-589,0.266429453545801,green
C6orf208,hsa-mir-17,0.325286872764907,red
SOX13,hsa-mir-539,0.244570737929641,red
DYNC2LI1,hsa-let-7i,0.352704057502228,green
FAM3C,hsa-mir-874,0.29641703600534,red
AZIN1,hsa-mir-181c,0.274474105406749,green
PTPRB,hsa-mir-224,0.287687874496176,red
PRRG1,hsa-mir-20a,0.302479148784114,green
SPRYD4,hsa-mir-1266,0.296670694569708,red
SIX4,hsa-mir-944,0.391603064063813,red
C19orf21,hsa-mir-100,0.337042904682573,green
ANKS6,hsa-mir-3127,0.307638463506637,green
ZNF100,hsa-mir-1251,0.252797689644687,red
HOMEZ,hsa-mir-483,0.310300025164143,red
SCNN1G,hsa-mir-337,0.257116887292345,red
RGMA,hsa-mir-193b,0.265851473118043,green
TNFRSF19,hsa-mir-543,0.272805254848918,green
ETS1,hsa-mir-210,0.32117422531929,red
PSAT1,hsa-mir-651,0.388024068610636,red
RGS7BP,hsa-mir-431,0.296974032462948,red
ZNF277,hsa-mir-452,0.29782772207938,green
CERCAM,hsa-mir-370,0.382899626057805,red
EPHB4,hsa-mir-106a,0.258930195534405,green
MED22,hsa-mir-183,0.321536683075302,green
E2F7,hsa-mir-873,0.2527078469152,red
ZCCHC14,hsa-mir-31,0.347447025125581,red
GPR98,hsa-mir-149,0.535385591388807,red
NPHP1,hsa-mir-410,0.374432130211071,green
JAKMIP3,hsa-mir-589,0.296004617312609,green
GPN1,hsa-mir-1226,0.279581388326923,red
HCFC1R1,hsa-mir-204,0.329122628574143,red
FLT1,hsa-mir-483,0.267754198519772,red
KIAA1549,hsa-mir-31,0.273608296830144,red
KIAA1919,hsa-mir-17,0.264005345750832,red
PABPC5,hsa-mir-21,0.323042735181087,green
MAPK4,hsa-mir-625,0.291763113620524,red
DNAJC12,hsa-mir-589,0.319879609912309,red
BVES,hsa-mir-17,0.292345441338884,green
RAB6B,hsa-mir-141,0.346589558639519,green
LGI2,hsa-mir-376c,0.255848745676918,red
EIF5,hsa-mir-200c,0.278121614984227,red
MAP9,hsa-mir-10b,0.28698665197813,red
FBXL7,hsa-mir-653,0.267225071821537,red
C1orf183,hsa-mir-106a,0.248926575079697,red
KRAS,hsa-mir-412,0.310594261824278,green
PRR5L,hsa-mir-217,0.351649523661248,red
THUMPD2,hsa-mir-1229,0.322181722961965,red
ZSCAN29,hsa-mir-766,0.261876325179986,green
