mRNA,microRNA,weight,edge_color
PSPH,hsa-mir-25,0.388553833261969,red
TRIB3,hsa-mir-132,0.497487513554416,green
FANCE,hsa-mir-940,0.460416194219098,red
ETS1,hsa-mir-200c,0.454608321989511,red
IPO9,hsa-mir-589,0.534263289979535,green
C6orf165,hsa-mir-889,0.540407910576754,green
NFXL1,hsa-mir-1251,0.453633522368106,red
FAM122C,hsa-mir-144,0.373028685546141,green
GPIHBP1,hsa-mir-370,0.452598990279213,red
C1orf106,hsa-mir-96,0.39834421855438,red
TNNI1,hsa-mir-96,0.494747973193522,red
PLCG1,hsa-mir-3690,0.444061504549898,green
KLHL21,hsa-mir-22,0.484140191997662,red
CCNB3,hsa-mir-451,0.385482525251384,green
CDC14A,hsa-mir-107,0.410740556742412,green
BTBD7,hsa-mir-223,0.500148643065285,green
PHF20L1,hsa-mir-21,0.367287933770964,green
C18orf25,hsa-mir-10b,0.392585562449062,red
RABEP2,hsa-mir-328,0.450950376001356,red
LYN,hsa-mir-217,0.404125832008888,red
CREB5,hsa-mir-494,0.424081751889372,green
FAM109A,hsa-mir-370,0.425189565039212,green
SOX17,hsa-mir-134,0.395530363576971,red
TMEM173,hsa-mir-504,0.461962766507913,green
MMP24,hsa-mir-889,0.42275734321861,green
UCK2,hsa-mir-17,0.42407627577161,red
CNTN4,hsa-mir-889,0.395669727488649,green
ABLIM1,hsa-mir-143,0.37822176499754,green
DVL2,hsa-mir-221,0.455495179820812,green
GPR172B,hsa-mir-32,0.501790275947141,green
EIF5A2,hsa-mir-224,0.388100695535456,red
C9orf170,hsa-mir-548v,0.429950803222624,green
DGKZ,hsa-mir-17,0.428721771468246,red
ENOX1,hsa-mir-1976,0.380963726539176,green
FUT3,hsa-mir-589,0.475871467822797,red
RMI1,hsa-mir-888,0.399492397909789,red
FAM116A,hsa-mir-98,0.385579811657487,green
FAM49B,hsa-mir-217,0.389947094825915,red
CRY2,hsa-mir-221,0.384710920141287,red
XK,hsa-mir-183,0.41094044223382,red
B3GALT5,hsa-mir-221,0.427593176896141,green
GSN,hsa-mir-891a,0.387303121919491,red
ZDHHC1,hsa-mir-106b,0.393935872221167,green
NFATC4,hsa-mir-34a,0.446877094283243,green
LRRC56,hsa-mir-653,0.421231424793883,red
ATM,hsa-mir-150,0.384685615184607,green
DPYSL2,hsa-mir-217,0.403549548484328,red
TWSG1,hsa-mir-625,0.51451195527394,green
DPH1,hsa-mir-581,0.474064125525937,green
ZNF35,hsa-mir-21,0.429932496982088,green
RUNDC1,hsa-mir-21,0.401602828378767,red
RFC3,hsa-mir-664,0.398601741663241,green
PHACTR2,hsa-mir-500a,0.455450182693497,red
AMOTL1,hsa-mir-802,0.390854366784231,green
PHACTR2,hsa-mir-21,0.542370704330267,green
C6orf174,hsa-mir-495,0.412441409673445,green
NEK11,hsa-mir-224,0.470928623595458,green
YBX1,hsa-mir-31,0.386428706174901,green
HPGD,hsa-mir-141,0.652237063654974,red
MKRN1,hsa-mir-17,0.382103799694329,green
WDR1,hsa-mir-744,0.444565104315303,red
RP2,hsa-mir-363,0.370407103063106,red
C12orf75,hsa-mir-452,0.397232488540964,green
SLC15A4,hsa-mir-141,0.465211082860211,green
TPM1,hsa-mir-141,0.379576548598985,green
UPK1B,hsa-mir-421,0.425568321781332,green
KYNU,hsa-mir-221,0.50256793013477,red
IFI6,hsa-mir-1251,0.448563001181796,red
NUDT16,hsa-mir-653,0.499008561335383,green
SLC7A4,hsa-mir-99b,0.454153152801023,red
CDC42SE1,hsa-mir-877,0.465555514240314,red
SPIN1,hsa-mir-421,0.426100149602991,green
PTPN14,hsa-mir-616,0.431539338130791,green
CAB39L,hsa-mir-22,0.422171211756731,red
ABHD12,hsa-mir-22,0.542464172556119,red
