mRNA,microRNA,weight,edge_color
DTNA,hsa-mir-122,0.154378305,red
RPL8,hsa-mir-148b,0.126982889,red
AKT3,hsa-mir-151,0.491019986,green
THOC4,hsa-mir-497,0.519801374,green
DNAJC16,hsa-mir-500a,0.130955085,red
SPINT1,hsa-mir-483,0.123800906,red
AEBP2,hsa-mir-23c,0.408561992,green
LOC100130581,hsa-mir-17,0.397706188,green
CYP2B6,hsa-mir-421,0.467933903,green
ANTXR1,hsa-mir-186,0.429703203,green
INTS7,hsa-mir-20a,0.175357189,red
STK10,hsa-mir-589,0.578410702,green
P2RX4,hsa-mir-29a,0.405325986,green
FEM1C,hsa-mir-380,0.493836057,green
FAM49B,hsa-mir-217,0.505062539,green
APOL6,hsa-mir-221,0.469560674,green
TANC2,hsa-mir-151,0.41674469,green
CDKN2AIPNL,hsa-mir-940,0.151328245,red
MADD,hsa-mir-140,0.438668702,green
PDCD6IP,hsa-mir-651,0.129359276,red
MAN2B1,hsa-mir-34a,0.59749281,green
ADCY7,hsa-mir-217,0.511703629,green
NALCN,hsa-mir-203,0.156654179,red
MLPH,hsa-mir-27b,0.631054034,green
SFMBT2,hsa-mir-589,0.450849258,green
ZNF35,hsa-mir-21,0.405093746,green
POU6F1,hsa-mir-500a,0.440254293,green
SCAP,hsa-mir-130b,0.122892239,red
UGT1A9,hsa-mir-141,0.408062418,green
COL4A1,hsa-mir-203,0.174126008,red
XPR1,hsa-mir-548v,0.316863986,red
CHST11,hsa-mir-34a,0.391627295,green
PQLC3,hsa-mir-221,0.44506616,green
SRC,hsa-mir-217,0.553572465,green
CRKL,hsa-mir-3174,0.131440152,red
SYNCRIP,hsa-let-7c,0.450595044,green
ENTPD1,hsa-mir-452,0.484384647,green
FMNL3,hsa-mir-217,0.485492963,green
ZNF286B,hsa-mir-29a,0.412138853,green
RAP1GDS1,hsa-mir-185,0.428817764,green
NRAS,hsa-mir-624,0.148721666,red
NETO2,hsa-mir-203,0.211854143,red
MMGT1,hsa-mir-539,0.459781573,green
NCBP1,hsa-mir-25,0.185993147,red
ITPKB,hsa-mir-106b,0.408638188,green
PECAM1,hsa-mir-22,0.185872443,red
UGGT1,hsa-let-7b,0.406068357,green
