mRNA,microRNA,weight,edge_color
DTNA,hsa-mir-122,0.316387933,red
RPL8,hsa-mir-148b,0.340020115,red
AKT3,hsa-mir-151,0.3195642225,green
THOC4,hsa-mir-497,0.320638418,green
DNAJC16,hsa-mir-500a,0.268694656,red
SPINT1,hsa-mir-483,0.2599920585,red
AEBP2,hsa-mir-23c,0.278789972,green
LOC100130581,hsa-mir-17,0.2751410115,green
CYP2B6,hsa-mir-421,0.309572282,green
ANTXR1,hsa-mir-186,0.310190432,green
INTS7,hsa-mir-20a,0.3195658645,red
STK10,hsa-mir-589,0.3648376225,green
P2RX4,hsa-mir-29a,0.313083116,green
FEM1C,hsa-mir-380,0.312094889,green
FAM49B,hsa-mir-217,0.351159423,green
APOL6,hsa-mir-221,0.3091161275,green
TANC2,hsa-mir-151,0.2765686945,green
CDKN2AIPNL,hsa-mir-940,0.3291011565,red
MADD,hsa-mir-140,0.30123258,green
PDCD6IP,hsa-mir-651,0.2850567615,red
MAN2B1,hsa-mir-34a,0.38201092,green
ADCY7,hsa-mir-217,0.3249567375,green
NALCN,hsa-mir-203,0.2824162405,red
MLPH,hsa-mir-27b,0.432459912,green
SFMBT2,hsa-mir-589,0.2994766745,green
ZNF35,hsa-mir-21,0.278175917,green
POU6F1,hsa-mir-500a,0.2869504015,green
SCAP,hsa-mir-130b,0.3298558735,red
UGT1A9,hsa-mir-141,0.269210385,green
COL4A1,hsa-mir-203,0.28758786,red
XPR1,hsa-mir-548v,0.398723665,red
CHST11,hsa-mir-34a,0.2665576225,green
PQLC3,hsa-mir-221,0.3000906705,green
SRC,hsa-mir-217,0.3924376775,green
CRKL,hsa-mir-3174,0.283605123,red
SYNCRIP,hsa-let-7c,0.292990284,green
ENTPD1,hsa-mir-452,0.304173628,green
FMNL3,hsa-mir-217,0.305251142,green
ZNF286B,hsa-mir-29a,0.326863397,green
RAP1GDS1,hsa-mir-185,0.282653014,green
NRAS,hsa-mir-624,0.275243808,red
NETO2,hsa-mir-203,0.3156797545,red
MMGT1,hsa-mir-539,0.3001379705,green
NCBP1,hsa-mir-25,0.296044663,red
ITPKB,hsa-mir-106b,0.276941529,green
PECAM1,hsa-mir-22,0.319153305,red
UGGT1,hsa-let-7b,0.278002856,green
ASCC3,hsa-mir-548v,0.2666352085,red
NKD1,hsa-mir-183,0.2987971825,green
OBSCN,hsa-mir-34a,0.2734781995,green
CNDP2,hsa-mir-29a,0.3477620925,red
SIRPB2,hsa-mir-589,0.2713755695,green
FRAT2,hsa-mir-766,0.3355373535,red
LMBR1,hsa-mir-204,0.2651488295,red
TCF4,hsa-mir-452,0.275573089,green
HCLS1,hsa-mir-30d,0.2684634555,green
MID2,hsa-mir-939,0.28360558,green
LOC100130015,hsa-mir-328,0.3390868495,red
FTSJD2,hsa-mir-183,0.343774313,green
UPF3A,hsa-mir-10a,0.308568026,green
LY9,hsa-mir-34a,0.28828119,green
UBASH3B,hsa-mir-34a,0.325036584,green
SEPHS1,hsa-mir-182,0.290117964,red
KIF21B,hsa-mir-217,0.343587241,green
LSM14B,hsa-mir-376c,0.423854904,red
VPS41,hsa-mir-186,0.2670578825,green
HCLS1,hsa-mir-589,0.3287805285,green
PLD2,hsa-mir-3188,0.2685385015,red
HMGCL,hsa-mir-17,0.303150371,green
FAM125B,hsa-mir-27b,0.3765642375,red
SELPLG,hsa-mir-34a,0.2904758165,green
EIF4B,hsa-mir-1180,0.307193623,red
IRAK1,hsa-mir-590,0.2970876565,red
XPR1,hsa-mir-2355,0.320567188,red
ESAM,hsa-mir-942,0.3197143065,green
EIF1AX,hsa-mir-429,0.268509555,red
BTNL9,hsa-mir-376c,0.3010534895,green
AGPAT9,hsa-mir-27b,0.3495155365,green
BTF3,hsa-mir-497,0.313341671,green
ZMAT5,hsa-mir-940,0.2926143375,red
ABCB4,hsa-mir-200c,0.32005147,green
PPP1R12B,hsa-mir-629,0.292637673,green
STXBP6,hsa-mir-148b,0.303693973,red
LSM4,hsa-mir-151,0.299595311,red
ADRA1B,hsa-mir-17,0.344720552,green
IL1RAP,hsa-mir-222,0.285947171,red
KIN,hsa-mir-2276,0.274438997,red
SERBP1,hsa-mir-1287,0.303397125,red
PIGU,hsa-mir-758,0.3907552865,red
DPH3,hsa-mir-17,0.3119397915,red
CLPTM1,hsa-mir-495,0.324985945,red
FCN2,hsa-mir-100,0.3394959005,red
GPR146,hsa-mir-29a,0.2728626405,red
UBTD2,hsa-mir-149,0.30847918,red
SIT1,hsa-mir-34a,0.282907205,green
MTF2,hsa-mir-517a,0.290925598,red
RPL35A,hsa-mir-98,0.2818672185,red
FHOD1,hsa-mir-186,0.3013616305,green
CTNNBIP1,hsa-mir-299,0.3101832885,red
WDR72,hsa-mir-21,0.271715991,red
RAPGEFL1,hsa-mir-370,0.325910057,red
ORAI2,hsa-mir-140,0.4382792255,green
FBXO33,hsa-mir-23c,0.304831197,green
ZFPM2,hsa-mir-652,0.2957363405,green
STBD1,hsa-mir-134,0.2856175855,green
ZHX1,hsa-mir-590,0.2839739335,green
CEP152,hsa-mir-651,0.322342098,red
ASCC3,hsa-mir-651,0.290319107,red
LDLRAP1,hsa-mir-765,0.2857573805,green
LCP1,hsa-mir-107,0.277977625,green
DLG3,hsa-mir-140,0.3107807375,green
KIF5B,hsa-let-7c,0.317231938,green
SENP5,hsa-mir-526b,0.303311022,red
KIAA1804,hsa-mir-21,0.2763770715,red
FAM168B,hsa-mir-331,0.2955235115,red
