mRNA,microRNA,weight,edge_color
DTNA,hsa-mir-122,0.271761300746287,red
RPL8,hsa-mir-148b,0.265007205454565,red
AKT3,hsa-mir-151,0.26967427290096,green
THOC4,hsa-mir-497,0.251282932279303,green
DNAJC16,hsa-mir-500a,0.230704635288705,red
SPINT1,hsa-mir-483,0.221467470441573,red
AEBP2,hsa-mir-23c,0.246744951950147,green
LOC100130581,hsa-mir-17,0.246333825770573,green
CYP2B6,hsa-mir-421,0.266001117999417,green
ANTXR1,hsa-mir-186,0.286242557409356,green
INTS7,hsa-mir-20a,0.285177488003819,red
STK10,hsa-mir-589,0.295792208322564,green
P2RX4,hsa-mir-29a,0.299186046563727,green
FEM1C,hsa-mir-380,0.253719072191899,green
FAM49B,hsa-mir-217,0.315637087882878,green
APOL6,hsa-mir-221,0.264216441159527,green
TANC2,hsa-mir-151,0.238413365948762,green
CDKN2AIPNL,hsa-mir-940,0.276955525574867,red
MADD,hsa-mir-140,0.268052941828769,green
PDCD6IP,hsa-mir-651,0.238779501393744,red
MAN2B1,hsa-mir-34a,0.315436044359668,green
ADCY7,hsa-mir-217,0.265936984569148,green
NALCN,hsa-mir-203,0.252869208851976,red
MLPH,hsa-mir-27b,0.384163962643683,green
SFMBT2,hsa-mir-589,0.2584039851359,green
ZNF35,hsa-mir-21,0.247535261085603,green
POU6F1,hsa-mir-500a,0.242566382196642,green
SCAP,hsa-mir-130b,0.25684810935064,red
UGT1A9,hsa-mir-141,0.230638991334109,green
COL4A1,hsa-mir-203,0.264259693029621,red
XPR1,hsa-mir-548v,0.390230129519812,red
CHST11,hsa-mir-34a,0.235394441594519,green
PQLC3,hsa-mir-221,0.262748012295764,green
SRC,hsa-mir-217,0.357830841290859,green
CRKL,hsa-mir-3174,0.239327573406021,red
SYNCRIP,hsa-let-7c,0.246989971747322,green
ENTPD1,hsa-mir-452,0.245042005790158,green
FMNL3,hsa-mir-217,0.246355729900703,green
ZNF286B,hsa-mir-29a,0.315543621235435,green
RAP1GDS1,hsa-mir-185,0.241926832287619,green
NRAS,hsa-mir-624,0.24444079329374,red
NETO2,hsa-mir-203,0.298117342329881,red
MMGT1,hsa-mir-539,0.254158850950898,green
NCBP1,hsa-mir-25,0.274829231190726,red
ITPKB,hsa-mir-106b,0.243623891466119,green
PECAM1,hsa-mir-22,0.289991454903347,red
UGGT1,hsa-let-7b,0.246748486110403,green
ASCC3,hsa-mir-548v,0.234366291078158,red
NKD1,hsa-mir-183,0.251959019575932,green
OBSCN,hsa-mir-34a,0.235370312394506,green
CNDP2,hsa-mir-29a,0.344543402472419,red
SIRPB2,hsa-mir-589,0.230265216762004,green
FRAT2,hsa-mir-766,0.323045697889788,red
LMBR1,hsa-mir-204,0.225540534538122,red
TCF4,hsa-mir-452,0.24414583228795,green
HCLS1,hsa-mir-30d,0.238233288735685,green
MID2,hsa-mir-939,0.25353505542942,green
LOC100130015,hsa-mir-328,0.326750052434123,red
FTSJD2,hsa-mir-183,0.265500555687527,green
UPF3A,hsa-mir-10a,0.282239876825255,green
LY9,hsa-mir-34a,0.23612818797087,green
UBASH3B,hsa-mir-34a,0.27440564927187,green
SEPHS1,hsa-mir-182,0.242480095947918,red
KIF21B,hsa-mir-217,0.279491716181711,green
LSM14B,hsa-mir-376c,0.423455877020026,red
VPS41,hsa-mir-186,0.2247728697049,green
HCLS1,hsa-mir-589,0.266684962015342,green
PLD2,hsa-mir-3188,0.224913718699113,red
HMGCL,hsa-mir-17,0.273655601139978,green
FAM125B,hsa-mir-27b,0.365531154432947,red
SELPLG,hsa-mir-34a,0.242445055915975,green
EIF4B,hsa-mir-1180,0.24614283483005,red
IRAK1,hsa-mir-590,0.281067404689247,red
