mRNA,microRNA,weight,edge_color
DTNA,hsa-mir-122,0.382823263587146,red
RPL8,hsa-mir-148b,0.427380346064036,red
AKT3,hsa-mir-151,0.403235041579688,green
THOC4,hsa-mir-497,0.417830412708605,green
DNAJC16,hsa-mir-500a,0.325177557956399,red
SPINT1,hsa-mir-483,0.315840000076545,red
AEBP2,hsa-mir-23c,0.342119025426808,green
LOC100130581,hsa-mir-17,0.33495310821264,green
CYP2B6,hsa-mir-421,0.386853128495761,green
ANTXR1,hsa-mir-186,0.368512947591919,green
INTS7,hsa-mir-20a,0.378701553833086,red
STK10,hsa-mir-589,0.469061791640492,green
P2RX4,hsa-mir-29a,0.358097855251744,green
FEM1C,hsa-mir-380,0.400785009860586,green
FAM49B,hsa-mir-217,0.426264508485424,green
APOL6,hsa-mir-221,0.387413446578014,green
TANC2,hsa-mir-151,0.344974912636818,green
CDKN2AIPNL,hsa-mir-940,0.402000540880673,red
MADD,hsa-mir-140,0.368301733373056,green
PDCD6IP,hsa-mir-651,0.348903670158909,red
MAN2B1,hsa-mir-34a,0.487166593189949,green
ADCY7,hsa-mir-217,0.416089663296283,green
NALCN,hsa-mir-203,0.333987521998612,red
MLPH,hsa-mir-27b,0.529374314367999,green
SFMBT2,hsa-mir-589,0.373346854125973,green
ZNF35,hsa-mir-21,0.340112118452019,green
POU6F1,hsa-mir-500a,0.361763064008768,green
SCAP,hsa-mir-130b,0.414725505306849,red
UGT1A9,hsa-mir-141,0.336970506297934,green
COL4A1,hsa-mir-203,0.334115191367305,red
XPR1,hsa-mir-548v,0.432291885008027,red
CHST11,hsa-mir-34a,0.327591919198363,green
PQLC3,hsa-mir-221,0.37083905308758,green
SRC,hsa-mir-217,0.471071835822455,green
CRKL,hsa-mir-3174,0.346003452512666,red
SYNCRIP,hsa-let-7c,0.369901780533376,green
ENTPD1,hsa-mir-452,0.39211703252087,green
FMNL3,hsa-mir-217,0.393209577969896,green
ZNF286B,hsa-mir-29a,0.368478021701221,green
RAP1GDS1,hsa-mir-185,0.353981758531109,green
NRAS,hsa-mir-624,0.327126775908326,red
NETO2,hsa-mir-203,0.358255550201568,red
MMGT1,hsa-mir-539,0.378044427007116,green
NCBP1,hsa-mir-25,0.341173516990557,red
ITPKB,hsa-mir-106b,0.341209810821791,green
PECAM1,hsa-mir-22,0.373807822988954,red
UGGT1,hsa-let-7b,0.340499124108949,green
ASCC3,hsa-mir-548v,0.318775083582101,red
NKD1,hsa-mir-183,0.37717651428045,green
OBSCN,hsa-mir-34a,0.341433544438374,green
CNDP2,hsa-mir-29a,0.367119479922372,red
SIRPB2,hsa-mir-589,0.341455546952317,green
FRAT2,hsa-mir-766,0.372731410458165,red
LMBR1,hsa-mir-204,0.322317049694626,red
TCF4,hsa-mir-452,0.33794074652413,green
HCLS1,hsa-mir-30d,0.328860579702835,green
MID2,hsa-mir-939,0.345626247830376,green
LOC100130015,hsa-mir-328,0.376252643595573,red
FTSJD2,hsa-mir-183,0.450344727511081,green
UPF3A,hsa-mir-10a,0.369431290799451,green
LY9,hsa-mir-34a,0.368985515623794,green
UBASH3B,hsa-mir-34a,0.410053152821643,green
SEPHS1,hsa-mir-182,0.3554361664171,red
KIF21B,hsa-mir-217,0.441110302861004,green
LSM14B,hsa-mir-376c,0.416314740339551,red
VPS41,hsa-mir-186,0.337433627453222,green
HCLS1,hsa-mir-589,0.422618914064016,green
PLD2,hsa-mir-3188,0.328703992900576,red
HMGCL,hsa-mir-17,0.366801969105802,green
FAM125B,hsa-mir-27b,0.41366959215981,red
SELPLG,hsa-mir-34a,0.368551002754843,green
EIF4B,hsa-mir-1180,0.38256363006505,red
IRAK1,hsa-mir-590,0.336552929430963,red
XPR1,hsa-mir-2355,0.398069865519297,red
ESAM,hsa-mir-942,0.372027816854818,green
EIF1AX,hsa-mir-429,0.327304919846491,red
BTNL9,hsa-mir-376c,0.371691873425182,green
AGPAT9,hsa-mir-27b,0.454903009596085,green
BTF3,hsa-mir-497,0.362068562302215,green
ZMAT5,hsa-mir-940,0.357463678906907,red
ABCB4,hsa-mir-200c,0.404291304968095,green
PPP1R12B,hsa-mir-629,0.358354886077025,green
STXBP6,hsa-mir-148b,0.374420996840881,red
LSM4,hsa-mir-151,0.356856710435066,red
ADRA1B,hsa-mir-17,0.382264427820606,green
IL1RAP,hsa-mir-222,0.346245442126209,red
KIN,hsa-mir-2276,0.326563109596338,red
SERBP1,hsa-mir-1287,0.367849279527443,red
PIGU,hsa-mir-758,0.405666195957644,red
DPH3,hsa-mir-17,0.34683446967992,red
CLPTM1,hsa-mir-495,0.39753894815631,red
FCN2,hsa-mir-100,0.422198190411958,red
GPR146,hsa-mir-29a,0.334226290364446,red
UBTD2,hsa-mir-149,0.35048305665329,red
SIT1,hsa-mir-34a,0.343310934070923,green
MTF2,hsa-mir-517a,0.353433221899294,red
RPL35A,hsa-mir-98,0.343618914162667,red
FHOD1,hsa-mir-186,0.374266472628146,green
CTNNBIP1,hsa-mir-299,0.379887843764921,red
WDR72,hsa-mir-21,0.332472778088869,red
RAPGEFL1,hsa-mir-370,0.367357197661495,red
ORAI2,hsa-mir-140,0.591453334258326,green
FBXO33,hsa-mir-23c,0.394124121325141,green
ZFPM2,hsa-mir-652,0.376838869958358,green
STBD1,hsa-mir-134,0.343314930770701,green
ZHX1,hsa-mir-590,0.340137445838995,green
CEP152,hsa-mir-651,0.356037289703506,red
ASCC3,hsa-mir-651,0.351662789518218,red
