mRNA,microRNA,weight,edge_color
FOXN4,hsa-mir-629,0.362665087,red
RPS6KA1,hsa-mir-1291,0.117502914,green
CCDC3,hsa-mir-370,0.328822163,red
SERBP1,hsa-mir-629,0.355616148,red
GANC,hsa-mir-96,0.179330978,green
COPS2,hsa-mir-31,0.469049519,red
RUFY3,hsa-mir-664,0.333487786,red
SEC24A,hsa-mir-186,0.142582915,green
ZNF506,hsa-mir-561,0.133957045,green
KIAA1429,hsa-mir-1304,0.319162133,red
SLC25A21,hsa-mir-96,0.29104924,red
EIF1AX,hsa-mir-493,0.315163521,red
PGBD1,hsa-mir-18b,0.255380073,red
NAT8L,hsa-mir-653,0.592370489,red
MAGED2,hsa-mir-182,0.274789115,red
DBT,hsa-mir-200c,0.336173709,red
AK1,hsa-mir-1976,0.395540246,red
FRZB,hsa-mir-505,0.130194776,green
KCMF1,hsa-mir-944,0.334176952,red
SENP2,hsa-mir-629,0.295872804,red
SKA3,hsa-mir-664,0.38578678,green
STEAP2,hsa-mir-335,0.129387847,green
RAD52,hsa-mir-3922,0.443189108,red
WASL,hsa-mir-519d,0.559984856,red
FOXK1,hsa-mir-2355,0.535289255,red
PLEKHO2,hsa-mir-193b,0.156966018,green
CHST15,hsa-mir-1227,0.111560624,green
PPP1R9A,hsa-mir-1266,0.535243396,red
RAB11FIP3,hsa-mir-1266,0.145249845,green
UCK2,hsa-mir-17,0.386060636,red
TNFRSF1B,hsa-mir-939,0.110723669,green
PLD3,hsa-let-7g,0.362776585,red
PDE4D,hsa-mir-1266,0.42969261,red
EHF,hsa-mir-224,0.324157464,red
RPAIN,hsa-mir-199b,0.132168395,green
DLG1,hsa-mir-21,0.184010076,green
ZNF507,hsa-mir-570,0.379170859,red
DISC1,hsa-mir-889,0.267989656,red
AKAP13,hsa-mir-585,0.313763468,red
COL4A3BP,hsa-mir-549,0.117972792,green
KPNA3,hsa-mir-522,0.488443602,red
OPTN,hsa-mir-150,0.40724878,red
ATP1A2,hsa-mir-140,0.412520313,red
UHMK1,hsa-mir-1910,0.465305034,red
FAM20B,hsa-mir-130b,0.428051323,red
BTBD1,hsa-mir-498,0.304803541,red
CLCN3,hsa-mir-1266,0.417385149,red
VAV1,hsa-mir-149,0.124484811,green
PHACTR4,hsa-mir-675,0.283401212,red
PHF19,hsa-mir-96,0.426596566,red
MKI67,hsa-mir-17,0.374699066,red
SLC38A2,hsa-mir-935,0.264349296,red
FKBP9,hsa-mir-183,0.441067392,red
TPD52,hsa-mir-425,0.418239047,red
NOVA2,hsa-mir-92b,0.115198304,green
KLHL23,hsa-mir-539,0.299477006,red
SH2B3,hsa-mir-93,0.215387256,green
MKL1,hsa-mir-22,0.522597626,red
KPNA3,hsa-mir-765,0.4027883,red
PAPD7,hsa-mir-1275,0.146749176,green
KLHDC1,hsa-mir-145,0.359385355,red
DLEU1,hsa-mir-200c,0.253967005,red
LARP1B,hsa-mir-425,0.368021508,red
MKRN1,hsa-mir-106b,0.341065272,red
FAS,hsa-mir-561,0.193495915,green
RFX5,hsa-mir-30e,0.271125417,red
SPDYE3,hsa-mir-570,0.453332298,red
COL3A1,hsa-mir-200c,0.303587147,green
PAPOLA,hsa-mir-1227,0.41524687,red
CC2D1A,hsa-mir-3928,0.12899435,green
TFDP2,hsa-mir-1227,0.295503052,red
OVOL2,hsa-mir-495,0.142674932,green
CNTLN,hsa-mir-3928,0.464284035,red
SH3PXD2A,hsa-mir-589,0.133885166,green
ZNF853,hsa-mir-183,0.447132781,red
SLC17A7,hsa-mir-185,0.335287574,red
RAB6A,hsa-mir-765,0.26926258,red
PARD6B,hsa-mir-500a,0.501570923,red
C10orf137,hsa-mir-27a,0.139655409,green
PGAM1,hsa-mir-1976,0.133341291,green
AGPS,hsa-mir-1910,0.349074173,red
P2RX1,hsa-mir-183,0.190540611,green
BFAR,hsa-mir-580,0.175171478,green
KCNC4,hsa-mir-92b,0.150858314,green
PPM1H,hsa-mir-552,0.374254429,red
PRKCB,hsa-mir-589,0.124657636,green
CRTAM,hsa-mir-17,0.16684252,green
PRKD3,hsa-mir-411,0.267747197,red
BGN,hsa-mir-3170,0.126895327,green
HDX,hsa-mir-889,0.357424636,red
NSA2,hsa-mir-548e,0.113812554,green
TDRD3,hsa-mir-642a,0.453493957,red
CLCN3,hsa-mir-31,0.389655243,red
TCL1A,hsa-mir-29c,0.278993209,red
ZNF281,hsa-mir-203,0.253010767,red
ANAPC2,hsa-mir-148a,0.545048613,red
COQ10A,hsa-mir-500a,0.465022929,red
CD2AP,hsa-mir-2116,0.729497117,red
NCAPG,hsa-mir-548j,0.331386433,red
USP48,hsa-mir-152,0.113293516,green
FOXJ3,hsa-mir-940,0.388582575,red
IMPAD1,hsa-mir-522,0.29972105,red
TMOD3,hsa-mir-935,0.465366708,red
LRP12,hsa-mir-498,0.490100883,red
HNRNPA1,hsa-mir-1227,0.250365836,red
KIF1C,hsa-mir-1910,0.114161867,green
BCLAF1,hsa-mir-632,0.306985436,red
ZFP1,hsa-mir-541,0.29096757,red
ODF2,hsa-mir-629,0.300570884,red
IL16,hsa-mir-193b,0.179600503,green
KDM4D,hsa-mir-130a,0.260659198,red
IGF2BP1,hsa-let-7b,0.193487853,green
JPH1,hsa-mir-21,0.146112678,green
SLC38A10,hsa-mir-939,0.119285596,green
APBA1,hsa-mir-616,0.177979556,green
AKAP5,hsa-mir-17,0.365873759,red
ADCY9,hsa-mir-136,0.336609207,red
BHLHE40,hsa-mir-3942,0.115729341,green
FPGS,hsa-mir-148a,0.353523479,red
ANKS1A,hsa-mir-301b,0.313467471,red
QKI,hsa-mir-411,0.417186204,red
LZTFL1,hsa-mir-140,0.538570873,red
PTPN18,hsa-mir-193b,0.131728407,green
C6orf201,hsa-mir-1976,0.415696721,red
RASGRP4,hsa-mir-765,0.123463646,green
NKIRAS1,hsa-mir-561,0.114225091,green
ARID5B,hsa-mir-429,0.11287867,green
BEX4,hsa-mir-590,0.124696341,green
DAAM2,hsa-mir-627,0.127005993,green
ANP32A,hsa-mir-106b,0.263991848,red
ANKRD13C,hsa-mir-520e,0.319662991,red
ZNF250,hsa-mir-17,0.418086891,red
ST6GALNAC4,hsa-mir-1266,0.12212758,green
FAM26E,hsa-mir-758,0.583655106,red
SIKE1,hsa-mir-186,0.339952681,red
CX3CL1,hsa-mir-379,0.253192605,red
ZMYM2,hsa-mir-2116,0.285630634,red
HPS3,hsa-mir-135b,0.248477488,green
GSTM5,hsa-mir-545,0.137773582,green
PHLPP1,hsa-mir-20b,0.280802589,red
EXTL2,hsa-mir-132,0.425107726,red
DNAJC13,hsa-mir-429,0.130410886,green
COX15,hsa-mir-607,0.283942305,red
TFDP2,hsa-mir-940,0.27294558,red
HVCN1,hsa-mir-4326,0.129067617,green
FBXO31,hsa-mir-183,0.153024166,green
XPNPEP2,hsa-mir-1266,0.13451176,green
PLEKHH2,hsa-mir-664,0.364377194,red
PNPLA6,hsa-mir-1275,0.231312976,green
PARM1,hsa-mir-2110,0.395739692,red
PRPF40A,hsa-mir-371,0.337404162,red
KCTD10,hsa-mir-1254,0.183576076,green
ACAA1,hsa-mir-92b,0.127729465,green
SEPHS1,hsa-mir-182,0.344153522,red
LRRC27,hsa-mir-223,0.361161559,red
AP3S2,hsa-mir-331,0.119756983,green
BRWD1,hsa-mir-526b,0.347651932,red
TBC1D1,hsa-mir-130a,0.291640853,red
DENR,hsa-mir-1301,0.379714784,red
PLAG1,hsa-mir-328,0.376562732,red
WNT4,hsa-mir-1287,0.294302224,red
RNF39,hsa-mir-1284,0.133447341,green
HERC4,hsa-mir-2110,0.366782714,red
EEA1,hsa-mir-224,0.318484157,red
KCND1,hsa-mir-1266,0.12655252,green
CHST12,hsa-let-7b,0.143731547,green
OSBPL9,hsa-mir-526b,0.567058116,red
ZNF662,hsa-mir-221,0.116673704,green
AP2M1,hsa-mir-1275,0.143024529,green
RASSF2,hsa-mir-143,0.619696275,red
INSIG1,hsa-mir-375,0.318481162,red
MTA3,hsa-mir-1276,0.49337782,red
GPR113,hsa-mir-224,0.309318705,red
ZBTB33,hsa-mir-1271,0.440720613,red
RBBP4,hsa-mir-1287,0.291122811,red
FN1,hsa-mir-186,0.149926862,green
SYK,hsa-mir-1266,0.123738485,green
FAM100A,hsa-mir-96,0.371668621,red
GLT8D1,hsa-mir-665,0.387409194,red
ZFP30,hsa-mir-520h,0.252055978,red
KIF1B,hsa-mir-520e,0.312381545,red
PRKAA2,hsa-mir-592,0.279170917,red
UHRF1BP1L,hsa-mir-193a,0.454106802,red
TYW3,hsa-mir-186,0.269955571,red
SLC22A3,hsa-mir-1976,0.279484334,red
RSPO3,hsa-mir-200a,0.123216707,green
C17orf96,hsa-mir-590,0.416006133,red
VPS36,hsa-mir-651,0.182810972,green
FLNA,hsa-mir-1908,0.116333092,green
ASTN1,hsa-mir-106a,0.280129637,red
CALHM2,hsa-mir-1276,0.207274418,green
CEP63,hsa-mir-1301,0.527812643,red
MRPS36,hsa-mir-580,0.137505744,green
ARHGAP25,hsa-mir-1254,0.224287598,green
CENPB,hsa-mir-708,0.482088338,red
ARHGAP27,hsa-mir-940,0.195022888,green
PRCD,hsa-mir-497,0.354979973,red
NUP210,hsa-mir-1275,0.162312568,green
RYBP,hsa-mir-940,0.310948888,red
CMBL,hsa-mir-1266,0.479203912,red
HBS1L,hsa-mir-25,0.362166623,red
COG6,hsa-mir-483,0.270637982,red
EXD2,hsa-mir-183,0.409806609,red
TSPAN4,hsa-mir-3619,0.168782578,green
CECR6,hsa-mir-186,0.128272674,green
PIN4,hsa-mir-100,0.122151094,green
ANKRD23,hsa-mir-379,0.117210101,green
PTPRT,hsa-mir-21,0.18941955,green
PTP4A3,hsa-mir-140,0.116423683,green
CCDC126,hsa-mir-665,0.339349905,red
GBAS,hsa-mir-214,0.288312426,red
SLC11A1,hsa-mir-1266,0.143559826,green
SH3PXD2B,hsa-mir-652,0.171874965,green
SUSD5,hsa-mir-539,0.26187479,red
CDK1,hsa-mir-182,0.275804857,red
KAZALD1,hsa-mir-378,0.142064215,green
FUS,hsa-mir-3174,0.304117815,red
MIPOL1,hsa-mir-323,0.496541809,red
CDK2AP2,hsa-mir-224,0.121289025,green
LRRC8C,hsa-mir-1275,0.121599084,green
GPR124,hsa-mir-937,0.117399003,green
KDM2B,hsa-mir-592,0.292083902,red
KITLG,hsa-mir-545,0.155811123,green
DCP2,hsa-mir-340,0.414891864,red
SIDT2,hsa-mir-15b,0.11951123,green
PFAS,hsa-mir-130a,0.429490984,red
ABCB8,hsa-let-7i,0.149145295,green
MID2,hsa-mir-665,0.393852382,red
MGLL,hsa-mir-4326,0.18472308,green
IRAK1,hsa-mir-1275,0.132733516,green
RNF207,hsa-mir-503,0.290517882,red
MSI1,hsa-mir-3648,0.323294408,red
PDGFRB,hsa-mir-143,0.469589268,red
CENPM,hsa-mir-20b,0.274406905,red
WBP2,hsa-mir-629,0.134956576,green
RPS6KA2,hsa-mir-663,0.224007995,green
DCBLD2,hsa-mir-424,0.416526024,red
CPSF7,hsa-mir-134,0.372578437,red
PLEKHA6,hsa-mir-338,0.398565058,red
CDADC1,hsa-mir-140,0.387803277,red
SLC1A5,hsa-mir-147b,0.257109503,red
DSN1,hsa-mir-186,0.282470344,red
ARID4A,hsa-mir-664,0.283206265,red
CAPZB,hsa-mir-22,0.358502589,red
CNOT6L,hsa-mir-3170,0.215166229,green
VANGL2,hsa-mir-3617,0.337568179,red
NUCKS1,hsa-mir-370,0.456240231,red
PSTPIP1,hsa-mir-744,0.194253583,green
PQLC1,hsa-mir-632,0.11080139,green
RMND5A,hsa-mir-2116,0.267846852,red
RHOBTB3,hsa-mir-1226,0.377473272,red
KIF1C,hsa-mir-99a,0.370762801,red
FAM76A,hsa-mir-3934,0.44893368,red
TMEM132A,hsa-mir-1275,0.154081484,green
FAM126A,hsa-mir-421,0.392480916,red
FREM2,hsa-mir-25,0.275442835,red
SLC25A22,hsa-mir-2110,0.178816666,green
PHF12,hsa-mir-454,0.28333932,red
USP35,hsa-mir-590,0.419112543,red
ZBED1,hsa-mir-551a,0.187943164,green
PECI,hsa-mir-21,0.244101378,green
MAP3K3,hsa-mir-1254,0.26999304,green
CDH11,hsa-mir-758,0.403440732,red
COL21A1,hsa-mir-200c,0.199400508,green
CYP4V2,hsa-mir-580,0.184193008,green
ICK,hsa-mir-3188,0.300843527,red
DDX46,hsa-mir-3652,0.311264574,red
TBXAS1,hsa-mir-589,0.188945656,green
KLHL5,hsa-mir-181c,0.163998326,green
ZEB2,hsa-mir-363,0.129124407,green
CBX7,hsa-mir-345,0.197157535,green
SAMD9L,hsa-mir-27b,0.151836427,green
CHMP6,hsa-mir-939,0.170106174,green
RALGAPA1,hsa-mir-520c,0.327349845,red
API5,hsa-mir-539,0.55572075,red
UHRF1BP1,hsa-mir-653,0.267085928,red
ACSL4,hsa-mir-19a,0.135407647,green
NF2,hsa-mir-1262,0.287608152,red
GGA1,hsa-mir-3652,0.199879051,green
NACC1,hsa-mir-1275,0.154106405,green
DAPK2,hsa-mir-133b,0.384095416,red
RCC2,hsa-mir-335,0.541179408,red
NUDT15,hsa-mir-193b,0.324802028,red
TMEM109,hsa-mir-545,0.156203767,green
RPH3AL,hsa-mir-1228,0.153477882,green
DAPK1,hsa-mir-376c,0.119668555,green
FHOD3,hsa-mir-224,0.313826157,red
BTN3A2,hsa-mir-3690,0.341023131,red
RNF125,hsa-mir-17,0.130945194,green
CD69,hsa-mir-106b,0.135315819,green
CHRDL2,hsa-mir-552,0.319430669,red
CDC34,hsa-let-7d,0.133618922,green
HDGFRP3,hsa-mir-940,0.257728563,red
CLN8,hsa-mir-3652,0.167016929,green
WDFY2,hsa-mir-148b,0.172826759,green
CLIC4,hsa-mir-154,0.315025091,red
BAZ1A,hsa-mir-889,0.256428758,red
YY1,hsa-mir-590,0.373608285,red
ZXDC,hsa-mir-570,0.264226828,red
MAN2B1,hsa-mir-106b,0.31459625,green
ANUBL1,hsa-mir-517c,0.283210807,red
FARP1,hsa-mir-3187,0.400473024,red
H2AFV,hsa-mir-758,0.270066704,red
CYB561D2,hsa-let-7g,0.443686441,red
CHM,hsa-mir-589,0.329330546,red
LCLAT1,hsa-mir-570,0.349079067,red
BAIAP2,hsa-mir-590,0.215922569,green
VAPB,hsa-mir-940,0.402565786,red
ANP32A,hsa-mir-34a,0.157596571,green
GGA2,hsa-mir-660,0.277157682,red
C11orf95,hsa-mir-580,0.430604114,red
KIF21A,hsa-mir-3619,0.282775647,red
GPD1,hsa-mir-939,0.172988987,green
PCBD2,hsa-mir-421,0.249521821,green
NARS2,hsa-mir-183,0.35727564,red
WIPF1,hsa-mir-30d,0.178151975,green
RSPH3,hsa-mir-642a,0.290673277,red
PPP3CA,hsa-mir-335,0.118150274,green
GPR111,hsa-mir-939,0.250837277,red
TMEM52,hsa-mir-618,0.273999613,red
MAN2B2,hsa-mir-345,0.156982034,green
PPP3R1,hsa-mir-199b,0.178672515,green
KIAA1549,hsa-mir-345,0.304259161,red
PRPF4,hsa-mir-627,0.562048266,red
POLM,hsa-mir-130a,0.269746432,red
LAMB1,hsa-mir-375,0.169595864,green
KIAA0226,hsa-mir-1287,0.113314868,green
FLT3,hsa-mir-29c,0.471292534,red
ARAF,hsa-mir-3652,0.167974494,green
SEMA3A,hsa-mir-664,0.144397864,green
SYDE2,hsa-mir-766,0.545994112,red
WDR1,hsa-mir-100,0.537285287,red
BNC2,hsa-mir-200b,0.182981616,green
EMB,hsa-mir-33b,0.123833086,green
CYFIP2,hsa-mir-222,0.154738303,green
PIGX,hsa-mir-106b,0.398081527,red
ENOX2,hsa-mir-200b,0.135263402,green
SLC22A3,hsa-mir-421,0.220843262,green
FAM78A,hsa-mir-1246,0.137516032,green
ITGA3,hsa-mir-3188,0.141820835,green
AEBP2,hsa-mir-518f,0.371677415,red
CCR1,hsa-mir-96,0.222966807,green
LRRC36,hsa-mir-211,0.261723073,red
KIF27,hsa-mir-585,0.314417435,red
LONRF2,hsa-mir-3655,0.135415985,green
MTRR,hsa-mir-500a,0.367205466,red
CCNF,hsa-mir-335,0.372399046,red
ADRBK1,hsa-mir-23b,0.142175595,green
KRR1,hsa-mir-877,0.49694239,red
KAL1,hsa-mir-144,0.334778318,red
ZNF808,hsa-mir-517b,0.382690165,red
ATG4B,hsa-mir-3909,0.118396486,green
BACH1,hsa-mir-338,0.113359832,green
C1orf161,hsa-mir-30b,0.136866108,green
KIF20A,hsa-mir-454,0.427320628,red
RABEP2,hsa-mir-744,0.167629242,green
MOV10,hsa-let-7d,0.158042117,green
FAM47E,hsa-mir-140,0.313161436,red
SLC45A4,hsa-mir-17,0.334236967,red
USP35,hsa-mir-1976,0.127742306,green
PLCL1,hsa-mir-326,0.276434239,red
RNF180,hsa-mir-335,0.121574803,green
NUP210,hsa-mir-145,0.188371338,green
PLEKHG5,hsa-let-7c,0.167554987,green
XPOT,hsa-mir-183,0.272331552,red
PDS5B,hsa-mir-584,0.477794656,red
TAPT1,hsa-mir-200c,0.401142615,red
ERBB3,hsa-mir-1976,0.352600042,red
PNPT1,hsa-mir-3136,0.313711297,red
SEC31B,hsa-mir-500b,0.278530774,red
GCFC1,hsa-mir-30d,0.373430502,red
RASL12,hsa-mir-375,0.146473609,green
ZNF320,hsa-mir-3934,0.377992413,red
CD93,hsa-mir-589,0.135818722,green
GNG4,hsa-mir-150,0.148191897,green
FAM126B,hsa-mir-642a,0.465465893,red
TMEM220,hsa-mir-186,0.251990919,red
TBRG1,hsa-mir-642a,0.371301152,red
HRSP12,hsa-mir-23b,0.324820615,red
ATP1A1,hsa-mir-616,0.175017437,green
PARP10,hsa-mir-1908,0.145290233,green
PGM2L1,hsa-mir-183,0.262944717,red
COL4A3BP,hsa-mir-3174,0.164367571,green
QRFPR,hsa-mir-17,0.360753,red
TRPV2,hsa-mir-1275,0.152337179,green
KDM2A,hsa-mir-145,0.126021284,green
KIAA0748,hsa-mir-589,0.124962638,green
C4orf41,hsa-mir-580,0.113543802,green
PLA2G12A,hsa-mir-22,0.11528975,green
MRPL19,hsa-mir-2116,0.405786757,red
SLC2A8,hsa-mir-96,0.263496613,red
ZNF493,hsa-mir-1284,0.145783137,green
IKZF2,hsa-mir-23b,0.261016195,red
SLC25A15,hsa-mir-141,0.304750023,red
WDR72,hsa-mir-1301,0.324780018,red
PSD4,hsa-mir-22,0.359142444,red
TRIB3,hsa-mir-223,0.53462751,red
TMEM220,hsa-mir-2116,0.399600584,red
MAPK10,hsa-mir-3934,0.375676925,red
RASSF8,hsa-mir-527,0.381744076,red
GRAP,hsa-mir-1254,0.136702436,green
PLEKHA2,hsa-mir-301b,0.163018936,green
C2orf56,hsa-mir-3170,0.386140001,red
SLC29A2,hsa-mir-760,0.310917274,red
ZNF592,hsa-mir-203,0.255736241,red
TRIM33,hsa-mir-519d,0.409494113,red
RALBP1,hsa-mir-942,0.34198266,red
HBS1L,hsa-mir-579,0.284916232,red
GLB1,hsa-mir-1271,0.133688669,green
KDSR,hsa-mir-541,0.253315388,red
RUNX3,hsa-mir-93,0.125463243,green
VIM,hsa-mir-1275,0.125063436,green
CNTLN,hsa-mir-3690,0.479033411,red
PTP4A2,hsa-mir-2116,0.384514926,red
PDXK,hsa-mir-2115,0.498708038,red
MALL,hsa-mir-3928,0.185114534,green
SLC8A1,hsa-mir-570,0.134728292,green
MAP3K14,hsa-mir-345,0.123598496,green
BDNF,hsa-mir-541,0.293850178,red
MAX,hsa-mir-877,0.125527839,green
