mRNA,microRNA,weight,edge_color
FOXN4,hsa-mir-629,0.135688744,red
RPS6KA1,hsa-mir-1291,0.36735876,green
CCDC3,hsa-mir-370,0.41272677,red
SERBP1,hsa-mir-629,0.230747186,red
GANC,hsa-mir-96,0.342270224,green
COPS2,hsa-mir-31,0.170472887,red
RUFY3,hsa-mir-664,0.302517044,red
SEC24A,hsa-mir-186,0.274988955,green
ZNF506,hsa-mir-561,0.326819739,green
KIAA1429,hsa-mir-1304,0.142543161,red
SLC25A21,hsa-mir-96,0.147177055,red
EIF1AX,hsa-mir-493,0.163861942,red
PGBD1,hsa-mir-18b,0.191283989,red
NAT8L,hsa-mir-653,0.154127613,red
MAGED2,hsa-mir-182,0.133510954,red
DBT,hsa-mir-200c,0.19264363,red
AK1,hsa-mir-1976,0.224054472,red
FRZB,hsa-mir-505,0.381221407,green
KCMF1,hsa-mir-944,0.143450221,red
SENP2,hsa-mir-629,0.159994081,red
SKA3,hsa-mir-664,0.37488046,green
STEAP2,hsa-mir-335,0.32684213,green
RAD52,hsa-mir-3922,0.121021771,red
WASL,hsa-mir-519d,0.119736894,red
FOXK1,hsa-mir-2355,0.127248752,red
PLEKHO2,hsa-mir-193b,0.319236292,green
CHST15,hsa-mir-1227,0.314071995,green
PPP1R9A,hsa-mir-1266,0.178020607,red
RAB11FIP3,hsa-mir-1266,0.484566963,green
UCK2,hsa-mir-17,0.251033483,red
TNFRSF1B,hsa-mir-939,0.436398158,green
PLD3,hsa-let-7g,0.121256595,red
PDE4D,hsa-mir-1266,0.151522783,red
EHF,hsa-mir-224,0.185237514,red
RPAIN,hsa-mir-199b,0.53794615,green
DLG1,hsa-mir-21,0.342808037,green
ZNF507,hsa-mir-570,0.124485167,red
DISC1,hsa-mir-889,0.230975501,red
AKAP13,hsa-mir-585,0.199437571,red
COL4A3BP,hsa-mir-549,0.385628273,green
KPNA3,hsa-mir-522,0.324605848,red
OPTN,hsa-mir-150,0.254916984,red
ATP1A2,hsa-mir-140,0.578176374,red
UHMK1,hsa-mir-1910,0.138151112,red
FAM20B,hsa-mir-130b,0.142076111,red
BTBD1,hsa-mir-498,0.12487899,red
CLCN3,hsa-mir-1266,0.2319462,red
VAV1,hsa-mir-149,0.384000633,green
PHACTR4,hsa-mir-675,0.110812028,red
PHF19,hsa-mir-96,0.18934508,red
MKI67,hsa-mir-17,0.219620276,red
SLC38A2,hsa-mir-935,0.264252769,red
FKBP9,hsa-mir-183,0.178814493,red
TPD52,hsa-mir-425,0.177987292,red
NOVA2,hsa-mir-92b,0.326480011,green
KLHL23,hsa-mir-539,0.137023982,red
SH2B3,hsa-mir-93,0.560884055,green
MKL1,hsa-mir-22,0.153792004,red
KPNA3,hsa-mir-765,0.119282517,red
PAPD7,hsa-mir-1275,0.332188378,green
KLHDC1,hsa-mir-145,0.226047161,red
DLEU1,hsa-mir-200c,0.237402688,red
LARP1B,hsa-mir-425,0.178708428,red
MKRN1,hsa-mir-106b,0.130920614,red
FAS,hsa-mir-561,0.577061161,green
RFX5,hsa-mir-30e,0.299719444,red
SPDYE3,hsa-mir-570,0.110671648,red
COL3A1,hsa-mir-200c,0.298075313,green
PAPOLA,hsa-mir-1227,0.216344842,red
CC2D1A,hsa-mir-3928,0.507412145,green
TFDP2,hsa-mir-1227,0.143062403,red
OVOL2,hsa-mir-495,0.279978489,green
CNTLN,hsa-mir-3928,0.165767342,red
SH3PXD2A,hsa-mir-589,0.308768472,green
ZNF853,hsa-mir-183,0.14861608,red
SLC17A7,hsa-mir-185,0.334235953,red
