mRNA,microRNA,weight,edge_color
FOXN4,hsa-mir-629,0.2491769155,red
RPS6KA1,hsa-mir-1291,0.242430837,green
CCDC3,hsa-mir-370,0.3707744665,red
SERBP1,hsa-mir-629,0.293181667,red
GANC,hsa-mir-96,0.260800601,green
COPS2,hsa-mir-31,0.319761203,red
RUFY3,hsa-mir-664,0.318002415,red
SEC24A,hsa-mir-186,0.208785935,green
ZNF506,hsa-mir-561,0.230388392,green
KIAA1429,hsa-mir-1304,0.230852647,red
SLC25A21,hsa-mir-96,0.2191131475,red
EIF1AX,hsa-mir-493,0.2395127315,red
PGBD1,hsa-mir-18b,0.223332031,red
NAT8L,hsa-mir-653,0.373249051,red
MAGED2,hsa-mir-182,0.2041500345,red
DBT,hsa-mir-200c,0.2644086695,red
AK1,hsa-mir-1976,0.309797359,red
FRZB,hsa-mir-505,0.2557080915,green
KCMF1,hsa-mir-944,0.2388135865,red
SENP2,hsa-mir-629,0.2279334425,red
SKA3,hsa-mir-664,0.38033362,green
STEAP2,hsa-mir-335,0.2281149885,green
RAD52,hsa-mir-3922,0.2821054395,red
WASL,hsa-mir-519d,0.339860875,red
FOXK1,hsa-mir-2355,0.3312690035,red
PLEKHO2,hsa-mir-193b,0.238101155,green
CHST15,hsa-mir-1227,0.2128163095,green
PPP1R9A,hsa-mir-1266,0.3566320015,red
RAB11FIP3,hsa-mir-1266,0.314908404,green
UCK2,hsa-mir-17,0.3185470595,red
TNFRSF1B,hsa-mir-939,0.2735609135,green
PLD3,hsa-let-7g,0.24201659,red
PDE4D,hsa-mir-1266,0.2906076965,red
EHF,hsa-mir-224,0.254697489,red
RPAIN,hsa-mir-199b,0.3350572725,green
DLG1,hsa-mir-21,0.2634090565,green
ZNF507,hsa-mir-570,0.251828013,red
DISC1,hsa-mir-889,0.2494825785,red
AKAP13,hsa-mir-585,0.2566005195,red
COL4A3BP,hsa-mir-549,0.2518005325,green
KPNA3,hsa-mir-522,0.406524725,red
OPTN,hsa-mir-150,0.331082882,red
ATP1A2,hsa-mir-140,0.4953483435,red
UHMK1,hsa-mir-1910,0.301728073,red
FAM20B,hsa-mir-130b,0.285063717,red
BTBD1,hsa-mir-498,0.2148412655,red
CLCN3,hsa-mir-1266,0.3246656745,red
VAV1,hsa-mir-149,0.254242722,green
PHACTR4,hsa-mir-675,0.19710662,red
PHF19,hsa-mir-96,0.307970823,red
MKI67,hsa-mir-17,0.297159671,red
SLC38A2,hsa-mir-935,0.2643010325,red
FKBP9,hsa-mir-183,0.3099409425,red
TPD52,hsa-mir-425,0.2981131695,red
NOVA2,hsa-mir-92b,0.2208391575,green
