mRNA,microRNA,weight,edge_color
FOXN4,hsa-mir-629,0.22183230185814,red
RPS6KA1,hsa-mir-1291,0.207763627190677,green
CCDC3,hsa-mir-370,0.368393416389875,red
SERBP1,hsa-mir-629,0.286456672896896,red
GANC,hsa-mir-96,0.247749175599434,green
COPS2,hsa-mir-31,0.282772391951356,red
RUFY3,hsa-mir-664,0.317625155223614,red
SEC24A,hsa-mir-186,0.198011935995545,green
ZNF506,hsa-mir-561,0.209236245627069,green
KIAA1429,hsa-mir-1304,0.213294114567942,red
SLC25A21,hsa-mir-96,0.206968041018869,red
EIF1AX,hsa-mir-493,0.22725163717478,red
PGBD1,hsa-mir-18b,0.221020630427458,red
NAT8L,hsa-mir-653,0.302159973327396,red
MAGED2,hsa-mir-182,0.191539439522167,red
DBT,hsa-mir-200c,0.254483248195876,red
AK1,hsa-mir-1976,0.297695416444862,red
FRZB,hsa-mir-505,0.222784729482902,green
KCMF1,hsa-mir-944,0.218946928769294,red
SENP2,hsa-mir-629,0.21757274040852,red
SKA3,hsa-mir-664,0.380294524741441,green
STEAP2,hsa-mir-335,0.205643865723231,green
RAD52,hsa-mir-3922,0.231593460050301,red
WASL,hsa-mir-519d,0.258941783697566,red
FOXK1,hsa-mir-2355,0.260988294101019,red
PLEKHO2,hsa-mir-193b,0.223850953887459,green
CHST15,hsa-mir-1227,0.187184582012314,green
PPP1R9A,hsa-mir-1266,0.308681638988556,red
RAB11FIP3,hsa-mir-1266,0.265298466388087,green
UCK2,hsa-mir-17,0.311310369413348,red
TNFRSF1B,hsa-mir-939,0.219817208604335,green
PLD3,hsa-let-7g,0.209735675179088,red
PDE4D,hsa-mir-1266,0.255163124494378,red
EHF,hsa-mir-224,0.245043103914198,red
RPAIN,hsa-mir-199b,0.266644856020005,green
DLG1,hsa-mir-21,0.251157585873453,green
ZNF507,hsa-mir-570,0.217258251176218,red
DISC1,hsa-mir-889,0.248795186965941,red
AKAP13,hsa-mir-585,0.250152401400539,red
COL4A3BP,hsa-mir-549,0.213292390956518,green
KPNA3,hsa-mir-522,0.398185446277717,red
OPTN,hsa-mir-150,0.322202778906824,red
ATP1A2,hsa-mir-140,0.488374342867933,red
UHMK1,hsa-mir-1910,0.253539755987691,red
FAM20B,hsa-mir-130b,0.24660873317919,red
BTBD1,hsa-mir-498,0.19509884250939,red
CLCN3,hsa-mir-1266,0.31114449898236,red
VAV1,hsa-mir-149,0.218637248022576,green
PHACTR4,hsa-mir-675,0.177212479919948,red
PHF19,hsa-mir-96,0.284207601793118,red
MKI67,hsa-mir-17,0.286864972228856,red
SLC38A2,hsa-mir-935,0.264301028093348,red
FKBP9,hsa-mir-183,0.280836682218175,red
TPD52,hsa-mir-425,0.27283921159575,red
NOVA2,hsa-mir-92b,0.193932832591857,green
KLHL23,hsa-mir-539,0.202572288034563,red
SH2B3,hsa-mir-93,0.347573413167065,green
MKL1,hsa-mir-22,0.283498388334365,red
KPNA3,hsa-mir-765,0.219193070698303,red
PAPD7,hsa-mir-1275,0.22079033209875,green
KLHDC1,hsa-mir-145,0.285022874876258,red
DLEU1,hsa-mir-200c,0.245545208974456,red
LARP1B,hsa-mir-425,0.256453787581446,red
MKRN1,hsa-mir-106b,0.21131132204479,red
FAS,hsa-mir-561,0.334154122163198,green
RFX5,hsa-mir-30e,0.28506413179758,red
SPDYE3,hsa-mir-570,0.223988911581103,red
COL3A1,hsa-mir-200c,0.300818606247689,green
PAPOLA,hsa-mir-1227,0.299727406956962,red
CC2D1A,hsa-mir-3928,0.255838425234328,green
TFDP2,hsa-mir-1227,0.205609768038763,red
OVOL2,hsa-mir-495,0.199864733956588,green
CNTLN,hsa-mir-3928,0.277422296174956,red
SH3PXD2A,hsa-mir-589,0.203321219082727,green
ZNF853,hsa-mir-183,0.257781149721461,red
SLC17A7,hsa-mir-185,0.334761350554314,red
RAB6A,hsa-mir-765,0.193376074922677,red
PARD6B,hsa-mir-500a,0.253270856071612,red
C10orf137,hsa-mir-27a,0.192085719732055,green
PGAM1,hsa-mir-1976,0.238491695248585,green
AGPS,hsa-mir-1910,0.327072873174568,red
P2RX1,hsa-mir-183,0.289815927213093,green
BFAR,hsa-mir-580,0.280085119759595,green
KCNC4,hsa-mir-92b,0.273580064883777,green
PPM1H,hsa-mir-552,0.214586161656112,red
PRKCB,hsa-mir-589,0.206091165233771,green
CRTAM,hsa-mir-17,0.242122066745654,green
PRKD3,hsa-mir-411,0.192175969680285,red
BGN,hsa-mir-3170,0.193292496523314,green
HDX,hsa-mir-889,0.219213966991435,red
NSA2,hsa-mir-548e,0.186616454501918,green
TDRD3,hsa-mir-642a,0.223892549606381,red
CLCN3,hsa-mir-31,0.208843393035955,red
TCL1A,hsa-mir-29c,0.17897961028471,red
ZNF281,hsa-mir-203,0.184766869802413,red
ANAPC2,hsa-mir-148a,0.251705979817764,red
COQ10A,hsa-mir-500a,0.256648214955385,red
CD2AP,hsa-mir-2116,0.415989397220713,red
NCAPG,hsa-mir-548j,0.228123096908172,red
USP48,hsa-mir-152,0.186035924090083,green
FOXJ3,hsa-mir-940,0.212267222166686,red
IMPAD1,hsa-mir-522,0.299058302261066,red
TMOD3,hsa-mir-935,0.354924675361377,red
LRP12,hsa-mir-498,0.275738361752628,red
HNRNPA1,hsa-mir-1227,0.193011270552186,red
KIF1C,hsa-mir-1910,0.173044090434405,green
BCLAF1,hsa-mir-632,0.220376881643099,red
ZFP1,hsa-mir-541,0.189789542636337,red
ODF2,hsa-mir-629,0.267735983383323,red
IL16,hsa-mir-193b,0.275953293378606,green
KDM4D,hsa-mir-130a,0.206009121216749,red
IGF2BP1,hsa-let-7b,0.226256323892389,green
JPH1,hsa-mir-21,0.213419655297315,green
SLC38A10,hsa-mir-939,0.203195271728381,green
APBA1,hsa-mir-616,0.321004336909476,green
AKAP5,hsa-mir-17,0.216148335501636,red
ADCY9,hsa-mir-136,0.217807738909827,red
BHLHE40,hsa-mir-3942,0.211586788973708,green
FPGS,hsa-mir-148a,0.225849064703082,red
ANKS1A,hsa-mir-301b,0.236925600906089,red
QKI,hsa-mir-411,0.297414975971282,red
LZTFL1,hsa-mir-140,0.43339785046272,red
PTPN18,hsa-mir-193b,0.26727759630335,green
C6orf201,hsa-mir-1976,0.246783565578865,red
