mRNA,microRNA,weight,edge_color
FOXN4,hsa-mir-629,0.288680339232294,red
RPS6KA1,hsa-mir-1291,0.297976829510559,green
CCDC3,hsa-mir-370,0.356171538284646,red
SERBP1,hsa-mir-629,0.314914114759535,red
GANC,hsa-mir-96,0.297023976529873,green
COPS2,hsa-mir-31,0.371726086452445,red
RUFY3,hsa-mir-664,0.323392625840297,red
SEC24A,hsa-mir-186,0.238221407589233,green
ZNF506,hsa-mir-561,0.273264113853193,green
KIAA1429,hsa-mir-1304,0.261591771605943,red
SLC25A21,hsa-mir-96,0.244152954786639,red
EIF1AX,hsa-mir-493,0.265845565607747,red
PGBD1,hsa-mir-18b,0.234487443640659,red
NAT8L,hsa-mir-653,0.449521731225036,red
MAGED2,hsa-mir-182,0.228738372581129,red
DBT,hsa-mir-200c,0.28938893596357,red
AK1,hsa-mir-1976,0.339643091400325,red
FRZB,hsa-mir-505,0.311514363751388,green
KCMF1,hsa-mir-944,0.272008054135635,red
SENP2,hsa-mir-629,0.251582051425169,red
SKA3,hsa-mir-664,0.377909012456346,green
STEAP2,hsa-mir-335,0.272011476416059,green
RAD52,hsa-mir-3922,0.338176097164159,red
WASL,hsa-mir-519d,0.416482524464873,red
FOXK1,hsa-mir-2355,0.402285201386083,red
PLEKHO2,hsa-mir-193b,0.274175809920383,green
CHST15,hsa-mir-1227,0.25783704956653,green
PPP1R9A,hsa-mir-1266,0.418803781229039,red
RAB11FIP3,hsa-mir-1266,0.390342725016977,green
UCK2,hsa-mir-17,0.342047459452802,red
TNFRSF1B,hsa-mir-939,0.345962312212416,green
PLD3,hsa-let-7g,0.284051219594809,red
PDE4D,hsa-mir-1266,0.339020938163339,red
EHF,hsa-mir-224,0.278875399249083,red
RPAIN,hsa-mir-199b,0.425266601203005,green
DLG1,hsa-mir-21,0.298711774021358,green
ZNF507,hsa-mir-570,0.296154028110872,red
DISC1,hsa-mir-889,0.255924597213192,red
AKAP13,hsa-mir-585,0.276498030813616,red
COL4A3BP,hsa-mir-549,0.311303600293082,green
KPNA3,hsa-mir-522,0.43503938046614,red
OPTN,hsa-mir-150,0.357595017166833,red
ATP1A2,hsa-mir-140,0.466517226190538,red
UHMK1,hsa-mir-1910,0.358666606045481,red
FAM20B,hsa-mir-130b,0.334835423721738,red
BTBD1,hsa-mir-498,0.246155699788845,red
CLCN3,hsa-mir-1266,0.356939845816692,red
VAV1,hsa-mir-149,0.311936244628978,green
PHACTR4,hsa-mir-675,0.227144392117788,red
PHF19,hsa-mir-96,0.349262553489175,red
MKI67,hsa-mir-17,0.32414989858183,red
SLC38A2,hsa-mir-935,0.26431783225513,red
FKBP9,hsa-mir-183,0.355583969686404,red
TPD52,hsa-mir-425,0.339927072899582,red
NOVA2,hsa-mir-92b,0.267809649896004,green
KLHL23,hsa-mir-539,0.246524148244507,red
SH2B3,hsa-mir-93,0.46494379474072,green
MKL1,hsa-mir-22,0.402382494509482,red
KPNA3,hsa-mir-765,0.310377330783085,red
PAPD7,hsa-mir-1275,0.280694166320913,green
KLHDC1,hsa-mir-145,0.315922708098109,red
DLEU1,hsa-mir-200c,0.248567733873364,red
LARP1B,hsa-mir-425,0.306313400944422,red
MKRN1,hsa-mir-106b,0.272566946089177,red
FAS,hsa-mir-561,0.470549755875073,green
RFX5,hsa-mir-30e,0.280445867965491,red
SPDYE3,hsa-mir-570,0.341639328481286,red
COL3A1,hsa-mir-200c,0.299605882284568,green
PAPOLA,hsa-mir-1227,0.350413168929818,red
CC2D1A,hsa-mir-3928,0.402330124430997,green
TFDP2,hsa-mir-1227,0.245813807664037,red
OVOL2,hsa-mir-495,0.241850960666214,green
CNTLN,hsa-mir-3928,0.366980140047147,red
SH3PXD2A,hsa-mir-589,0.26020550429319,green
ZNF853,hsa-mir-183,0.349828883439483,red
SLC17A7,hsa-mir-185,0.334944789754718,red
RAB6A,hsa-mir-765,0.226762272826081,red
PARD6B,hsa-mir-500a,0.379766792044886,red
C10orf137,hsa-mir-27a,0.22961529864585,green
PGAM1,hsa-mir-1976,0.345137962682258,green
AGPS,hsa-mir-1910,0.335183177204786,red
P2RX1,hsa-mir-183,0.371317270650297,green
BFAR,hsa-mir-580,0.372118646851328,green
KCNC4,hsa-mir-92b,0.400255681866473,green
PPM1H,hsa-mir-552,0.292368174525367,red
PRKCB,hsa-mir-589,0.280723375509635,green
CRTAM,hsa-mir-17,0.300127399351365,green
PRKD3,hsa-mir-411,0.225433747513497,red
BGN,hsa-mir-3170,0.247908785856085,green
HDX,hsa-mir-889,0.284743383719536,red
NSA2,hsa-mir-548e,0.252625914547226,green
TDRD3,hsa-mir-642a,0.341704412654241,red
CLCN3,hsa-mir-31,0.299129701054448,red
TCL1A,hsa-mir-29c,0.225479293482759,red
ZNF281,hsa-mir-203,0.214521468791814,red
ANAPC2,hsa-mir-148a,0.405274699213663,red
COQ10A,hsa-mir-500a,0.359615409604529,red
