mRNA,microRNA,weight,edge_color
SLC12A8,hsa-mir-495,0.140332972,green
RNASE6,hsa-mir-106a,0.224197269,green
FMNL3,hsa-mir-708,0.183233535,green
ULK2,hsa-mir-1248,0.532100201,red
RAB3IP,hsa-mir-337,0.598745594,red
NPR1,hsa-mir-224,0.220667189,green
KIF4A,hsa-mir-199b,0.171497634,green
FUCA1,hsa-mir-196b,0.171873384,green
SND1,hsa-mir-151,0.584395422,red
TPP1,hsa-mir-130b,0.222077589,green
SLC12A8,hsa-mir-377,0.132795426,green
PAPLN,hsa-mir-629,0.191818561,green
TMEM106A,hsa-mir-363,0.142393572,green
HEYL,hsa-mir-1293,0.143190611,green
HSPG2,hsa-mir-1293,0.168759708,green
GRIK2,hsa-mir-378c,0.187359328,green
RAB3IP,hsa-mir-433,0.531018256,red
SFTPB,hsa-mir-200c,0.156028462,green
C16orf53,hsa-mir-181d,0.563226454,red
ITGBL1,hsa-mir-1293,0.194805153,green
CD84,hsa-mir-942,0.183449349,green
CTSB,hsa-mir-93,0.308192192,green
FAM69A,hsa-mir-488,0.167229633,green
DLL4,hsa-mir-1293,0.144294696,green
CYB5R4,hsa-mir-579,0.160191225,green
AFAP1L1,hsa-mir-1976,0.532339039,red
DUSP1,hsa-mir-182,0.230510836,green
DHDDS,hsa-mir-10a,0.538940971,red
EPHA10,hsa-mir-338,0.532581353,red
CGREF1,hsa-mir-22,0.163981195,green
CD84,hsa-mir-1254,0.161694039,green
TMEM130,hsa-mir-1293,0.138522279,green
PMS2CL,hsa-mir-182,0.573346888,red
CD4,hsa-mir-940,0.144080634,green
TNFSF13B,hsa-mir-425,0.155052235,green
SGTB,hsa-mir-93,0.174944659,green
TMEM106A,hsa-mir-940,0.154645263,green
KCNN3,hsa-mir-205,0.298822317,green
RASSF4,hsa-mir-942,0.21737054,green
KCNN3,hsa-mir-1293,0.17218941,green
COL5A1,hsa-mir-3676,0.138309283,green
RAB3IP,hsa-mir-539,0.586859267,red
VASH1,hsa-mir-140,0.664372747,red
RIMKLA,hsa-mir-665,0.539382175,red
ARRB1,hsa-mir-217,0.541791914,red
TMTC1,hsa-mir-223,0.157999422,green
FSTL1,hsa-mir-1248,0.162326699,green
ADAMTS16,hsa-mir-1248,0.134895375,green
SIAE,hsa-mir-19a,0.219587202,green
HMCN1,hsa-mir-30a,0.605821604,red
GREM1,hsa-mir-3653,0.171992056,green
PRKCZ,hsa-mir-127,0.603333579,red
PLEKHA1,hsa-mir-338,0.139727249,green
CDK2AP1,hsa-mir-21,0.16883429,green
TNS3,hsa-mir-203,0.289154444,green
MS4A6A,hsa-mir-942,0.217269679,green
NR5A2,hsa-mir-30e,0.589340287,red
PLIN2,hsa-mir-33a,0.169829094,green
SHANK2,hsa-mir-370,0.532093926,red
FBXW8,hsa-mir-32,0.544634297,red
HPCAL4,hsa-mir-370,0.551732256,red
TMEM176B,hsa-mir-942,0.283164881,green
CASP4,hsa-mir-18a,0.153699232,green
LIMCH1,hsa-mir-203,0.172082406,green
CASP4,hsa-mir-18b,0.204949588,green
SSB,hsa-mir-195,0.210033481,green
BTBD9,hsa-mir-1249,0.1555841,green
SRPR,hsa-mir-1248,0.163972883,green
OPN3,hsa-mir-27b,0.202388747,green
