mRNA,microRNA,weight,edge_color
SLC12A8,hsa-mir-495,0.3368931715,green
RNASE6,hsa-mir-106a,0.398544196,green
FMNL3,hsa-mir-708,0.360532181,green
ULK2,hsa-mir-1248,0.4040065155,red
RAB3IP,hsa-mir-337,0.4982180185,red
NPR1,hsa-mir-224,0.4255918185,green
KIF4A,hsa-mir-199b,0.3685263765,green
FUCA1,hsa-mir-196b,0.3629664305,green
SND1,hsa-mir-151,0.373130284,red
TPP1,hsa-mir-130b,0.379721242,green
SLC12A8,hsa-mir-377,0.391751708,green
PAPLN,hsa-mir-629,0.3896810145,green
TMEM106A,hsa-mir-363,0.338161728,green
HEYL,hsa-mir-1293,0.3681936335,green
HSPG2,hsa-mir-1293,0.4543410825,green
GRIK2,hsa-mir-378c,0.3632567515,green
RAB3IP,hsa-mir-433,0.4777066825,red
SFTPB,hsa-mir-200c,0.3471016815,green
C16orf53,hsa-mir-181d,0.374071332,red
ITGBL1,hsa-mir-1293,0.414544045,green
CD84,hsa-mir-942,0.429307759,green
CTSB,hsa-mir-93,0.4850706035,green
FAM69A,hsa-mir-488,0.3583022135,green
DLL4,hsa-mir-1293,0.3517997875,green
CYB5R4,hsa-mir-579,0.3675047145,green
AFAP1L1,hsa-mir-1976,0.380258517,red
DUSP1,hsa-mir-182,0.395279643,green
DHDDS,hsa-mir-10a,0.365969602,red
EPHA10,hsa-mir-338,0.365572218,red
CGREF1,hsa-mir-22,0.3516363455,green
CD84,hsa-mir-1254,0.372580288,green
TMEM130,hsa-mir-1293,0.3526169955,green
PMS2CL,hsa-mir-182,0.359858285,red
CD4,hsa-mir-940,0.3631199505,green
TNFSF13B,hsa-mir-425,0.3576774605,green
SGTB,hsa-mir-93,0.3721483055,green
TMEM106A,hsa-mir-940,0.366402094,green
KCNN3,hsa-mir-205,0.422040705,green
RASSF4,hsa-mir-942,0.409005807,green
KCNN3,hsa-mir-1293,0.3535002725,green
COL5A1,hsa-mir-3676,0.37310727,green
RAB3IP,hsa-mir-539,0.493205647,red
VASH1,hsa-mir-140,0.461325738,red
RIMKLA,hsa-mir-665,0.352504249,red
ARRB1,hsa-mir-217,0.388819628,red
TMTC1,hsa-mir-223,0.3805538925,green
FSTL1,hsa-mir-1248,0.3681552385,green
ADAMTS16,hsa-mir-1248,0.4483230845,green
SIAE,hsa-mir-19a,0.3851188865,green
HMCN1,hsa-mir-30a,0.398600745,red
GREM1,hsa-mir-3653,0.3596233175,green
PRKCZ,hsa-mir-127,0.384443316,red
PLEKHA1,hsa-mir-338,0.4012958765,green
