mRNA,microRNA,weight,edge_color
SLC12A8,hsa-mir-495,0.273607560158429,green
RNASE6,hsa-mir-106a,0.358386139814228,green
FMNL3,hsa-mir-708,0.313924582763414,green
ULK2,hsa-mir-1248,0.383162201034339,red
RAB3IP,hsa-mir-337,0.487970696376492,red
NPR1,hsa-mir-224,0.373007094032305,green
KIF4A,hsa-mir-199b,0.31143436676945,green
FUCA1,hsa-mir-196b,0.308590468500341,green
SND1,hsa-mir-151,0.307560157211173,red
TPP1,hsa-mir-130b,0.345451444192723,green
SLC12A8,hsa-mir-377,0.293957556007077,green
PAPLN,hsa-mir-629,0.335710801966081,green
TMEM106A,hsa-mir-363,0.275732086236451,green
HEYL,hsa-mir-1293,0.291445006160333,green
HSPG2,hsa-mir-1293,0.353368218415243,green
GRIK2,hsa-mir-378c,0.317829457282352,green
RAB3IP,hsa-mir-433,0.474722603881582,red
SFTPB,hsa-mir-200c,0.289776814272696,green
C16orf53,hsa-mir-181d,0.32272232839613,red
ITGBL1,hsa-mir-1293,0.351513277967667,green
CD84,hsa-mir-942,0.351935781315106,green
CTSB,hsa-mir-93,0.451671914031735,green
FAM69A,hsa-mir-488,0.303103522216537,green
DLL4,hsa-mir-1293,0.284085774875515,green
CYB5R4,hsa-mir-579,0.303448236526528,green
AFAP1L1,hsa-mir-1976,0.348522674411934,red
DUSP1,hsa-mir-182,0.359301038698755,green
DHDDS,hsa-mir-10a,0.322513030890698,red
EPHA10,hsa-mir-338,0.325193781305841,red
CGREF1,hsa-mir-22,0.297377981645275,green
CD84,hsa-mir-1254,0.307153155589965,green
TMEM130,hsa-mir-1293,0.280182436784021,green
PMS2CL,hsa-mir-182,0.289690527412012,red
CD4,hsa-mir-940,0.289616774856594,green
TNFSF13B,hsa-mir-425,0.294747661128639,green
SGTB,hsa-mir-93,0.315602729857687,green
TMEM106A,hsa-mir-940,0.299014278944037,green
KCNN3,hsa-mir-205,0.403652803205401,green
RASSF4,hsa-mir-942,0.361333190561786,green
KCNN3,hsa-mir-1293,0.303461387654312,green
COL5A1,hsa-mir-3676,0.289963687774178,green
RAB3IP,hsa-mir-539,0.484232185726625,red
VASH1,hsa-mir-140,0.414238275244332,red
RIMKLA,hsa-mir-665,0.298891094442428,red
ARRB1,hsa-mir-217,0.357463540566017,red
TMTC1,hsa-mir-223,0.308692035461504,green
FSTL1,hsa-mir-1248,0.305242349555708,green
ADAMTS16,hsa-mir-1248,0.320556795300268,green
SIAE,hsa-mir-19a,0.347729518685993,green
HMCN1,hsa-mir-30a,0.340502671810159,red
GREM1,hsa-mir-3653,0.306795437054765,green
PRKCZ,hsa-mir-127,0.316043851357476,red
PLEKHA1,hsa-mir-338,0.304335725151796,green
CDK2AP1,hsa-mir-21,0.301394254044718,green
TNS3,hsa-mir-203,0.404853740489922,green
MS4A6A,hsa-mir-942,0.402054675645307,green
NR5A2,hsa-mir-30e,0.334312072455913,red
PLIN2,hsa-mir-33a,0.306601519052208,green
SHANK2,hsa-mir-370,0.447535588191107,red
FBXW8,hsa-mir-32,0.281125993136825,red
HPCAL4,hsa-mir-370,0.472456099244202,red
TMEM176B,hsa-mir-942,0.429163713606112,green
CASP4,hsa-mir-18a,0.293811269992415,green
LIMCH1,hsa-mir-203,0.315643500478844,green
CASP4,hsa-mir-18b,0.363923729996429,green
SSB,hsa-mir-195,0.334719050951597,green
BTBD9,hsa-mir-1249,0.312105987116082,green
SRPR,hsa-mir-1248,0.305305883550952,green
OPN3,hsa-mir-27b,0.328491475570517,green
FPR3,hsa-mir-3651,0.395556775226911,green
GPR116,hsa-mir-200c,0.370920674388396,green
H2AFY2,hsa-mir-130a,0.394757489721416,red
PRELP,hsa-mir-193b,0.340221907871752,green
CD163,hsa-mir-130b,0.377338007618653,green
PRKCZ,hsa-mir-370,0.275413584377855,red
CAPN5,hsa-mir-338,0.346019024543599,red
KIF14,hsa-mir-150,0.270135172835419,green
CHST15,hsa-mir-205,0.320149692964078,green
VASH1,hsa-mir-1293,0.361543882837414,green
PNPO,hsa-mir-377,0.27440817809133,green
XYLT1,hsa-mir-1293,0.312422671590061,green
STBD1,hsa-mir-27b,0.309940987158758,green
CMKLR1,hsa-mir-93,0.415232807240595,green
DOCK9,hsa-mir-200a,0.32774161097078,green
TTLL7,hsa-mir-154,0.309266358914014,red
TNFAIP8L1,hsa-mir-1976,0.337671577519182,red
GAS7,hsa-mir-1248,0.34409097692587,green
SLCO2B1,hsa-mir-140,0.38823089329337,red
SLC39A8,hsa-mir-17,0.294262158643523,green
TNFAIP8L1,hsa-mir-140,0.281431125604643,red
PCDH12,hsa-mir-193b,0.287170484418654,green
FYB,hsa-mir-196b,0.309326121990367,green
SLC12A8,hsa-mir-376c,0.295941862133356,green
SGMS2,hsa-mir-877,0.296369513916572,green
CTSA,hsa-mir-130b,0.318489214651755,green
COL4A1,hsa-mir-205,0.411203336072547,green
SHANK2,hsa-mir-539,0.457457053003814,red
DCHS1,hsa-mir-708,0.307215430611877,green
COL4A4,hsa-mir-203,0.348842369808594,green
MFHAS1,hsa-mir-223,0.297704718498928,green
NAIP,hsa-mir-93,0.357259145557962,green
KIF3C,hsa-mir-1293,0.317647109291144,green
YY1AP1,hsa-mir-223,0.30762929399366,green
COL5A1,hsa-mir-3653,0.354060583305588,green
CGREF1,hsa-mir-141,0.292445500851014,red
DLG2,hsa-mir-152,0.297103979690791,green
TRDMT1,hsa-mir-377,0.342381064377956,red
NID2,hsa-mir-205,0.427741614498266,green
RABEP1,hsa-mir-193a,0.296696790921763,green
MEAF6,hsa-mir-940,0.273310779008055,red
LPAR5,hsa-mir-488,0.297126012746454,green
XYLT1,hsa-mir-205,0.411536264617352,green
VWF,hsa-mir-708,0.353647816886593,green
ZFP28,hsa-mir-1254,0.332011284176848,red
ACTR8,hsa-mir-195,0.277534712919949,red
OSBPL10,hsa-mir-708,0.326904732302657,green
PRELP,hsa-mir-203,0.34394190004987,green
GNA13,hsa-mir-223,0.340016644860566,green
SLC39A8,hsa-mir-200c,0.362783562014288,green
SPTLC3,hsa-mir-33a,0.30349508959022,green
ROBO4,hsa-mir-205,0.411638304037049,green
PTGFRN,hsa-mir-3653,0.269316270936544,green
XYLB,hsa-mir-151,0.308100428772515,red
PRELP,hsa-mir-1293,0.365028626279897,green
ALKBH4,hsa-mir-197,0.350767955492774,red
AP1G1,hsa-mir-181d,0.299748986501696,green
DLL4,hsa-mir-140,0.339389618980036,red
GNB4,hsa-mir-425,0.281740199056533,green
ABCA3,hsa-mir-200c,0.325360901353522,green
HAVCR2,hsa-mir-301a,0.392551984816499,green
IRF4,hsa-mir-629,0.290266327417938,green
SLC46A3,hsa-mir-1254,0.337355415311336,green
LAMA2,hsa-mir-193b,0.371841410148215,green
KCND2,hsa-mir-3653,0.30794514234965,green
NR1H3,hsa-mir-196b,0.320999484976844,green
COL4A1,hsa-mir-944,0.376437804471039,green
VASH1,hsa-mir-30a,0.433214130023936,red
SHC1,hsa-mir-1248,0.307378247811772,green
BGN,hsa-mir-1293,0.31935583010019,green
PNPO,hsa-mir-136,0.271623312081576,green
VASH1,hsa-mir-708,0.346207290498316,green
CDAN1,hsa-mir-222,0.30458047797466,red
NDST1,hsa-mir-224,0.272001202533674,green
PXDN,hsa-mir-1468,0.314535016134555,red
KALRN,hsa-mir-375,0.365621100768389,red
TRDMT1,hsa-mir-758,0.375691941241657,red
JARID2,hsa-mir-155,0.296227236942309,green
YTHDC1,hsa-mir-940,0.28058357507386,red
SLC29A3,hsa-mir-30a,0.3191868305441,red
TBC1D2B,hsa-mir-195,0.403062625426244,red
SLAMF6,hsa-mir-629,0.289091532669375,green
SPTBN1,hsa-mir-203,0.327219350858464,green
SCML2,hsa-mir-21,0.356365554564715,green
F2RL1,hsa-mir-1269,0.325397233743508,green
CYBASC3,hsa-mir-195,0.325181431498403,red
RAB3IP,hsa-mir-370,0.388571544795216,red
TMOD3,hsa-mir-181d,0.305439662845402,green
FUCA2,hsa-mir-93,0.306916261111355,green
FOLR2,hsa-mir-196b,0.356341513482364,green
FMNL3,hsa-mir-1293,0.323877919132835,green
MCAM,hsa-mir-1976,0.267040118313698,red
BDKRB2,hsa-mir-1248,0.305663131698093,green
PNPO,hsa-mir-151,0.298446893907983,red
RNASE6,hsa-mir-942,0.403581167751219,green
SHANK2,hsa-mir-134,0.336187753603547,red
HAVCR2,hsa-mir-940,0.329301969578215,green
FAM105A,hsa-mir-217,0.357460841408652,red
FAM70B,hsa-mir-708,0.366002470241006,green
CXorf36,hsa-mir-205,0.482469557711471,green
CAMKK2,hsa-mir-412,0.281140167063972,green
PKP1,hsa-mir-935,0.283144032925836,green
COL5A2,hsa-mir-3653,0.33793619122779,green
CACNA2D4,hsa-mir-185,0.27266892975074,green
RAB3IP,hsa-mir-432,0.632175175401608,red
RAB3IP,hsa-mir-379,0.397682466981827,red
NR5A2,hsa-mir-708,0.393768131495435,green
SERPINH1,hsa-mir-1248,0.305260665247436,green
S1PR2,hsa-mir-1248,0.32470778138609,green
SHANK2,hsa-mir-432,0.340076127847814,red
APOBEC3B,hsa-mir-887,0.27994861077028,green
SLC41A2,hsa-mir-15a,0.265999076382484,green
ITGA11,hsa-mir-1248,0.29737673576321,green
ITPRIPL2,hsa-mir-224,0.296346142354925,green
LHFPL2,hsa-mir-196b,0.426186442264323,green
ZFP36,hsa-mir-182,0.318254302077379,green
TPP1,hsa-mir-3651,0.4283145745639,green
PRND,hsa-mir-205,0.342087374169856,green
SLC40A1,hsa-mir-93,0.304993823768933,green
GAS1,hsa-mir-378,0.354399588778787,green
RASGRF1,hsa-mir-200c,0.287605606772857,green
PAX6,hsa-mir-370,0.292985782915126,red
SLC1A1,hsa-mir-203,0.303117313900251,green
MYRIP,hsa-mir-205,0.42575103701243,green
SHANK2,hsa-mir-758,0.433761224258012,red
TP53BP2,hsa-mir-222,0.328132400001326,green
RAB3IP,hsa-mir-410,0.506155955689169,red
LTBP2,hsa-mir-944,0.4929872319862,green
DYSF,hsa-mir-708,0.434913529273133,green
SLC36A1,hsa-mir-942,0.343063925402402,green
UBE2D1,hsa-mir-190,0.29816623140003,green
SH3PXD2B,hsa-mir-3651,0.443748817846296,green
SARM1,hsa-mir-31,0.309536647688286,green
CLN8,hsa-mir-18b,0.330605863322913,green
DLL4,hsa-mir-944,0.382136323887592,green
GYS1,hsa-mir-151,0.306980440584019,red
