mRNA,microRNA,weight,edge_color
SLC12A8,hsa-mir-495,0.434908597676143,green
RNASE6,hsa-mir-106a,0.485482896692588,green
FMNL3,hsa-mir-708,0.448942766623887,green
ULK2,hsa-mir-1248,0.45693304695292,red
RAB3IP,hsa-mir-337,0.539754616231717,red
NPR1,hsa-mir-224,0.527778196747091,green
KIF4A,hsa-mir-199b,0.466775443270442,green
FUCA1,hsa-mir-196b,0.458255641844105,green
SND1,hsa-mir-151,0.460422104261214,red
TPP1,hsa-mir-130b,0.458330797098457,green
SLC12A8,hsa-mir-377,0.520881157429661,green
PAPLN,hsa-mir-629,0.488345814156248,green
TMEM106A,hsa-mir-363,0.435782198933932,green
HEYL,hsa-mir-1293,0.480392172153079,green
HSPG2,hsa-mir-1293,0.596747226779407,green
GRIK2,hsa-mir-378c,0.450968612657517,green
RAB3IP,hsa-mir-433,0.499734284099865,red
SFTPB,hsa-mir-200c,0.442381006041692,green
C16orf53,hsa-mir-181d,0.452227600788238,red
ITGBL1,hsa-mir-1293,0.524117606695807,green
CD84,hsa-mir-942,0.55190590906516,green
CTSB,hsa-mir-93,0.573271637730898,green
FAM69A,hsa-mir-488,0.453581219402122,green
DLL4,hsa-mir-1293,0.455272922085885,green
CYB5R4,hsa-mir-579,0.470882306083111,green
AFAP1L1,hsa-mir-1976,0.443096076084905,red
DUSP1,hsa-mir-182,0.477442180887735,green
DHDDS,hsa-mir-10a,0.437438968862999,red
EPHA10,hsa-mir-338,0.434578072597747,red
CGREF1,hsa-mir-22,0.445211238063159,green
CD84,hsa-mir-1254,0.477739448516741,green
TMEM130,hsa-mir-1293,0.459376069479307,green
PMS2CL,hsa-mir-182,0.448068810112259,red
CD4,hsa-mir-940,0.472344666442957,green
TNFSF13B,hsa-mir-425,0.458717232956171,green
SGTB,hsa-mir-93,0.470484588757521,green
TMEM106A,hsa-mir-940,0.471995373254758,green
KCNN3,hsa-mir-205,0.483483982139924,green
RASSF4,hsa-mir-942,0.504565398479677,green
KCNN3,hsa-mir-1293,0.443911563816895,green
COL5A1,hsa-mir-3676,0.490190101721003,green
RAB3IP,hsa-mir-539,0.531902021807717,red
VASH1,hsa-mir-140,0.545221941519414,red
RIMKLA,hsa-mir-665,0.42971961203439,red
ARRB1,hsa-mir-217,0.452025651581889,red
TMTC1,hsa-mir-223,0.491531452193936,green
FSTL1,hsa-mir-1248,0.470792354608063,green
ADAMTS16,hsa-mir-1248,0.604614900443414,green
SIAE,hsa-mir-19a,0.467661835902747,green
HMCN1,hsa-mir-30a,0.484221525358956,red
GREM1,hsa-mir-3653,0.453186297730338,green
PRKCZ,hsa-mir-127,0.474885731987847,red
PLEKHA1,hsa-mir-338,0.531727981086469,green
CDK2AP1,hsa-mir-21,0.44548509546732,green
TNS3,hsa-mir-203,0.497237476250351,green
MS4A6A,hsa-mir-942,0.611960449860609,green
NR5A2,hsa-mir-30e,0.472066477048822,red
PLIN2,hsa-mir-33a,0.457341998967743,green
SHANK2,hsa-mir-370,0.486416629917664,red
FBXW8,hsa-mir-32,0.427411061604049,red
HPCAL4,hsa-mir-370,0.508554065607184,red
TMEM176B,hsa-mir-942,0.558373227254066,green
CASP4,hsa-mir-18a,0.459387107169027,green
LIMCH1,hsa-mir-203,0.476975329426081,green
CASP4,hsa-mir-18b,0.535597841741373,green
SSB,hsa-mir-195,0.452358441682883,green
BTBD9,hsa-mir-1249,0.508149149196021,green
SRPR,hsa-mir-1248,0.467064329037457,green
OPN3,hsa-mir-27b,0.450248434280371,green
FPR3,hsa-mir-3651,0.497650255715264,green
GPR116,hsa-mir-200c,0.473666942037297,green
H2AFY2,hsa-mir-130a,0.533904503473174,red
PRELP,hsa-mir-193b,0.527290076401548,green
CD163,hsa-mir-130b,0.487667501891804,green
PRKCZ,hsa-mir-370,0.444949322741161,red
CAPN5,hsa-mir-338,0.471528735680503,red
KIF14,hsa-mir-150,0.434286357615936,green
CHST15,hsa-mir-205,0.475556583658662,green
VASH1,hsa-mir-1293,0.509247616471376,green
PNPO,hsa-mir-377,0.436863755346537,green
XYLT1,hsa-mir-1293,0.469406703299552,green
STBD1,hsa-mir-27b,0.44777073804235,green
CMKLR1,hsa-mir-93,0.48593245076339,green
DOCK9,hsa-mir-200a,0.456568842415689,green
TTLL7,hsa-mir-154,0.440472358435717,red
TNFAIP8L1,hsa-mir-1976,0.455689820623561,red
GAS7,hsa-mir-1248,0.500576187392287,green
SLCO2B1,hsa-mir-140,0.489507517799746,red
SLC39A8,hsa-mir-17,0.468125052990462,green
TNFAIP8L1,hsa-mir-140,0.435010506260655,red
PCDH12,hsa-mir-193b,0.46651045978385,green
FYB,hsa-mir-196b,0.496807533283106,green
SLC12A8,hsa-mir-376c,0.477801217874687,green
SGMS2,hsa-mir-877,0.440271377911849,green
CTSA,hsa-mir-130b,0.534635920535755,green
COL4A1,hsa-mir-205,0.562939667597028,green
