mRNA,microRNA,weight,edge_color
PARP11,hsa-mir-335,0.170478611,green
GNAZ,hsa-mir-1251,0.107224006,green
CDK4,hsa-mir-616,0.367228536,red
FAM122C,hsa-mir-193b,0.372805126,red
AGA,hsa-mir-17,0.141506472,green
LNX1,hsa-mir-487a,0.125152379,green
PKIA,hsa-mir-221,0.147023753,green
LIMS1,hsa-mir-143,0.385095321,red
PPAP2C,hsa-mir-148a,0.187490148,green
MORC2,hsa-mir-192,0.4645555,red
LRRC59,hsa-mir-377,0.153736389,green
NLGN2,hsa-mir-335,0.35583155,red
TBRG1,hsa-mir-1306,0.411758834,red
TLE4,hsa-mir-195,0.502043769,red
FAM107A,hsa-mir-744,0.182715301,green
STEAP2,hsa-mir-335,0.136783532,green
GATS,hsa-mir-148a,0.585905407,red
ZNF37A,hsa-mir-10b,0.104253165,green
RANBP10,hsa-mir-539,0.101298106,green
KIAA1045,hsa-mir-205,0.371930858,red
TMEM164,hsa-mir-337,0.09710027,green
PLCB1,hsa-mir-98,0.115648939,green
ACO2,hsa-mir-212,0.123818309,green
PORCN,hsa-mir-642a,0.366471737,red
TFE3,hsa-mir-483,0.095582846,green
NDUFAF1,hsa-mir-616,0.098147428,green
EHF,hsa-mir-224,0.143819631,green
ENPP1,hsa-mir-505,0.170232139,green
ZFAND5,hsa-mir-503,0.136518476,green
ATG12,hsa-mir-186,0.132241298,green
FNDC3A,hsa-mir-98,0.141630452,green
CORO2B,hsa-mir-192,0.116414198,green
GLDN,hsa-mir-205,0.442478435,red
BSN,hsa-mir-377,0.128408145,green
BSN,hsa-mir-432,0.105195741,green
PTRF,hsa-mir-29a,0.374456769,red
CD59,hsa-mir-1251,0.138263835,green
NPC1,hsa-mir-200a,0.418288888,red
CTAGE5,hsa-mir-186,0.122639727,green
KCNJ15,hsa-mir-616,0.165219674,green
ZSCAN22,hsa-mir-34a,0.298331115,green
ZNF776,hsa-mir-539,0.215280018,green
RASA1,hsa-mir-505,0.196700083,green
SSBP3,hsa-mir-203,0.165452163,green
ITM2B,hsa-mir-32,0.188623157,green
SLCO3A1,hsa-mir-210,0.217723182,green
RCBTB2,hsa-mir-3928,0.188587334,green
PAM,hsa-mir-766,0.174520325,green
SEC61B,hsa-mir-331,0.179849509,green
GSTM2,hsa-mir-32,0.154319907,green
DNAJC28,hsa-mir-758,0.133061341,green
KIAA0528,hsa-mir-625,0.398040208,red
NDUFC2,hsa-mir-132,0.113123199,green
IKZF2,hsa-mir-10b,0.115820537,green
DEFB132,hsa-mir-1976,0.108330407,green
PDLIM4,hsa-mir-889,0.356735289,red
SRCIN1,hsa-mir-377,0.130373873,green
RHEBL1,hsa-mir-505,0.366749262,red
C21orf63,hsa-mir-1301,0.107963643,green
COL23A1,hsa-mir-331,0.139056839,green
ATP8A1,hsa-mir-505,0.206876577,green
HOXD13,hsa-mir-31,0.359711592,red
TMED7,hsa-mir-323,0.14727421,green
C6orf174,hsa-mir-495,0.366240716,red
CPEB4,hsa-mir-141,0.276349999,green
AJAP1,hsa-mir-616,0.194884766,green
FUCA1,hsa-mir-151,0.185158,green
SETD6,hsa-mir-496,0.156850214,green
VPS37C,hsa-mir-186,0.534763828,red
SLC45A3,hsa-mir-335,0.115858941,green
KIRREL3,hsa-mir-503,0.109536912,green
ZNF219,hsa-mir-940,0.125696073,green
GALNT6,hsa-mir-141,0.294014111,green
GRAMD2,hsa-mir-424,0.19874889,green
NDRG2,hsa-mir-345,0.145319143,green
SCPEP1,hsa-mir-652,0.109415556,green
MLEC,hsa-mir-370,0.153715903,green
NMNAT1,hsa-mir-1307,0.100190713,green
ADIPOR2,hsa-mir-429,0.104298019,green
RAB11FIP2,hsa-mir-503,0.150127315,green
IQCK,hsa-mir-500b,0.163681949,green
C10orf26,hsa-mir-484,0.24381807,green
PODXL,hsa-mir-203,0.12532214,green
PLA1A,hsa-mir-10b,0.126327814,green
B4GALT1,hsa-mir-616,0.139552967,green
GPR56,hsa-mir-433,0.168037683,green
SARM1,hsa-mir-873,0.157685613,green
FAM199X,hsa-mir-505,0.139303136,green
TMEM127,hsa-mir-197,0.195012865,green
SRPRB,hsa-mir-2116,0.099197949,green
UFM1,hsa-mir-382,0.109943355,green
IMPA2,hsa-mir-539,0.41300536,red
SNAP47,hsa-mir-939,0.386681189,red
MTMR10,hsa-mir-196b,0.118866706,green
TM9SF1,hsa-mir-424,0.210075331,green
SRCRB4D,hsa-mir-212,0.122645928,green
FAM63B,hsa-mir-1266,0.429614304,red
CDCA7,hsa-mir-135b,0.373229446,red
HUNK,hsa-mir-143,0.481055814,red
C12orf48,hsa-mir-10b,0.361866957,red
STAU2,hsa-mir-18b,0.381802826,red
MRPS2,hsa-mir-212,0.164748829,green
CIRBP,hsa-mir-1266,0.101908176,green
SPCS3,hsa-let-7d,0.299009754,green
ARHGEF37,hsa-mir-940,0.121537504,green
XIAP,hsa-mir-141,0.142723215,green
CMBL,hsa-mir-425,0.54312798,red
PDLIM1,hsa-mir-200a,0.189951459,green
BET1,hsa-mir-432,0.158244258,green
KCNIP3,hsa-mir-766,0.157414392,green
MYLK4,hsa-mir-32,0.126284137,green
NAV2,hsa-mir-3928,0.138700347,green
ZNF607,hsa-mir-940,0.410156737,red
PHF20L1,hsa-mir-15b,0.396820544,red
CHIC1,hsa-mir-141,0.297416226,green
