mRNA,microRNA,weight,edge_color
PARP11,hsa-mir-335,0.3429549645,green
GNAZ,hsa-mir-1251,0.37996055,green
CDK4,hsa-mir-616,0.2757889525,red
FAM122C,hsa-mir-193b,0.243729857,red
AGA,hsa-mir-17,0.2777872895,green
LNX1,hsa-mir-487a,0.2600568475,green
PKIA,hsa-mir-221,0.256820361,green
LIMS1,hsa-mir-143,0.2560233015,red
PPAP2C,hsa-mir-148a,0.4270912965,green
MORC2,hsa-mir-192,0.363893648,red
LRRC59,hsa-mir-377,0.297849076,green
NLGN2,hsa-mir-335,0.23600914,red
TBRG1,hsa-mir-1306,0.255917116,red
TLE4,hsa-mir-195,0.306575083,red
FAM107A,hsa-mir-744,0.2934590705,green
STEAP2,hsa-mir-335,0.276710052,green
GATS,hsa-mir-148a,0.341590173,red
ZNF37A,hsa-mir-10b,0.26931325,green
RANBP10,hsa-mir-539,0.357206426,green
KIAA1045,hsa-mir-205,0.260169382,red
TMEM164,hsa-mir-337,0.237724568,green
PLCB1,hsa-mir-98,0.3276964965,green
ACO2,hsa-mir-212,0.2981752015,green
PORCN,hsa-mir-642a,0.2517683745,red
TFE3,hsa-mir-483,0.270895646,green
NDUFAF1,hsa-mir-616,0.274376708,green
EHF,hsa-mir-224,0.2598733875,green
ENPP1,hsa-mir-505,0.2708197165,green
ZFAND5,hsa-mir-503,0.296324109,green
ATG12,hsa-mir-186,0.2805395035,green
FNDC3A,hsa-mir-98,0.351664937,green
CORO2B,hsa-mir-192,0.2433502725,green
GLDN,hsa-mir-205,0.2739453045,red
BSN,hsa-mir-377,0.286277675,green
BSN,hsa-mir-432,0.373476591,green
PTRF,hsa-mir-29a,0.245720538,red
CD59,hsa-mir-1251,0.2907765935,green
NPC1,hsa-mir-200a,0.2837522575,red
CTAGE5,hsa-mir-186,0.2407281755,green
KCNJ15,hsa-mir-616,0.3315541905,green
ZSCAN22,hsa-mir-34a,0.352628158,green
ZNF776,hsa-mir-539,0.320405518,green
RASA1,hsa-mir-505,0.2816483335,green
SSBP3,hsa-mir-203,0.267496414,green
ITM2B,hsa-mir-32,0.46317675,green
SLCO3A1,hsa-mir-210,0.351032534,green
RCBTB2,hsa-mir-3928,0.353338919,green
PAM,hsa-mir-766,0.306906061,green
SEC61B,hsa-mir-331,0.2777845535,green
GSTM2,hsa-mir-32,0.45746799,green
DNAJC28,hsa-mir-758,0.2842287,green
KIAA0528,hsa-mir-625,0.2706788545,red
NDUFC2,hsa-mir-132,0.2927097675,green
IKZF2,hsa-mir-10b,0.302955998,green
DEFB132,hsa-mir-1976,0.270805956,green
PDLIM4,hsa-mir-889,0.2332061975,red
SRCIN1,hsa-mir-377,0.284286809,green
RHEBL1,hsa-mir-505,0.250803854,red
C21orf63,hsa-mir-1301,0.2762397145,green
COL23A1,hsa-mir-331,0.3225315815,green
ATP8A1,hsa-mir-505,0.354253494,green
HOXD13,hsa-mir-31,0.2783054015,red
TMED7,hsa-mir-323,0.285763332,green
C6orf174,hsa-mir-495,0.279998711,red
CPEB4,hsa-mir-141,0.343010894,green
AJAP1,hsa-mir-616,0.3322455225,green
FUCA1,hsa-mir-151,0.3121144965,green
SETD6,hsa-mir-496,0.259047532,green
VPS37C,hsa-mir-186,0.357579381,red
SLC45A3,hsa-mir-335,0.244102526,green
KIRREL3,hsa-mir-503,0.339450348,green
ZNF219,hsa-mir-940,0.397852481,green
GALNT6,hsa-mir-141,0.359611865,green
GRAMD2,hsa-mir-424,0.315674288,green
NDRG2,hsa-mir-345,0.290477207,green
SCPEP1,hsa-mir-652,0.3971703675,green
MLEC,hsa-mir-370,0.3585799795,green
NMNAT1,hsa-mir-1307,0.249269863,green
ADIPOR2,hsa-mir-429,0.443985584,green
RAB11FIP2,hsa-mir-503,0.3309737075,green
IQCK,hsa-mir-500b,0.263493958,green
C10orf26,hsa-mir-484,0.40314968,green
PODXL,hsa-mir-203,0.2630677365,green
PLA1A,hsa-mir-10b,0.423471181,green
B4GALT1,hsa-mir-616,0.2514674325,green
GPR56,hsa-mir-433,0.2766211985,green
SARM1,hsa-mir-873,0.2910552805,green
FAM199X,hsa-mir-505,0.38343218,green
TMEM127,hsa-mir-197,0.2884864365,green
SRPRB,hsa-mir-2116,0.2785357185,green
