mRNA,microRNA,weight,edge_color
PARP11,hsa-mir-335,0.296428769114166,green
GNAZ,hsa-mir-1251,0.264546398809809,green
CDK4,hsa-mir-616,0.260189063740953,red
FAM122C,hsa-mir-193b,0.206745781397875,red
AGA,hsa-mir-17,0.242060564713231,green
LNX1,hsa-mir-487a,0.222329368978484,green
PKIA,hsa-mir-221,0.232166756224625,green
LIMS1,hsa-mir-143,0.221107088744688,red
PPAP2C,hsa-mir-148a,0.353550937183784,green
MORC2,hsa-mir-192,0.349693835528563,red
LRRC59,hsa-mir-377,0.260663778687592,green
NLGN2,hsa-mir-335,0.203329545874011,red
TBRG1,hsa-mir-1306,0.202994899425,red
TLE4,hsa-mir-195,0.236178479777245,red
FAM107A,hsa-mir-744,0.271761004516201,green
STEAP2,hsa-mir-335,0.238723735473732,green
GATS,hsa-mir-148a,0.238733978992717,red
ZNF37A,hsa-mir-10b,0.212802243797746,green
RANBP10,hsa-mir-539,0.249213487858244,green
KIAA1045,hsa-mir-205,0.234941439113161,red
TMEM164,hsa-mir-337,0.191671012526135,green
PLCB1,hsa-mir-98,0.249841604174843,green
ACO2,hsa-mir-212,0.241884527879129,green
PORCN,hsa-mir-642a,0.22412151398196,red
TFE3,hsa-mir-483,0.206518457233046,green
NDUFAF1,hsa-mir-616,0.210299355119313,green
EHF,hsa-mir-224,0.232520328429503,green
ENPP1,hsa-mir-505,0.251446730139451,green
ZFAND5,hsa-mir-503,0.249539850998018,green
ATG12,hsa-mir-186,0.238138731141128,green
FNDC3A,hsa-mir-98,0.282052730931645,green
CORO2B,hsa-mir-192,0.207621261233898,green
GLDN,hsa-mir-205,0.215969011160091,red
BSN,hsa-mir-377,0.238813983470367,green
BSN,hsa-mir-432,0.259827153215862,green
PTRF,hsa-mir-29a,0.209297791729689,red
CD59,hsa-mir-1251,0.247569961469854,green
NPC1,hsa-mir-200a,0.249830419865261,red
CTAGE5,hsa-mir-186,0.209774099474701,green
KCNJ15,hsa-mir-616,0.286811802160967,green
ZSCAN22,hsa-mir-34a,0.34842280197474,green
ZNF776,hsa-mir-539,0.302668672337588,green
RASA1,hsa-mir-505,0.268532267149251,green
SSBP3,hsa-mir-203,0.247267673464827,green
ITM2B,hsa-mir-32,0.373032205461342,green
SLCO3A1,hsa-mir-210,0.324734440113458,green
RCBTB2,hsa-mir-3928,0.31257848121724,green
PAM,hsa-mir-766,0.276885079378203,green
SEC61B,hsa-mir-331,0.259948043312462,green
GSTM2,hsa-mir-32,0.342605022800404,green
DNAJC28,hsa-mir-758,0.240695624132752,green
KIAA0528,hsa-mir-625,0.238843312462544,red
NDUFC2,hsa-mir-132,0.231144267513384,green
IKZF2,hsa-mir-10b,0.238249146820075,green
DEFB132,hsa-mir-1976,0.216650783017792,green
PDLIM4,hsa-mir-889,0.197802159001346,red
SRCIN1,hsa-mir-377,0.239018404946695,green
RHEBL1,hsa-mir-505,0.222394324444143,red
C21orf63,hsa-mir-1301,0.219069723210599,green
COL23A1,hsa-mir-331,0.265261455793053,green
ATP8A1,hsa-mir-505,0.322142177224255,green
HOXD13,hsa-mir-31,0.266133291138771,red
TMED7,hsa-mir-323,0.249962887252111,green
C6orf174,hsa-mir-495,0.266386175946203,red
CPEB4,hsa-mir-141,0.336471096055037,green
AJAP1,hsa-mir-616,0.302521255112836,green
FUCA1,hsa-mir-151,0.285127176750821,green
