mRNA,microRNA,weight,edge_color
PARP11,hsa-mir-335,0.435817832791736,green
GNAZ,hsa-mir-1251,0.526804434682518,green
CDK4,hsa-mir-616,0.316422665814216,red
FAM122C,hsa-mir-193b,0.301088030295938,red
AGA,hsa-mir-17,0.351162145527395,green
LNX1,hsa-mir-487a,0.332690664461362,green
PKIA,hsa-mir-221,0.315935873014714,green
LIMS1,hsa-mir-143,0.313380030790548,red
PPAP2C,hsa-mir-148a,0.556094776943504,green
MORC2,hsa-mir-192,0.408625531931274,red
LRRC59,hsa-mir-377,0.375440683199935,green
NLGN2,hsa-mir-335,0.289255548942343,red
TBRG1,hsa-mir-1306,0.325169702781598,red
TLE4,hsa-mir-195,0.393437011333593,red
FAM107A,hsa-mir-744,0.353084543050409,green
STEAP2,hsa-mir-335,0.352047788064097,green
GATS,hsa-mir-148a,0.450158418793155,red
ZNF37A,hsa-mir-10b,0.358183130551932,green
RANBP10,hsa-mir-539,0.494989838813858,green
KIAA1045,hsa-mir-205,0.309833691498497,red
TMEM164,hsa-mir-337,0.313437994210578,green
PLCB1,hsa-mir-98,0.441864868013645,green
ACO2,hsa-mir-212,0.39205056942969,green
PORCN,hsa-mir-642a,0.302739992803594,red
TFE3,hsa-mir-483,0.365285683392896,green
NDUFAF1,hsa-mir-616,0.369260186724447,green
EHF,hsa-mir-224,0.322357806296694,green
ENPP1,hsa-mir-505,0.32497700108781,green
ZFAND5,hsa-mir-503,0.382364943864685,green
ATG12,hsa-mir-186,0.360384632677359,green
FNDC3A,hsa-mir-98,0.464749451610158,green
CORO2B,hsa-mir-192,0.311693832231876,green
GLDN,hsa-mir-205,0.348837672187615,red
BSN,hsa-mir-377,0.371276094053823,green
BSN,hsa-mir-432,0.517921488710253,green
PTRF,hsa-mir-29a,0.302928050363688,red
CD59,hsa-mir-1251,0.372890877098852,green
NPC1,hsa-mir-200a,0.343537338148335,red
CTAGE5,hsa-mir-186,0.304308091339483,green
KCNJ15,hsa-mir-616,0.421110236790769,green
ZSCAN22,hsa-mir-34a,0.381862189508787,green
