mRNA,microRNA,weight,edge_color
PARP11,hsa-mir-335,0.515431318,green
GNAZ,hsa-mir-1251,0.652697094,green
CDK4,hsa-mir-616,0.367228536,red
FAM122C,hsa-mir-193b,0.372805126,red
AGA,hsa-mir-17,0.414068107,green
LNX1,hsa-mir-487a,0.394961316,green
PKIA,hsa-mir-221,0.366616969,green
LIMS1,hsa-mir-143,0.385095321,red
PPAP2C,hsa-mir-148a,0.666692445,green
MORC2,hsa-mir-192,0.4645555,red
LRRC59,hsa-mir-377,0.441961763,green
NLGN2,hsa-mir-335,0.35583155,red
TBRG1,hsa-mir-1306,0.411758834,red
TLE4,hsa-mir-195,0.502043769,red
FAM107A,hsa-mir-744,0.40420284,green
STEAP2,hsa-mir-335,0.416636572,green
GATS,hsa-mir-148a,0.585905407,red
ZNF37A,hsa-mir-10b,0.434373335,green
RANBP10,hsa-mir-539,0.613114746,green
KIAA1045,hsa-mir-205,0.371930858,red
TMEM164,hsa-mir-337,0.378348866,green
PLCB1,hsa-mir-98,0.539744054,green
ACO2,hsa-mir-212,0.472532094,green
PORCN,hsa-mir-642a,0.366471737,red
TFE3,hsa-mir-483,0.446208446,green
NDUFAF1,hsa-mir-616,0.450605988,green
EHF,hsa-mir-224,0.375927144,green
ENPP1,hsa-mir-505,0.371407294,green
ZFAND5,hsa-mir-503,0.456129742,green
ATG12,hsa-mir-186,0.428837709,green
FNDC3A,hsa-mir-98,0.561699422,green
CORO2B,hsa-mir-192,0.370286347,green
GLDN,hsa-mir-205,0.442478435,red
BSN,hsa-mir-377,0.444147205,green
BSN,hsa-mir-432,0.641757441,green
PTRF,hsa-mir-29a,0.374456769,red
CD59,hsa-mir-1251,0.443289352,green
NPC1,hsa-mir-200a,0.418288888,red
CTAGE5,hsa-mir-186,0.358816624,green
KCNJ15,hsa-mir-616,0.497888707,green
ZSCAN22,hsa-mir-34a,0.406925201,green
ZNF776,hsa-mir-539,0.425531018,green
RASA1,hsa-mir-505,0.366596584,green
SSBP3,hsa-mir-203,0.369540665,green
ITM2B,hsa-mir-32,0.737730343,green
SLCO3A1,hsa-mir-210,0.484341886,green
RCBTB2,hsa-mir-3928,0.518090504,green
PAM,hsa-mir-766,0.439291797,green
SEC61B,hsa-mir-331,0.375719598,green
GSTM2,hsa-mir-32,0.760616073,green
DNAJC28,hsa-mir-758,0.435396059,green
KIAA0528,hsa-mir-625,0.398040208,red
NDUFC2,hsa-mir-132,0.472296336,green
IKZF2,hsa-mir-10b,0.490091459,green
DEFB132,hsa-mir-1976,0.433281505,green
PDLIM4,hsa-mir-889,0.356735289,red
SRCIN1,hsa-mir-377,0.438199745,green
RHEBL1,hsa-mir-505,0.366749262,red
C21orf63,hsa-mir-1301,0.444515786,green
COL23A1,hsa-mir-331,0.506006324,green
ATP8A1,hsa-mir-505,0.501630411,green
HOXD13,hsa-mir-31,0.359711592,red
TMED7,hsa-mir-323,0.424252454,green
C6orf174,hsa-mir-495,0.366240716,red
CPEB4,hsa-mir-141,0.409671789,green
AJAP1,hsa-mir-616,0.469606279,green
FUCA1,hsa-mir-151,0.439070993,green
SETD6,hsa-mir-496,0.36124485,green
VPS37C,hsa-mir-186,0.534763828,red
SLC45A3,hsa-mir-335,0.372346111,green
KIRREL3,hsa-mir-503,0.569363784,green
ZNF219,hsa-mir-940,0.670008889,green
GALNT6,hsa-mir-141,0.425209619,green
GRAMD2,hsa-mir-424,0.432599686,green
NDRG2,hsa-mir-345,0.435635271,green
SCPEP1,hsa-mir-652,0.684925179,green
MLEC,hsa-mir-370,0.563444056,green
NMNAT1,hsa-mir-1307,0.398349013,green
ADIPOR2,hsa-mir-429,0.783673149,green
RAB11FIP2,hsa-mir-503,0.5118201,green
IQCK,hsa-mir-500b,0.363305967,green
C10orf26,hsa-mir-484,0.56248129,green
PODXL,hsa-mir-203,0.400813333,green
PLA1A,hsa-mir-10b,0.720614548,green
B4GALT1,hsa-mir-616,0.363381898,green
GPR56,hsa-mir-433,0.385204714,green
SARM1,hsa-mir-873,0.424424948,green
FAM199X,hsa-mir-505,0.627561224,green
TMEM127,hsa-mir-197,0.381960008,green
SRPRB,hsa-mir-2116,0.457873488,green
UFM1,hsa-mir-382,0.38564472,green
IMPA2,hsa-mir-539,0.41300536,red
SNAP47,hsa-mir-939,0.386681189,red
MTMR10,hsa-mir-196b,0.42993397,green
TM9SF1,hsa-mir-424,0.497855441,green
SRCRB4D,hsa-mir-212,0.528448648,green
FAM63B,hsa-mir-1266,0.429614304,red
CDCA7,hsa-mir-135b,0.373229446,red
HUNK,hsa-mir-143,0.481055814,red
C12orf48,hsa-mir-10b,0.361866957,red
STAU2,hsa-mir-18b,0.381802826,red
MRPS2,hsa-mir-212,0.515080786,green
CIRBP,hsa-mir-1266,0.42118199,green
SPCS3,hsa-let-7d,0.402498274,green
ARHGEF37,hsa-mir-940,0.77443115,green
XIAP,hsa-mir-141,0.47563537,green
CMBL,hsa-mir-425,0.54312798,red
PDLIM1,hsa-mir-200a,0.404732508,green
BET1,hsa-mir-432,0.519349245,green
KCNIP3,hsa-mir-766,0.440373882,green
MYLK4,hsa-mir-32,0.405627624,green
NAV2,hsa-mir-3928,0.378357689,green
ZNF607,hsa-mir-940,0.410156737,red
PHF20L1,hsa-mir-15b,0.396820544,red
CHIC1,hsa-mir-141,0.374011668,green
NR3C1,hsa-mir-205,0.40007629,red
SOS2,hsa-mir-598,0.448384338,green
ELOVL5,hsa-mir-203,0.440780757,green
C1QTNF1,hsa-mir-940,0.751351373,green
MED12L,hsa-mir-660,0.411370854,green
PCDHA10,hsa-mir-3684,0.369200951,red
KLHL22,hsa-mir-143,0.362659362,green
RAB11FIP2,hsa-mir-186,0.578092048,green
FAM122C,hsa-mir-301b,0.398605122,red
PPP1R9A,hsa-mir-505,0.558025233,green
C2orf28,hsa-mir-652,0.471407019,green
LHFPL2,hsa-mir-155,0.411060213,red
STOM,hsa-mir-205,0.36017216,red
ERP27,hsa-mir-1305,0.381740692,red
ABCC3,hsa-mir-143,0.58851351,red
RAB33B,hsa-mir-625,0.367917466,red
RAB40B,hsa-mir-3928,0.56754847,red
AMFR,hsa-mir-143,0.388602634,red
YWHAG,hsa-mir-193a,0.426665397,red
FRMD6,hsa-mir-31,0.356657181,red
SLC37A3,hsa-mir-940,0.399384869,red
TCF7L2,hsa-mir-210,0.531147872,green
PPP3CC,hsa-mir-204,0.600835409,red
CDK17,hsa-mir-200b,0.471717937,red
AP1S3,hsa-mir-431,0.571692624,green
C4orf46,hsa-mir-203,0.386769608,red
ENTPD2,hsa-mir-484,0.386419341,red
HOOK2,hsa-mir-323,0.529426226,green
ALDH1A3,hsa-mir-17,0.391456156,green
WASF3,hsa-mir-200b,0.380705863,red
EEPD1,hsa-mir-1976,0.620107904,red
FAM83F,hsa-mir-940,0.571262209,green
PAQR7,hsa-mir-137,0.395238495,green
FUS,hsa-mir-452,0.358334228,green
RBM3,hsa-mir-210,0.388091103,red
MAPKAPK2,hsa-mir-642a,0.477113186,red
CDCA4,hsa-mir-503,0.393755506,red
C2orf44,hsa-mir-134,0.402301473,green
AGTR1,hsa-mir-590,0.395764179,red
C6orf89,hsa-mir-345,0.387672338,green
LMLN,hsa-mir-505,0.734513501,green
CLINT1,hsa-mir-425,0.551365706,green
TMEM127,hsa-mir-4326,0.368527393,green
KIAA1549,hsa-mir-203,0.383142991,green
KLF3,hsa-mir-331,0.413859208,red
AMOTL1,hsa-mir-151,0.454247515,red
SPRY3,hsa-mir-10b,0.568244245,green
TMEM194A,hsa-mir-625,0.506059281,red
IMPG1,hsa-mir-204,0.692490671,green
FAM83H,hsa-mir-1247,0.607459178,green
VEGFC,hsa-mir-873,0.360080173,red
LSM14B,hsa-mir-653,0.387206671,red
GABPB1,hsa-mir-137,0.407713655,red
SLC12A7,hsa-mir-744,0.476339482,red
TMEM169,hsa-mir-676,0.474289914,green
MLEC,hsa-mir-146a,0.645329707,green
DPYD,hsa-mir-182,0.688741765,green
MCM6,hsa-mir-412,0.391959898,red
ZC3HAV1,hsa-mir-203,0.360812156,green
ARHGAP1,hsa-mir-424,0.364442147,red
RSPO3,hsa-mir-200a,0.406338013,green
CLDN1,hsa-mir-3928,0.491843642,green
CYB561,hsa-mir-200a,0.395172314,green
CDC42EP4,hsa-mir-616,0.424539034,green
LSM4,hsa-mir-151,0.395242661,green
C3orf14,hsa-mir-181c,0.460481019,green
FAM84A,hsa-mir-22,0.446737518,red
HAGHL,hsa-mir-873,0.358800306,green
TNFRSF4,hsa-let-7d,0.359906161,red
TMEM201,hsa-mir-185,0.396924597,red
CASZ1,hsa-mir-659,0.430812391,red
MORF4L2,hsa-mir-505,0.581996982,green
TM9SF1,hsa-mir-377,0.474679768,green
MMACHC,hsa-mir-204,0.47703269,green
OAT,hsa-mir-451,0.633059886,green
PKD2,hsa-mir-148b,0.376216662,green
CMBL,hsa-mir-1266,0.489625074,red
BEND7,hsa-mir-543,0.511263517,green
SGK2,hsa-mir-150,0.364992412,red
TPD52,hsa-mir-483,0.430920698,red
PIAS1,hsa-mir-503,0.421851042,green
GABPB1,hsa-mir-942,0.496341743,red
ERLEC1,hsa-mir-141,0.375294987,green
WWC3,hsa-mir-186,0.630774242,green
SERPINF2,hsa-mir-185,0.548788854,green
SLFN11,hsa-mir-186,0.486949073,green
PTPDC1,hsa-mir-625,0.56828593,red
CANX,hsa-mir-425,0.555241634,green
ETNK2,hsa-mir-484,0.519705999,green
TRIM14,hsa-mir-146a,0.503710398,red
FAM118A,hsa-mir-34b,0.514034121,red
TRERF1,hsa-mir-205,0.502948961,red
ATP2A3,hsa-mir-616,0.482244518,green
GPSM1,hsa-mir-26b,0.381384259,red
FAM105B,hsa-mir-484,0.491814516,red
ORC1L,hsa-mir-766,0.36176217,red
LRRC59,hsa-mir-98,0.437841577,green
SSR3,hsa-mir-204,0.683573602,green
CNOT6,hsa-mir-331,0.398206557,red
KCNJ11,hsa-mir-370,0.739239716,green
PKNOX1,hsa-mir-17,0.362171042,red
HM13,hsa-mir-625,0.787995082,green
GSTM4,hsa-mir-940,0.636878277,green
ESRRG,hsa-mir-363,0.577755049,green
PGRMC2,hsa-mir-377,0.414463422,green
GSTA4,hsa-mir-425,0.4767851,red
ZNF275,hsa-mir-4326,0.386844241,green
TMEM201,hsa-mir-1247,0.357122516,green
LIMD1,hsa-mir-148b,0.391893739,red
FNDC3B,hsa-mir-505,0.369968962,green
AKAP1,hsa-mir-766,0.358389449,red
PFKFB3,hsa-mir-195,0.45907426,red
TPD52,hsa-mir-1251,0.441459025,red
REPS2,hsa-mir-493,0.427144771,green
RCN1,hsa-mir-33a,0.471964142,green
ABCA5,hsa-mir-505,0.542043319,green
ZNF362,hsa-mir-204,0.425590557,red
ZFHX3,hsa-mir-1301,0.462154257,green
ACSS2,hsa-mir-10b,0.713090478,green
MAGED4B,hsa-mir-200a,0.395006802,red
KLK2,hsa-mir-642a,0.554910035,green
SMARCA2,hsa-mir-887,0.39327663,green
KIAA0513,hsa-mir-29a,0.479382262,red
ATXN1,hsa-mir-1247,0.386694143,red
ARMCX2,hsa-mir-584,0.56403756,green
MTMR2,hsa-mir-17,0.439361118,green
HOXA3,hsa-mir-10b,0.49426916,green
C1orf27,hsa-mir-431,0.447316459,green
DNAH14,hsa-mir-197,0.387287014,red
SMAD1,hsa-mir-484,0.40932837,green
SCNN1A,hsa-mir-766,0.463279951,green
SMARCD2,hsa-mir-376c,0.365187227,green
ZFAND5,hsa-mir-505,0.586889654,green
AHNAK2,hsa-mir-137,0.392864828,green
SORT1,hsa-mir-137,0.394414013,green
C2orf15,hsa-mir-432,0.52185619,green
WNT4,hsa-mir-204,0.391442771,red
RAB38,hsa-mir-200a,0.54720378,green
CSE1L,hsa-mir-203,0.430164764,red
PLB1,hsa-mir-370,0.437117069,red
SUSD4,hsa-mir-323,0.547248977,green
LRP12,hsa-mir-488,0.409409448,green
YEATS2,hsa-mir-323,0.502340789,red
CAPZB,hsa-mir-22,0.414116867,red
PCDH7,hsa-mir-484,0.761391108,green
WFS1,hsa-mir-625,0.380470968,green
TAPBPL,hsa-let-7d,0.66573554,green
KIF5C,hsa-mir-331,0.366266419,red
DNA2,hsa-mir-345,0.390396113,red
LIPH,hsa-mir-331,0.367703482,red
N6AMT1,hsa-mir-940,0.523956651,red
RAP1GAP2,hsa-mir-432,0.386298296,green
GRIK2,hsa-mir-652,0.3986223,red
CGRRF1,hsa-mir-590,0.429382156,green
MAP4K4,hsa-mir-370,0.368254684,red
NCKAP1L,hsa-mir-31,0.364068769,red
SCARA3,hsa-mir-148b,0.699386838,green
WLS,hsa-mir-659,0.390630674,green
BNIP3L,hsa-mir-31,0.497305671,green
DDX24,hsa-mir-193b,0.389321749,green
YTHDF2,hsa-mir-493,0.451654829,green
FAM8A1,hsa-mir-429,0.625999668,green
GPBP1L1,hsa-mir-323,0.42735279,green
GZF1,hsa-mir-505,0.658187683,green
