mRNA,microRNA,weight,edge_color
MFAP3L,hsa-mir-151,0.172882849,red
CD99L2,hsa-mir-497,0.245981733,red
CD36,hsa-mir-93,0.422599444,green
FAM126A,hsa-mir-873,0.22434885,red
CRAMP1L,hsa-mir-204,0.117245326,red
ZNF521,hsa-mir-539,0.183152927,red
BDH2,hsa-mir-2116,0.545276492,green
COPS2,hsa-mir-31,0.204517765,red
KIAA0895L,hsa-mir-193a,0.595475536,green
VPS13D,hsa-mir-497,0.130247907,red
ZNF519,hsa-mir-1296,0.139722831,red
SMUG1,hsa-let-7e,0.278658431,red
ARMC1,hsa-mir-186,0.172281404,red
TLE4,hsa-mir-195,0.348769075,red
SPN,hsa-mir-18a,0.493462351,green
DBF4B,hsa-mir-589,0.280175921,red
PLA2G12A,hsa-mir-577,0.124775776,red
SHROOM4,hsa-mir-337,0.185600855,red
FNDC4,hsa-mir-203,0.747544503,green
RDH5,hsa-mir-212,0.475764929,green
GSTCD,hsa-mir-96,0.133102971,red
BAHD1,hsa-mir-1295,0.122342793,red
TSR1,hsa-mir-484,0.166822117,red
PACSIN3,hsa-mir-877,0.172504514,red
KCTD15,hsa-mir-543,0.14561422,red
TRIM45,hsa-mir-493,0.123651729,red
CXorf21,hsa-mir-3170,0.460677843,green
DISC1,hsa-mir-889,0.125368097,red
PTCH1,hsa-mir-200a,0.442734345,green
TCF7L2,hsa-mir-214,0.438800812,green
CLK2,hsa-mir-454,0.212834172,red
SLC6A6,hsa-mir-429,0.506542496,green
NFX1,hsa-mir-2114,0.218786531,red
TMEM135,hsa-mir-136,0.464380918,green
SMAD3,hsa-mir-17,0.450571209,green
KIAA0247,hsa-mir-744,0.407247699,green
NR1D1,hsa-let-7c,0.384600643,green
TTC33,hsa-mir-605,0.381631597,green
CCDC36,hsa-mir-376b,0.123611188,red
ZNF831,hsa-mir-182,0.37791212,green
ISLR,hsa-mir-497,0.254288653,red
RAB27A,hsa-mir-570,0.532612046,green
ZFP62,hsa-mir-96,0.178354397,red
GTF2E2,hsa-mir-497,0.476819091,green
C3orf34,hsa-mir-106b,0.187050014,red
UBXN10,hsa-mir-95,0.193880244,red
VGLL3,hsa-mir-539,0.138423707,red
BCAT1,hsa-mir-185,0.146917335,red
FKBP9,hsa-mir-183,0.426946864,red
KIAA1755,hsa-mir-665,0.196834143,red
ZNHIT6,hsa-mir-4326,0.130373759,red
TAOK3,hsa-mir-186,0.520957135,green
SCN2B,hsa-mir-377,0.185505075,red
CBX1,hsa-mir-651,0.194288748,red
ZNHIT3,hsa-mir-15a,0.38114046,red
CD96,hsa-mir-200a,0.410877781,green
MID1,hsa-mir-375,0.127522241,red
MAMSTR,hsa-mir-377,0.140429286,red
IGF2BP2,hsa-mir-150,0.410970486,green
GSTM5,hsa-mir-193a,0.366313471,green
TBC1D22A,hsa-mir-1307,0.482185204,green
ADRA2B,hsa-mir-200a,0.12348872,red
L1CAM,hsa-mir-411,0.156231263,red
ZNF273,hsa-mir-590,0.16274735,red
PAPD7,hsa-mir-1275,0.158320073,red
IGF1,hsa-mir-299,0.190293119,red
PACS2,hsa-mir-940,0.217741339,red
QKI,hsa-mir-154,0.181018247,red
CASK,hsa-mir-495,0.549128439,green
GCN1L1,hsa-mir-99a,0.470519799,green
TSPYL4,hsa-mir-30d,0.382612549,green
TMC8,hsa-mir-15b,0.462169319,green
CTAGE5,hsa-mir-23a,0.382593516,green
FZD8,hsa-mir-99a,0.270248054,red
CD93,hsa-mir-493,0.210676871,red
HOXA7,hsa-mir-551b,0.123875693,red
PCDH17,hsa-mir-495,0.206565858,red
CASK,hsa-mir-539,0.437416226,green
NRK,hsa-mir-758,0.145274576,red
SLC35B4,hsa-mir-379,0.119852783,red
ANKRD13A,hsa-mir-766,0.161655987,red
ZBTB10,hsa-mir-212,0.17561108,red
SPRY1,hsa-mir-539,0.125579382,red
L1CAM,hsa-mir-299,0.145764035,red
DLC1,hsa-mir-495,0.12982784,red
ACVR2B,hsa-mir-17,0.312698793,red
SULF1,hsa-mir-377,0.248678466,red
TNFRSF17,hsa-mir-182,0.688510022,green
EPS8L3,hsa-mir-887,0.395188084,green
NFAM1,hsa-mir-3934,0.451762012,green
HSPB2,hsa-mir-92b,0.40605669,green
APOL6,hsa-mir-10b,0.373473343,green
UTP20,hsa-mir-100,0.711124687,green
SYNCRIP,hsa-let-7c,0.724124409,green
DGKG,hsa-mir-382,0.325298707,red
BCORL1,hsa-mir-940,0.218011054,red
RNF157,hsa-mir-22,0.389453943,green
DFFA,hsa-mir-301b,0.175376437,red
DDX5,hsa-mir-204,0.148431881,red
CD34,hsa-mir-10b,0.136242122,red
DSG2,hsa-mir-134,0.416580541,green
UACA,hsa-mir-203,0.648400194,green
RBM43,hsa-mir-106a,0.541683784,green
PCSK2,hsa-mir-17,0.299558336,red
FBLN2,hsa-mir-154,0.378709581,red
LUC7L2,hsa-mir-942,0.217487715,red
DPYD,hsa-mir-132,0.166103564,red
SASH1,hsa-mir-3942,0.401027522,green
PTER,hsa-mir-1301,0.569974056,green
SLC5A3,hsa-mir-210,0.122021867,red
HPS1,hsa-mir-589,0.386996457,green
HNRNPH1,hsa-mir-580,0.122994881,red
ATXN7L3,hsa-mir-193a,0.131995489,red
GALNT10,hsa-mir-3157,0.441877549,green
ARIH1,hsa-mir-3652,0.141309688,red
IPO9,hsa-mir-651,0.120458828,red
PRDM11,hsa-mir-873,0.25082315,red
ATP8B1,hsa-mir-539,0.509643705,green
ZBTB41,hsa-mir-15a,0.125672834,red
USP51,hsa-mir-132,0.346681868,red
DIS3,hsa-mir-141,0.158843799,red
INTS2,hsa-mir-143,0.563036593,green
SLC30A7,hsa-mir-10b,0.404294297,green
NUP133,hsa-mir-19a,0.235664816,red
HDAC2,hsa-mir-217,0.155957111,red
PIKFYVE,hsa-mir-150,0.131911838,red
FAM131A,hsa-mir-665,0.119179266,red
VLDLR,hsa-mir-584,0.373706185,green
ENTPD1,hsa-mir-381,0.125076362,red
SIKE1,hsa-mir-186,0.120388874,red
ZNF706,hsa-mir-132,0.442651817,green
WNK3,hsa-mir-299,0.144384361,red
GOLGA8A,hsa-mir-21,0.12028504,red
COL4A1,hsa-mir-495,0.196682293,red
B4GALNT4,hsa-mir-3615,0.123230161,red
GOLGA8A,hsa-mir-1228,0.191425953,red
ZNF782,hsa-mir-96,0.159061828,red
ZNF607,hsa-mir-1301,0.304494244,red
IPO9,hsa-mir-3934,0.150931589,red
DHRS3,hsa-mir-19a,0.403515209,green
PXDNL,hsa-mir-382,0.118570971,red
GPR133,hsa-mir-665,0.188535382,red
TNKS,hsa-mir-598,0.4855233,red
