mRNA,microRNA,weight,edge_color
MFAP3L,hsa-mir-151,0.454270861,red
CD99L2,hsa-mir-497,0.3268808725,red
CD36,hsa-mir-93,0.2902347835,green
FAM126A,hsa-mir-873,0.3090147685,red
CRAMP1L,hsa-mir-204,0.307456216,red
ZNF521,hsa-mir-539,0.294721789,red
BDH2,hsa-mir-2116,0.370683258,green
COPS2,hsa-mir-31,0.3907178765,red
KIAA0895L,hsa-mir-193a,0.3650812775,green
VPS13D,hsa-mir-497,0.254954178,red
ZNF519,hsa-mir-1296,0.2917667845,red
SMUG1,hsa-let-7e,0.4171500415,red
ARMC1,hsa-mir-186,0.3183380705,red
TLE4,hsa-mir-195,0.3839864425,red
SPN,hsa-mir-18a,0.350570802,green
DBF4B,hsa-mir-589,0.333917695,red
PLA2G12A,hsa-mir-577,0.269377501,red
SHROOM4,hsa-mir-337,0.3271186855,red
FNDC4,hsa-mir-203,0.433700783,green
RDH5,hsa-mir-212,0.296495488,green
GSTCD,hsa-mir-96,0.29258311,red
BAHD1,hsa-mir-1295,0.2594215985,red
TSR1,hsa-mir-484,0.35504638,red
PACSIN3,hsa-mir-877,0.3832439495,red
KCTD15,hsa-mir-543,0.3352113475,red
TRIM45,hsa-mir-493,0.375914322,red
CXorf21,hsa-mir-3170,0.319941901,green
DISC1,hsa-mir-889,0.26100943,red
PTCH1,hsa-mir-200a,0.3017281475,green
TCF7L2,hsa-mir-214,0.319593887,green
CLK2,hsa-mir-454,0.2992388525,red
SLC6A6,hsa-mir-429,0.3537884725,green
NFX1,hsa-mir-2114,0.3847765965,red
TMEM135,hsa-mir-136,0.3047387855,green
SMAD3,hsa-mir-17,0.3049919535,green
KIAA0247,hsa-mir-744,0.319505848,green
NR1D1,hsa-let-7c,0.2512382185,green
TTC33,hsa-mir-605,0.2495479605,green
CCDC36,hsa-mir-376b,0.2914886775,red
ZNF831,hsa-mir-182,0.2583144425,green
ISLR,hsa-mir-497,0.3504743395,red
RAB27A,hsa-mir-570,0.3319870575,green
ZFP62,hsa-mir-96,0.327064642,red
GTF2E2,hsa-mir-497,0.2972222235,green
C3orf34,hsa-mir-106b,0.310516148,red
UBXN10,hsa-mir-95,0.4185319445,red
VGLL3,hsa-mir-539,0.279804198,red
BCAT1,hsa-mir-185,0.285687461,red
FKBP9,hsa-mir-183,0.5199268405,red
KIAA1755,hsa-mir-665,0.327375106,red
ZNHIT6,hsa-mir-4326,0.2528442275,red
TAOK3,hsa-mir-186,0.3538776195,green
SCN2B,hsa-mir-377,0.373979218,red
CBX1,hsa-mir-651,0.3534219335,red
ZNHIT3,hsa-mir-15a,0.4217531035,red
CD96,hsa-mir-200a,0.3223028565,green
MID1,hsa-mir-375,0.359313256,red
MAMSTR,hsa-mir-377,0.363765866,red
IGF2BP2,hsa-mir-150,0.276473456,green
GSTM5,hsa-mir-193a,0.242554105,green
TBC1D22A,hsa-mir-1307,0.330988453,green
ADRA2B,hsa-mir-200a,0.278484307,red
L1CAM,hsa-mir-411,0.4124662505,red
ZNF273,hsa-mir-590,0.3074128555,red
PAPD7,hsa-mir-1275,0.3243720515,red
IGF1,hsa-mir-299,0.3059580555,red
PACS2,hsa-mir-940,0.307024328,red
QKI,hsa-mir-154,0.418329016,red
CASK,hsa-mir-495,0.333460775,green
GCN1L1,hsa-mir-99a,0.327822467,green
TSPYL4,hsa-mir-30d,0.273750488,green
TMC8,hsa-mir-15b,0.312119711,green
CTAGE5,hsa-mir-23a,0.2569650455,green
FZD8,hsa-mir-99a,0.4346464,red
CD93,hsa-mir-493,0.319449407,red
HOXA7,hsa-mir-551b,0.2933896485,red
PCDH17,hsa-mir-495,0.303149585,red
CASK,hsa-mir-539,0.287565878,green
NRK,hsa-mir-758,0.286549764,red
SLC35B4,hsa-mir-379,0.347257246,red
ANKRD13A,hsa-mir-766,0.339283233,red
ZBTB10,hsa-mir-212,0.3776256475,red
SPRY1,hsa-mir-539,0.2858565365,red
L1CAM,hsa-mir-299,0.3899537655,red
DLC1,hsa-mir-495,0.3105460935,red
ACVR2B,hsa-mir-17,0.3876375545,red
SULF1,hsa-mir-377,0.359578955,red
TNFRSF17,hsa-mir-182,0.415056321,green
EPS8L3,hsa-mir-887,0.2764543215,green
NFAM1,hsa-mir-3934,0.295135408,green
HSPB2,hsa-mir-92b,0.3224139035,green
APOL6,hsa-mir-10b,0.267625076,green
UTP20,hsa-mir-100,0.4137717,green
SYNCRIP,hsa-let-7c,0.442991349,green
DGKG,hsa-mir-382,0.3896134355,red
BCORL1,hsa-mir-940,0.2955553355,red
RNF157,hsa-mir-22,0.277472258,green
DFFA,hsa-mir-301b,0.302242944,red
DDX5,hsa-mir-204,0.2904228815,red
CD34,hsa-mir-10b,0.2708341855,red
DSG2,hsa-mir-134,0.29148674,green
UACA,hsa-mir-203,0.4054614285,green
RBM43,hsa-mir-106a,0.3518046985,green
PCSK2,hsa-mir-17,0.4069549325,red
FBLN2,hsa-mir-154,0.3880510485,red
LUC7L2,hsa-mir-942,0.4727860495,red
DPYD,hsa-mir-132,0.3117090685,red
SASH1,hsa-mir-3942,0.286126057,green
PTER,hsa-mir-1301,0.3633391385,green
SLC5A3,hsa-mir-210,0.2509803535,red
HPS1,hsa-mir-589,0.270183813,green
HNRNPH1,hsa-mir-580,0.302706474,red
ATXN7L3,hsa-mir-193a,0.281505215,red
GALNT10,hsa-mir-3157,0.2981165735,green
ARIH1,hsa-mir-3652,0.262361485,red
IPO9,hsa-mir-651,0.306905989,red
PRDM11,hsa-mir-873,0.3088027045,red
ATP8B1,hsa-mir-539,0.314982249,green
ZBTB41,hsa-mir-15a,0.2483462915,red
USP51,hsa-mir-132,0.4670214955,red
DIS3,hsa-mir-141,0.3422555295,red
INTS2,hsa-mir-143,0.3757186845,green
SLC30A7,hsa-mir-10b,0.326460911,green
NUP133,hsa-mir-19a,0.4353371465,red
HDAC2,hsa-mir-217,0.27878702,red
PIKFYVE,hsa-mir-150,0.273353639,red
FAM131A,hsa-mir-665,0.289670596,red
VLDLR,hsa-mir-584,0.256081938,green
ENTPD1,hsa-mir-381,0.278132368,red
SIKE1,hsa-mir-186,0.337437829,red
ZNF706,hsa-mir-132,0.28490826,green
WNK3,hsa-mir-299,0.3600384725,red
GOLGA8A,hsa-mir-21,0.269244093,red
COL4A1,hsa-mir-495,0.3778363295,red
B4GALNT4,hsa-mir-3615,0.345521951,red
GOLGA8A,hsa-mir-1228,0.2888022935,red
ZNF782,hsa-mir-96,0.3909831515,red
ZNF607,hsa-mir-1301,0.4425217395,red
IPO9,hsa-mir-3934,0.345211471,red
DHRS3,hsa-mir-19a,0.291388223,green
PXDNL,hsa-mir-382,0.282756006,red
GPR133,hsa-mir-665,0.369942301,red
TNKS,hsa-mir-598,0.574947881,red
AMICA1,hsa-mir-15b,0.39066145,green
SH3PXD2B,hsa-mir-411,0.3997317005,red
MTPAP,hsa-mir-3934,0.32047487,red
IGDCC3,hsa-mir-629,0.3135284375,red
ANAPC7,hsa-mir-1287,0.256920848,red
LRRC32,hsa-mir-493,0.3254618025,red
NUP98,hsa-mir-186,0.290191744,red
DENR,hsa-mir-1301,0.339175421,red
SEL1L,hsa-mir-3651,0.2991567165,green
RMND5A,hsa-mir-190,0.2837305855,red
TMEM109,hsa-mir-337,0.388816385,red
SKA1,hsa-mir-675,0.308330906,red
