mRNA,microRNA,weight,edge_color
MFAP3L,hsa-mir-151,0.356626978587388,red
CD99L2,hsa-mir-497,0.316711910155777,red
CD36,hsa-mir-93,0.258294069238942,green
FAM126A,hsa-mir-873,0.297189854126382,red
CRAMP1L,hsa-mir-204,0.241555670772695,red
ZNF521,hsa-mir-539,0.272788053153699,red
BDH2,hsa-mir-2116,0.326991254321757,green
COPS2,hsa-mir-31,0.34349669211516,red
KIAA0895L,hsa-mir-193a,0.283201032539197,green
VPS13D,hsa-mir-497,0.22237351203084,red
ZNF519,hsa-mir-1296,0.249019061000477,red
SMUG1,hsa-let-7e,0.393489810471082,red
ARMC1,hsa-mir-186,0.282854339370233,red
TLE4,hsa-mir-195,0.38236804920152,red
SPN,hsa-mir-18a,0.320127931363859,green
DBF4B,hsa-mir-589,0.329564635180181,red
PLA2G12A,hsa-mir-577,0.227276437784539,red
SHROOM4,hsa-mir-337,0.294922596716191,red
FNDC4,hsa-mir-203,0.299330066300355,green
RDH5,hsa-mir-212,0.236161050827408,green
GSTCD,hsa-mir-96,0.245297699789078,red
BAHD1,hsa-mir-1295,0.220247512701025,red
TSR1,hsa-mir-484,0.301047436078122,red
PACSIN3,hsa-mir-877,0.320101257656854,red
KCTD15,hsa-mir-543,0.276440910026925,red
TRIM45,hsa-mir-493,0.278702640205715,red
CXorf21,hsa-mir-3170,0.287325972798956,green
DISC1,hsa-mir-889,0.222996303401891,red
PTCH1,hsa-mir-200a,0.266752932993009,green
TCF7L2,hsa-mir-214,0.296529866353818,green
CLK2,hsa-mir-454,0.286492795778899,red
SLC6A6,hsa-mir-429,0.319112036091472,green
NFX1,hsa-mir-2114,0.347131570689601,red
TMEM135,hsa-mir-136,0.259576803506915,green
SMAD3,hsa-mir-17,0.268005171718405,green
KIAA0247,hsa-mir-744,0.307221995451649,green
NR1D1,hsa-let-7c,0.212920422145307,green
TTC33,hsa-mir-605,0.211726468724733,green
CCDC36,hsa-mir-376b,0.238291413252506,red
ZNF831,hsa-mir-182,0.228960142253388,green
ISLR,hsa-mir-497,0.337017175171363,red
RAB27A,hsa-mir-570,0.264509017496348,green
ZFP62,hsa-mir-96,0.291301464257611,red
GTF2E2,hsa-mir-497,0.236824862137554,green
C3orf34,hsa-mir-106b,0.284914709911321,red
UBXN10,hsa-mir-95,0.353129724080839,red
VGLL3,hsa-mir-539,0.241457959038467,red
BCAT1,hsa-mir-185,0.249720198427301,red
FKBP9,hsa-mir-183,0.511545348373311,red
KIAA1755,hsa-mir-665,0.300222445875627,red
ZNHIT6,hsa-mir-4326,0.221203950519565,red
TAOK3,hsa-mir-186,0.311951606957348,green
SCN2B,hsa-mir-377,0.323013858706259,red
CBX1,hsa-mir-651,0.31556883932274,red
ZNHIT3,hsa-mir-15a,0.419793155613361,red
CD96,hsa-mir-200a,0.3098929074017,green
MID1,hsa-mir-375,0.274552256050813,red
MAMSTR,hsa-mir-377,0.287134772015919,red
IGF2BP2,hsa-mir-150,0.241553556781437,green
GSTM5,hsa-mir-193a,0.208605160961154,green
TBC1D22A,hsa-mir-1307,0.294436578071369,green
