mRNA,microRNA,weight,edge_color
MFAP3L,hsa-mir-151,0.575587942246776,red
CD99L2,hsa-mir-497,0.361759570457878,red
CD36,hsa-mir-93,0.355876303283294,green
FAM126A,hsa-mir-873,0.345517468243646,red
CRAMP1L,hsa-mir-204,0.38946336986607,red
ZNF521,hsa-mir-539,0.342823371578665,red
BDH2,hsa-mir-2116,0.457266528643,green
COPS2,hsa-mir-31,0.470995831109539,red
KIAA0895L,hsa-mir-193a,0.479337070701578,green
VPS13D,hsa-mir-497,0.308719797591817,red
ZNF519,hsa-mir-1296,0.357318719455355,red
SMUG1,hsa-let-7e,0.476859045602937,red
ARMC1,hsa-mir-186,0.381308658161047,red
TLE4,hsa-mir-195,0.399169989957932,red
SPN,hsa-mir-18a,0.421432755674932,green
DBF4B,hsa-mir-589,0.357087819115678,red
PLA2G12A,hsa-mir-577,0.331720808007155,red
SHROOM4,hsa-mir-337,0.388132408219062,red
FNDC4,hsa-mir-203,0.58934035233386,green
RDH5,hsa-mir-212,0.385397756275312,green
GSTCD,hsa-mir-96,0.361341067536266,red
BAHD1,hsa-mir-1295,0.318521488597857,red
TSR1,hsa-mir-484,0.436197023357847,red
PACSIN3,hsa-mir-877,0.474101740621724,red
KCTD15,hsa-mir-543,0.416953884993292,red
TRIM45,hsa-mir-493,0.484674326639087,red
CXorf21,hsa-mir-3170,0.389734858471557,green
DISC1,hsa-mir-889,0.319489570994713,red
PTCH1,hsa-mir-200a,0.371655128521972,green
TCF7L2,hsa-mir-214,0.378710298405695,green
CLK2,hsa-mir-454,0.336491198716939,red
SLC6A6,hsa-mir-429,0.429541367703875,green
NFX1,hsa-mir-2114,0.456341231110025,red
TMEM135,hsa-mir-136,0.383907592031604,green
SMAD3,hsa-mir-17,0.377186779096523,green
KIAA0247,hsa-mir-744,0.363018281201454,green
NR1D1,hsa-let-7c,0.317374543657309,green
TTC33,hsa-mir-605,0.315050116480404,green
CCDC36,hsa-mir-376b,0.363867052429407,red
ZNF831,hsa-mir-182,0.317624633634078,green
ISLR,hsa-mir-497,0.391943649656317,red
RAB27A,hsa-mir-570,0.431479845846221,green
ZFP62,hsa-mir-96,0.391179288344255,red
GTF2E2,hsa-mir-497,0.386286867238643,green
C3orf34,hsa-mir-106b,0.363747097333063,red
UBXN10,hsa-mir-95,0.51538784254652,red
VGLL3,hsa-mir-539,0.340758708433643,red
BCAT1,hsa-mir-185,0.345516543734937,red
FKBP9,hsa-mir-183,0.560014047070029,red
KIAA1755,hsa-mir-665,0.38365628337405,red
ZNHIT6,hsa-mir-4326,0.305645907542237,red
TAOK3,hsa-mir-186,0.436734730156635,green
SCN2B,hsa-mir-377,0.455237594135965,red
CBX1,hsa-mir-651,0.422030306177802,red
ZNHIT3,hsa-mir-15a,0.439262759778946,red
CD96,hsa-mir-200a,0.366228422711614,green
MID1,hsa-mir-375,0.459247184240794,red
MAMSTR,hsa-mir-377,0.460054765547139,red
IGF2BP2,hsa-mir-150,0.343172448179558,green
GSTM5,hsa-mir-193a,0.303928136716396,green
TBC1D22A,hsa-mir-1307,0.405969074598288,green
ADRA2B,hsa-mir-200a,0.345308803492661,red
L1CAM,hsa-mir-411,0.522938905592372,red
ZNF273,hsa-mir-590,0.369783660708111,red
PAPD7,hsa-mir-1275,0.395963379160655,red
IGF1,hsa-mir-299,0.355825611687055,red
PACS2,hsa-mir-940,0.345517622556088,red
QKI,hsa-mir-154,0.520642720265084,red
CASK,hsa-mir-495,0.44041344030807,green
GCN1L1,hsa-mir-99a,0.398588105699321,green
TSPYL4,hsa-mir-30d,0.327736734055318,green
TMC8,hsa-mir-15b,0.386531448051277,green
CTAGE5,hsa-mir-23a,0.319265992750726,green
FZD8,hsa-mir-99a,0.505524783754734,red
CD93,hsa-mir-493,0.366345387015417,red
HOXA7,hsa-mir-551b,0.366473566203843,red
PCDH17,hsa-mir-495,0.344790505564787,red
CASK,hsa-mir-539,0.361878799180163,green
NRK,hsa-mir-758,0.347458874302644,red
SLC35B4,hsa-mir-379,0.445299964726946,red
ANKRD13A,hsa-mir-766,0.415865099020018,red
ZBTB10,hsa-mir-212,0.46472181596943,red
SPRY1,hsa-mir-539,0.354958117751722,red
L1CAM,hsa-mir-299,0.495233251872351,red
DLC1,hsa-mir-495,0.388460610493123,red
ACVR2B,hsa-mir-17,0.419946506657593,red
SULF1,hsa-mir-377,0.40739237654093,red
TNFRSF17,hsa-mir-182,0.550665904828506,green
EPS8L3,hsa-mir-887,0.335336084884938,green
NFAM1,hsa-mir-3934,0.372808771012601,green
HSPB2,hsa-mir-92b,0.363893552252392,green
APOL6,hsa-mir-10b,0.320116738699561,green
UTP20,hsa-mir-100,0.561233280039954,green
SYNCRIP,hsa-let-7c,0.582409236297252,green
DGKG,hsa-mir-382,0.417341962693969,red
BCORL1,hsa-mir-940,0.328987626492405,red
RNF157,hsa-mir-22,0.33300557001491,green
DFFA,hsa-mir-301b,0.35693992354728,red
DDX5,hsa-mir-204,0.351640605814316,red
CD34,hsa-mir-10b,0.328861946479387,red
DSG2,hsa-mir-134,0.353522537032917,green
UACA,hsa-mir-203,0.525938221334726,green
RBM43,hsa-mir-106a,0.44596844054565,green
PCSK2,hsa-mir-17,0.453257692630441,red
FBLN2,hsa-mir-154,0.392078510663746,red
LUC7L2,hsa-mir-942,0.582854877836238,red
DPYD,hsa-mir-132,0.374485143052189,red
SASH1,hsa-mir-3942,0.343107329489472,green
PTER,hsa-mir-1301,0.465812336208203,green
SLC5A3,hsa-mir-210,0.306579265027837,red
HPS1,hsa-mir-589,0.32811286636742,green
HNRNPH1,hsa-mir-580,0.380186981339341,red
ATXN7L3,hsa-mir-193a,0.345964548030596,red
GALNT10,hsa-mir-3157,0.369409688155395,green
ARIH1,hsa-mir-3652,0.314551521765736,red
IPO9,hsa-mir-651,0.387290456051382,red
PRDM11,hsa-mir-873,0.33379989707382,red
ATP8B1,hsa-mir-539,0.411517636669195,green
ZBTB41,hsa-mir-15a,0.301235487825643,red
USP51,hsa-mir-132,0.518904488890011,red
DIS3,hsa-mir-141,0.421331306938167,red
INTS2,hsa-mir-143,0.468612302404667,green
SLC30A7,hsa-mir-10b,0.365059595328736,green
NUP133,hsa-mir-19a,0.521423487456137,red
HDAC2,hsa-mir-217,0.33174366852164,red
PIKFYVE,hsa-mir-150,0.334334582508025,red
FAM131A,hsa-mir-665,0.363175897048436,red
VLDLR,hsa-mir-584,0.314413476850928,green
ENTPD1,hsa-mir-381,0.344120637305549,red
SIKE1,hsa-mir-186,0.431015894110545,red
ZNF706,hsa-mir-132,0.363135535908759,green
WNK3,hsa-mir-299,0.453015167491707,red
GOLGA8A,hsa-mir-21,0.333466009942374,red
COL4A1,hsa-mir-495,0.455938729129775,red
B4GALNT4,hsa-mir-3615,0.441360401814747,red
GOLGA8A,hsa-mir-1228,0.33078493991051,red
