mRNA,microRNA,weight,edge_color
MFAP3L,hsa-mir-151,0.735658873,red
CD99L2,hsa-mir-497,0.407780012,red
CD36,hsa-mir-93,0.422599444,green
FAM126A,hsa-mir-873,0.393680687,red
CRAMP1L,hsa-mir-204,0.497667106,red
ZNF521,hsa-mir-539,0.406290651,red
BDH2,hsa-mir-2116,0.545276492,green
COPS2,hsa-mir-31,0.576917988,red
KIAA0895L,hsa-mir-193a,0.595475536,green
VPS13D,hsa-mir-497,0.379660449,red
ZNF519,hsa-mir-1296,0.443810738,red
SMUG1,hsa-let-7e,0.555641652,red
ARMC1,hsa-mir-186,0.464394737,red
TLE4,hsa-mir-195,0.41920381,red
SPN,hsa-mir-18a,0.493462351,green
DBF4B,hsa-mir-589,0.387659469,red
PLA2G12A,hsa-mir-577,0.413979226,red
SHROOM4,hsa-mir-337,0.468636516,red
FNDC4,hsa-mir-203,0.747544503,green
RDH5,hsa-mir-212,0.475764929,green
GSTCD,hsa-mir-96,0.452063249,red
BAHD1,hsa-mir-1295,0.396500404,red
TSR1,hsa-mir-484,0.543270643,red
PACSIN3,hsa-mir-877,0.593983385,red
KCTD15,hsa-mir-543,0.524808475,red
TRIM45,hsa-mir-493,0.628176915,red
CXorf21,hsa-mir-3170,0.460677843,green
DISC1,hsa-mir-889,0.396650763,red
PTCH1,hsa-mir-200a,0.442734345,green
TCF7L2,hsa-mir-214,0.438800812,green
CLK2,hsa-mir-454,0.385643533,red
SLC6A6,hsa-mir-429,0.506542496,green
NFX1,hsa-mir-2114,0.550766662,red
TMEM135,hsa-mir-136,0.464380918,green
SMAD3,hsa-mir-17,0.450571209,green
KIAA0247,hsa-mir-744,0.407247699,green
NR1D1,hsa-let-7c,0.384600643,green
TTC33,hsa-mir-605,0.381631597,green
CCDC36,hsa-mir-376b,0.459366167,red
ZNF831,hsa-mir-182,0.37791212,green
ISLR,hsa-mir-497,0.446660026,red
RAB27A,hsa-mir-570,0.532612046,green
ZFP62,hsa-mir-96,0.475774887,red
GTF2E2,hsa-mir-497,0.476819091,green
C3orf34,hsa-mir-106b,0.433982282,red
UBXN10,hsa-mir-95,0.643183645,red
VGLL3,hsa-mir-539,0.421184689,red
BCAT1,hsa-mir-185,0.424457587,red
FKBP9,hsa-mir-183,0.612906817,red
KIAA1755,hsa-mir-665,0.457916069,red
ZNHIT6,hsa-mir-4326,0.375314696,red
TAOK3,hsa-mir-186,0.520957135,green
SCN2B,hsa-mir-377,0.562453361,red
CBX1,hsa-mir-651,0.512555119,red
ZNHIT3,hsa-mir-15a,0.462365747,red
CD96,hsa-mir-200a,0.410877781,green
MID1,hsa-mir-375,0.591104271,red
MAMSTR,hsa-mir-377,0.587102446,red
IGF2BP2,hsa-mir-150,0.410970486,green
GSTM5,hsa-mir-193a,0.366313471,green
TBC1D22A,hsa-mir-1307,0.482185204,green
ADRA2B,hsa-mir-200a,0.433479894,red
L1CAM,hsa-mir-411,0.668701238,red
ZNF273,hsa-mir-590,0.452078361,red
PAPD7,hsa-mir-1275,0.49042403,red
IGF1,hsa-mir-299,0.421622992,red
PACS2,hsa-mir-940,0.396307317,red
QKI,hsa-mir-154,0.655639785,red
CASK,hsa-mir-495,0.549128439,green
GCN1L1,hsa-mir-99a,0.470519799,green
TSPYL4,hsa-mir-30d,0.382612549,green
TMC8,hsa-mir-15b,0.462169319,green
CTAGE5,hsa-mir-23a,0.382593516,green
FZD8,hsa-mir-99a,0.599044746,red
CD93,hsa-mir-493,0.428221943,red
HOXA7,hsa-mir-551b,0.462903604,red
PCDH17,hsa-mir-495,0.399733312,red
CASK,hsa-mir-539,0.437416226,green
NRK,hsa-mir-758,0.427824952,red
SLC35B4,hsa-mir-379,0.574661709,red
ANKRD13A,hsa-mir-766,0.516910479,red
ZBTB10,hsa-mir-212,0.579640215,red
SPRY1,hsa-mir-539,0.446133691,red
L1CAM,hsa-mir-299,0.634143496,red
DLC1,hsa-mir-495,0.491264347,red
ACVR2B,hsa-mir-17,0.462576316,red
SULF1,hsa-mir-377,0.470479444,red
TNFRSF17,hsa-mir-182,0.688510022,green
EPS8L3,hsa-mir-887,0.395188084,green
NFAM1,hsa-mir-3934,0.451762012,green
HSPB2,hsa-mir-92b,0.40605669,green
APOL6,hsa-mir-10b,0.373473343,green
UTP20,hsa-mir-100,0.711124687,green
SYNCRIP,hsa-let-7c,0.724124409,green
DGKG,hsa-mir-382,0.453928164,red
BCORL1,hsa-mir-940,0.373099617,red
RNF157,hsa-mir-22,0.389453943,green
DFFA,hsa-mir-301b,0.429109451,red
DDX5,hsa-mir-204,0.432413882,red
CD34,hsa-mir-10b,0.405426249,red
DSG2,hsa-mir-134,0.416580541,green
UACA,hsa-mir-203,0.648400194,green
