mRNA,microRNA,weight,edge_color
HSD17B7,hsa-mir-146a,0.124351923,green
SPATA6,hsa-mir-495,0.152954137,green
PDK3,hsa-mir-590,0.095187175,green
DTX4,hsa-mir-874,0.338681359,green
IGF2BP3,hsa-mir-98,0.429923804,red
TNFAIP8L1,hsa-mir-221,0.235478644,green
EBF1,hsa-mir-21,0.102619713,green
IDH2,hsa-mir-222,0.154474833,green
CTBP2,hsa-mir-629,0.597118789,red
SNAP91,hsa-mir-29a,0.111552028,green
TPD52L2,hsa-mir-337,0.392996796,red
LRAT,hsa-mir-629,0.402835704,red
NPTN,hsa-mir-21,0.607987349,red
ADAM12,hsa-mir-659,0.119895011,green
MAPK12,hsa-mir-221,0.226368904,green
MAP4,hsa-mir-22,0.296012387,green
IKZF4,hsa-mir-221,0.464622023,red
EYA2,hsa-mir-184,0.411095649,red
PDE4B,hsa-mir-21,0.25657682,green
SIGLEC11,hsa-mir-200a,0.106726702,green
IGFN1,hsa-mir-627,0.402987285,red
C5orf32,hsa-mir-605,0.399474733,red
WDR77,hsa-mir-222,0.157036085,green
HMGCL,hsa-mir-221,0.126131468,green
IGF1R,hsa-mir-605,0.16827589,green
POPDC2,hsa-mir-629,0.110219551,green
KRIT1,hsa-mir-495,0.191198846,green
FAM120AOS,hsa-mir-629,0.508473938,red
CLK4,hsa-mir-95,0.406209228,red
ANKS1A,hsa-mir-664,0.11868237,green
CTDSPL,hsa-mir-221,0.488639182,red
C18orf54,hsa-mir-561,0.383077127,red
SPIN1,hsa-mir-629,0.436658005,red
SMAD2,hsa-mir-452,0.137842156,green
ZDHHC9,hsa-mir-589,0.462461011,red
CYTH1,hsa-mir-659,0.110718404,green
SEL1L3,hsa-mir-627,0.13418032,green
CTNND1,hsa-mir-224,0.109086158,green
KCNK10,hsa-mir-21,0.151286214,green
C1orf127,hsa-mir-605,0.479771021,red
TBC1D22A,hsa-mir-1307,0.158373048,green
DHX8,hsa-mir-605,0.160039532,green
QARS,hsa-mir-222,0.112552921,green
MYO1D,hsa-mir-33a,0.408311357,red
PDGFD,hsa-mir-96,0.400986955,red
NOTCH2NL,hsa-mir-548j,0.102994165,green
FIGN,hsa-mir-452,0.113345163,green
SCD,hsa-mir-345,0.251645864,green
RNFT1,hsa-mir-493,0.144936541,green
USP15,hsa-mir-598,0.387156901,red
KDM5B,hsa-mir-221,0.418196772,red
SLC25A23,hsa-mir-1277,0.437151928,red
ITM2A,hsa-mir-382,0.184803655,green
MON2,hsa-mir-337,0.134557466,green
RAPGEF2,hsa-mir-495,0.137847759,green
ZNF626,hsa-mir-629,0.383927891,red
AGAP2,hsa-mir-659,0.121984433,green
SNF8,hsa-mir-221,0.113032383,green
TADA2B,hsa-mir-589,0.403053678,red
SPRED2,hsa-mir-221,0.525655799,red
ADAT2,hsa-mir-95,0.405939165,red
WDR4,hsa-mir-222,0.216929323,green
C17orf96,hsa-mir-642a,0.108613066,green
C14orf148,hsa-mir-29c,0.38628359,red
FOXF1,hsa-mir-2116,0.108915525,green
ABHD2,hsa-mir-605,0.103613707,green
FGD1,hsa-mir-625,0.439187248,red
C5orf20,hsa-mir-222,0.110713835,green
LSM10,hsa-mir-222,0.144259097,green
CLIP1,hsa-mir-495,0.130273161,green
RBPMS,hsa-mir-30a,0.121812157,green
WDR20,hsa-mir-629,0.435099016,red
ATP10A,hsa-mir-452,0.431507121,red
BAIAP3,hsa-mir-193b,0.138257532,green
KIF26B,hsa-mir-1254,0.107572021,green
KIAA1430,hsa-mir-221,0.486459402,red
LATS2,hsa-mir-323,0.09888115,green
CYTH3,hsa-mir-378c,0.474331925,red
GLT1D1,hsa-mir-874,0.220598712,green
PARVA,hsa-mir-766,0.434705419,red
CCDC148,hsa-mir-944,0.401817597,red
VAV2,hsa-mir-651,0.096269764,green
CCND3,hsa-mir-642a,0.155523435,green
LRCH4,hsa-mir-625,0.093417363,green
KIF1C,hsa-mir-589,0.452732959,red
MAMLD1,hsa-mir-193b,0.187846766,green
SLC43A3,hsa-mir-328,0.170459776,green
SEC22A,hsa-mir-222,0.43768726,red
ANAPC5,hsa-mir-31,0.14834412,green
SP140,hsa-mir-221,0.101555516,green
ALCAM,hsa-mir-204,0.111901759,green
SATB1,hsa-mir-221,0.396564264,red
SMYD2,hsa-mir-155,0.42246023,red
TTLL10,hsa-mir-146a,0.099036633,green
STRA6,hsa-mir-148a,0.151884524,green
AHCYL1,hsa-mir-605,0.18739341,green
IQSEC2,hsa-mir-3194,0.407498218,red
