mRNA,microRNA,weight,edge_color
HSD17B7,hsa-mir-146a,0.536882389,green
SPATA6,hsa-mir-495,0.431009235,green
PDK3,hsa-mir-590,0.45219303,green
DTX4,hsa-mir-874,0.384704285,green
IGF2BP3,hsa-mir-98,0.095817009,red
TNFAIP8L1,hsa-mir-221,0.419197154,green
EBF1,hsa-mir-21,0.461277269,green
IDH2,hsa-mir-222,0.711633577,green
CTBP2,hsa-mir-629,0.215792926,red
SNAP91,hsa-mir-29a,0.449989465,green
TPD52L2,hsa-mir-337,0.175251539,red
LRAT,hsa-mir-629,0.095198682,red
NPTN,hsa-mir-21,0.139608184,red
ADAM12,hsa-mir-659,0.413716799,green
MAPK12,hsa-mir-221,0.797901955,green
MAP4,hsa-mir-22,0.402496324,green
IKZF4,hsa-mir-221,0.262428315,red
EYA2,hsa-mir-184,0.239044909,red
PDE4B,hsa-mir-21,0.464032805,green
SIGLEC11,hsa-mir-200a,0.427805839,green
IGFN1,hsa-mir-627,0.18744184,red
C5orf32,hsa-mir-605,0.108840686,red
WDR77,hsa-mir-222,0.55144705,green
HMGCL,hsa-mir-221,0.435972174,green
IGF1R,hsa-mir-605,0.439725131,green
POPDC2,hsa-mir-629,0.444339862,green
KRIT1,hsa-mir-495,0.446719367,green
FAM120AOS,hsa-mir-629,0.185281125,red
CLK4,hsa-mir-95,0.114396679,red
ANKS1A,hsa-mir-664,0.408287399,green
CTDSPL,hsa-mir-221,0.131389272,red
C18orf54,hsa-mir-561,0.144426732,red
SPIN1,hsa-mir-629,0.176729923,red
SMAD2,hsa-mir-452,0.392514366,green
ZDHHC9,hsa-mir-589,0.179312427,red
CYTH1,hsa-mir-659,0.527769318,green
SEL1L3,hsa-mir-627,0.389138897,green
CTNND1,hsa-mir-224,0.38341722,green
KCNK10,hsa-mir-21,0.736206677,green
C1orf127,hsa-mir-605,0.147049241,red
TBC1D22A,hsa-mir-1307,0.49757505,green
DHX8,hsa-mir-605,0.430808516,green
QARS,hsa-mir-222,0.39965128,green
MYO1D,hsa-mir-33a,0.117762981,red
PDGFD,hsa-mir-96,0.225743494,red
NOTCH2NL,hsa-mir-548j,0.408975172,green
FIGN,hsa-mir-452,0.410497969,green
SCD,hsa-mir-345,0.466125681,green
RNFT1,hsa-mir-493,0.424916082,green
USP15,hsa-mir-598,0.13554523,red
KDM5B,hsa-mir-221,0.309271328,red
SLC25A23,hsa-mir-1277,0.151284441,red
ITM2A,hsa-mir-382,0.434067727,green
MON2,hsa-mir-337,0.418585216,green
RAPGEF2,hsa-mir-495,0.396026529,green
ZNF626,hsa-mir-629,0.134536885,red
AGAP2,hsa-mir-659,0.472659745,green
SNF8,hsa-mir-221,0.586255081,green
TADA2B,hsa-mir-589,0.121257534,red
