mRNA,microRNA,weight,edge_color
HSD17B7,hsa-mir-146a,0.330617156,green
SPATA6,hsa-mir-495,0.291981686,green
PDK3,hsa-mir-590,0.2736901025,green
DTX4,hsa-mir-874,0.361692822,green
IGF2BP3,hsa-mir-98,0.2628704065,red
TNFAIP8L1,hsa-mir-221,0.327337899,green
EBF1,hsa-mir-21,0.281948491,green
IDH2,hsa-mir-222,0.433054205,green
CTBP2,hsa-mir-629,0.4064558575,red
SNAP91,hsa-mir-29a,0.2807707465,green
TPD52L2,hsa-mir-337,0.2841241675,red
LRAT,hsa-mir-629,0.249017193,red
NPTN,hsa-mir-21,0.3737977665,red
ADAM12,hsa-mir-659,0.266805905,green
MAPK12,hsa-mir-221,0.5121354295,green
MAP4,hsa-mir-22,0.3492543555,green
IKZF4,hsa-mir-221,0.363525169,red
EYA2,hsa-mir-184,0.325070279,red
PDE4B,hsa-mir-21,0.3603048125,green
SIGLEC11,hsa-mir-200a,0.2672662705,green
IGFN1,hsa-mir-627,0.2952145625,red
C5orf32,hsa-mir-605,0.2541577095,red
WDR77,hsa-mir-222,0.3542415675,green
HMGCL,hsa-mir-221,0.281051821,green
IGF1R,hsa-mir-605,0.3040005105,green
POPDC2,hsa-mir-629,0.2772797065,green
KRIT1,hsa-mir-495,0.3189591065,green
FAM120AOS,hsa-mir-629,0.3468775315,red
CLK4,hsa-mir-95,0.2603029535,red
ANKS1A,hsa-mir-664,0.2634848845,green
CTDSPL,hsa-mir-221,0.310014227,red
C18orf54,hsa-mir-561,0.2637519295,red
SPIN1,hsa-mir-629,0.306693964,red
SMAD2,hsa-mir-452,0.265178261,green
ZDHHC9,hsa-mir-589,0.320886719,red
CYTH1,hsa-mir-659,0.319243861,green
SEL1L3,hsa-mir-627,0.2616596085,green
CTNND1,hsa-mir-224,0.246251689,green
KCNK10,hsa-mir-21,0.4437464455,green
C1orf127,hsa-mir-605,0.313410131,red
TBC1D22A,hsa-mir-1307,0.327974049,green
DHX8,hsa-mir-605,0.295424024,green
QARS,hsa-mir-222,0.2561021005,green
MYO1D,hsa-mir-33a,0.263037169,red
PDGFD,hsa-mir-96,0.3133652245,red
NOTCH2NL,hsa-mir-548j,0.2559846685,green
FIGN,hsa-mir-452,0.261921566,green
SCD,hsa-mir-345,0.3588857725,green
RNFT1,hsa-mir-493,0.2849263115,green
USP15,hsa-mir-598,0.2613510655,red
