mRNA,microRNA,weight,edge_color
HSD17B7,hsa-mir-146a,0.258384127796163,green
SPATA6,hsa-mir-495,0.25675795134417,green
PDK3,hsa-mir-590,0.207468014595962,green
DTX4,hsa-mir-874,0.360960067122283,green
IGF2BP3,hsa-mir-98,0.202963082843118,red
TNFAIP8L1,hsa-mir-221,0.314184623100143,green
EBF1,hsa-mir-21,0.217568703995321,green
IDH2,hsa-mir-222,0.331556146020953,green
CTBP2,hsa-mir-629,0.358962408404956,red
SNAP91,hsa-mir-29a,0.224047399894275,green
TPD52L2,hsa-mir-337,0.262437217865662,red
LRAT,hsa-mir-629,0.195830100044253,red
NPTN,hsa-mir-21,0.291341740382088,red
ADAM12,hsa-mir-659,0.222716367083764,green
MAPK12,hsa-mir-221,0.42499434237741,green
MAP4,hsa-mir-22,0.34517227238868,green
IKZF4,hsa-mir-221,0.349184728485914,red
EYA2,hsa-mir-184,0.313480975508086,red
PDE4B,hsa-mir-21,0.345050810001339,green
SIGLEC11,hsa-mir-200a,0.21367804354405,green
IGFN1,hsa-mir-627,0.274839367989749,red
C5orf32,hsa-mir-605,0.208516435753604,red
WDR77,hsa-mir-222,0.29427382795077,green
HMGCL,hsa-mir-221,0.234499062500837,green
IGF1R,hsa-mir-605,0.272020473079494,green
POPDC2,hsa-mir-629,0.221302824385596,green
KRIT1,hsa-mir-495,0.292253703922209,green
FAM120AOS,hsa-mir-629,0.306937490811762,red
CLK4,hsa-mir-95,0.215566664079476,red
ANKS1A,hsa-mir-664,0.220128408331264,green
CTDSPL,hsa-mir-221,0.253381030058794,red
C18orf54,hsa-mir-561,0.23521602317138,red
SPIN1,hsa-mir-629,0.277795852382615,red
SMAD2,hsa-mir-452,0.232604871983398,green
ZDHHC9,hsa-mir-589,0.287967022895476,red
CYTH1,hsa-mir-659,0.241730793588919,green
SEL1L3,hsa-mir-627,0.228505539810104,green
CTNND1,hsa-mir-224,0.204512863753948,green
KCNK10,hsa-mir-21,0.333733308024313,green
C1orf127,hsa-mir-605,0.265612432863835,red
TBC1D22A,hsa-mir-1307,0.280717789385091,green
DHX8,hsa-mir-605,0.262576452261536,green
QARS,hsa-mir-222,0.212089412619746,green
MYO1D,hsa-mir-33a,0.21928055676798,red
PDGFD,hsa-mir-96,0.300865744594031,red
NOTCH2NL,hsa-mir-548j,0.205236586275136,green
FIGN,hsa-mir-452,0.215703405646443,green
SCD,hsa-mir-345,0.342488831537371,green
RNFT1,hsa-mir-493,0.248164999829453,green
USP15,hsa-mir-598,0.229079181053478,red
KDM5B,hsa-mir-221,0.359633523245196,red
SLC25A23,hsa-mir-1277,0.257165870712955,red
ITM2A,hsa-mir-382,0.283226592090401,green
MON2,hsa-mir-337,0.2373262858809,green
RAPGEF2,hsa-mir-495,0.23364796067417,green
ZNF626,hsa-mir-629,0.227271781177865,red
AGAP2,hsa-mir-659,0.240118993408996,green
SNF8,hsa-mir-221,0.257421461520379,green
TADA2B,hsa-mir-589,0.221073053681153,red
SPRED2,hsa-mir-221,0.363985853397827,red
ADAT2,hsa-mir-95,0.331132848596929,red
WDR4,hsa-mir-222,0.372534889653633,green
C17orf96,hsa-mir-642a,0.246870819590221,green
C14orf148,hsa-mir-29c,0.205575672044425,red
FOXF1,hsa-mir-2116,0.219814660683236,green
ABHD2,hsa-mir-605,0.214804718313724,green
FGD1,hsa-mir-625,0.268758743725097,red
C5orf20,hsa-mir-222,0.219253124867586,green
LSM10,hsa-mir-222,0.280904719575331,green
CLIP1,hsa-mir-495,0.230161439755548,green
RBPMS,hsa-mir-30a,0.237115574542744,green
WDR20,hsa-mir-629,0.302344972460628,red
ATP10A,hsa-mir-452,0.212101420693683,red
BAIAP3,hsa-mir-193b,0.237400380949351,green
KIF26B,hsa-mir-1254,0.208784279411343,green
KIAA1430,hsa-mir-221,0.281538999388271,red
LATS2,hsa-mir-323,0.196333444929948,green
CYTH3,hsa-mir-378c,0.235367772319163,red
GLT1D1,hsa-mir-874,0.311473385554326,green
PARVA,hsa-mir-766,0.224685405403462,red
CCDC148,hsa-mir-944,0.266412252765597,red
VAV2,hsa-mir-651,0.194007265684039,green
CCND3,hsa-mir-642a,0.268158111875045,green
LRCH4,hsa-mir-625,0.195259972720737,green
KIF1C,hsa-mir-589,0.208272106120715,red
MAMLD1,hsa-mir-193b,0.301029065215765,green
SLC43A3,hsa-mir-328,0.307733000043899,green
SEC22A,hsa-mir-222,0.251052014164358,red
ANAPC5,hsa-mir-31,0.242561413397617,green
SP140,hsa-mir-221,0.234342988366122,green
ALCAM,hsa-mir-204,0.210175232523195,green
SATB1,hsa-mir-221,0.267388062648545,red
SMYD2,hsa-mir-155,0.244429307716977,red
TTLL10,hsa-mir-146a,0.21679113273535,green
STRA6,hsa-mir-148a,0.249384900479063,green
AHCYL1,hsa-mir-605,0.294666441743937,green
IQSEC2,hsa-mir-3194,0.227256892023259,red
FIP1L1,hsa-mir-487b,0.209441159545926,green
SLC37A3,hsa-mir-629,0.236719101913194,red
CMBL,hsa-mir-224,0.21309100131856,green
DOPEY1,hsa-mir-222,0.225822201445013,red
BTBD3,hsa-mir-378c,0.244981893807838,red
RNF213,hsa-mir-15a,0.207508740876304,green
PTGFRN,hsa-mir-146a,0.350594915759408,red
RHBDL2,hsa-mir-17,0.219399751370317,green
SAV1,hsa-mir-222,0.234868353979077,red
HECTD2,hsa-mir-221,0.242458321359202,red
