mRNA,microRNA,weight,edge_color
HSD17B7,hsa-mir-146a,0.432748707911247,green
SPATA6,hsa-mir-495,0.360820719758961,green
PDK3,hsa-mir-590,0.362075240126542,green
DTX4,hsa-mir-874,0.373086872241798,green
IGF2BP3,hsa-mir-98,0.334447555980332,red
TNFAIP8L1,hsa-mir-221,0.372821707076182,green
EBF1,hsa-mir-21,0.370742545786186,green
IDH2,hsa-mir-222,0.570991865065187,green
CTBP2,hsa-mir-629,0.488148952956702,red
SNAP91,hsa-mir-29a,0.364558838567059,green
TPD52L2,hsa-mir-337,0.330772679419437,red
LRAT,hsa-mir-629,0.3149236080712,red
NPTN,hsa-mir-21,0.474140668854555,red
ADAM12,hsa-mir-659,0.339548351114943,green
MAPK12,hsa-mir-221,0.653631784989051,green
MAP4,hsa-mir-22,0.375616941140958,green
IKZF4,hsa-mir-221,0.406842005047883,red
EYA2,hsa-mir-184,0.361929456123835,red
PDE4B,hsa-mir-21,0.411665386924402,green
SIGLEC11,hsa-mir-200a,0.346756909981967,green
IGFN1,hsa-mir-627,0.341391799142463,red
C5orf32,hsa-mir-605,0.316421503405158,red
WDR77,hsa-mir-222,0.45188721374001,green
HMGCL,hsa-mir-221,0.357760124403357,green
IGF1R,hsa-mir-605,0.371204110072353,green
POPDC2,hsa-mir-629,0.359998993195055,green
KRIT1,hsa-mir-495,0.382219179405501,green
FAM120AOS,hsa-mir-629,0.416116531224834,red
CLK4,hsa-mir-95,0.322819223006012,red
ANKS1A,hsa-mir-664,0.335183373437958,green
CTDSPL,hsa-mir-221,0.386549426500822,red
C18orf54,hsa-mir-561,0.314879039909279,red
SPIN1,hsa-mir-629,0.362379485689106,red
SMAD2,hsa-mir-452,0.328228314704317,green
ZDHHC9,hsa-mir-589,0.381546869662642,red
CYTH1,hsa-mir-659,0.422494555393136,green
SEL1L3,hsa-mir-627,0.324780559043549,green
CTNND1,hsa-mir-224,0.314168750668654,green
KCNK10,hsa-mir-21,0.588557167505766,green
C1orf127,hsa-mir-605,0.38469056270275,red
TBC1D22A,hsa-mir-1307,0.411951426989973,green
DHX8,hsa-mir-605,0.362459210063934,green
QARS,hsa-mir-222,0.327180004733726,green
MYO1D,hsa-mir-33a,0.32528260923482,red
PDGFD,hsa-mir-96,0.350908392107375,red
NOTCH2NL,hsa-mir-548j,0.331737413268858,green
FIGN,hsa-mir-452,0.33548868342003,green
SCD,hsa-mir-345,0.411985260584476,green
RNFT1,hsa-mir-493,0.354241786070861,green
USP15,hsa-mir-598,0.315254926348335,red
KDM5B,hsa-mir-221,0.387069620853624,red
SLC25A23,hsa-mir-1277,0.355460817558588,red
ITM2A,hsa-mir-382,0.371146833830059,green
MON2,hsa-mir-337,0.346889044258696,green
RAPGEF2,hsa-mir-495,0.330855328531459,green
ZNF626,hsa-mir-629,0.312660506142621,red
AGAP2,hsa-mir-659,0.384139952850862,green
SNF8,hsa-mir-221,0.46680106346935,green
TADA2B,hsa-mir-589,0.32252601756876,red
SPRED2,hsa-mir-221,0.447465481609298,red
ADAT2,hsa-mir-95,0.367124372134494,red
WDR4,hsa-mir-222,0.533024687107869,green
C17orf96,hsa-mir-642a,0.446896831187421,green
C14orf148,hsa-mir-29c,0.307161198193442,red
FOXF1,hsa-mir-2116,0.359141143643824,green
ABHD2,hsa-mir-605,0.35906286364339,green
FGD1,hsa-mir-625,0.360681279864867,red
C5orf20,hsa-mir-222,0.352543375797326,green
LSM10,hsa-mir-222,0.445325730039226,green
CLIP1,hsa-mir-495,0.336877704623291,green
RBPMS,hsa-mir-30a,0.375799675411967,green
WDR20,hsa-mir-629,0.37080082827863,red
ATP10A,hsa-mir-452,0.33798986086123,red
BAIAP3,hsa-mir-193b,0.33963874395397,green
KIF26B,hsa-mir-1254,0.330089479107837,green
KIAA1430,hsa-mir-221,0.394008968787216,red
LATS2,hsa-mir-323,0.316386628882573,green
CYTH3,hsa-mir-378c,0.372159181153463,red
GLT1D1,hsa-mir-874,0.384455406835983,green
PARVA,hsa-mir-766,0.343668287856068,red
CCDC148,hsa-mir-944,0.337468454975735,red
VAV2,hsa-mir-651,0.316581590649237,green
CCND3,hsa-mir-642a,0.384910878443306,green
LRCH4,hsa-mir-625,0.328688373968573,green
KIF1C,hsa-mir-589,0.350737218973381,red
MAMLD1,hsa-mir-193b,0.408051763669094,green
SLC43A3,hsa-mir-328,0.458345908811584,green
SEC22A,hsa-mir-222,0.353761623858632,red
ANAPC5,hsa-mir-31,0.333947516683596,green
SP140,hsa-mir-221,0.429889224100997,green
ALCAM,hsa-mir-204,0.323354300137775,green
SATB1,hsa-mir-221,0.33476036610487,red
SMYD2,hsa-mir-155,0.342149504281328,red
TTLL10,hsa-mir-146a,0.379764655986267,green
STRA6,hsa-mir-148a,0.344451872999617,green
AHCYL1,hsa-mir-605,0.393689510089627,green
IQSEC2,hsa-mir-3194,0.327266719952632,red
FIP1L1,hsa-mir-487b,0.323363903295184,green
SLC37A3,hsa-mir-629,0.43318623851711,red
CMBL,hsa-mir-224,0.353643109110669,green
DOPEY1,hsa-mir-222,0.310748670554279,red
BTBD3,hsa-mir-378c,0.37051918073473,red
RNF213,hsa-mir-15a,0.317341496874229,green
PTGFRN,hsa-mir-146a,0.397707577816945,red
