mRNA,microRNA,weight,edge_color
PAK2,hsa-mir-221,0.417953433,red
CEBPZ,hsa-mir-335,0.24339701,red
CCDC50,hsa-mir-206,0.220562917,red
ARL8B,hsa-mir-203,0.291810298,red
FERMT2,hsa-mir-345,0.218129202,red
RFTN1,hsa-mir-424,0.255400103,red
CYB561,hsa-mir-18a,0.829247249,green
ZDHHC1,hsa-mir-106b,0.766421564,green
YIPF4,hsa-mir-1301,0.410708465,red
RABEP1,hsa-mir-3909,0.237581415,red
ADCY1,hsa-mir-488,0.241069392,red
FMNL3,hsa-mir-378,0.222785948,red
CD2AP,hsa-mir-182,0.736881758,green
CENPL,hsa-mir-106b,0.351516848,red
FMOD,hsa-mir-345,0.750416921,green
MRAS,hsa-mir-30a,0.354019492,red
PKN3,hsa-mir-625,0.408302815,red
PCDHGA11,hsa-mir-625,0.295396428,red
OBSCN,hsa-mir-34a,0.915391245,green
NT5C2,hsa-mir-186,0.899261241,green
BZRAP1,hsa-mir-3191,0.787187695,green
TCP10L,hsa-mir-3684,0.865565471,green
ELK3,hsa-mir-488,0.227573346,red
MZF1,hsa-mir-3127,0.761859897,green
PDS5B,hsa-mir-130b,0.220829849,red
BTBD10,hsa-mir-130b,0.308184869,red
DPH3,hsa-mir-17,0.229364335,red
UBE2V2,hsa-mir-570,0.289271898,red
MTMR9,hsa-mir-130b,0.264702723,red
MAP3K5,hsa-mir-1468,0.797818512,green
RPP14,hsa-mir-106b,0.307034348,red
SLC22A23,hsa-mir-30a,0.950477626,green
EIF5A2,hsa-mir-766,0.262559751,red
RABGAP1,hsa-mir-424,0.325968251,red
STK38,hsa-mir-590,0.356987069,red
SCAMP2,hsa-mir-106b,0.847160998,green
PCDHGB7,hsa-mir-203,0.240368968,red
SNTB2,hsa-mir-1275,0.299107202,red
CELSR1,hsa-mir-182,0.877576127,green
MRE11A,hsa-mir-106b,0.231394972,red
PHLDB2,hsa-mir-592,0.362723021,red
LRRFIP1,hsa-mir-192,0.216832321,red
NAP1L3,hsa-mir-18a,0.50872126,red
DUSP3,hsa-mir-561,0.295894565,red
CARD8,hsa-mir-424,0.263030309,red
TCF4,hsa-mir-424,0.389564487,red
C6orf145,hsa-mir-503,0.256863305,red
RSPO4,hsa-mir-1266,0.807653771,green
ITSN1,hsa-mir-551a,0.244159514,red
ITSN1,hsa-mir-130a,0.271817487,red
TNFSF13,hsa-mir-106b,0.776244875,green
KIAA0947,hsa-mir-106b,0.274173854,red
SCAMP4,hsa-mir-106b,0.760664881,green
BVES,hsa-mir-130a,0.551103899,red
HOXA11,hsa-mir-484,0.232115792,red
MAN1A1,hsa-mir-203,0.230191057,red
FYCO1,hsa-mir-203,0.364230528,red
STK4,hsa-mir-222,0.358274433,red
DEGS1,hsa-mir-561,0.248888381,red
UBXN6,hsa-mir-760,0.849941507,green
TMEM97,hsa-mir-664,0.779946779,green
PMM1,hsa-mir-1301,0.898011976,green
FBXL7,hsa-mir-488,0.341797265,red
KALRN,hsa-mir-181c,0.242385912,red
MARCKSL1,hsa-mir-193b,0.932462838,green
GM2A,hsa-mir-3652,0.274512521,red
SNRK,hsa-mir-2110,0.267453287,red
IGF2BP2,hsa-mir-375,0.869221315,green
ITPR3,hsa-mir-484,0.757973243,green
KLHDC8B,hsa-let-7b,0.817045296,green
REPIN1,hsa-mir-130a,0.799005077,green
KLHL29,hsa-mir-592,0.285162165,red
CNDP2,hsa-mir-183,0.898912675,green
PDE7B,hsa-mir-145,0.364809047,red
SPPL2B,hsa-mir-551a,0.854158379,green
DNAJC24,hsa-mir-766,0.235552344,red
ARSD,hsa-mir-551a,0.733558123,green
ZNF282,hsa-mir-31,0.78862418,green
CCDC8,hsa-mir-548v,0.800225596,green
ADAM23,hsa-mir-592,0.277331859,red
RFX5,hsa-mir-193a,0.234682811,red
ATP9A,hsa-mir-183,0.777739469,green
CIRBP,hsa-mir-616,0.877349606,green
STK40,hsa-mir-195,0.757582323,green
EPN3,hsa-mir-134,0.854094019,green
RAP2A,hsa-mir-181c,0.353446448,red
IGF2BP2,hsa-mir-1266,0.878523064,green
OPA1,hsa-mir-760,0.221401818,red
AGBL4,hsa-mir-1266,0.871205359,green
DGKA,hsa-mir-190b,0.267858781,red
PHLDB2,hsa-mir-203,0.382290601,red
PPP2R5B,hsa-mir-31,0.303556766,red
CFL2,hsa-mir-301a,0.30416634,red
DDX58,hsa-mir-222,0.428024415,red
ST6GALNAC3,hsa-mir-505,0.246932805,red
ERBB3,hsa-mir-130b,0.764611198,green
CCDC43,hsa-mir-182,0.857094299,green
QKI,hsa-mir-130b,0.37200792,red
RAD18,hsa-mir-185,0.225767529,red
COL6A3,hsa-mir-130b,0.467267339,red
TMEM43,hsa-mir-31,0.227891642,red
TMBIM6,hsa-mir-106b,0.745647724,green
SACS,hsa-mir-106b,0.240713491,red
HMGCL,hsa-mir-106b,0.744146853,green
ELOVL4,hsa-mir-98,0.404602133,red
PARM1,hsa-mir-592,0.223320965,red
RAB11FIP1,hsa-mir-130b,0.732628535,green
TRIM27,hsa-mir-31,0.827577109,green
YIPF4,hsa-mir-570,0.402161826,red
RABEP1,hsa-mir-424,0.24267352,red
GLE1,hsa-mir-1301,0.86216243,green
SYT11,hsa-mir-335,0.246533654,red
FYTTD1,hsa-mir-222,0.41100496,red
QKI,hsa-mir-1226,0.299789838,red
ZFP41,hsa-mir-34a,0.907333295,green
RAD1,hsa-mir-130b,0.247538185,red
CLIC2,hsa-mir-424,0.385967124,red
STK4,hsa-mir-221,0.365201647,red
FYTTD1,hsa-mir-570,0.407909021,red
CORO1C,hsa-mir-210,0.29619909,red
C1orf74,hsa-mir-30a,0.796322317,green
RBL1,hsa-mir-185,0.284820316,red
CORO1C,hsa-mir-579,0.25356942,red
IL20RA,hsa-mir-598,0.793723918,green
FUT4,hsa-mir-30a,0.227307484,red
CDS2,hsa-mir-29a,0.221593913,red
CELSR1,hsa-mir-96,0.926285745,green
DHX32,hsa-mir-570,0.758044201,green
ZNF35,hsa-mir-197,0.299259006,red
PLS3,hsa-mir-3934,0.234534465,red
DDX58,hsa-mir-221,0.47820121,red
DEF8,hsa-mir-3170,0.215678713,red
GREB1,hsa-mir-32,0.82602658,green
ZNF566,hsa-mir-106b,0.354487101,red
FAM46C,hsa-mir-17,0.810370487,green
USHBP1,hsa-mir-424,0.301164317,red
ZNF687,hsa-mir-627,0.878440923,green
FAT4,hsa-mir-107,0.227047404,red
RIC3,hsa-mir-34a,0.817046622,green
RAP1B,hsa-mir-424,0.321325808,red
JAM3,hsa-mir-1269,0.341205804,red
PTPN3,hsa-mir-106b,0.761060473,green
REPIN1,hsa-mir-766,0.867218095,green
ZDHHC1,hsa-mir-652,0.785840618,green
PPAP2A,hsa-mir-497,0.44967065,red
QKI,hsa-mir-301b,0.241114023,red
BTBD10,hsa-mir-210,0.247023029,red
PCDHAC2,hsa-mir-29a,0.230772844,red
DCUN1D1,hsa-mir-221,0.249734655,red
WDR6,hsa-mir-192,0.752589489,green
ENO2,hsa-mir-323,0.295006729,red
PSAT1,hsa-mir-429,0.940916406,green
TXNDC9,hsa-mir-570,0.225255725,red
PARP11,hsa-mir-3154,0.236007945,red
STRN3,hsa-mir-624,0.343934973,red
MPP2,hsa-mir-301a,0.249518479,red
PSMC3IP,hsa-mir-1976,0.743816524,green
SRCIN1,hsa-mir-1266,0.768355785,green
ZBTB45,hsa-mir-766,0.762543446,green
GNA12,hsa-mir-1269,0.297467332,red
CACNA1C,hsa-mir-149,0.283009036,red
MYCT1,hsa-mir-424,0.249427499,red
SSRP1,hsa-mir-424,0.82072662,green
HERC3,hsa-mir-203,0.221361742,red
CCDC50,hsa-mir-222,0.260007176,red
E2F1,hsa-mir-148a,0.881966145,green
PAFAH1B1,hsa-mir-206,0.260165795,red
TMEM55A,hsa-mir-130b,0.343477632,red
PWP1,hsa-mir-130b,0.222094347,red
NAV1,hsa-mir-488,0.239349948,red
CUL2,hsa-mir-570,0.273488724,red
GTF2IRD2,hsa-mir-33a,0.843441721,green
CIRBP,hsa-mir-1301,0.857162796,green
GOLPH3L,hsa-mir-625,0.773254906,green
EXOC5,hsa-mir-3684,0.251197623,red
C20orf20,hsa-mir-34a,0.811727069,green
TCEAL7,hsa-mir-206,0.373108885,red
KIAA1244,hsa-mir-454,0.761402298,green
C21orf91,hsa-mir-197,0.28542117,red
MAPRE2,hsa-mir-375,0.353507782,red
CANT1,hsa-mir-940,0.842602735,green
FBXO11,hsa-mir-338,0.2246541,red
C20orf11,hsa-mir-497,0.817841424,green
IGF2BP2,hsa-mir-1976,0.939440775,green
TNK1,hsa-mir-130a,0.834406629,green
TMEFF1,hsa-mir-30e,0.225042702,red
AP4E1,hsa-mir-192,0.216177464,red
KLHDC8A,hsa-let-7i,0.901036459,green
CNTLN,hsa-mir-130b,0.400252112,red
ITPR3,hsa-mir-191,0.751859556,green
ZNF311,hsa-mir-34a,0.736170194,green
KIAA1671,hsa-mir-598,0.867061518,green
MGC16703,hsa-mir-3934,0.740311319,green
ST6GALNAC3,hsa-mir-488,0.497460163,red
KLHL24,hsa-mir-106b,0.247306705,red
CDC25A,hsa-mir-2114,0.938088619,green
FBXO7,hsa-mir-191,0.862048903,green
ETNK2,hsa-mir-942,0.796711342,green
QSOX1,hsa-mir-19a,0.762918013,green
DGCR2,hsa-mir-148b,0.749480938,green
PRRG1,hsa-mir-221,0.413682928,red
LRRC16A,hsa-mir-186,0.767058579,green
DDAH1,hsa-mir-935,0.830618418,green
ARFIP2,hsa-mir-130a,0.728126477,green
UCKL1,hsa-mir-34a,0.802057455,green
