mRNA,microRNA,weight,edge_color
PAK2,hsa-mir-221,0.5976027585,red
CEBPZ,hsa-mir-335,0.4883950425,red
CCDC50,hsa-mir-206,0.497630277,red
ARL8B,hsa-mir-203,0.5579489435,red
FERMT2,hsa-mir-345,0.478481661,red
RFTN1,hsa-mir-424,0.530675173,red
CYB561,hsa-mir-18a,0.5482890355,green
ZDHHC1,hsa-mir-106b,0.491828834,green
YIPF4,hsa-mir-1301,0.6172838715,red
RABEP1,hsa-mir-3909,0.5216730525,red
ADCY1,hsa-mir-488,0.541964361,red
FMNL3,hsa-mir-378,0.4844717285,red
CD2AP,hsa-mir-182,0.499962909,green
CENPL,hsa-mir-106b,0.5413833565,red
FMOD,hsa-mir-345,0.486122502,green
MRAS,hsa-mir-30a,0.595017976,red
PKN3,hsa-mir-625,0.5832463185,red
PCDHGA11,hsa-mir-625,0.532887033,red
OBSCN,hsa-mir-34a,0.5658719755,green
NT5C2,hsa-mir-186,0.56444276,green
BZRAP1,hsa-mir-3191,0.512355603,green
TCP10L,hsa-mir-3684,0.55690056,green
ELK3,hsa-mir-488,0.5044312225,red
MZF1,hsa-mir-3127,0.5245039105,green
PDS5B,hsa-mir-130b,0.4832538565,red
BTBD10,hsa-mir-130b,0.544431917,red
DPH3,hsa-mir-17,0.480427129,red
UBE2V2,hsa-mir-570,0.5865524475,red
MTMR9,hsa-mir-130b,0.53621498,red
MAP3K5,hsa-mir-1468,0.526281417,green
RPP14,hsa-mir-106b,0.5890233245,red
SLC22A23,hsa-mir-30a,0.6084492005,green
EIF5A2,hsa-mir-766,0.5111307075,red
RABGAP1,hsa-mir-424,0.536755511,red
STK38,hsa-mir-590,0.5536604215,red
SCAMP2,hsa-mir-106b,0.538747739,green
PCDHGB7,hsa-mir-203,0.549508019,red
SNTB2,hsa-mir-1275,0.530623254,red
CELSR1,hsa-mir-182,0.552965389,green
MRE11A,hsa-mir-106b,0.5071510595,red
PHLDB2,hsa-mir-592,0.573315253,red
LRRFIP1,hsa-mir-192,0.496654634,red
NAP1L3,hsa-mir-18a,0.654859169,red
DUSP3,hsa-mir-561,0.5440449895,red
CARD8,hsa-mir-424,0.5211047185,red
TCF4,hsa-mir-424,0.5846340215,red
C6orf145,hsa-mir-503,0.530130169,red
RSPO4,hsa-mir-1266,0.530031589,green
ITSN1,hsa-mir-551a,0.517789887,red
ITSN1,hsa-mir-130a,0.523176801,red
TNFSF13,hsa-mir-106b,0.505020506,green
KIAA0947,hsa-mir-106b,0.5484034025,red
SCAMP4,hsa-mir-106b,0.5301818955,green
BVES,hsa-mir-130a,0.6420659625,red
HOXA11,hsa-mir-484,0.531830374,red
MAN1A1,hsa-mir-203,0.501396502,red
FYCO1,hsa-mir-203,0.5924227255,red
STK4,hsa-mir-222,0.5656174555,red
DEGS1,hsa-mir-561,0.511463815,red
UBXN6,hsa-mir-760,0.5396218005,green
TMEM97,hsa-mir-664,0.50679859,green
PMM1,hsa-mir-1301,0.6065045705,green
FBXL7,hsa-mir-488,0.548080546,red
KALRN,hsa-mir-181c,0.514247732,red
MARCKSL1,hsa-mir-193b,0.575277603,green
GM2A,hsa-mir-3652,0.5450887345,red
SNRK,hsa-mir-2110,0.535729227,red
IGF2BP2,hsa-mir-375,0.561921177,green
ITPR3,hsa-mir-484,0.494605917,green
KLHDC8B,hsa-let-7b,0.530843899,green
REPIN1,hsa-mir-130a,0.5077533345,green
KLHL29,hsa-mir-592,0.5544324035,red
CNDP2,hsa-mir-183,0.564873946,green
PDE7B,hsa-mir-145,0.550818442,red
SPPL2B,hsa-mir-551a,0.539164544,green
DNAJC24,hsa-mir-766,0.5002844925,red
ARSD,hsa-mir-551a,0.509484499,green
ZNF282,hsa-mir-31,0.5078926535,green
CCDC8,hsa-mir-548v,0.528076623,green
ADAM23,hsa-mir-592,0.5207693475,red
RFX5,hsa-mir-193a,0.4906488345,red
ATP9A,hsa-mir-183,0.5036785825,green
CIRBP,hsa-mir-616,0.57031486,green
STK40,hsa-mir-195,0.493505975,green
EPN3,hsa-mir-134,0.535733534,green
RAP2A,hsa-mir-181c,0.579835015,red
IGF2BP2,hsa-mir-1266,0.557102151,green
OPA1,hsa-mir-760,0.477669692,red
AGBL4,hsa-mir-1266,0.549296649,green
DGKA,hsa-mir-190b,0.5189500395,red
PHLDB2,hsa-mir-203,0.604387889,red
PPP2R5B,hsa-mir-31,0.5189761695,red
CFL2,hsa-mir-301a,0.557094515,red
DDX58,hsa-mir-222,0.592561866,red
ST6GALNAC3,hsa-mir-505,0.5054172665,red
ERBB3,hsa-mir-130b,0.49604909,green
CCDC43,hsa-mir-182,0.545007309,green
QKI,hsa-mir-130b,0.634897183,red
RAD18,hsa-mir-185,0.5186419025,red
COL6A3,hsa-mir-130b,0.598644527,red
TMEM43,hsa-mir-31,0.524112585,red
TMBIM6,hsa-mir-106b,0.49377846,green
SACS,hsa-mir-106b,0.545926896,red
HMGCL,hsa-mir-106b,0.4964715505,green
ELOVL4,hsa-mir-98,0.5960335735,red
PARM1,hsa-mir-592,0.4941956545,red
RAB11FIP1,hsa-mir-130b,0.4875319165,green
TRIM27,hsa-mir-31,0.5434284875,green
YIPF4,hsa-mir-570,0.597767693,red
RABEP1,hsa-mir-424,0.5003002835,red
GLE1,hsa-mir-1301,0.5819590955,green
SYT11,hsa-mir-335,0.5100848965,red
FYTTD1,hsa-mir-222,0.66920536,red
QKI,hsa-mir-1226,0.5245917575,red
ZFP41,hsa-mir-34a,0.584547256,green
RAD1,hsa-mir-130b,0.4978408425,red
CLIC2,hsa-mir-424,0.601522361,red
STK4,hsa-mir-221,0.5590803325,red
FYTTD1,hsa-mir-570,0.597199968,red
CORO1C,hsa-mir-210,0.540895817,red
C1orf74,hsa-mir-30a,0.5175953305,green
RBL1,hsa-mir-185,0.518658323,red
CORO1C,hsa-mir-579,0.4904396245,red
IL20RA,hsa-mir-598,0.531985689,green
FUT4,hsa-mir-30a,0.4901718695,red
CDS2,hsa-mir-29a,0.506707443,red
CELSR1,hsa-mir-96,0.589568608,green
DHX32,hsa-mir-570,0.496831561,green
ZNF35,hsa-mir-197,0.5371350005,red
PLS3,hsa-mir-3934,0.4882512405,red
DDX58,hsa-mir-221,0.637841034,red
DEF8,hsa-mir-3170,0.475992102,red
GREB1,hsa-mir-32,0.530658028,green
ZNF566,hsa-mir-106b,0.5695969495,red
FAM46C,hsa-mir-17,0.544474343,green
USHBP1,hsa-mir-424,0.575637239,red
ZNF687,hsa-mir-627,0.5606702255,green
FAT4,hsa-mir-107,0.4769345045,red
RIC3,hsa-mir-34a,0.530829462,green
RAP1B,hsa-mir-424,0.556589019,red
JAM3,hsa-mir-1269,0.535057622,red
PTPN3,hsa-mir-106b,0.5052550515,green
REPIN1,hsa-mir-766,0.5602286585,green
ZDHHC1,hsa-mir-652,0.5225182635,green
