mRNA,microRNA,weight,edge_color
PAK2,hsa-mir-221,0.569960680059778,red
CEBPZ,hsa-mir-335,0.422499327348229,red
CCDC50,hsa-mir-206,0.413363726770658,red
ARL8B,hsa-mir-203,0.49038479271302,red
FERMT2,hsa-mir-345,0.401448996767923,red
RFTN1,hsa-mir-424,0.453695685537206,red
CYB561,hsa-mir-18a,0.470832612205664,green
ZDHHC1,hsa-mir-106b,0.408037295580866,green
YIPF4,hsa-mir-1301,0.581692340884241,red
RABEP1,hsa-mir-3909,0.437532530456007,red
ADCY1,hsa-mir-488,0.450763337267604,red
FMNL3,hsa-mir-378,0.407717313833842,red
CD2AP,hsa-mir-182,0.440263976909601,green
CENPL,hsa-mir-106b,0.506997680118189,red
FMOD,hsa-mir-345,0.407999444896917,green
MRAS,hsa-mir-30a,0.544027685391873,red
PKN3,hsa-mir-625,0.556391084244661,red
PCDHGA11,hsa-mir-625,0.477039623591455,red
OBSCN,hsa-mir-34a,0.445025137384911,green
NT5C2,hsa-mir-186,0.454414143812965,green
BZRAP1,hsa-mir-3191,0.432406735762057,green
TCP10L,hsa-mir-3684,0.463534471690807,green
ELK3,hsa-mir-488,0.421664054020206,red
MZF1,hsa-mir-3127,0.467724799216808,green
PDS5B,hsa-mir-130b,0.405792964588794,red
BTBD10,hsa-mir-130b,0.490503256420975,red
DPH3,hsa-mir-17,0.409606762331991,red
UBE2V2,hsa-mir-570,0.505636280894892,red
MTMR9,hsa-mir-130b,0.462393338052319,red
MAP3K5,hsa-mir-1468,0.450821179536287,green
RPP14,hsa-mir-106b,0.51713701659958,red
SLC22A23,hsa-mir-30a,0.503216638972799,green
EIF5A2,hsa-mir-766,0.446617375092064,red
RABGAP1,hsa-mir-424,0.49363469247062,red
STK38,hsa-mir-590,0.517551403004541,red
SCAMP2,hsa-mir-106b,0.441735653927336,green
PCDHGB7,hsa-mir-203,0.454303984235362,red
SNTB2,hsa-mir-1275,0.477452987582947,red
CELSR1,hsa-mir-182,0.447659011086582,green
MRE11A,hsa-mir-106b,0.425629859571277,red
PHLDB2,hsa-mir-592,0.53323661834472,red
LRRFIP1,hsa-mir-192,0.410323407352059,red
NAP1L3,hsa-mir-18a,0.638344924610886,red
DUSP3,hsa-mir-561,0.484155261688361,red
CARD8,hsa-mir-424,0.45271152713863,red
TCF4,hsa-mir-424,0.551130488909129,red
C6orf145,hsa-mir-503,0.454272183964167,red
RSPO4,hsa-mir-1266,0.451507928390437,green
ITSN1,hsa-mir-551a,0.439582513359385,red
ITSN1,hsa-mir-130a,0.458838163593704,red
TNFSF13,hsa-mir-106b,0.42600827825413,green
KIAA0947,hsa-mir-106b,0.474915199380966,red
SCAMP4,hsa-mir-106b,0.477462496653904,green
BVES,hsa-mir-130a,0.63558996468232,red
HOXA11,hsa-mir-484,0.439334401163334,red
MAN1A1,hsa-mir-203,0.421717984938025,red
FYCO1,hsa-mir-203,0.54671108154945,red
STK4,hsa-mir-222,0.526243267877945,red
DEGS1,hsa-mir-561,0.438918415555859,red
UBXN6,hsa-mir-760,0.441467289085631,green
TMEM97,hsa-mir-664,0.426889772273837,green
PMM1,hsa-mir-1301,0.531856396573406,green
FBXL7,hsa-mir-488,0.507778980348274,red
KALRN,hsa-mir-181c,0.436511031582744,red
MARCKSL1,hsa-mir-193b,0.450957900930254,green
GM2A,hsa-mir-3652,0.47319154807204,red
SNRK,hsa-mir-2110,0.463717397429872,red
IGF2BP2,hsa-mir-375,0.4704487584703,green
ITPR3,hsa-mir-484,0.418655783104713,green
KLHDC8B,hsa-let-7b,0.447083890853574,green
REPIN1,hsa-mir-130a,0.415915702019751,green
KLHL29,hsa-mir-592,0.484653307745795,red
CNDP2,hsa-mir-183,0.455522449938173,green
PDE7B,hsa-mir-145,0.518460664871542,red
SPPL2B,hsa-mir-551a,0.437581180375391,green
DNAJC24,hsa-mir-766,0.424501428721455,red
ARSD,hsa-mir-551a,0.45756471208867,green
ZNF282,hsa-mir-31,0.423254955680676,green
CCDC8,hsa-mir-548v,0.452548181141113,green
ADAM23,hsa-mir-592,0.46036822489002,red
RFX5,hsa-mir-193a,0.418590102140275,red
ATP9A,hsa-mir-183,0.422590516883713,green
CIRBP,hsa-mir-616,0.480612842405959,green
STK40,hsa-mir-195,0.416907459501127,green
