mRNA,microRNA,weight,edge_color
PAK2,hsa-mir-221,0.678888838787668,red
CEBPZ,hsa-mir-335,0.59924950679976,red
CCDC50,hsa-mir-206,0.622995176686486,red
ARL8B,hsa-mir-203,0.678368918612928,red
FERMT2,hsa-mir-345,0.596283555476726,red
RFTN1,hsa-mir-424,0.655229113733908,red
CYB561,hsa-mir-18a,0.697990070199556,green
ZDHHC1,hsa-mir-106b,0.638138191857501,green
YIPF4,hsa-mir-1301,0.710753218136744,red
RABEP1,hsa-mir-3909,0.650216232891068,red
ADCY1,hsa-mir-488,0.678110558822989,red
FMNL3,hsa-mir-378,0.602876912068942,red
CD2AP,hsa-mir-182,0.626198751666076,green
CENPL,hsa-mir-106b,0.627292414109405,red
FMOD,hsa-mir-345,0.626944681557381,green
MRAS,hsa-mir-30a,0.704062761250977,red
PKN3,hsa-mir-625,0.662403151578714,red
PCDHGA11,hsa-mir-625,0.640344605311325,red
OBSCN,hsa-mir-34a,0.7521039266495,green
NT5C2,hsa-mir-186,0.742841791008337,green
BZRAP1,hsa-mir-3191,0.65879249846753,green
TCP10L,hsa-mir-3684,0.72136436398182,green
ELK3,hsa-mir-488,0.629701337012355,red
MZF1,hsa-mir-3127,0.65097267013704,green
PDS5B,hsa-mir-130b,0.601993066255935,red
BTBD10,hsa-mir-130b,0.651326816037362,red
DPH3,hsa-mir-17,0.594025720998779,red
UBE2V2,hsa-mir-570,0.721063225914357,red
MTMR9,hsa-mir-130b,0.659066357594446,red
MAP3K5,hsa-mir-1468,0.670962661852845,green
RPP14,hsa-mir-106b,0.71661511211301,red
SLC22A23,hsa-mir-30a,0.790689856703524,green
EIF5A2,hsa-mir-766,0.623601815704865,red
RABGAP1,hsa-mir-424,0.632130598506118,red
STK38,hsa-mir-590,0.64264937749672,red
SCAMP2,hsa-mir-106b,0.703077456975524,green
PCDHGB7,hsa-mir-203,0.689384423488029,red
SNTB2,hsa-mir-1275,0.635377515327611,red
CELSR1,hsa-mir-182,0.725925498433449,green
MRE11A,hsa-mir-106b,0.631922646623706,red
PHLDB2,hsa-mir-592,0.668602096024141,red
LRRFIP1,hsa-mir-192,0.623266069570344,red
NAP1L3,hsa-mir-18a,0.720982310687198,red
DUSP3,hsa-mir-561,0.656325819239748,red
CARD8,hsa-mir-424,0.637875862017651,red
TCF4,hsa-mir-424,0.672897296627326,red
C6orf145,hsa-mir-503,0.653775455088555,red
RSPO4,hsa-mir-1266,0.677955108954146,green
ITSN1,hsa-mir-551a,0.641599650309257,red
ITSN1,hsa-mir-130a,0.636909559650726,red
TNFSF13,hsa-mir-106b,0.649535123206712,green
KIAA0947,hsa-mir-106b,0.672484275247959,red
