from,to,ARI
all_negative_value_weight,all_positive_value_weight,0.526
all_negative_value_weight,arithmetic_mean_value_weight,0.527
all_negative_value_weight,geometric_mean_value_weight,0.551
all_negative_value_weight,integrated_mean_value_weight,0.557
all_negative_value_weight,maximum_absolute_value_weight,0.531
all_positive_value_weight,arithmetic_mean_value_weight,0.541
all_positive_value_weight,geometric_mean_value_weight,0.565
all_positive_value_weight,integrated_mean_value_weight,0.511
all_positive_value_weight,maximum_absolute_value_weight,0.58
arithmetic_mean_value_weight,geometric_mean_value_weight,0.542
arithmetic_mean_value_weight,integrated_mean_value_weight,0.5
arithmetic_mean_value_weight,maximum_absolute_value_weight,0.541
geometric_mean_value_weight,integrated_mean_value_weight,0.58
geometric_mean_value_weight,maximum_absolute_value_weight,0.545
integrated_mean_value_weight,maximum_absolute_value_weight,0.541
