from,to
1,4
2,28
3,109
5,62
7,311
8,238
9,301
10,306
11,173
12,284
16,163
17,181
18,45
24,276
32,100
33,171
35,198
40,167
41,221
42,286
43,36
46,30
48,275
49,190
50,308
51,207
52,6
54,63
56,25
57,214
59,102
64,34
65,68
66,302
67,61
72,13
73,105
74,75
76,149
80,203
81,126
83,84
88,71
89,212
90,197
91,191
92,38
96,256
97,55
99,77
101,182
104,194
110,199
112,20
113,175
114,22
118,119
120,121
125,78
128,247
129,82
130,223
132,141
136,261
137,150
138,183
139,172
140,47
142,270
144,111
145,202
146,295
152,60
153,244
154,79
155,147
156,85
159,31
160,161
162,127
164,124
165,70
168,23
169,218
170,148
174,263
176,115
177,106
178,251
179,53
180,117
184,134
185,69
186,222
187,188
192,95
193,254
195,252
196,86
200,285
201,287
204,189
206,231
208,27
209,122
210,98
211,213
216,133
217,107
224,158
225,291
226,229
227,228
230,151
232,233
234,235
236,310
237,239
240,44
241,274
242,219
243,205
245,103
246,39
248,293
255,135
257,157
258,279
259,300
260,37
262,15
264,309
265,220
268,93
269,271
272,143
273,14
277,215
278,303
280,283
281,253
282,123
288,58
289,19
290,294
292,94
296,108
297,267
298,131
299,87
304,312
305,116
307,166
