from,to,weight
1,2,0.0324387986818182
1,3,0.0451159498311688
1,4,0.00475305510638298
1,6,0.0135436480973451
1,15,0.000618894135483871
1,16,0.00486413837864078
1,25,0.00230355382978723
1,28,0.00281660481756757
1,31,0.0104211753084112
1,52,0.0072635687012987
1,62,0.00520186237254902
1,64,0.00839028818435754
1,65,0.0061588587244898
1,69,0.00959813437606838
1,75,0.00159248065322581
1,78,0.00278530065142857
1,84,0.00672154965656566
1,89,0.0015487528115942
1,90,0.00114443082959641
1,91,0.00326297583206107
1,94,0.00683883327433628
1,95,0.00238135435772358
1,100,0.000744178963636364
1,103,0.00304668413245033
1,106,0.00449186165625
1,117,0.000738899713414634
1,119,0.00360409475833333
1,121,0.00149583446889952
1,122,0.00367291200746269
1,125,0.00357310978494624
1,128,0.00154262320588235
1,130,0.00380387555045872
1,136,0.00338031874074074
1,138,0.00481767912389381
1,139,0.000564561769784173
1,140,0.00175650172222222
1,142,0.00367633851515152
1,146,0.00565461427631579
1,155,0.0181859050882353
1,157,0.00275909677777778
1,165,0.00490456130841121
1,170,0.00282619612371134
1,174,0.0025163003559322
1,179,0.00381574185087719
1,187,0.0019188487740113
1,188,0.00199523799236641
1,199,0.00348081831858407
1,203,0.00284197023364486
1,204,0.000709108155172414
1,206,0.00124333759482759
1,207,0.00620691236231884
1,209,0.00613832261428571
1,211,0.000917225839285714
1,213,0.00577497182835821
1,215,0.00445822447807017
1,222,0.0140383666095238
1,224,0.00518212512
1,227,0.0041088553
1,230,0.00293668233823529
1,231,0.00304953926775956
1,242,0.00630422216
1,251,0.00218007257037037
1,253,0.00391189068292683
1,255,0.00181377590163934
1,259,0.0050707928125
1,262,0.000798682030075188
1,265,0.00959483286792453
1,270,0.00213828678873239
1,271,0.000705685823129252
1,273,0.000604825374100719
1,277,0.00332152734027778
1,281,0.000895828067669173
1,283,0.00288908571895425
1,287,0.00234947569767442
1,290,0.0127140494393064
1,291,0.00184240181651376
1,292,0.00221722530147059
1,293,0.00110574769387755
1,294,0.0112752194923077
1,295,0.0091292977704918
1,296,0.00245106002816901
1,299,0.0024406613129771
1,300,0.0046102472972973
1,301,0.00404795874226804
1,307,0.00248499998404255
1,311,0.0021445759453125
2,3,0.00172443505769231
2,6,0.0066291493015873
2,7,0.00609349375903614
2,10,0.00171736624193548
2,15,0.0040486859047619
2,16,0.0021753929245283
2,28,0.00757713642857143
2,41,0.0104718655853659
2,42,0.00134085683098592
2,46,0.00451364108433735
2,47,0.010184006262069
2,52,0.00429227249038462
2,53,0.00376245636904762
2,55,0.0034735453
2,57,0.00165501650819672
2,60,0.00455913854347826
2,62,0.00369631127184466
2,71,0.00229302533766234
2,72,0.00284916046268657
2,74,0.0109604570675676
2,75,0.00538856833783784
2,78,0.005202652784
2,82,0.00251630326984127
2,89,0.00517600807954545
2,90,0.00114181395953757
2,93,0.00101158472891566
2,100,0.00855767238333333
2,101,0.00364705370539419
2,102,0.0015100095890411
2,103,0.00413626973267327
2,107,0.00395734616666667
2,115,0.00122973964788732
2,119,0.00400708434285714
2,121,0.000519405257861635
2,126,0.00162076202
2,130,0.00222419340677966
2,135,0.00653557385714286
2,136,0.00552978068235294
2,140,0.0059140659009901
2,145,0.0048143984375
2,146,0.00333016668627451
2,154,0.00269989463636364
2,157,0.000946454427184466
2,159,0.00175842341111111
2,186,0.00784560918072289
2,190,0.0065670870754717
2,191,0.00427030469620253
2,192,0.0045490753375
2,203,0.00555238794736842
2,204,0.00499923471212121
2,206,0.00143362927272727
2,209,0.00130014536666667
2,210,0.0045406496626506
2,213,0.00151947022619048
2,215,0.00109702884269663
