from,to,weight
1,2,0.00530046421238938
1,3,0.0019413528647541
1,4,0.00410339465030675
1,5,0.00368550271380471
1,8,0.000739524913043478
1,9,0.00470597040127389
1,10,0.00345737214675768
1,11,0.00997649577604167
1,12,0.000663796139737991
1,13,0.00463698463525836
1,15,0.00153369076923077
1,16,0.00249061878353659
1,17,0.00251206270503597
1,18,0.00640885839834025
1,20,0.000755454147286822
1,21,0.0110765306841046
1,22,0.000991773478947369
1,23,0.012168930747331
1,24,0.00565176229924242
1,25,0.00435766547586207
1,26,0.00150650524382716
1,27,0.00505650036177474
1,29,0.00887091453964194
1,30,0.00177727206273063
1,31,0.00231712018872017
1,32,0.00469892832601881
1,33,0.00710520190031153
1,34,0.00343096719923372
1,35,0.00453917810416667
1,36,0.00434889804958678
1,37,0.00414973398947368
1,38,0.00187154216917293
1,40,0.00250681365292096
1,41,0.016413454619883
1,42,0.00144162835051546
1,43,0.00182112415734266
1,45,0.00115625098863636
1,47,0.00543139410703364
1,48,0.00182594004199475
1,49,0.00161294077557756
1,50,0.0130279981319444
1,51,0.00712192535526316
1,52,0.00553010263947368
1,53,0.00459840336149312
1,54,0.00714751545517241
1,55,0.002286388496
1,56,0.00457968134579439
1,57,0.00659732497238659
1,58,0.0140612194092308
1,59,0.00183084506521739
1,60,0.000362712643356643
1,62,0.0010884371120332
1,63,0.00259059643518518
1,65,0.00299001742711864
1,66,0.00175649792424242
1,68,0.00424925978284182
1,69,0.00357906288853503
1,70,0.00375451848955224
1,71,0.00125617148148148
1,72,0.00497337746475771
1,73,0.0352614475777778
1,74,0.00709617685287356
1,75,0.00521198776527331
1,76,0.00060297402295082
2,5,0.00131541664423077
2,6,0.00109658318617021
2,10,0.0024448067745098
2,11,0.00570769007457627
2,13,0.012458352775
2,14,0.00276519398969072
2,16,0.00325334161506276
2,17,0.00250160126219512
2,18,0.0045677847368421
2,21,0.0210575272426471
2,22,0.00303422187628866
2,24,0.00349251962857143
2,25,0.00243330277114428
2,27,0.00460077596078431
2,29,0.00526993107284768
2,30,0.00319542462637363
2,31,0.00052125663172043
2,32,0.00166027985652174
2,33,0.0320683808227848
2,34,0.00599384547674419
2,35,0.000447065753768844
2,37,0.00251456269387755
2,38,0.000458495107344633
2,39,0.000528125530120482
2,40,0.00290875617821782
2,41,0.00136235200395257
2,43,0.00267878931472081
2,44,0.000534798554913295
2,45,0.000771800937142857
2,46,0.00169450663253012
2,47,0.00537886874789916
2,48,0.00189640123972603
2,49,0.00264707789252336
2,51,0.00292358017674419
2,52,0.0110875249793814
2,53,0.00123243027857143
2,54,0.00232660138308458
2,56,0.00541935221551724
2,57,0.0159794325454545
2,59,0.00534388318181818
2,60,0.00192602931472081
2,63,0.000398327076595745
2,64,0.00194963904137931
2,65,0.00187938345631068
2,66,0.00699765739834025
2,68,0.00190172214084507
2,69,0.00347922059555556
2,70,0.00107715905284553
2,71,0.00753219929007634
2,72,0.00118340519452055
2,73,0.00220690487583149
2,74,0.00161230457514451
2,76,0.000461411407407407
3,4,0.00419012927464789
3,6,0.00618997387096774
3,10,0.00156396534862385
3,13,0.00601380967586207
3,14,0.00276005758585859
3,16,0.00385856111805556
3,21,0.000648522766773163
3,22,0.00162796966836735
3,25,0.00520692902830189
3,28,0.00514244808235294
3,29,0.00755212914492754
3,30,0.00714850728735632
3,31,0.00113341605415162
3,34,0.00268940845454545
3,35,0.00491053084615385
3,36,0.00460872334482759
3,38,0.00276487326829268
3,43,0.0280302757156863
3,47,0.00231687302797203
3,48,0.00139688308121827
3,49,0.0091452672184874
3,51,0.00161077085833333
3,52,0.0015425966377551
3,53,0.00985902881230769
3,54,0.00150765735849057
3,55,0.0262327750909091
3,56,0.00632368372262774
3,57,0.00257076018885449
3,58,0.00305589806382979
3,60,0.00287529301960784
3,63,0.00466715555714286
3,64,0.05039955716
3,65,0.00809261481081081
3,68,0.00429313017989418
3,69,0.00262171233076923
3,72,0.0013267043
3,74,0.00700560373306773
3,75,0.00540963974015748
4,5,0.00241576842564103
4,6,0.0140277256514286
4,8,0.00203169856953642
4,9,0.0135711361462264
4,10,0.00325155282722513
4,11,0.000311905634751773
4,13,0.00667110878854626
4,15,0.0106177783030303
4,16,0.00320372496460177
