from,to,weight
1,2,0.0188022705551471
1,3,0.0334741760727848
1,4,0.00356711335263158
1,6,0.00761169378761062
1,16,0.00329784367619048
1,28,0.00337594016891892
1,31,0.00575628481651376
1,52,0.00438411902866242
1,62,0.0041237373496732
1,64,0.00474419346910112
1,69,0.0045840120982906
1,72,0.0026551607184874
1,75,0.00245329753781513
1,78,0.00407543025
1,82,0.00217537832608696
1,84,0.00441804530808081
1,90,0.00220112967307692
1,91,0.00675562322692308
1,94,0.00463550606722689
1,95,0.0016406605203252
1,99,0.00141336476898734
1,100,0.00182466722072072
1,103,0.00182593112420382
1,106,0.00640655126020408
1,117,0.00146764561470588
1,119,0.00570673399583333
1,121,0.00250403756807512
1,122,0.00223593624074074
1,125,0.00237856779255319
1,128,0.00208656911650485
1,130,0.00433172237391304
1,140,0.00107728811904762
1,146,0.00585501734375
1,155,0.0136114257472826
1,157,0.0027244564869281
1,165,0.0033353784953271
1,170,0.00187806760204082
1,174,0.00191099338655462
1,176,0.00307633420408163
1,179,0.00222924743478261
1,187,0.00136597447175141
1,188,0.00293931036328125
1,192,0.00195134730827068
1,199,0.00211108180263158
1,204,0.0021945857625
1,206,0.00226835729059829
1,207,0.00400166015714286
1,213,0.00359968118045113
1,215,0.00920327291025641
1,222,0.00607281852912621
1,224,0.00314671859405941
1,227,0.00266224173412698
1,230,0.00184018573426573
1,231,0.00246021090277778
1,242,0.00254305117460317
1,251,0.00577283130935252
1,253,0.0022680445984252
1,255,0.00408357266806723
1,259,0.0033166515
1,260,0.00230273953214286
1,262,0.00155511625396825
1,265,0.00597460985981308
1,270,0.00330692158741259
1,271,0.00151149278819444
1,273,0.00141546717028986
1,277,0.00466173742758621
1,282,0.00212155175943396
1,287,0.00158169670714286
1,290,0.0126359668591954
1,291,0.0028245442300885
1,292,0.0034670551443662
1,293,0.00160952182781457
1,294,0.00467107507425743
1,295,0.00326086838
1,296,0.00182413422857143
1,299,0.00173483333834586
1,300,0.00286704298660714
1,301,0.00243195797
1,307,0.00281482338235294
1,311,0.00144577848837209
1,312,0.00292344607894737
2,3,0.00226288979090909
2,6,0.0086678482
2,7,0.00560452576966292
2,15,0.00447318805288462
2,16,0.00392517009649123
2,27,0.00335561692168675
2,28,0.01184102447
2,36,0.00322723515625
2,41,0.00626963011046512
2,42,0.00303291688888889
2,43,0.00330407755128205
2,46,0.0033719160872093
2,47,0.00339950192176871
2,52,0.00375896682110092
2,53,0.00507265394642857
2,60,0.00283863717553191
2,62,0.00458934103333333
2,71,0.006776814375
2,72,0.00699084595774648
2,74,0.00645620746710526
2,75,0.00714936843661972
2,78,0.00755699893548387
2,79,0.00294200021333333
2,82,0.00390950645522388
2,89,0.00290834880208333
2,90,0.00935769983064516
2,91,0.00324934867073171
2,93,0.00303411330555556
2,100,0.00829521970634921
2,101,0.00216742108979592
2,102,0.00264005907894737
2,103,0.00497466165137615
2,107,0.00246223999418605
2,111,0.00412235689090909
2,115,0.0041291777972973
2,119,0.00276599397916667
2,121,0.00139441512727273
2,130,0.00888535749253731
2,135,0.00479594653061224
2,140,0.00151916962745098
2,146,0.00193785042857143
2,154,0.00222988427956989
2,157,0.00222194094285714
2,159,0.00566229737368421
2,186,0.0109476628089888
2,189,0.0030377704047619
2,190,0.00504805642857143
2,191,0.00257467915853659
2,192,0.00493536680588235
2,197,0.00248566211538462
2,206,0.00347542254347826
2,207,0.00242393770108696
2,208,0.00426637512037037
2,209,0.00298257915217391
2,210,0.0033662586686747
2,213,0.00265310556470588
2,215,0.00299792296236559
2,218,0.00610984437765957
2,221,0.00462382557368421
2,222,0.00402078784545455
2,230,0.00484001234210526
2,231,0.00264977959848485
2,247,0.00425611843
2,251,0.00319049836263736
2,252,0.00480043484210526
2,254,0.00380409424576271
2,262,0.00995189885897436
2,267,0.0037323668
2,268,0.00308310266785714
2,270,0.00316352347894737
2,277,0.00282017048969072
2,278,0.00381533683453237
2,281,0.00312626109036145
2,282,0.00357628100862069
2,283,0.00407132675238095
2,286,0.00372911104716981
2,290,0.0017194733968254
2,293,0.00186456049514563
2,296,0.00489844361956522
2,298,0.0090899182578125
2,302,0.00201435021296296
2,303,0.00239850759677419
2,306,0.00427260284821429
2,310,0.00533926283333333
2,311,0.00865824433950617
2,312,0.00341882666666667
3,6,0.00548427778160919
3,13,0.00232203356796116
