from,to
1,3
2,6
5,62
7,311
8,238
9,301
10,71
11,173
12,284
15,191
16,161
17,289
18,45
24,276
25,310
27,236
32,229
33,171
35,259
40,167
41,52
42,93
43,30
48,275
49,190
50,308
51,158
54,63
57,214
59,102
64,34
65,79
66,77
67,61
72,91
73,105
74,75
76,309
80,298
81,265
82,245
83,183
84,68
90,85
92,38
96,160
97,55
98,99
101,182
104,89
107,159
108,36
110,199
112,20
113,195
114,19
118,119
120,248
121,149
124,22
125,78
128,23
129,307
130,223
131,172
132,141
136,261
137,150
138,115
139,166
140,28
144,111
145,202
146,295
147,230
148,221
151,215
152,170
153,244
156,4
162,251
163,164
165,70
168,285
169,100
174,263
176,247
177,106
178,254
180,117
181,262
184,134
185,69
186,189
187,188
192,53
193,60
194,293
196,86
197,135
200,13
201,287
203,204
206,231
208,255
209,122
210,142
211,213
212,270
216,133
217,123
218,154
219,220
222,207
224,226
225,198
227,228
232,233
234,235
237,239
240,44
241,274
242,179
243,205
246,39
252,95
256,88
257,157
258,279
260,37
264,56
268,303
269,271
272,143
273,14
277,286
278,127
280,175
281,253
282,283
288,58
290,155
291,31
292,109
294,94
296,46
297,267
299,87
300,103
302,47
304,312
305,116
306,126
