from,to
1,148
3,109
4,151
5,61
8,81
9,141
10,50
12,52
16,65
17,91
18,19
21,102
24,31
27,79
28,125
32,68
33,26
34,124
36,45
40,84
41,101
42,29
43,20
48,78
49,11
51,149
53,14
56,97
57,115
58,134
64,92
69,47
72,122
73,60
75,39
76,117
80,44
82,55
83,99
85,7
86,62
88,15
90,126
94,63
96,89
98,87
100,22
103,95
104,93
105,66
106,59
107,46
110,70
111,71
112,108
113,23
114,54
116,77
120,121
123,150
127,119
128,35
129,25
130,74
131,13
133,118
136,30
137,6
138,139
142,143
144,37
145,135
146,38
147,140
152,2
153,67
